"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718739,"2023-04-02",6,"2023-04-03T01:32:47.450Z","2023-04-03T01:32:55.467Z",TRUE,"pitch","be7d014e-13bc-4185-b0c2-89d62f74c31f",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,2,NA,NA,3.54,1.73,NA,137.59,183.61,"ground_ball","hard","5",114.28,165.86,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Darick Hall grounds out sharply, third baseman Josh Jung to first baseman Nathaniel Lowe.",0,1,2,65,"top",9,"2023-04-03T01:31:33.422Z","2023-04-03T01:32:55.467Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,669742,"Darick Hall","/api/v1/people/669742","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.3,86.3,7,0.91,0.3997,6.2143,30.2129,-11.9939,6.5186,10.6075,-0.5401,2.0433,-6.3103,-137.0352,-8.8609,0.9453,50.0013,6.1375,12.3996,38.4,3.6,24,2335,144,101.3,-25,4,NA,NA,NA,TRUE,-13.3,17.5,-10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718739,"2023-04-02",5,"2023-04-03T01:32:29.841Z","2023-04-03T01:32:33.298Z",TRUE,"pitch","b066a568-885b-4e30-a41a-11506610bd5d",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,2,NA,NA,3.6874,1.8791,NA,108.75,161.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Darick Hall grounds out sharply, third baseman Josh Jung to first baseman Nathaniel Lowe.",0,1,2,65,"top",9,"2023-04-03T01:31:33.422Z","2023-04-03T01:32:55.467Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,669742,"Darick Hall","/api/v1/people/669742","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.8,85.7,5,0.91,0.4015,6.2131,30.3003,-12.1736,6.4019,10.6165,0.2164,2.8455,-4.5048,-136.466,-6.9145,1.0575,50.0055,6.2525,12.0649,39.6,3.6,24,2266,148,NA,NA,NA,NA,NA,NA,FALSE,-13.2,17.9,-10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718739,"2023-04-02",4,"2023-04-03T01:32:12.307Z","2023-04-03T01:32:16.992Z",TRUE,"pitch","7713bec0-eee4-4b68-b76e-490c992e3725",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.7555,1.8039,NA,155.88,196.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Darick Hall grounds out sharply, third baseman Josh Jung to first baseman Nathaniel Lowe.",0,1,2,65,"top",9,"2023-04-03T01:31:33.422Z","2023-04-03T01:32:55.467Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,669742,"Darick Hall","/api/v1/people/669742","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.6,77,13,0.9,0.4564,6.2659,17.5689,-27.5785,-3.592,3.1324,-1.0199,1.5501,-4.4552,-118.9087,-4.9263,1.3276,50.0034,6.0802,-5.2687,12,8.4,24,2213,293,NA,NA,NA,NA,NA,NA,FALSE,-35.2,5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718739,"2023-04-02",3,"2023-04-03T01:31:51.098Z","2023-04-03T01:31:54.157Z",TRUE,"pitch","6ed10170-6187-4455-8ae2-1a9c49500c32",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.54,1.73,NA,119.8,198.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Darick Hall grounds out sharply, third baseman Josh Jung to first baseman Nathaniel Lowe.",0,1,2,65,"top",9,"2023-04-03T01:31:33.422Z","2023-04-03T01:32:55.467Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,669742,"Darick Hall","/api/v1/people/669742","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.6,76.5,13,0.9,0.4579,6.2071,19.4865,-31.2136,-5.0779,0.6565,-0.0735,1.4884,-2.3074,-118.9082,-4.201,1.5644,50.0011,6.0627,-7.3824,13.2,9.6,24,2182,296,NA,NA,NA,NA,NA,NA,FALSE,-40,0.6,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718739,"2023-04-02",2,"2023-04-03T01:31:35.598Z","2023-04-03T01:31:39.323Z",TRUE,"pitch","34d83351-430e-4754-ab32-adcd1295ea2c",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.7681,1.8371,NA,161.98,173.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Darick Hall grounds out sharply, third baseman Josh Jung to first baseman Nathaniel Lowe.",0,1,2,65,"top",9,"2023-04-03T01:31:33.422Z","2023-04-03T01:32:55.467Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,669742,"Darick Hall","/api/v1/people/669742","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.5,78.7,13,0.9,0.4456,6.1443,18.4313,-31.0978,-3.0623,0.6958,-1.1799,2.4039,-5.3128,-121.7887,-2.8786,1.407,50.0005,6.2253,-4.711,9.6,8.4,24,2228,299,NA,NA,NA,NA,NA,NA,FALSE,-37.4,1,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718739,"2023-04-02",0,"2023-04-03T01:30:46.851Z","2023-04-03T01:31:02.427Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Darick Hall replaces Cristian Pache.","Offensive Substitution",1,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,669742,"/api/v1/people/669742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","65","atBat","Groundout","field_out","Darick Hall grounds out sharply, third baseman Josh Jung to first baseman Nathaniel Lowe.",0,1,2,65,"top",9,"2023-04-03T01:31:33.422Z","2023-04-03T01:32:55.467Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,669742,"Darick Hall","/api/v1/people/669742","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,665506,"/api/v1/people/665506",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718739,"2023-04-02",1,"2023-04-03T01:31:02.427Z","2023-04-03T01:31:35.598Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",1,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Darick Hall grounds out sharply, third baseman Josh Jung to first baseman Nathaniel Lowe.",0,1,2,65,"top",9,"2023-04-03T01:31:33.422Z","2023-04-03T01:32:55.467Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,669742,"Darick Hall","/api/v1/people/669742","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718739,"2023-04-02",5,"2023-04-03T01:30:20.084Z","2023-04-03T01:30:28.466Z",TRUE,"pitch","dc8e75d8-6c7f-41d1-b62d-a387bed4b61a",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,1,NA,NA,3.21,1.48,NA,130.45,199.84,"fly_ball","medium","6",108.82,119.83,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Bryson Stott flies out to shortstop Corey Seager.",0,1,2,64,"top",9,"2023-04-03T01:28:21.039Z","2023-04-03T01:30:28.466Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,681082,"Bryson Stott","/api/v1/people/681082","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.7,76.1,7,0.9,0.4555,6.3949,24.0063,-28.5856,-0.5913,2.4517,-0.3528,1.4421,-3.9307,-120.3698,-5.056,1.3801,50.0026,6.1096,-0.8645,3.6,8.4,24,2077,303,71.6,44,225,NA,NA,NA,TRUE,-36.6,3.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718739,"2023-04-02",4,"2023-04-03T01:30:00.558Z","2023-04-03T01:30:03.558Z",TRUE,"pitch","9385bbd2-2da7-4590-905c-36c6a27735ec",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.21,1.48,NA,104.58,146.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Bryson Stott flies out to shortstop Corey Seager.",0,1,2,64,"top",9,"2023-04-03T01:28:21.039Z","2023-04-03T01:30:28.466Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,681082,"Bryson Stott","/api/v1/people/681082","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.5,77.4,12,0.9,0.451,6.2426,18.3445,-27.1695,-1.0419,3.336,0.3257,3.428,-2.6878,-120.3901,-1.0378,1.582,50.0053,6.2205,-1.5645,3.6,7.2,24,2286,266,NA,NA,NA,NA,NA,NA,FALSE,-33.2,6.1,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718739,"2023-04-02",3,"2023-04-03T01:29:40.172Z","2023-04-03T01:29:43.172Z",TRUE,"pitch","fdc75ff8-fa00-4360-95c8-71b3662ba314",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.21,1.48,NA,131.26,144.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Bryson Stott flies out to shortstop Corey Seager.",0,1,2,64,"top",9,"2023-04-03T01:28:21.039Z","2023-04-03T01:30:28.466Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,681082,"Bryson Stott","/api/v1/people/681082","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.1,85.8,11,0.91,0.4029,6.2086,27.0727,-14.0701,5.4834,9.6522,-0.3742,3.5011,-5.4129,-135.4763,-5.0104,0.9286,50.0033,6.3435,10.2859,31.2,3.6,24,2179,142,NA,NA,NA,NA,NA,NA,FALSE,-14.6,16.7,-8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718739,"2023-04-02",2,"2023-04-03T01:29:18.347Z","2023-04-03T01:29:21.347Z",TRUE,"pitch","512c1ecb-e07a-4aa1-8c3b-fc7c16c5e1af",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.21,1.48,NA,139.48,182.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Bryson Stott flies out to shortstop Corey Seager.",0,1,2,64,"top",9,"2023-04-03T01:28:21.039Z","2023-04-03T01:30:28.466Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,681082,"Bryson Stott","/api/v1/people/681082","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.1,77.8,4,0.9,0.4491,6.1897,19.8074,-28.6354,-1.6062,2.3397,-0.5899,2.0835,-4.3014,-121.1597,-3.8423,1.4049,50.0029,6.1452,-2.4292,6,8.4,24,2255,274,NA,NA,NA,NA,NA,NA,FALSE,-35.3,3.7,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718739,"2023-04-02",1,"2023-04-03T01:29:02.038Z","2023-04-03T01:29:05.870Z",TRUE,"pitch","f1b5dc10-60f0-41c2-ab25-747ca6b1d55d",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.2507,1.4116,NA,156.18,165.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Bryson Stott flies out to shortstop Corey Seager.",0,1,2,64,"top",9,"2023-04-03T01:28:21.039Z","2023-04-03T01:30:28.466Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,681082,"Bryson Stott","/api/v1/people/681082","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.8,85.6,11,0.91,0.4024,6.2111,30.3446,-12.1261,6.365,10.6892,-1.0278,2.7107,-7.3902,-136.2055,-7.2419,0.8957,50.0063,6.2454,11.943,37.2,3.6,24,2191,142,NA,NA,NA,NA,NA,NA,FALSE,-13.3,18,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718739,"2023-04-02",0,"2023-04-03T01:28:44.976Z","2023-04-03T01:28:48.400Z",TRUE,"pitch","d3623c8a-1db5-4946-bfa2-1280731d253c",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.338,1.5365,NA,133.47,182.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Bryson Stott flies out to shortstop Corey Seager.",0,1,2,64,"top",9,"2023-04-03T01:28:21.039Z","2023-04-03T01:30:28.466Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,681082,"Bryson Stott","/api/v1/people/681082","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.2,85.2,4,0.91,0.4046,6.1904,30.0013,-12.5497,5.4447,10.5752,-0.432,2.1015,-5.7276,-135.4619,-8.6489,1.0039,50.0014,6.216,10.1029,31.2,3.6,24,2209,141,NA,NA,NA,NA,NA,NA,FALSE,-14.2,17.4,-8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718739,"2023-04-02",4,"2023-04-03T01:28:08.619Z","2023-04-03T01:28:15.999Z",TRUE,"pitch","a112b776-9c70-4e24-b4ff-9bbba6b38b11",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,0,NA,NA,3.45,1.65,NA,158.04,185,"ground_ball","medium","5",111.85,175.55,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Groundout","field_out","Edmundo Sosa grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe.",0,1,2,63,"top",9,"2023-04-03T01:26:43.413Z","2023-04-03T01:28:15.999Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,624641,"Edmundo Sosa","/api/v1/people/624641","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.2,84.8,13,0.91,0.408,6.24,27.2396,-11.9754,5.3134,11.0503,-1.0767,1.9919,-6.9806,-133.9259,-8.8408,0.8658,50.0028,6.1793,9.7125,31.2,3.6,24,2199,140,79.8,-27,5,NA,NA,NA,TRUE,-13.7,18.4,-8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718739,"2023-04-02",3,"2023-04-03T01:27:16.743Z","2023-04-03T01:27:19.743Z",TRUE,"pitch","97402747-7218-4dff-8d60-aedabc78b18e",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.45,1.65,NA,115.26,171.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Groundout","field_out","Edmundo Sosa grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe.",0,1,2,63,"top",9,"2023-04-03T01:26:43.413Z","2023-04-03T01:28:15.999Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,624641,"Edmundo Sosa","/api/v1/people/624641","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.9,76.2,5,0.9,0.4538,6.3752,23.5897,-25.466,-0.7037,4.5471,0.0457,2.4993,-3.1035,-120.7263,-3.5588,1.4395,50.0035,6.235,-1.0381,3.6,7.2,24,2232,288,NA,NA,NA,NA,NA,NA,FALSE,-32.2,7.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718739,"2023-04-02",2,"2023-04-03T01:27:00.660Z","2023-04-03T01:27:03.669Z",TRUE,"pitch","c727db3b-215a-49f4-a70f-c7f4a6dc6988",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,0,NA,NA,3.45,1.65,NA,94,171.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Groundout","field_out","Edmundo Sosa grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe.",0,1,2,63,"top",9,"2023-04-03T01:26:43.413Z","2023-04-03T01:28:15.999Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,624641,"Edmundo Sosa","/api/v1/people/624641","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Texas Rangers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.7,76.7,6,0.9,0.4562,6.2301,18.3514,-30.5479,-2.4639,1.1062,0.6035,2.4981,-1.6645,-119.1041,-2.3813,1.6264,50.0022,6.2171,-3.6137,7.2,8.4,24,2241,275,NA,NA,NA,NA,NA,NA,FALSE,-38.4,1.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
