"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718136,"2023-05-17",5,"2023-05-17T22:00:11.364Z","2023-05-17T22:00:15.462Z",TRUE,"pitch","f4335dc7-5d4f-440c-81c0-c73005878e62",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.27,1.6,NA,94.93,194.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Ryan Jeffers strikes out swinging.",0,3,7,75,"top",9,"2023-05-17T21:57:10.946Z","2023-05-17T22:00:15.462Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,680777,"Ryan Jeffers","/api/v1/people/680777","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.1,79.1,9,0.91,0.4404,6.5694,23.1773,-32.9652,8.0755,-0.5032,0.5789,1.6438,3.8893,-124.0414,-1.9485,-2.0551,50.0031,5.1697,12.6724,21.6,9.6,24,2361,63,NA,NA,NA,NA,NA,NA,TRUE,-38.5,-1.1,-15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718136,"2023-05-17",4,"2023-05-17T21:59:55.922Z","2023-05-17T21:59:59.811Z",TRUE,"pitch","3c7c904a-7d88-41ec-84ea-e4c299ceb0c0",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.356,1.6366,NA,69.77,211.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Ryan Jeffers strikes out swinging.",0,3,7,75,"top",9,"2023-05-17T21:57:10.946Z","2023-05-17T22:00:15.462Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,680777,"Ryan Jeffers","/api/v1/people/680777","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.9,79,14,0.91,0.4417,6.4901,22.8667,-31.6413,5.5289,0.3431,1.239,1.006,6.1396,-123.6339,-3.5385,-1.9878,50.0038,5.0898,8.6253,16.8,8.4,24,2420,60,NA,NA,NA,NA,NA,NA,FALSE,-37.6,0.1,-11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718136,"2023-05-17",3,"2023-05-17T21:59:40.131Z","2023-05-17T21:59:43.967Z",TRUE,"pitch","949b64bb-43f3-417a-bd63-ca6ab1db80e5",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.27,1.6,NA,86.47,165.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Ryan Jeffers strikes out swinging.",0,3,7,75,"top",9,"2023-05-17T21:57:10.946Z","2023-05-17T22:00:15.462Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,680777,"Ryan Jeffers","/api/v1/people/680777","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.5,78.6,6,0.89,0.4401,6.4366,24.833,-28.8992,6.6631,2.0883,0.8009,2.6997,4.8937,-124.422,-0.3539,-2.0567,50.003,5.2374,10.4524,21.6,8.4,24,2446,74,NA,NA,NA,NA,NA,NA,FALSE,-33.5,4,-13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718136,"2023-05-17",0,"2023-05-17T21:57:14.754Z","2023-05-17T21:57:20.078Z",TRUE,"pitch","132355c6-c501-42f1-92e7-78fa42938aae",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.34,1.57,NA,101.25,176.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Ryan Jeffers strikes out swinging.",0,3,7,75,"top",9,"2023-05-17T21:57:10.946Z","2023-05-17T22:00:15.462Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,680777,"Ryan Jeffers","/api/v1/people/680777","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.6,85.1,6,0.86,0.4086,6.3427,25.1209,-26.9256,1.3435,2.8771,0.4131,2.3196,5.9545,-133.3872,-2.6128,-2.0109,50.0064,5.2267,2.4522,7.2,6,24,2424,188,NA,NA,NA,NA,NA,NA,FALSE,-27.4,4.9,-3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718136,"2023-05-17",1,"2023-05-17T21:58:11.066Z","2023-05-17T21:58:59.599Z",FALSE,"action",NA,NA,"Injury Delay.","Game Advisory",3,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,1,2,608336,"/api/v1/people/608336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"game_advisory",NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Ryan Jeffers strikes out swinging.",0,3,7,75,"top",9,"2023-05-17T21:57:10.946Z","2023-05-17T22:00:15.462Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,680777,"Ryan Jeffers","/api/v1/people/680777","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718136,"2023-05-17",2,"2023-05-17T21:58:59.599Z","2023-05-17T21:59:40.131Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Ryan Jeffers replaces Joey Gallo.","Offensive Substitution",3,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,1,2,680777,"/api/v1/people/680777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","101","75","atBat","Strikeout","strikeout","Ryan Jeffers strikes out swinging.",0,3,7,75,"top",9,"2023-05-17T21:57:10.946Z","2023-05-17T22:00:15.462Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,680777,"Ryan Jeffers","/api/v1/people/680777","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,608336,"/api/v1/people/608336",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718136,"2023-05-17",4,"2023-05-17T21:56:46.316Z","2023-05-17T21:56:51.805Z",TRUE,"pitch","65b47ab2-f264-4e62-9cbf-08ae8cf40a84",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,1,NA,NA,3.2258,1.7016,NA,125.55,180.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Christian Vazquez called out on strikes.",0,3,7,74,"top",9,"2023-05-17T21:55:25.262Z","2023-05-17T21:56:51.805Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.9,78.3,8,0.9,0.4426,6.2758,24.0916,-29.9042,6.9832,1.461,-0.2242,2.1683,2.6129,-123.6454,-1.0956,-2.2012,50.0028,5.121,10.8369,20.4,8.4,24,2409,60,NA,NA,NA,NA,NA,NA,TRUE,-35.2,2.6,-13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,571657,"Kyle Farmer","/api/v1/people/571657",NA,NA,NA,NA,NA,NA
718136,"2023-05-17",3,"2023-05-17T21:56:23.121Z","2023-05-17T21:56:27.976Z",TRUE,"pitch","908b285c-0da2-42f9-bf94-869756dde3fe",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.11,1.53,NA,92.14,196.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Christian Vazquez called out on strikes.",0,3,7,74,"top",9,"2023-05-17T21:55:25.262Z","2023-05-17T21:56:51.805Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.5,78.8,9,0.9,0.4402,6.415,25.3132,-30.0434,7.8826,1.3626,0.6522,1.583,4.2383,-124.4947,-2.4707,-2.0973,50.0049,5.0783,12.3578,22.8,8.4,24,2507,66,NA,NA,NA,NA,NA,NA,FALSE,-35.3,2.2,-15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718136,"2023-05-17",2,"2023-05-17T21:55:59.460Z","2023-05-17T21:56:05.119Z",TRUE,"pitch","2643146e-3bc1-4691-82a7-f096d82b2d51",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.11,1.53,NA,110.03,196.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Christian Vazquez called out on strikes.",0,3,7,74,"top",9,"2023-05-17T21:55:25.262Z","2023-05-17T21:56:51.805Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.2,79,8,0.89,0.44,6.402,22.9082,-25.3939,5.7328,4.3102,0.1828,1.5739,4.004,-124.0934,-3.3284,-2.1917,50.0021,5.0289,9.013,20.4,7.2,24,2478,71,NA,NA,NA,NA,NA,NA,FALSE,-30,7.3,-11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718136,"2023-05-17",1,"2023-05-17T21:55:41.721Z","2023-05-17T21:55:46.394Z",TRUE,"pitch","166616f7-7829-4eca-bf69-dd55b1431108",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.1607,1.615,NA,147.83,217.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Christian Vazquez called out on strikes.",0,3,7,74,"top",9,"2023-05-17T21:55:25.262Z","2023-05-17T21:56:51.805Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.1,87.5,13,0.89,0.3957,6.5784,29.7037,-23.6596,-12.0704,4.3805,-0.8089,0.7981,7.2578,-138.2349,-7.2529,-1.895,50.0014,5.0349,-23.448,40.8,7.2,24,2218,227,NA,NA,NA,NA,NA,NA,FALSE,-23.6,6.6,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718136,"2023-05-17",0,"2023-05-17T21:55:25.262Z","2023-05-17T21:55:29.265Z",TRUE,"pitch","bfee57e9-b219-4a45-983c-c749670be0f0",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.0739,1.615,NA,142.47,169.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Christian Vazquez called out on strikes.",0,3,7,74,"top",9,"2023-05-17T21:55:25.262Z","2023-05-17T21:56:51.805Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.9,77.8,4,0.89,0.4431,6.237,25.2702,-26.2111,6.0398,3.8586,-0.6683,2.5545,1.9789,-123.725,-1.0836,-2.2639,50.006,5.2,9.3405,20.4,7.2,24,2462,79,NA,NA,NA,NA,NA,NA,FALSE,-31,7,-11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718136,"2023-05-17",6,"2023-05-17T21:54:53.034Z","2023-05-17T21:55:04.153Z",TRUE,"pitch","621777dc-4090-4671-be3e-3c4b95a917c0",7,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,0,NA,NA,3.53,1.65,NA,125.35,167.46,"fly_ball","medium","8",109.72,82.56,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Willi Castro flies out to center fielder James Outman.",0,3,7,73,"top",9,"2023-05-17T21:52:29.691Z","2023-05-17T21:55:04.153Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,650489,"Willi Castro","/api/v1/people/650489","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.9,85.8,5,0.89,0.4056,6.5129,23.3798,-24.1402,0.7079,4.3305,-0.2191,2.6416,4.5954,-133.9828,-2.3472,-2.0341,50.0034,5.2177,1.3129,4.8,4.8,24,2473,197,80,27,295,NA,NA,NA,TRUE,-24.1,7.7,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,571657,"Kyle Farmer","/api/v1/people/571657",NA,NA,NA,NA,NA,NA
718136,"2023-05-17",5,"2023-05-17T21:54:33.520Z","2023-05-17T21:54:39.058Z",TRUE,"pitch","58d101f3-0aa0-4e1a-81a7-7caca605725d",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.53,1.65,NA,100.93,195.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Willi Castro flies out to center fielder James Outman.",0,3,7,73,"top",9,"2023-05-17T21:52:29.691Z","2023-05-17T21:55:04.153Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,650489,"Willi Castro","/api/v1/people/650489","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.2,78.8,9,0.9,0.4406,6.2922,23.8063,-30.0945,6.4863,1.3251,0.4216,1.6193,4.216,-124.1019,-2.4092,-2.1392,50.0008,5.0983,10.1604,19.2,8.4,24,2529,62,NA,NA,NA,NA,NA,NA,FALSE,-35.4,2.2,-12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718136,"2023-05-17",4,"2023-05-17T21:53:57.245Z","2023-05-17T21:54:01.996Z",TRUE,"pitch","d0260c77-1c0a-4a25-9ae2-d21b7b5fa8cf",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.53,1.65,NA,157.19,173.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Willi Castro flies out to center fielder James Outman.",0,3,7,73,"top",9,"2023-05-17T21:52:29.691Z","2023-05-17T21:55:04.153Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,650489,"Willi Castro","/api/v1/people/650489","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.9,88.1,13,0.91,0.3914,6.4696,29.9178,-16.0625,-6.1364,8.1129,-1.0544,2.4047,4.9292,-139.6563,-4.8592,-2.0405,50.0009,5.2153,-12.1833,33.6,3.6,24,2289,218,NA,NA,NA,NA,NA,NA,FALSE,-15.6,13.9,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718136,"2023-05-17",3,"2023-05-17T21:53:33.370Z","2023-05-17T21:53:39.735Z",TRUE,"pitch","237953b0-52cd-4544-82d4-359d22202447",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.53,1.65,NA,128.43,147.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Willi Castro flies out to center fielder James Outman.",0,3,7,73,"top",9,"2023-05-17T21:52:29.691Z","2023-05-17T21:55:04.153Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,650489,"Willi Castro","/api/v1/people/650489","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.5,86.2,1,0.91,0.401,6.4635,27.6602,-23.7544,-0.3744,4.4461,-0.2997,3.3711,4.9048,-136.19,-0.7099,-2.0692,50.0019,5.2663,-0.7094,1.2,4.8,24,2550,207,NA,NA,NA,NA,NA,NA,FALSE,-22.9,8.2,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718136,"2023-05-17",2,"2023-05-17T21:53:10.030Z","2023-05-17T21:53:16.761Z",TRUE,"pitch","4af77680-98e9-4d3c-b82b-8f672072f7de",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.53,1.65,NA,117.44,138.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Willi Castro flies out to center fielder James Outman.",0,3,7,73,"top",9,"2023-05-17T21:52:29.691Z","2023-05-17T21:55:04.153Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,650489,"Willi Castro","/api/v1/people/650489","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.8,86.1,11,0.91,0.4027,6.245,25.2175,-23.3841,-1.0314,4.6752,-0.0116,3.7108,5.9208,-135.2246,0.0551,-2.0811,50.0038,5.31,-1.9403,2.4,4.8,24,2516,201,NA,NA,NA,NA,NA,NA,FALSE,-22.6,8.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718136,"2023-05-17",1,"2023-05-17T21:52:51.649Z","2023-05-17T21:52:56.512Z",TRUE,"pitch","f6606d9d-fc82-47b4-8b1c-fb9a50816ce7",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,0,NA,NA,3.6514,1.7797,NA,149.85,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Willi Castro flies out to center fielder James Outman.",0,3,7,73,"top",9,"2023-05-17T21:52:29.691Z","2023-05-17T21:55:04.153Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,650489,"Willi Castro","/api/v1/people/650489","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Los Angeles Dodgers","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.8,85.1,13,0.89,0.4076,6.3571,25.3697,-24.7835,0.3801,4.0278,-0.8618,2.5844,3.4263,-133.7407,-2.2104,-2.2022,50.0036,5.176,0.6964,2.4,6,24,2541,202,NA,NA,NA,NA,NA,NA,FALSE,-25,7.1,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
