"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
718007,"2023-05-27",4,"2023-05-28T02:14:38.957Z","2023-05-28T02:14:42.643Z",TRUE,"pitch","31d7f4c5-4c64-4420-b40e-ca22f0acfa67",5,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",2,3,2,NA,NA,3.4,1.61,NA,146.14,171.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Ian Happ strikes out on a foul tip.",0,8,5,79,"bottom",9,"2023-05-28T02:13:14.717Z","2023-05-28T02:14:42.643Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,664023,"Ian Happ","/api/v1/people/664023","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97,88.2,4,0.91,0.3888,7.5536,33.4405,-14.8868,-6.1414,8.6092,-0.7644,2.4869,6.2157,-141.1301,-2.7792,-2.2022,50.0055,4.4487,-12.3363,34.8,3.6,24,2636,232,NA,NA,NA,NA,NA,NA,TRUE,-14,15.1,9.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718007,"2023-05-27",3,"2023-05-28T02:14:18.162Z","2023-05-28T02:14:21.856Z",TRUE,"pitch","4a3cfff6-891e-48e2-8c8d-15fa6b0a7531",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.3996,1.6096,NA,155.42,151.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Ian Happ strikes out on a foul tip.",0,8,5,79,"bottom",9,"2023-05-28T02:13:14.717Z","2023-05-28T02:14:42.643Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,664023,"Ian Happ","/api/v1/people/664023","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.1,87.3,11,0.91,0.3926,7.5958,32.8998,-18.011,-6.6981,7.1923,-1.008,3.2278,5.997,-139.7802,-0.2094,-2.316,50.004,4.4911,-13.1928,33.6,4.8,24,2568,240,NA,NA,NA,NA,NA,NA,FALSE,-16.6,13.2,10.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718007,"2023-05-27",2,"2023-05-28T02:13:51.670Z","2023-05-28T02:13:55.410Z",TRUE,"pitch","a5848184-9f95-49d4-8730-502d8745d4d3",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.4,1.61,NA,99.97,192.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Ian Happ strikes out on a foul tip.",0,8,5,79,"bottom",9,"2023-05-28T02:13:14.717Z","2023-05-28T02:14:42.643Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,664023,"Ian Happ","/api/v1/people/664023","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.8,82,9,0.9,0.4229,7.2496,25.5988,-29.9854,2.0535,1.287,0.4468,1.7323,6.0172,-129.2684,-1.6244,-2.1729,50.0045,4.6594,3.4923,8.4,7.2,24,2614,112,NA,NA,NA,NA,NA,NA,FALSE,-32.3,2.2,-5,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718007,"2023-05-27",1,"2023-05-28T02:13:34.489Z","2023-05-28T02:13:37.732Z",TRUE,"pitch","8d74a4dd-3344-4f3a-9b48-f00262909991",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.4,1.61,NA,126.03,148.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Ian Happ strikes out on a foul tip.",0,8,5,79,"bottom",9,"2023-05-28T02:13:14.717Z","2023-05-28T02:14:42.643Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,664023,"Ian Happ","/api/v1/people/664023","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.8,88.5,2,0.91,0.3887,7.3838,31.2401,-15.7335,-7.119,8.1691,-0.2368,3.3394,7.9982,-140.7995,-0.5458,-2.1861,50.0034,4.5516,-14.3291,38.4,3.6,24,2589,231,NA,NA,NA,NA,NA,NA,FALSE,-14.3,14.9,11.3,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718007,"2023-05-27",0,"2023-05-28T02:13:17.204Z","2023-05-28T02:13:20.591Z",TRUE,"pitch","e7aa59ea-9eb3-4cd6-b077-c22051c66cd0",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.2882,1.6096,NA,159.06,192.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Ian Happ strikes out on a foul tip.",0,8,5,79,"bottom",9,"2023-05-28T02:13:14.717Z","2023-05-28T02:14:42.643Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,664023,"Ian Happ","/api/v1/people/664023","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89,81.9,13,0.89,0.422,7.2307,26.1537,-30.7431,1.1951,0.8413,-1.1035,1.7262,2.9694,-129.5985,-1.2585,-2.4178,50.0061,4.5584,2.04,4.8,7.2,24,2412,136,NA,NA,NA,NA,NA,NA,FALSE,-32.9,1.4,-2.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718007,"2023-05-27",0,"2023-05-28T02:12:38.078Z","2023-05-28T02:12:47.227Z",TRUE,"pitch","1700a9bb-5e4c-4d68-889a-4cff604e039a",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.47,1.61,NA,117.27,184.91,"ground_ball","soft","2",127.63,199.54,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Dansby Swanson grounds out softly, catcher Curt Casali to first baseman Spencer Steer. Nico Hoerner to 2nd.",0,8,5,78,"bottom",9,"2023-05-28T02:12:28.108Z","2023-05-28T02:12:47.227Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,621020,"Dansby Swanson","/api/v1/people/621020","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","RISP",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.2,81.7,8,0.87,0.4222,7.5707,27.2342,-28.1743,-0.159,2.345,-0.007,1.9951,6.1606,-129.7538,-1.2191,-2.3916,50.0015,4.6184,-0.2719,2.4,7.2,24,2600,145,NA,NA,NA,NA,NA,NA,TRUE,-30.2,4.2,-1.1,NA,NA,NA,NA,NA,TRUE,FALSE,643565,"Mike Tauchman","/api/v1/people/643565",663538,"Nico Hoerner","/api/v1/people/663538",NA,NA,NA
718007,"2023-05-27",3,"2023-05-28T02:11:46.219Z","2023-05-28T02:11:54.690Z",TRUE,"pitch","33efcb7e-302e-4f3c-9770-ad1ce00f303e",3,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,1,1,NA,NA,3.12,1.5,NA,120.8,158.14,"line_drive","medium","8",162.26,83.35,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Single","single","Nico Hoerner singles on a line drive to center fielder TJ Friedl. Mike Tauchman to 3rd.",0,8,5,77,"bottom",9,"2023-05-28T02:11:01.119Z","2023-05-28T02:11:54.690Z",TRUE,FALSE,FALSE,FALSE,33,1,1,1,663538,"Nico Hoerner","/api/v1/people/663538","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","RISP",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.1,86.9,2,0.9,0.3958,7.5281,30.3323,-17.9566,-6.4492,7.3276,-0.0998,2.9865,8.0762,-138.3095,-0.6618,-2.2173,50.0062,4.4312,-12.5201,31.2,4.8,24,2599,231,97.2,9,190,NA,NA,NA,FALSE,-16.9,13.3,10.1,NA,NA,NA,NA,NA,FALSE,FALSE,643565,"Mike Tauchman","/api/v1/people/643565",NA,NA,NA,663538,"Nico Hoerner","/api/v1/people/663538"
718007,"2023-05-27",2,"2023-05-28T02:11:29.011Z","2023-05-28T02:11:32.286Z",TRUE,"pitch","84ececd7-9e7d-41b5-94a8-8e95a5ae90e4",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,2.9416,1.4997,NA,39.18,209.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Single","single","Nico Hoerner singles on a line drive to center fielder TJ Friedl. Mike Tauchman to 3rd.",0,8,5,77,"bottom",9,"2023-05-28T02:11:01.119Z","2023-05-28T02:11:54.690Z",TRUE,FALSE,FALSE,FALSE,33,1,1,1,663538,"Nico Hoerner","/api/v1/people/663538","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","RISP",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.7,82.4,14,0.9,0.4233,7.7849,24.0294,-29.9977,1.0579,1.2805,2.0415,1.1009,10.4154,-128.8495,-2.6827,-2.1723,50.004,4.448,1.7956,7.2,7.2,24,2796,127,NA,NA,NA,NA,NA,NA,FALSE,-32.6,1.9,-4,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718007,"2023-05-27",0,"2023-05-28T02:11:15.214Z","2023-05-28T02:11:20.553Z",TRUE,"pitch","9643919a-6d54-4666-940f-7e84cc90a770",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.1196,1.4997,NA,148.68,191.67,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"77","atBat","Single","single","Nico Hoerner singles on a line drive to center fielder TJ Friedl. Mike Tauchman to 3rd.",0,8,5,77,"bottom",9,"2023-05-28T02:11:01.119Z","2023-05-28T02:11:54.690Z",TRUE,FALSE,FALSE,FALSE,33,1,1,1,663538,"Nico Hoerner","/api/v1/people/663538","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","RISP",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.1,87,13,0.9,0.3959,7.8332,30.2558,-16.3996,-7.636,8.1322,-0.8312,1.7447,7.2082,-138.2536,-4.1737,-2.4776,50.001,4.3714,-14.8097,37.2,4.8,24,2464,239,NA,NA,NA,NA,NA,NA,FALSE,-16.2,14,12.4,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718007,"2023-05-27",1,"2023-05-28T02:11:31.901Z","2023-05-28T02:11:32.901Z",FALSE,"action",NA,NA,"Mike Tauchman advances to 2nd on defensive indifference.","Defensive Indiff",8,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,1,1,643565,"/api/v1/people/643565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9643919a-6d54-4666-940f-7e84cc90a770","defensive_indiff",NA,NA,NA,NA,NA,NA,"77","atBat","Single","single","Nico Hoerner singles on a line drive to center fielder TJ Friedl. Mike Tauchman to 3rd.",0,8,5,77,"bottom",9,"2023-05-28T02:11:01.119Z","2023-05-28T02:11:54.690Z",TRUE,FALSE,FALSE,FALSE,33,1,1,1,663538,"Nico Hoerner","/api/v1/people/663538","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","RISP",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718007,"2023-05-27",0,"2023-05-28T02:10:11.427Z","2023-05-28T02:10:19.990Z",TRUE,"pitch","a2f90afe-6392-4a17-8456-972bd88642f0",1,"Hit By Pitch",NA,NA,NA,NA,FALSE,"H","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"H","Hit By Pitch",1,0,1,NA,NA,3.46,1.66,NA,26.08,196.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Hit By Pitch","hit_by_pitch","Mike Tauchman hit by pitch.",0,8,5,76,"bottom",9,"2023-05-28T02:10:10.693Z","2023-05-28T02:10:19.990Z",TRUE,FALSE,FALSE,FALSE,11,1,0,1,643565,"Mike Tauchman","/api/v1/people/643565","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.4,81.6,14,0.9,0.4259,7.7068,25.3024,-29.4905,0.6638,1.6035,2.3852,1.5763,11.495,-128.363,-1.7075,-2.228,50.0061,4.535,1.1122,6,7.2,24,2669,128,NA,NA,NA,NA,NA,NA,FALSE,-32.3,2.8,-3.6,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,643565,"Mike Tauchman","/api/v1/people/643565"
718007,"2023-05-27",9,"2023-05-28T02:09:43.482Z","2023-05-28T02:09:46.835Z",TRUE,"pitch","e27711be-7024-4e87-b8ba-97aee934b74d",7,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",3,3,0,NA,NA,2.9,1.42,NA,78.75,184.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Miles Mastrobuoni strikes out on a foul tip.",0,8,5,75,"bottom",9,"2023-05-28T02:07:51.651Z","2023-05-28T02:09:46.835Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,670156,"Miles Mastrobuoni","/api/v1/people/670156","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.4,80.2,14,0.9,0.4312,7.4041,26.1939,-31.5615,2.3389,0.3761,1.0035,2.006,7.3932,-127.0681,-0.2187,-2.2485,50.0033,4.6021,3.8221,9.6,8.4,24,2588,137,NA,NA,NA,NA,NA,NA,TRUE,-35,0.8,-5.9,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718007,"2023-05-27",8,"2023-05-28T02:09:22.186Z","2023-05-28T02:09:25.897Z",TRUE,"pitch","b4f3eae4-92ce-45f6-a4d3-3945ef1269c9",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,0,NA,NA,2.9,1.42,NA,95.92,190.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Miles Mastrobuoni strikes out on a foul tip.",0,8,5,75,"bottom",9,"2023-05-28T02:07:51.651Z","2023-05-28T02:09:46.835Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,670156,"Miles Mastrobuoni","/api/v1/people/670156","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.4,80.2,9,0.9,0.4311,7.6739,26.5171,-31.1385,1.1672,0.6313,0.5531,1.8019,7.0758,-127.1411,-0.7617,-2.4196,50.001,4.5805,1.906,6,8.4,24,2555,131,NA,NA,NA,NA,NA,NA,FALSE,-34.7,1.2,-3.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718007,"2023-05-27",6,"2023-05-28T02:08:53.747Z","2023-05-28T02:08:57.067Z",TRUE,"pitch","5156513e-702b-4dc1-a8d1-81fea507f00f",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,2,0,NA,NA,2.8329,1.4197,NA,145.73,174.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Miles Mastrobuoni strikes out on a foul tip.",0,8,5,75,"bottom",9,"2023-05-28T02:07:51.651Z","2023-05-28T02:09:46.835Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,670156,"Miles Mastrobuoni","/api/v1/people/670156","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.8,86.9,4,0.91,0.3943,7.6098,33.2583,-15.9864,-6.3133,8.2968,-0.7537,2.3931,6.827,-139.2762,-2.5159,-2.4244,50.0031,4.3739,-12.3193,32.4,3.6,24,2592,235,NA,NA,NA,NA,NA,NA,FALSE,-15.4,14.6,10,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718007,"2023-05-27",5,"2023-05-28T02:08:38.439Z","2023-05-28T02:08:42.607Z",TRUE,"pitch","8e5738d8-e0bf-455f-a9c8-44d3af6dab11",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,0,NA,NA,2.8329,1.4197,NA,73.18,191.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Miles Mastrobuoni strikes out on a foul tip.",0,8,5,75,"bottom",9,"2023-05-28T02:07:51.651Z","2023-05-28T02:09:46.835Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,670156,"Miles Mastrobuoni","/api/v1/people/670156","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.6,87.1,14,0.9,0.3952,7.7919,31.6824,-14.7474,-6.8224,8.964,1.1496,1.7518,11.6761,-138.7026,-4.5056,-2.2325,50.001,4.384,-13.2618,33.6,3.6,24,2594,237,NA,NA,NA,NA,NA,NA,FALSE,-14.8,15.4,9.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718007,"2023-05-27",4,"2023-05-28T02:08:22.583Z","2023-05-28T02:08:26.173Z",TRUE,"pitch","fd25cc04-ad5d-4c2e-94de-3e8895529158",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,0,NA,NA,2.7218,1.4197,NA,55.98,205.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Miles Mastrobuoni strikes out on a foul tip.",0,8,5,75,"bottom",9,"2023-05-28T02:07:51.651Z","2023-05-28T02:09:46.835Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,670156,"Miles Mastrobuoni","/api/v1/people/670156","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.1,80.1,14,0.9,0.433,7.8581,26.1429,-29.8115,1.6399,1.461,1.6008,1.2273,9.2634,-126.5707,-2.2157,-2.3217,50.0059,4.5044,2.6561,8.4,7.2,24,2657,133,NA,NA,NA,NA,NA,NA,FALSE,-33.8,2.4,-5.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
