"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716641,"2023-09-10",2,"2023-09-10T20:25:22.344Z","2023-09-10T20:25:31.877Z",TRUE,"pitch","2d661d21-8c54-424e-8cad-5697696d3faa",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.46,1.64,NA,116.82,164.16,"fly_ball","medium","8",157.8,67.98,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Maikel Garcia flies out to center fielder Kevin Kiermaier.",0,2,5,73,"top",9,"2023-09-10T20:24:24.900Z","2023-09-10T20:25:31.877Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,672580,"Maikel Garcia","/api/v1/people/672580","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.8,81.4,5,0.91,0.4298,7.2618,21.0751,-35.2142,2.6375,-1.8363,0.0048,2.7637,5.3696,-126.4944,-1.2839,-2.4722,50.0054,6.0519,4.3579,8.4,8.4,24,1873,91,96.6,36,336,NA,NA,NA,TRUE,-39,-3.4,-5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716641,"2023-09-10",1,"2023-09-10T20:25:03.183Z","2023-09-10T20:25:08.051Z",TRUE,"pitch","0858d11d-5629-47a9-94ea-561bff01e626",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.5068,1.6577,NA,155.51,136.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Maikel Garcia flies out to center fielder Kevin Kiermaier.",0,2,5,73,"top",9,"2023-09-10T20:24:24.900Z","2023-09-10T20:25:31.877Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,672580,"Maikel Garcia","/api/v1/people/672580","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.4,88.8,11,0.86,0.3889,7.5186,29.5011,-18.1848,-0.8156,6.9537,-1.0104,3.7722,3.4514,-140.42,-3.504,-2.1454,50.006,6.2079,-1.642,2.4,3.6,24,2226,194,NA,NA,NA,NA,NA,NA,FALSE,-17,12.1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716641,"2023-09-10",0,"2023-09-10T20:24:46.516Z","2023-09-10T20:24:49.944Z",TRUE,"pitch","28c36655-f57e-467a-b83b-1d37fd3df091",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.4841,1.6351,NA,91.22,150.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Maikel Garcia flies out to center fielder Kevin Kiermaier.",0,2,5,73,"top",9,"2023-09-10T20:24:24.900Z","2023-09-10T20:25:31.877Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,672580,"Maikel Garcia","/api/v1/people/672580","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,88.7,3,0.86,0.3897,7.4838,30.0947,-14.9131,-1.513,8.6157,0.6762,3.2628,8.8087,-140.2684,-5.1471,-2.3009,50.0041,6.0853,-3.0325,4.8,3.6,24,2316,199,NA,NA,NA,NA,NA,NA,FALSE,-14.5,14.8,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716641,"2023-09-10",7,"2023-09-10T20:24:15.914Z","2023-09-10T20:24:21.419Z",TRUE,"pitch","c6040dc8-4cbf-4ce7-b88c-084fb3c67c2a",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,1,NA,NA,3.48,1.76,NA,103.25,199.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nelson Velazquez strikes out swinging.",0,2,5,72,"top",9,"2023-09-10T20:22:42.104Z","2023-09-10T20:24:21.419Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,676369,"Nelson Velázquez","/api/v1/people/676369","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.7,82.8,14,0.9,0.4223,7.3063,24.1687,-35.6869,2.2263,-2.0582,0.3607,1.4634,5.5602,-129.1687,-5.0545,-2.0996,50.001,6.1558,3.8022,7.2,8.4,24,2124,78,NA,NA,NA,NA,NA,NA,TRUE,-39,-4.6,-5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,671221,"Drew Waters","/api/v1/people/671221",679845,"Nick Loftin","/api/v1/people/679845",658668,"Edward Olivares","/api/v1/people/658668"
716641,"2023-09-10",6,"2023-09-10T20:23:52.280Z","2023-09-10T20:23:55.686Z",TRUE,"pitch","1da72478-fb48-450d-bd6a-c380521733c5",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,1,NA,NA,3.48,1.76,NA,115.13,200.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nelson Velazquez strikes out swinging.",0,2,5,72,"top",9,"2023-09-10T20:22:42.104Z","2023-09-10T20:24:21.419Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,676369,"Nelson Velázquez","/api/v1/people/676369","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.9,80.5,14,0.91,0.4353,7.3908,21.6508,-34.4608,2.0305,-1.4173,0.0491,1.4189,5.0956,-125.1158,-4.4347,-2.2657,50.0055,5.9921,3.268,6,8.4,24,2155,71,NA,NA,NA,NA,NA,NA,FALSE,-39.8,-3.2,-4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716641,"2023-09-10",5,"2023-09-10T20:23:32.487Z","2023-09-10T20:23:35.792Z",TRUE,"pitch","75ee5db9-7a98-44bc-93d7-6b52b935a827",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,1,NA,NA,3.48,1.76,NA,81.97,178.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nelson Velazquez strikes out swinging.",0,2,5,72,"top",9,"2023-09-10T20:22:42.104Z","2023-09-10T20:24:21.419Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,676369,"Nelson Velázquez","/api/v1/people/676369","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.5,79.5,14,0.91,0.4385,7.4278,22.8458,-33.1472,2.0714,-0.6159,0.9191,2.2292,7.0945,-124.4807,-2.6857,-2.2264,50.0015,6.0414,3.2796,7.2,8.4,24,2227,64,NA,NA,NA,NA,NA,NA,FALSE,-38.6,-1.4,-5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716641,"2023-09-10",4,"2023-09-10T20:23:15.974Z","2023-09-10T20:23:20.221Z",TRUE,"pitch","36a4e4dd-3d91-4bd8-b95b-edd67392c832",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.5976,1.7937,NA,74.69,165.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nelson Velazquez strikes out swinging.",0,2,5,72,"top",9,"2023-09-10T20:22:42.104Z","2023-09-10T20:24:21.419Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,676369,"Nelson Velázquez","/api/v1/people/676369","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.2,89.2,12,0.84,0.3897,7.2979,27.0936,-16.022,-1.1413,8.0456,1.1101,2.7036,10.5166,-139.7637,-5.6127,-2.5296,50.0064,5.7649,-2.2942,1.2,3.6,24,2385,196,NA,NA,NA,NA,NA,NA,FALSE,-15.6,13.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716641,"2023-09-10",3,"2023-09-10T20:22:58.200Z","2023-09-10T20:23:01.741Z",TRUE,"pitch","e08224d7-e36b-4261-ad67-06b60737ec5a",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,1,NA,NA,3.48,1.76,NA,100.73,166.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nelson Velazquez strikes out swinging.",0,2,5,72,"top",9,"2023-09-10T20:22:42.104Z","2023-09-10T20:24:21.419Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,676369,"Nelson Velázquez","/api/v1/people/676369","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.6,89.1,6,0.87,0.3887,7.3514,28.7706,-11.7585,-1.589,10.1301,0.4269,2.659,9.1747,-140.3549,-6.2775,-2.6636,50.0009,5.6744,-3.2024,6,2.4,24,2328,209,NA,NA,NA,NA,NA,NA,FALSE,-11.8,17.4,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716641,"2023-09-10",2,"2023-09-10T20:22:44.470Z","2023-09-10T20:22:48.060Z",TRUE,"pitch","5f9908ca-67c1-49e7-9c27-5e1258997563",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.5181,1.7144,NA,124.28,130.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nelson Velazquez strikes out swinging.",0,2,5,72,"top",9,"2023-09-10T20:22:42.104Z","2023-09-10T20:24:21.419Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,676369,"Nelson Velázquez","/api/v1/people/676369","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.2,88.2,11,0.86,0.3907,7.4157,30.6634,-16.7795,-1.2441,7.7288,-0.191,4.0206,6.7522,-140.0131,-2.4753,-2.4689,50.003,6.0101,-2.4795,3.6,3.6,24,2242,199,NA,NA,NA,NA,NA,NA,FALSE,-15.7,13.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716641,"2023-09-10",0,"2023-09-10T20:21:50.099Z","2023-09-10T20:22:24.215Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",2,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nelson Velazquez strikes out swinging.",0,2,5,72,"top",9,"2023-09-10T20:22:42.104Z","2023-09-10T20:24:21.419Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,676369,"Nelson Velázquez","/api/v1/people/676369","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716641,"2023-09-10",1,"2023-09-10T20:22:24.215Z","2023-09-10T20:22:44.470Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Nelson Velazquez replaces Kyle Isbel.","Offensive Substitution",2,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,676369,"/api/v1/people/676369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","72","atBat","Strikeout","strikeout","Nelson Velazquez strikes out swinging.",0,2,5,72,"top",9,"2023-09-10T20:22:42.104Z","2023-09-10T20:24:21.419Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,676369,"Nelson Velázquez","/api/v1/people/676369","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,664728,"/api/v1/people/664728",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716641,"2023-09-10",4,"2023-09-10T20:21:16.999Z","2023-09-10T20:21:22.059Z",TRUE,"pitch","6017e7e8-dcd4-4a46-9cc6-2e90c840d9fb",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,1,1,NA,NA,3.5635,1.6237,NA,160.1,145.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Walk","walk","Drew Waters walks.",0,2,5,71,"top",9,"2023-09-10T20:20:03.573Z","2023-09-10T20:21:22.059Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,671221,"Drew Waters","/api/v1/people/671221","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,88.5,11,0.88,0.3893,7.251,30.3625,-12.9384,-2.72,9.5843,-1.1307,3.4432,5.7597,-140.4258,-4.1157,-2.8505,50.0001,5.7631,-5.4581,16.8,2.4,24,2313,209,NA,NA,NA,NA,NA,NA,FALSE,-12.5,16.8,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,671221,"Drew Waters","/api/v1/people/671221",679845,"Nick Loftin","/api/v1/people/679845",658668,"Edward Olivares","/api/v1/people/658668"
716641,"2023-09-10",3,"2023-09-10T20:21:00.348Z","2023-09-10T20:21:05.069Z",TRUE,"pitch","33480add-93b2-47fa-92ed-de96aab104f5",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.5994,1.7144,NA,152.73,113.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Walk","walk","Drew Waters walks.",0,2,5,71,"top",9,"2023-09-10T20:20:03.573Z","2023-09-10T20:21:22.059Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,671221,"Drew Waters","/api/v1/people/671221","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,86.9,11,0.84,0.3959,7.2653,29.6578,-15.5981,-0.7877,8.5453,-0.9373,4.6465,5.2071,-138.1343,-0.757,-2.7413,50.0039,5.969,-1.5289,1.2,3.6,24,2268,197,NA,NA,NA,NA,NA,NA,FALSE,-14.8,15.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716641,"2023-09-10",2,"2023-09-10T20:20:39.555Z","2023-09-10T20:20:43.246Z",TRUE,"pitch","a0c60e46-42aa-4060-b26c-21872ba50c00",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,1,1,NA,NA,3.6,1.74,NA,113.57,135.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Walk","walk","Drew Waters walks.",0,2,5,71,"top",9,"2023-09-10T20:20:03.573Z","2023-09-10T20:21:22.059Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,671221,"Drew Waters","/api/v1/people/671221","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.1,85.7,12,0.85,0.4009,7.4444,30.8605,-18.7237,-3.9933,7.1186,0.09,3.8181,8.6331,-136.7529,-2.001,-2.5925,50.0028,5.8472,-7.5463,16.8,4.8,24,2268,197,NA,NA,NA,NA,NA,NA,FALSE,-18.4,12.6,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716641,"2023-09-10",1,"2023-09-10T20:20:24.820Z","2023-09-10T20:20:28.390Z",TRUE,"pitch","bb87c620-89f7-48f9-8b38-1c4373817c5f",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.6316,1.6691,NA,77.1,194.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Walk","walk","Drew Waters walks.",0,2,5,71,"top",9,"2023-09-10T20:20:03.573Z","2023-09-10T20:21:22.059Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,671221,"Drew Waters","/api/v1/people/671221","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.9,79.5,14,0.91,0.4385,7.3326,24.7495,-38.5875,0.8999,-4.0608,1.0468,1.6396,8.9908,-124.8352,-2.6802,-2.7156,50.0004,5.8985,1.4215,4.8,9.6,24,2125,71,NA,NA,NA,NA,NA,NA,FALSE,-44.9,-7.7,-3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716641,"2023-09-10",0,"2023-09-10T20:20:09.369Z","2023-09-10T20:20:12.547Z",TRUE,"pitch","dc7834da-d45c-4d1d-bda4-1d9f54b781d0",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.6543,1.6691,NA,74.32,200.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Walk","walk","Drew Waters walks.",0,2,5,71,"top",9,"2023-09-10T20:20:03.573Z","2023-09-10T20:21:22.059Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,671221,"Drew Waters","/api/v1/people/671221","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.9,81.6,14,0.9,0.4279,7.2334,25.4287,-38.4473,0.6197,-3.7745,1.1197,1.4183,8.6033,-127.8166,-3.9829,-2.3653,50.0055,6.0042,1.0279,3.6,9.6,24,2201,67,NA,NA,NA,NA,NA,NA,FALSE,-42.8,-7.6,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
