"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718021,"2023-05-26",3,"2023-05-27T01:22:34.742Z","2023-05-27T01:22:42.644Z",TRUE,"pitch","e6a3b67e-a924-4d21-a829-71e65c3cd47f",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.62,1.72,NA,146.2,177.99,"fly_ball","medium","8",146.59,52.85,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Flyout","field_out","Riley Greene flies out to center fielder Adam Haseley.",0,12,3,84,"bottom",9,"2023-05-27T01:21:30.763Z","2023-05-27T01:22:42.644Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,682985,"Riley Greene","/api/v1/people/682985","L","Left",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",84.8,78.3,7,0.92,0.4426,5.6546,23.2369,-28.004,-9.2111,2.6862,-0.766,2.2514,4.1518,-123.4717,-2.9179,-1.2672,50.0035,5.7906,-14.3059,25.2,8.4,24,1519,246,95.5,25,366,NA,NA,NA,TRUE,-33.4,4.4,15.8,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718021,"2023-05-26",2,"2023-05-27T01:22:15.024Z","2023-05-27T01:22:18.876Z",TRUE,"pitch","5f9fb63c-f6bc-4cc2-9d6e-5e5e481d6563",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.62,1.72,NA,101.36,185.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Flyout","field_out","Riley Greene flies out to center fielder Adam Haseley.",0,12,3,84,"bottom",9,"2023-05-27T01:21:30.763Z","2023-05-27T01:22:42.644Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,682985,"Riley Greene","/api/v1/people/682985","L","Left",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.2,85.1,9,0.89,0.4045,5.7187,30.2324,-12.6535,-3.0618,10.5188,0.4104,1.9637,4.98,-135.5133,-7.6616,-1.0552,50.0014,5.7158,-5.6816,18,3.6,24,2322,211,NA,NA,NA,NA,NA,NA,FALSE,-14,17.5,4.4,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718021,"2023-05-26",1,"2023-05-27T01:21:59.586Z","2023-05-27T01:22:04.336Z",TRUE,"pitch","75c0cf53-42b9-4ba7-b97a-fb2677fc147a",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.6197,1.7198,NA,170.21,182.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Flyout","field_out","Riley Greene flies out to center fielder Adam Haseley.",0,12,3,84,"bottom",9,"2023-05-27T01:21:30.763Z","2023-05-27T01:22:42.644Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,682985,"Riley Greene","/api/v1/people/682985","L","Left",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",85.8,78.9,13,0.8,0.4381,5.818,25.0178,-24.1872,-7.9084,5.044,-1.396,2.0792,2.286,-124.9859,-4.1206,-1.2946,50.0013,5.7336,-12.5201,26.4,7.2,24,1524,234,NA,NA,NA,NA,NA,NA,FALSE,-28.6,8.4,13.8,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718021,"2023-05-26",0,"2023-05-27T01:21:45.843Z","2023-05-27T01:21:50.882Z",TRUE,"pitch","9d038bea-66e7-46a9-84d7-67d9befc2eea",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.6197,1.7198,NA,113.93,168.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Flyout","field_out","Riley Greene flies out to center fielder Adam Haseley.",0,12,3,84,"bottom",9,"2023-05-27T01:21:30.763Z","2023-05-27T01:22:42.644Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,682985,"Riley Greene","/api/v1/people/682985","L","Left",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",75.8,69.3,5,0.9,0.4999,5.3778,22.5167,-45.0347,2.7017,-10.6242,0.0806,2.5957,0.7012,-110.25,2.209,-0.5937,50.0003,6.3911,3.2718,4.8,15.6,24,2582,13,NA,NA,NA,NA,NA,NA,FALSE,-66.4,-18.1,-5,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718021,"2023-05-26",4,"2023-05-27T01:21:15.878Z","2023-05-27T01:21:27.690Z",TRUE,"pitch","97ab390b-0090-4d90-aac4-5fc934695d25",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,1,2,NA,NA,3.3162,1.5198,NA,151.74,207.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Walk","walk","Zach McKinstry walks.",0,12,3,83,"bottom",9,"2023-05-27T01:20:07.306Z","2023-05-27T01:21:27.690Z",TRUE,FALSE,FALSE,FALSE,0,4,1,2,656716,"Zach McKinstry","/api/v1/people/656716","L","Left",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.1,84.5,13,0.89,0.409,5.6703,28.689,-13.1862,-3.9165,10.4534,-0.9115,1.1498,1.079,-133.8679,-9.8709,-0.8107,50.0048,5.8273,-7.1142,24,3.6,24,2137,205,NA,NA,NA,NA,NA,NA,FALSE,-15.2,17,6.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,656716,"Zach McKinstry","/api/v1/people/656716",NA,NA,NA,NA,NA,NA
718021,"2023-05-26",3,"2023-05-27T01:21:01.871Z","2023-05-27T01:21:06.796Z",TRUE,"pitch","d767ac7f-1261-447b-b15e-1514e2b6e300",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,2,NA,NA,3.2895,1.5198,NA,169.74,178.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Walk","walk","Zach McKinstry walks.",0,12,3,83,"bottom",9,"2023-05-27T01:20:07.306Z","2023-05-27T01:21:27.690Z",TRUE,FALSE,FALSE,FALSE,0,4,1,2,656716,"Zach McKinstry","/api/v1/people/656716","L","Left",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.4,85.1,13,0.9,0.404,5.5452,31.2675,-10.5811,-2.3185,11.6146,-1.3836,2.2206,-0.4708,-135.8604,-7.9873,-0.9068,50.0038,5.9441,-4.311,19.2,2.4,24,2352,205,NA,NA,NA,NA,NA,NA,FALSE,-12.1,19.4,4.3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,656716,"Zach McKinstry","/api/v1/people/656716",NA,NA,NA,NA,NA,NA
718021,"2023-05-26",2,"2023-05-27T01:20:46.940Z","2023-05-27T01:20:53.106Z",TRUE,"pitch","3198d66c-8f5a-445d-b5cf-6a00705c4ec9",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.2895,1.5198,NA,157.05,177.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Walk","walk","Zach McKinstry walks.",0,12,3,83,"bottom",9,"2023-05-27T01:20:07.306Z","2023-05-27T01:21:27.690Z",TRUE,FALSE,FALSE,FALSE,0,4,1,2,656716,"Zach McKinstry","/api/v1/people/656716","L","Left",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.2,83.9,13,0.89,0.4093,5.5823,30.6679,-12.9398,-3.5136,10.6168,-1.0507,2.278,1.585,-134.1483,-6.8588,-1.1947,50.001,5.8015,-6.3641,22.8,3.6,24,2269,207,NA,NA,NA,NA,NA,NA,FALSE,-14.5,17.9,6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,656716,"Zach McKinstry","/api/v1/people/656716",NA,NA,NA,NA,NA,NA
718021,"2023-05-26",1,"2023-05-27T01:20:30.554Z","2023-05-27T01:20:36.882Z",TRUE,"pitch","d9b30d77-b30e-4fe8-af5c-ffbb770a9562",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.1831,1.5198,NA,133.52,140.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Walk","walk","Zach McKinstry walks.",0,12,3,83,"bottom",9,"2023-05-27T01:20:07.306Z","2023-05-27T01:21:27.690Z",TRUE,FALSE,FALSE,FALSE,0,4,1,2,656716,"Zach McKinstry","/api/v1/people/656716","L","Left",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",75.3,68.4,11,0.91,0.5043,5.5452,22.8086,-46.3987,2.0839,-11.961,-0.4333,3.6364,0.0043,-109.435,4.5324,-0.7052,50.0022,6.5731,2.4784,3.6,15.6,24,2655,19,NA,NA,NA,NA,NA,NA,FALSE,-68.8,-19.7,-3.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,656716,"Zach McKinstry","/api/v1/people/656716",NA,NA,NA,NA,NA,NA
718021,"2023-05-26",0,"2023-05-27T01:20:14.443Z","2023-05-27T01:20:18.709Z",TRUE,"pitch","b6010e6a-43b7-485f-843a-a1dea5a0edae",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.2097,1.5198,NA,145.8,168.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Walk","walk","Zach McKinstry walks.",0,12,3,83,"bottom",9,"2023-05-27T01:20:07.306Z","2023-05-27T01:21:27.690Z",TRUE,FALSE,FALSE,FALSE,0,4,1,2,656716,"Zach McKinstry","/api/v1/people/656716","L","Left",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.6,85.3,4,0.9,0.4029,5.6687,31.3874,-11.633,-4.7492,10.9876,-0.7556,2.599,1.7417,-136.2272,-6.8892,-0.7881,50.0055,5.9741,-8.8808,32.4,3.6,24,2147,209,NA,NA,NA,NA,NA,NA,FALSE,-12.8,18.6,8.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,656716,"Zach McKinstry","/api/v1/people/656716",NA,NA,NA,NA,NA,NA
718021,"2023-05-26",2,"2023-05-27T01:19:41.487Z","2023-05-27T01:19:49.854Z",TRUE,"pitch","d5ae5a67-393b-437e-850c-2aaf8553406b",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,0,1,NA,NA,3.31,1.56,NA,120.28,176.17,"ground_ball","medium","6",102.73,148.42,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Groundout","field_out","Jake Rogers grounds out, shortstop Tim Anderson to first baseman Andrew Vaughn.",0,12,3,82,"bottom",9,"2023-05-27T01:18:58.314Z","2023-05-27T01:19:49.854Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,668670,"Jake Rogers","/api/v1/people/668670","R","Right",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.5,84,5,0.89,0.4109,5.7427,27.658,-11.5289,-2.8451,11.4615,-0.0862,2.3188,2.5271,-133.1383,-7.5361,-0.6764,50.0062,6.0142,-5.1264,19.2,3.6,24,2222,201,103.2,8,145,NA,NA,NA,TRUE,-13.2,19.4,4.7,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,656716,"Zach McKinstry","/api/v1/people/656716",NA,NA,NA,NA,NA,NA
718021,"2023-05-26",1,"2023-05-27T01:19:25.878Z","2023-05-27T01:19:32.713Z",TRUE,"pitch","e1add792-c05c-4562-b79d-63429a817e44",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.2298,1.5598,NA,172.37,132.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Groundout","field_out","Jake Rogers grounds out, shortstop Tim Anderson to first baseman Andrew Vaughn.",0,12,3,82,"bottom",9,"2023-05-27T01:18:58.314Z","2023-05-27T01:19:49.854Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,668670,"Jake Rogers","/api/v1/people/668670","R","Right",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.4,85.3,11,0.9,0.403,5.4757,30.1431,-11.7005,-3.9842,10.9461,-1.4527,3.9333,-0.0048,-135.9834,-3.5969,-0.9333,50.0057,6.0864,-7.4537,31.2,3.6,24,2309,205,NA,NA,NA,NA,NA,NA,FALSE,-12.1,19.2,7.2,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,656716,"Zach McKinstry","/api/v1/people/656716",NA,NA,NA,NA,NA,NA
718021,"2023-05-26",0,"2023-05-27T01:19:12.200Z","2023-05-27T01:19:15.851Z",TRUE,"pitch","83b018fb-a560-45a5-8816-8392dbd29c5a",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.2564,1.5598,NA,88.96,228.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Groundout","field_out","Jake Rogers grounds out, shortstop Tim Anderson to first baseman Andrew Vaughn.",0,12,3,82,"bottom",9,"2023-05-27T01:18:58.314Z","2023-05-27T01:19:49.854Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,668670,"Jake Rogers","/api/v1/people/668670","R","Right",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.6,85.3,14,0.9,0.4068,5.7164,27.1758,-9.771,-3.4493,12.183,0.7356,0.3839,4.5986,-134.2781,-12.6108,-0.5455,50.0053,5.819,-6.3442,24,2.4,24,2065,198,NA,NA,NA,NA,NA,NA,FALSE,-12.2,19.8,5.4,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,656716,"Zach McKinstry","/api/v1/people/656716",NA,NA,NA,NA,NA,NA
718021,"2023-05-26",3,"2023-05-27T01:18:43.058Z","2023-05-27T01:18:52.676Z",TRUE,"pitch","78829b3d-6a62-4387-8ac4-29a8dbbf09b2",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,0,NA,NA,3.42,1.71,NA,119.91,176.61,"line_drive","medium","8",123.87,67.07,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Lineout","field_out","Matt Vierling lines out to center fielder Adam Haseley.",0,12,3,81,"bottom",9,"2023-05-27T01:18:05.463Z","2023-05-27T01:18:52.676Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,663837,"Matt Vierling","/api/v1/people/663837","R","Right",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.9,78.8,5,0.91,0.4382,5.5938,25.8785,-27.9519,2.0752,2.6679,-0.0764,2.3026,1.7482,-125.1339,-3.3056,-1.0543,50.002,5.9373,3.2815,7.2,7.2,24,2276,178,93.1,19,329,NA,NA,NA,TRUE,-32.8,4.3,-4.2,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,656716,"Zach McKinstry","/api/v1/people/656716",NA,NA,NA,NA,NA,NA
718021,"2023-05-26",2,"2023-05-27T01:18:23.196Z","2023-05-27T01:18:28.590Z",TRUE,"pitch","3df91992-4b94-4be6-a11e-3dd3b7a17815",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.42,1.71,NA,113.87,195.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Lineout","field_out","Matt Vierling lines out to center fielder Adam Haseley.",0,12,3,81,"bottom",9,"2023-05-27T01:18:05.463Z","2023-05-27T01:18:52.676Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,663837,"Matt Vierling","/api/v1/people/663837","R","Right",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",75.7,69.3,8,0.91,0.5013,5.4786,23.2275,-46.4492,3.7143,-11.859,0.0822,1.592,0.5022,-110.1198,0.4651,-0.6317,50.0037,6.3738,4.47,6,15.6,24,2779,13,NA,NA,NA,NA,NA,NA,FALSE,-69.4,-20.9,-6.8,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,656716,"Zach McKinstry","/api/v1/people/656716",NA,NA,NA,NA,NA,NA
718021,"2023-05-26",1,"2023-05-27T01:18:07.820Z","2023-05-27T01:18:12.236Z",TRUE,"pitch","23e5486d-3551-4175-9701-a52099b1af69",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.3664,1.7098,NA,131.06,153.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Lineout","field_out","Matt Vierling lines out to center fielder Adam Haseley.",0,12,3,81,"bottom",9,"2023-05-27T01:18:05.463Z","2023-05-27T01:18:52.676Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,663837,"Matt Vierling","/api/v1/people/663837","R","Right",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.8,83.2,1,0.9,0.4117,5.5571,31.0924,-9.2945,-2.5927,12.7894,-0.3688,3.1434,2.0386,-133.489,-5.9303,-0.8089,50.0014,6.0761,-4.6377,21.6,2.4,24,2195,201,NA,NA,NA,NA,NA,NA,FALSE,-10.8,22,4.2,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,656716,"Zach McKinstry","/api/v1/people/656716",NA,NA,NA,NA,NA,NA
718021,"2023-05-26",0,"2023-05-27T01:17:50.619Z","2023-05-27T01:18:07.820Z",FALSE,"action",NA,NA,"Pitching Change: Jimmy Lambert replaces Reynaldo Lopez.","Pitching Substitution",12,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,669424,"/api/v1/people/669424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"81","atBat","Lineout","field_out","Matt Vierling lines out to center fielder Adam Haseley.",0,12,3,81,"bottom",9,"2023-05-27T01:18:05.463Z","2023-05-27T01:18:52.676Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,663837,"Matt Vierling","/api/v1/people/663837","R","Right",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Chicago White Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,FALSE,656716,"Zach McKinstry","/api/v1/people/656716",NA,NA,NA,NA,NA,NA
