"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
746413,"2024-03-31",0,"2024-03-31T21:05:56.593Z","2024-03-31T21:06:03.808Z",TRUE,"pitch","52c8bd8f-b519-45fc-993f-6a0ede54e3be",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.5,1.69,NA,148.66,177.59,"line_drive","medium","7",70.19,119.41,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Lineout","field_out","Kyle Tucker lines out to left fielder Alex Verdugo.",0,4,3,77,"bottom",9,"2024-03-31T21:05:15.832Z","2024-03-31T21:06:03.808Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,663656,"Kyle Tucker","/api/v1/people/663656","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98,89.2,13,2,0.3857,5.9087,35.5136,-23.0699,-9.9419,4.4648,-0.8306,2.2663,3.7311,-142.5037,-7.5159,-0.8723,50.0004,6.4164,-20.2591,38.4,6,24,2451,221,80.2,23,244,NA,NA,NA,TRUE,-22.1,6.6,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746413,"2024-03-31",5,"2024-03-31T21:04:53.616Z","2024-03-31T21:05:07.676Z",TRUE,"pitch","c8a8f92e-5ec5-4e8b-9ff2-ee6bd340469c",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,1,1,NA,NA,3.53,1.75,NA,131.57,159.11,"fly_ball","hard","8",99.02,45.93,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Yordan Alvarez flies out sharply to center fielder Aaron Judge. Mauricio Dubón to 3rd.",0,4,3,76,"bottom",9,"2024-03-31T21:03:13.893Z","2024-03-31T21:05:07.676Z",TRUE,FALSE,FALSE,TRUE,0,3,1,2,670541,"Yordan Alvarez","/api/v1/people/670541","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.2,89,4,2,0.3853,5.9734,35.9898,-17.945,-7.8031,6.9665,-0.3823,2.9508,3.829,-142.7289,-6.5878,-0.7351,50.0007,6.4385,-15.9323,37.2,4.8,24,2332,222,106.3,33,385,NA,NA,NA,TRUE,-17.4,11.3,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,514888,"Jose Altuve","/api/v1/people/514888",NA,NA,NA,643289,"Mauricio Dubón","/api/v1/people/643289",NA,NA,NA,NA
746413,"2024-03-31",4,"2024-03-31T21:04:34.869Z","2024-03-31T21:04:39.139Z",TRUE,"pitch","b80ba640-1d5c-4351-b996-9122953f31c7",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.4627,1.6953,NA,188.9,185.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Yordan Alvarez flies out sharply to center fielder Aaron Judge. Mauricio Dubón to 3rd.",0,4,3,76,"bottom",9,"2024-03-31T21:03:13.893Z","2024-03-31T21:05:07.676Z",TRUE,FALSE,FALSE,TRUE,0,3,1,2,670541,"Yordan Alvarez","/api/v1/people/670541","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.9,88.2,13,2,0.3903,5.8829,35.1567,-19.2913,-7.5182,6.4723,-1.8862,1.9739,-0.3851,-140.9198,-8.7817,-0.7721,50.0035,6.4018,-14.9614,34.8,4.8,24,2348,219,NA,NA,NA,NA,NA,NA,FALSE,-19.4,10,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746413,"2024-03-31",3,"2024-03-31T21:04:16.906Z","2024-03-31T21:04:21.564Z",TRUE,"pitch","e1039ea1-9f04-4355-830b-4607dd2f9f31",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.5242,1.781,NA,65.02,186.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Yordan Alvarez flies out sharply to center fielder Aaron Judge. Mauricio Dubón to 3rd.",0,4,3,76,"bottom",9,"2024-03-31T21:03:13.893Z","2024-03-31T21:05:07.676Z",TRUE,FALSE,FALSE,TRUE,0,3,1,2,670541,"Yordan Alvarez","/api/v1/people/670541","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.4,83.2,14,0.9,0.4194,5.9461,25.5046,-36.9009,0.6835,-2.7319,1.3637,1.9452,4.844,-130.2359,-4.9319,-0.6037,50.0045,6.6323,1.1812,3.6,8.4,24,2819,35,NA,NA,NA,NA,NA,NA,FALSE,-39.7,-5.8,-2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746413,"2024-03-31",2,"2024-03-31T21:03:35.632Z","2024-03-31T21:03:42.160Z",TRUE,"pitch","68b71acb-89e5-4e91-89c4-64f9c7254a84",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,1,NA,NA,3.53,1.75,NA,162.43,178.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Yordan Alvarez flies out sharply to center fielder Aaron Judge. Mauricio Dubón to 3rd.",0,4,3,76,"bottom",9,"2024-03-31T21:03:13.893Z","2024-03-31T21:05:07.676Z",TRUE,FALSE,FALSE,TRUE,0,3,1,2,670541,"Yordan Alvarez","/api/v1/people/670541","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.1,89,13,2,0.3859,5.9813,36.8256,-22.1947,-9.3611,4.9084,-1.1918,2.2393,2.1755,-142.6491,-7.6493,-0.755,50.0041,6.3851,-19.0411,37.2,6,24,2340,218,NA,NA,NA,NA,NA,NA,FALSE,-21.5,7.3,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746413,"2024-03-31",1,"2024-03-31T21:03:16.256Z","2024-03-31T21:03:21.670Z",TRUE,"pitch","61a67efc-5c3c-4072-b97e-4925ca16084e",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.5241,1.8065,NA,104.46,211.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Yordan Alvarez flies out sharply to center fielder Aaron Judge. Mauricio Dubón to 3rd.",0,4,3,76,"bottom",9,"2024-03-31T21:03:13.893Z","2024-03-31T21:05:07.676Z",TRUE,FALSE,FALSE,TRUE,0,3,1,2,670541,"Yordan Alvarez","/api/v1/people/670541","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.3,88.3,14,2,0.39,5.9831,36.1117,-19.7971,-9.5908,6.2148,0.3291,1.0179,6.2362,-141.1678,-11.1223,-0.6778,50.0043,6.3199,-19.1021,38.4,6,24,2391,230,NA,NA,NA,NA,NA,NA,FALSE,-20.5,8.8,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746413,"2024-03-31",0,"2024-03-31T21:02:21.792Z","2024-03-31T21:03:16.256Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",4,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Yordan Alvarez flies out sharply to center fielder Aaron Judge. Mauricio Dubón to 3rd.",0,4,3,76,"bottom",9,"2024-03-31T21:03:13.893Z","2024-03-31T21:05:07.676Z",TRUE,FALSE,FALSE,TRUE,0,3,1,2,670541,"Yordan Alvarez","/api/v1/people/670541","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746413,"2024-03-31",5,"2024-03-31T21:01:44.508Z","2024-03-31T21:01:52.815Z",TRUE,"pitch","87ef264d-cf38-41f3-bac7-aff7d3914567",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,0,NA,NA,2.85,1.3,NA,129.99,188.78,"ground_ball","medium","5",102.84,169.83,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Forceout","force_out","Jose Altuve grounds into a force out, fielded by third baseman Jon Berti. Jeremy Peña out at 3rd. Mauricio Dubón to 2nd. Jose Altuve to 1st.",0,4,3,75,"bottom",9,"2024-03-31T21:00:28.685Z","2024-03-31T21:01:52.815Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,514888,"Jose Altuve","/api/v1/people/514888","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.6,89.2,4,2,0.3869,5.9363,34.1531,-23.4752,-9.7729,4.2942,-0.3408,1.8518,4.364,-141.8643,-8.6788,-0.6341,50.0055,6.4615,-19.8113,36,6,24,2305,219,89.2,-7,18,NA,NA,NA,TRUE,-22.8,6.1,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,514888,"Jose Altuve","/api/v1/people/514888",643289,"Mauricio Dubón","/api/v1/people/643289",NA,NA,NA,NA,NA,NA,NA
746413,"2024-03-31",4,"2024-03-31T21:01:22.242Z","2024-03-31T21:01:25.819Z",TRUE,"pitch","a57eaeb6-d0b9-4286-b757-d508b5ac2da5",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,0,NA,NA,2.7426,1.405,NA,112.4,181.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Forceout","force_out","Jose Altuve grounds into a force out, fielded by third baseman Jon Berti. Jeremy Peña out at 3rd. Mauricio Dubón to 2nd. Jose Altuve to 1st.",0,4,3,75,"bottom",9,"2024-03-31T21:00:28.685Z","2024-03-31T21:01:52.815Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,514888,"Jose Altuve","/api/v1/people/514888","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.3,88.8,5,0.91,0.3883,6.0214,34.316,-28.7016,-10.7191,1.7244,0.1207,2.1247,5.9953,-141.4348,-6.8885,-0.6416,50.0023,6.45,-21.5672,33.6,7.2,24,2251,222,NA,NA,NA,NA,NA,NA,FALSE,-27.4,1.8,18.1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746413,"2024-03-31",3,"2024-03-31T21:01:03.653Z","2024-03-31T21:01:07.822Z",TRUE,"pitch","c236eefc-b7f8-4c92-9d7f-82631e150f58",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,0,NA,NA,2.8206,1.409,NA,113.38,189.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Forceout","force_out","Jose Altuve grounds into a force out, fielded by third baseman Jon Berti. Jeremy Peña out at 3rd. Mauricio Dubón to 2nd. Jose Altuve to 1st.",0,4,3,75,"bottom",9,"2024-03-31T21:00:28.685Z","2024-03-31T21:01:52.815Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,514888,"Jose Altuve","/api/v1/people/514888","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.6,89.1,8,0.91,0.3874,5.9406,34.1984,-24.5106,-11.2356,3.7882,0.095,1.8179,5.8208,-141.7258,-8.4946,-0.5323,50.0029,6.4349,-22.7195,38.4,7.2,24,2274,224,NA,NA,NA,NA,NA,NA,FALSE,-23.8,5.2,19.1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746413,"2024-03-31",2,"2024-03-31T21:00:45.290Z","2024-03-31T21:00:49.284Z",TRUE,"pitch","1f7a190d-c0b0-445b-8d7a-bf94e539d8f4",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,2.8047,1.4299,NA,61.88,213.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Forceout","force_out","Jose Altuve grounds into a force out, fielded by third baseman Jon Berti. Jeremy Peña out at 3rd. Mauricio Dubón to 2nd. Jose Altuve to 1st.",0,4,3,75,"bottom",9,"2024-03-31T21:00:28.685Z","2024-03-31T21:01:52.815Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,514888,"Jose Altuve","/api/v1/people/514888","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84,77.5,14,0.91,0.4495,5.8243,25.641,-33.5728,8.7592,-0.9323,1.4461,0.9243,2.8312,-122.1681,-6.074,-0.8678,50.0025,6.3526,13.1468,21.6,9.6,24,2820,37,NA,NA,NA,NA,NA,NA,FALSE,-42,-3,-16.6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746413,"2024-03-31",0,"2024-03-31T21:00:03.623Z","2024-03-31T21:00:28.685Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Mauricio Dubón replaces Victor Caratini.","Offensive Substitution",4,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,643289,"/api/v1/people/643289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","902","75","atBat","Forceout","force_out","Jose Altuve grounds into a force out, fielded by third baseman Jon Berti. Jeremy Peña out at 3rd. Mauricio Dubón to 2nd. Jose Altuve to 1st.",0,4,3,75,"bottom",9,"2024-03-31T21:00:28.685Z","2024-03-31T21:01:52.815Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,514888,"Jose Altuve","/api/v1/people/514888","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,605170,"/api/v1/people/605170",1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746413,"2024-03-31",1,"2024-03-31T21:00:28.685Z","2024-03-31T21:00:33.685Z",FALSE,"stepoff","cea4ed20-7fee-40b6-a5e1-96daddd89574",NA,"Pitcher Step Off",NA,NA,NA,NA,FALSE,"PSO",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Forceout","force_out","Jose Altuve grounds into a force out, fielded by third baseman Jon Berti. Jeremy Peña out at 3rd. Mauricio Dubón to 2nd. Jose Altuve to 1st.",0,4,3,75,"bottom",9,"2024-03-31T21:00:28.685Z","2024-03-31T21:01:52.815Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,514888,"Jose Altuve","/api/v1/people/514888","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746413,"2024-03-31",3,"2024-03-31T20:59:22.111Z","2024-03-31T20:59:32.166Z",TRUE,"pitch","62782bfb-dc90-4dc5-9b33-77473f761adf",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,0,0,NA,NA,3.34,1.5,NA,111.84,183.23,"ground_ball","medium","9",164.69,127.25,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Single","single","Victor Caratini singles on a ground ball to right fielder Juan Soto. Jeremy Peña to 2nd.",0,4,3,74,"bottom",9,"2024-03-31T20:59:01.785Z","2024-03-31T20:59:32.166Z",TRUE,FALSE,FALSE,FALSE,33,1,0,0,605170,"Victor Caratini","/api/v1/people/605170","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.3,85.9,8,0.92,0.3987,5.8765,36.7728,-28.9113,-11.168,1.7192,0.1353,2.0575,6.4896,-138.4566,-6.407,-0.8133,50.0062,6.3898,-21.2464,32.4,7.2,24,2235,227,92.6,2,61,NA,NA,NA,FALSE,-29,1.7,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,605170,"Victor Caratini","/api/v1/people/605170",665161,"Jeremy Peña","/api/v1/people/665161",NA,NA,NA,NA,NA,NA,NA
746413,"2024-03-31",2,"2024-03-31T20:59:04.041Z","2024-03-31T20:59:09.019Z",TRUE,"pitch","5497884e-7943-45f0-b61b-310cbb664626",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.5024,1.6562,NA,157.92,167.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Single","single","Victor Caratini singles on a ground ball to right fielder Juan Soto. Jeremy Peña to 2nd.",0,4,3,74,"bottom",9,"2024-03-31T20:59:01.785Z","2024-03-31T20:59:32.166Z",TRUE,FALSE,FALSE,FALSE,33,1,0,0,605170,"Victor Caratini","/api/v1/people/605170","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.1,87,11,0.91,0.3944,5.8283,35.8865,-26.1518,-10.969,3.0943,-1.0736,2.6455,3.5168,-139.6865,-5.7744,-0.9354,50.0046,6.4941,-21.3514,36,7.2,24,2288,231,NA,NA,NA,NA,NA,NA,FALSE,-25.6,4.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746413,"2024-03-31",0,"2024-03-31T20:57:55.457Z","2024-03-31T20:58:33.032Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Victor Caratini replaces Jake Meyers.","Offensive Substitution",4,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,605170,"/api/v1/people/605170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","74","atBat","Single","single","Victor Caratini singles on a ground ball to right fielder Juan Soto. Jeremy Peña to 2nd.",0,4,3,74,"bottom",9,"2024-03-31T20:59:01.785Z","2024-03-31T20:59:32.166Z",TRUE,FALSE,FALSE,FALSE,33,1,0,0,605170,"Victor Caratini","/api/v1/people/605170","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,676694,"/api/v1/people/676694",NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
