"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717158,"2023-08-02",0,"2023-08-02T22:06:11.303Z","2023-08-02T22:06:19.183Z",TRUE,"pitch","6be02d9d-f56b-43f9-9c15-641e06e46b99",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.29,1.6,NA,135.13,178.34,"fly_ball","medium","8",113.01,63.7,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Flyout","field_out","Jurickson Profar flies out to center fielder Trent Grisham.",0,11,1,80,"bottom",9,"2023-08-02T22:06:05.942Z","2023-08-02T22:06:19.183Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,595777,"Jurickson Profar","/api/v1/people/595777","L","Left",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.5,91.6,4,0.91,0.3798,6.8055,27.5054,-19.5627,-7.5856,5.9629,-0.4757,2.2386,8.1225,-143.2461,-7.4299,-2.3382,50.0042,6.0516,-16.0494,34.8,4.8,24,2204,212,85.5,30,339,NA,NA,NA,TRUE,-18.1,9.7,12.5,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717158,"2023-08-02",3,"2023-08-02T22:05:44.224Z","2023-08-02T22:05:50.522Z",TRUE,"pitch","4fcf3824-f65a-4d1e-8db5-7844bff46ad0",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,1,NA,NA,3.45,1.57,NA,114.73,203.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Austin Wynns strikes out swinging.",0,11,1,79,"bottom",9,"2023-08-02T22:04:59.148Z","2023-08-02T22:05:50.522Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,642851,"Austin Wynns","/api/v1/people/642851","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.5,77.8,14,0.89,0.4491,6.7167,22.1809,-31.7191,3.625,0.3015,0.0596,1.3044,5.1842,-121.6256,-4.7424,-2.5644,50.0035,6.0072,5.4707,10.8,8.4,24,2557,64,NA,NA,NA,NA,NA,NA,TRUE,-39.2,-0.2,-7.7,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,669911,"Michael Toglia","/api/v1/people/669911",686668,"Brenton Doyle","/api/v1/people/686668",660707,"Elehuris Montero","/api/v1/people/660707"
717158,"2023-08-02",2,"2023-08-02T22:05:20.800Z","2023-08-02T22:05:25.275Z",TRUE,"pitch","ab9fc78a-2057-41a1-a43a-a5adff05a3e1",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.45,1.57,NA,131.09,172.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Austin Wynns strikes out swinging.",0,11,1,79,"bottom",9,"2023-08-02T22:04:59.148Z","2023-08-02T22:05:50.522Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,642851,"Austin Wynns","/api/v1/people/642851","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98,91.8,4,0.8,0.3805,6.9147,24.9301,-19.8406,-6.1823,5.8398,-0.3696,2.4562,8.1039,-142.58,-6.9911,-2.412,50.0022,6.1402,-13.0542,28.8,4.8,24,2159,207,NA,NA,NA,NA,NA,NA,FALSE,-18.2,9.7,10.1,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717158,"2023-08-02",1,"2023-08-02T22:05:01.394Z","2023-08-02T22:05:05.223Z",TRUE,"pitch","8f5ec0b4-e92d-47d6-bd00-f13f86df6dbf",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.45,1.57,NA,152.64,161.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Austin Wynns strikes out swinging.",0,11,1,79,"bottom",9,"2023-08-02T22:04:59.148Z","2023-08-02T22:05:50.522Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,642851,"Austin Wynns","/api/v1/people/642851","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.1,90.9,11,0.94,0.3837,6.7888,24.943,-23.6901,-7.3218,4.0911,-0.9351,2.8716,6.8192,-141.4483,-5.0549,-2.3979,50.0069,6.1532,-15.1994,30,6,24,2020,211,NA,NA,NA,NA,NA,NA,FALSE,-21.6,6.8,12.4,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717158,"2023-08-02",0,"2023-08-02T22:04:00.052Z","2023-08-02T22:05:01.394Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",11,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Austin Wynns strikes out swinging.",0,11,1,79,"bottom",9,"2023-08-02T22:04:59.148Z","2023-08-02T22:05:50.522Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,642851,"Austin Wynns","/api/v1/people/642851","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717158,"2023-08-02",3,"2023-08-02T22:03:28.525Z","2023-08-02T22:03:33.805Z",TRUE,"pitch","1a01bb89-f1b7-469d-be04-33c14a7dd8d7",3,"Hit By Pitch",NA,NA,NA,NA,FALSE,"H","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"H","Hit By Pitch",2,1,1,NA,NA,3.58,1.68,NA,202.6,127.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Hit By Pitch","hit_by_pitch","Brenton Doyle hit by pitch. Elehuris Montero to 3rd. Michael Toglia to 2nd.",0,11,1,78,"bottom",9,"2023-08-02T22:02:49.859Z","2023-08-02T22:03:33.805Z",TRUE,FALSE,FALSE,FALSE,11,2,1,1,686668,"Brenton Doyle","/api/v1/people/686668","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.5,91.6,11,0.78,0.3788,6.7404,27.6471,-20.1184,-6.4245,5.6688,-2.2456,4.1338,3.1295,-143.6029,-2.595,-2.5042,50.0016,6.2756,-13.6579,32.4,4.8,24,2196,212,NA,NA,NA,NA,NA,NA,FALSE,-17.6,10.1,11.2,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,669911,"Michael Toglia","/api/v1/people/669911",686668,"Brenton Doyle","/api/v1/people/686668",660707,"Elehuris Montero","/api/v1/people/660707"
717158,"2023-08-02",2,"2023-08-02T22:03:08.100Z","2023-08-02T22:03:11.362Z",TRUE,"pitch","a734286d-d95b-499b-8bba-935c1f995ae9",2,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,1,1,NA,NA,3.4566,1.6025,NA,60.36,228.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Hit By Pitch","hit_by_pitch","Brenton Doyle hit by pitch. Elehuris Montero to 3rd. Michael Toglia to 2nd.",0,11,1,78,"bottom",9,"2023-08-02T22:02:49.859Z","2023-08-02T22:03:33.805Z",TRUE,FALSE,FALSE,FALSE,11,2,1,1,686668,"Brenton Doyle","/api/v1/people/686668","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.6,78.3,14,0.89,0.4489,6.8393,21.2644,-29.5624,3.7036,1.7292,1.486,0.3944,8.3823,-121.4843,-7.1934,-2.475,50.0042,5.9254,5.5984,12,8.4,24,2552,60,NA,NA,NA,NA,NA,NA,FALSE,-37.1,1.8,-8.5,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717158,"2023-08-02",1,"2023-08-02T22:02:52.254Z","2023-08-02T22:02:55.990Z",TRUE,"pitch","3605a4e5-d1c5-48c3-a4f7-7749091e507a",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.4566,1.6025,NA,133.5,185.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Hit By Pitch","hit_by_pitch","Brenton Doyle hit by pitch. Elehuris Montero to 3rd. Michael Toglia to 2nd.",0,11,1,78,"bottom",9,"2023-08-02T22:02:49.859Z","2023-08-02T22:03:33.805Z",TRUE,FALSE,FALSE,FALSE,11,2,1,1,686668,"Brenton Doyle","/api/v1/people/686668","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.8,91.3,7,0.81,0.382,6.8784,26.1515,-20.1156,-6.2506,5.7639,-0.4328,1.9724,7.953,-142.2472,-8.0516,-2.4254,50.0045,6.0681,-13.0819,28.8,4.8,24,2229,211,NA,NA,NA,NA,NA,NA,FALSE,-18.8,9.4,10.1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717158,"2023-08-02",0,"2023-08-02T22:02:14.140Z","2023-08-02T22:02:52.254Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",11,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"78","atBat","Hit By Pitch","hit_by_pitch","Brenton Doyle hit by pitch. Elehuris Montero to 3rd. Michael Toglia to 2nd.",0,11,1,78,"bottom",9,"2023-08-02T22:02:49.859Z","2023-08-02T22:03:33.805Z",TRUE,FALSE,FALSE,FALSE,11,2,1,1,686668,"Brenton Doyle","/api/v1/people/686668","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717158,"2023-08-02",0,"2023-08-02T22:01:51.715Z","2023-08-02T22:02:04.694Z",TRUE,"pitch","29e29fd5-096c-423b-8734-f70fe3dc1647",1,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,0,1,NA,NA,3.71,1.77,NA,124.93,178.85,"ground_ball","medium","7",62.25,127.52,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Single","single","Michael Toglia singles on a ground ball to left fielder Juan Soto. Elehuris Montero to 2nd.",0,11,1,77,"bottom",9,"2023-08-02T22:01:40.426Z","2023-08-02T22:02:04.694Z",TRUE,FALSE,FALSE,FALSE,33,0,0,1,669911,"Michael Toglia","/api/v1/people/669911","L","Left",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_LHB","RISP",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.1,92,8,0.85,0.3779,6.8841,28.4647,-20.3898,-7.3158,5.5176,-0.2082,2.2198,9.3865,-144.0604,-7.3805,-2.534,50.0008,6.0416,-15.6207,32.4,4.8,24,2378,211,102,-10,11,NA,NA,NA,FALSE,-18.7,8.9,11.8,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,660707,"Elehuris Montero","/api/v1/people/660707",669911,"Michael Toglia","/api/v1/people/669911",NA,NA,NA
717158,"2023-08-02",7,"2023-08-02T22:01:20.317Z","2023-08-02T22:01:26.192Z",TRUE,"pitch","0bbe3a12-99d8-41cd-a948-8432c903223f",7,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,1,NA,NA,3.2135,1.6098,NA,82.22,194.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Walk","walk","Elehuris Montero walks.",0,11,1,76,"bottom",9,"2023-08-02T21:58:44.980Z","2023-08-02T22:01:26.192Z",TRUE,FALSE,FALSE,FALSE,0,4,2,1,660707,"Elehuris Montero","/api/v1/people/660707","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.7,92.4,14,0.85,0.3788,6.945,25.4072,-20.1057,-6.6638,5.6676,0.9123,1.6532,11.2104,-143.2475,-9.149,-2.1425,50.0062,6.0878,-14.1962,30,4.8,24,2308,207,NA,NA,NA,NA,NA,NA,FALSE,-18.7,9,10.4,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,660707,"Elehuris Montero","/api/v1/people/660707",NA,NA,NA
717158,"2023-08-02",6,"2023-08-02T22:00:58.565Z","2023-08-02T22:01:03.650Z",TRUE,"pitch","4e49d98d-5fd1-4d5b-9f03-d47c4ded88f2",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,1,NA,NA,3.29,1.64,NA,124.06,160.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Walk","walk","Elehuris Montero walks.",0,11,1,76,"bottom",9,"2023-08-02T21:58:44.980Z","2023-08-02T22:01:26.192Z",TRUE,FALSE,FALSE,FALSE,0,4,2,1,660707,"Elehuris Montero","/api/v1/people/660707","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.6,92.5,2,0.78,0.3777,6.9713,24.4507,-21.2084,-6.0679,5.1175,-0.1851,2.9091,8.3143,-143.4896,-5.6835,-2.2947,50.0054,6.1839,-13.0105,27.6,4.8,24,2179,209,NA,NA,NA,NA,NA,NA,FALSE,-19,8.6,9.8,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717158,"2023-08-02",5,"2023-08-02T22:00:30.507Z","2023-08-02T22:00:36.501Z",TRUE,"pitch","81bdd5da-476d-40d6-9e84-25490a1f50e3",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,1,NA,NA,3.29,1.64,NA,101.2,191.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Walk","walk","Elehuris Montero walks.",0,11,1,76,"bottom",9,"2023-08-02T21:58:44.980Z","2023-08-02T22:01:26.192Z",TRUE,FALSE,FALSE,FALSE,0,4,2,1,660707,"Elehuris Montero","/api/v1/people/660707","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.5,91.1,9,0.8,0.3834,6.712,25.4405,-19.417,-5.2672,6.1387,0.4144,1.7619,9.6419,-141.6388,-8.6792,-2.3147,50.0013,6.0554,-10.9447,24,4.8,24,2239,205,NA,NA,NA,NA,NA,NA,FALSE,-18.5,9.8,8,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717158,"2023-08-02",4,"2023-08-02T22:00:13.614Z","2023-08-02T22:00:17.017Z",TRUE,"pitch","174a71d7-3f5b-4611-a070-461c9ab978d7",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,1,1,NA,NA,3.0957,1.5152,NA,117.5,155.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Walk","walk","Elehuris Montero walks.",0,11,1,76,"bottom",9,"2023-08-02T21:58:44.980Z","2023-08-02T22:01:26.192Z",TRUE,FALSE,FALSE,FALSE,0,4,2,1,660707,"Elehuris Montero","/api/v1/people/660707","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.7,91.1,2,0.93,0.3821,6.7639,25.9052,-18.5056,-4.5431,6.5327,-0.0132,3.08,8.2969,-142.1608,-5.3013,-2.3506,50.0005,6.1058,-9.5024,22.8,3.6,24,2341,207,NA,NA,NA,NA,NA,NA,FALSE,-17,11.2,7,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717158,"2023-08-02",3,"2023-08-02T21:59:55.413Z","2023-08-02T21:59:59.728Z",TRUE,"pitch","3ad0d754-ce06-47b0-86e9-62e4b89a39c9",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,1,NA,NA,3.1008,1.4612,NA,89.3,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Walk","walk","Elehuris Montero walks.",0,11,1,76,"bottom",9,"2023-08-02T21:58:44.980Z","2023-08-02T22:01:26.192Z",TRUE,FALSE,FALSE,FALSE,0,4,2,1,660707,"Elehuris Montero","/api/v1/people/660707","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.9,91.5,6,0.81,0.3818,6.7669,25.3963,-20.1199,-6.5552,5.752,0.7268,1.9918,10.6727,-142.1729,-8.0043,-2.1841,50.0013,6.0685,-13.7349,28.8,4.8,24,2259,203,NA,NA,NA,NA,NA,NA,FALSE,-18.8,9.2,10.3,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717158,"2023-08-02",2,"2023-08-02T21:59:39.067Z","2023-08-02T21:59:42.620Z",TRUE,"pitch","82a2db00-3a0e-461b-84b1-96843198d797",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.1428,1.5152,NA,70.09,182.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Walk","walk","Elehuris Montero walks.",0,11,1,76,"bottom",9,"2023-08-02T21:58:44.980Z","2023-08-02T22:01:26.192Z",TRUE,FALSE,FALSE,FALSE,0,4,2,1,660707,"Elehuris Montero","/api/v1/people/660707","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.3,92.6,14,2,0.3769,6.9108,26.9024,-17.4373,-6.9385,6.8588,1.2307,2.0889,12.1597,-144.1626,-8.474,-2.1006,50.0066,6.0989,-14.9163,33.6,4.8,24,2226,210,NA,NA,NA,NA,NA,NA,FALSE,-16.2,11.2,10.7,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717158,"2023-08-02",0,"2023-08-02T21:58:51.366Z","2023-08-02T21:58:54.667Z",TRUE,"pitch","45e59e65-f8e8-4640-9ed1-49f7ba96988a",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.1193,1.4679,NA,74.9,217.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Walk","walk","Elehuris Montero walks.",0,11,1,76,"bottom",9,"2023-08-02T21:58:44.980Z","2023-08-02T22:01:26.192Z",TRUE,FALSE,FALSE,FALSE,0,4,2,1,660707,"Elehuris Montero","/api/v1/people/660707","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99,92,14,0.73,0.3794,6.9027,28.4762,-20.6518,-5.6753,5.4367,1.1046,0.7846,11.5506,-143.5283,-10.9687,-2.207,50.0018,5.9016,-12.0232,24,4.8,24,2167,213,NA,NA,NA,NA,NA,NA,FALSE,-19.8,8,8.4,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
