"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.disengagementNum","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
718439,"2023-04-26",3,"2023-04-26T04:21:31.314Z","2023-04-26T04:21:54.527Z",TRUE,"pitch","92319f67-09a7-4b7a-8c7b-fbc4dafd0c0f",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,2,2,NA,NA,3.47,1.68,NA,107.17,177.11,"fly_ball","medium","8",138.13,26.03,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Home Run","home_run","Blake Sabol homers (4) on a fly ball to center field. Mike Yastrzemski scores.",2,4,5,70,"bottom",9,"2023-04-26T04:20:24.609Z","2023-04-26T04:21:54.527Z",TRUE,TRUE,FALSE,FALSE,65,1,2,2,666165,"Blake Sabol","/api/v1/people/666165","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89,82.5,5,0.9,0.421,6.3897,25.0663,-34.0153,1.9629,-1.0723,0.2578,2.2842,0.7189,-129.7012,-3.0335,-0.2774,50.0038,6.0416,3.3711,6,8.4,24,2409,126,108.2,27,428,NA,NA,NA,FALSE,-36.6,-2.4,-3.7,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718439,"2023-04-26",2,"2023-04-26T04:21:12.103Z","2023-04-26T04:21:15.456Z",TRUE,"pitch","2c387132-7ca9-410f-822b-67d4e5a3ad02",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,3.4668,1.7041,NA,135.23,194.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Home Run","home_run","Blake Sabol homers (4) on a fly ball to center field. Mike Yastrzemski scores.",2,4,5,70,"bottom",9,"2023-04-26T04:20:24.609Z","2023-04-26T04:21:54.527Z",TRUE,TRUE,FALSE,FALSE,65,1,2,2,666165,"Blake Sabol","/api/v1/people/666165","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.2,81.7,7,0.9,0.4253,6.4717,25.4206,-32.4018,1.6292,-0.1406,-0.4784,1.6547,-0.5105,-128.5401,-4.5652,-0.4894,50.0004,5.9557,2.7391,4.8,8.4,24,2365,95,NA,NA,NA,NA,NA,NA,FALSE,-35.9,-1,-2.9,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718439,"2023-04-26",1,"2023-04-26T04:20:53.775Z","2023-04-26T04:20:57.415Z",TRUE,"pitch","b83f5266-7ba2-4ab2-a6cd-ce433f2028dc",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.5242,1.7913,NA,133.53,182.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Home Run","home_run","Blake Sabol homers (4) on a fly ball to center field. Mike Yastrzemski scores.",2,4,5,70,"bottom",9,"2023-04-26T04:20:24.609Z","2023-04-26T04:21:54.527Z",TRUE,TRUE,FALSE,FALSE,65,1,2,2,666165,"Blake Sabol","/api/v1/people/666165","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.3,82.1,7,0.9,0.4238,6.5267,24.2205,-31.8189,1.5085,0.2101,-0.4337,2.0671,-0.2682,-128.7476,-3.6339,-0.5249,50.0025,5.933,2.5578,4.8,7.2,24,2342,96,NA,NA,NA,NA,NA,NA,FALSE,-34.8,-0.1,-2.6,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718439,"2023-04-26",0,"2023-04-26T04:20:34.507Z","2023-04-26T04:20:38.674Z",TRUE,"pitch","37c47328-684b-4ea1-b82e-af7982f2218e",1,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,0,2,NA,NA,3.5816,1.7332,NA,100.09,222.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Home Run","home_run","Blake Sabol homers (4) on a fly ball to center field. Mike Yastrzemski scores.",2,4,5,70,"bottom",9,"2023-04-26T04:20:24.609Z","2023-04-26T04:21:54.527Z",TRUE,TRUE,FALSE,FALSE,65,1,2,2,666165,"Blake Sabol","/api/v1/people/666165","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",83,77.1,14,0.89,0.4527,6.4923,23.2222,-38.6406,1.4473,-4.3631,0.4438,0.5889,1.3033,-120.9086,-4.6955,-0.29,50.0028,5.9413,2.1457,3.6,10.8,24,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,-48.4,-8.8,-2.9,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718439,"2023-04-26",4,"2023-04-26T04:20:03.814Z","2023-04-26T04:20:08.946Z",TRUE,"pitch","5ba7d50f-c1fe-4db3-a489-25fef7085fe8",5,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",2,3,1,NA,NA,3.24,1.57,NA,125.1,203.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Brandon Crawford strikes out on a foul tip.",0,4,3,69,"bottom",9,"2023-04-26T04:18:32.278Z","2023-04-26T04:20:08.946Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,543063,"Brandon Crawford","/api/v1/people/543063","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals","true",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.4,76.8,13,0.9,0.4552,6.5022,22.17,-41.9798,3.0277,-6.6838,-0.2126,1.3095,-0.7063,-120.0862,-2.5037,-0.3089,50.0015,6.0825,4.4434,6,12,24,2493,354,NA,NA,NA,NA,NA,NA,TRUE,-52.4,-12.5,-5.3,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,573262,"Mike Yastrzemski","/api/v1/people/573262"
718439,"2023-04-26",3,"2023-04-26T04:19:38.689Z","2023-04-26T04:19:43.997Z",TRUE,"pitch","c79bdd61-de75-43a5-a287-e5761a84ee07",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,1,NA,NA,3.24,1.57,NA,93.46,125.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Brandon Crawford strikes out on a foul tip.",0,4,3,69,"bottom",9,"2023-04-26T04:18:32.278Z","2023-04-26T04:20:08.946Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,543063,"Brandon Crawford","/api/v1/people/543063","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101.1,92.7,12,0.9,0.3714,6.3204,33.4895,-7.5418,-1.1675,11.1732,0.6175,4.1808,3.0714,-147.2201,-4.0607,-0.2856,50.0063,6.0202,-2.5746,12,1.2,24,2730,195,NA,NA,NA,NA,NA,NA,FALSE,-7,19.7,1.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718439,"2023-04-26",2,"2023-04-26T04:19:20.361Z","2023-04-26T04:19:23.448Z",TRUE,"pitch","ae5192a6-f30f-4ee0-9af1-72b8d7f44202",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.3807,1.5585,NA,162.95,138.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Brandon Crawford strikes out on a foul tip.",0,4,3,69,"bottom",9,"2023-04-26T04:18:32.278Z","2023-04-26T04:20:08.946Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,543063,"Brandon Crawford","/api/v1/people/543063","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.4,91.1,11,0.9,0.3778,6.3114,33.0369,-9.1189,-2.36,10.8237,-1.2056,3.7241,-0.9843,-144.8339,-4.8209,-0.555,50.0008,5.9649,-5.0247,27.6,2.4,24,2668,197,NA,NA,NA,NA,NA,NA,FALSE,-8.6,18.8,4.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718439,"2023-04-26",1,"2023-04-26T04:19:03.015Z","2023-04-26T04:19:07.319Z",TRUE,"pitch","ed7a9958-5002-42ea-a993-6fb6e7f4ae16",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.3232,1.675,NA,132.77,159.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Brandon Crawford strikes out on a foul tip.",0,4,3,69,"bottom",9,"2023-04-26T04:18:32.278Z","2023-04-26T04:20:08.946Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,543063,"Brandon Crawford","/api/v1/people/543063","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.6,82.8,1,0.91,0.4183,6.3898,25.5199,-29.9898,2.6114,1.2535,-0.4139,2.9326,-0.4508,-130.55,-2.237,-0.5792,50.0016,6.041,4.5414,8.4,7.2,24,2446,175,NA,NA,NA,NA,NA,NA,FALSE,-31.8,2,-4.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718439,"2023-04-26",0,"2023-04-26T04:18:46.748Z","2023-04-26T04:18:50.066Z",TRUE,"pitch","4462b639-a312-4d8e-8816-fe47a9fa43c9",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.2369,1.5002,NA,140.77,203.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Brandon Crawford strikes out on a foul tip.",0,4,3,69,"bottom",9,"2023-04-26T04:18:32.278Z","2023-04-26T04:20:08.946Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,543063,"Brandon Crawford","/api/v1/people/543063","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.9,82.1,13,0.9,0.4227,6.4608,26.5444,-31.4535,2.6009,0.4251,-0.6237,1.3092,-1.0787,-129.4769,-5.7589,-0.5401,50.004,5.9635,4.4247,7.2,8.4,24,2387,147,NA,NA,NA,NA,NA,NA,FALSE,-34.8,-0.2,-4.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718439,"2023-04-26",2,"2023-04-26T04:18:07.947Z","2023-04-26T04:18:20.183Z",TRUE,"pitch","23206172-aca5-4694-bf97-424e59cfb548",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,0,NA,NA,3.3,1.64,NA,93.18,170.22,"popup","medium","6",90.69,152.93,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Pop Out","field_out","Thairo Estrada pops out to shortstop Paul DeJong.",0,4,3,68,"bottom",9,"2023-04-26T04:17:27.838Z","2023-04-26T04:18:20.183Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,642731,"Thairo Estrada","/api/v1/people/642731","R","Right",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_RHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.7,81.1,6,0.9,0.4276,6.4842,24.7862,-30.3309,3.1802,1.1043,0.6249,2.5391,1.4661,-127.7894,-3.0519,-0.3683,50.0008,6.116,5.2914,9.6,7.2,24,2392,131,78.5,66,137,NA,NA,NA,TRUE,-33.7,1.6,-6.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,573262,"Mike Yastrzemski","/api/v1/people/573262"
718439,"2023-04-26",1,"2023-04-26T04:17:51.692Z","2023-04-26T04:17:55.348Z",TRUE,"pitch","157a6540-3b29-4402-b22a-c0ab12a2d218",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,0,NA,NA,3.3,1.64,NA,117.26,184.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Pop Out","field_out","Thairo Estrada pops out to shortstop Paul DeJong.",0,4,3,68,"bottom",9,"2023-04-26T04:17:27.838Z","2023-04-26T04:18:20.183Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,642731,"Thairo Estrada","/api/v1/people/642731","R","Right",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_RHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87,80.1,8,0.89,0.4324,6.4606,25.9274,-32.9729,2.3893,-0.4923,-0.0069,2.0038,0.2539,-126.6949,-3.4613,-0.4188,50.0027,6.0234,3.8832,7.2,8.4,24,2349,141,NA,NA,NA,NA,NA,NA,FALSE,-37.6,-1.4,-4.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718439,"2023-04-26",0,"2023-04-26T04:17:33.057Z","2023-04-26T04:17:38.411Z",TRUE,"pitch","17560fff-968d-4301-a3b6-e40cd3e10a6f",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.1505,1.5293,NA,111.43,220.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Pop Out","field_out","Thairo Estrada pops out to shortstop Paul DeJong.",0,4,3,68,"bottom",9,"2023-04-26T04:17:27.838Z","2023-04-26T04:18:20.183Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,642731,"Thairo Estrada","/api/v1/people/642731","R","Right",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_RHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",80,74.3,14,0.9,0.4698,6.4512,21.8636,-37.9916,1.583,-4.2223,0.1462,0.6673,0.9689,-116.5752,-4.0254,-0.4805,50.0046,6.0019,2.1794,3.6,10.8,24,2392,28,NA,NA,NA,NA,NA,NA,FALSE,-51,-8.4,-3.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718439,"2023-04-26",1,"2023-04-26T04:16:44.969Z","2023-04-26T04:16:59.354Z",TRUE,"pitch","c2f71ae4-4b28-4500-91e1-70b9f4de9a0e",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,0,0,NA,NA,3.36,1.59,NA,132.95,158.92,"line_drive","hard","8",151,46.04,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Double","double","Mike Yastrzemski doubles (6) on a sharp line drive to center fielder Dylan Carlson. Joc Pederson scores.",1,4,3,67,"bottom",9,"2023-04-26T04:16:26.911Z","2023-04-26T04:16:59.354Z",TRUE,TRUE,FALSE,FALSE,34,1,0,0,573262,"Mike Yastrzemski","/api/v1/people/573262","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.6,88.9,1,0.9,0.3863,6.4501,33.4682,-9.3181,-2.7503,11.2314,-0.4185,2.9576,1.1932,-141.9721,-6.614,-0.4877,50.0022,5.9153,-5.5962,26.4,2.4,24,2454,203,100.6,20,359,NA,NA,NA,FALSE,-9.7,19.1,4.7,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,573262,"Mike Yastrzemski","/api/v1/people/573262"
718439,"2023-04-26",0,"2023-04-26T04:16:26.911Z","2023-04-26T04:16:30.087Z",TRUE,"pitch","53ac3be8-7ccd-42eb-b981-9629d4826d5e",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.3568,1.5293,NA,136.46,120.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Double","double","Mike Yastrzemski doubles (6) on a sharp line drive to center fielder Dylan Carlson. Joc Pederson scores.",1,4,3,67,"bottom",9,"2023-04-26T04:16:26.911Z","2023-04-26T04:16:59.354Z",TRUE,TRUE,FALSE,FALSE,34,1,0,0,573262,"Mike Yastrzemski","/api/v1/people/573262","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.8,91,11,0.9,0.377,6.3556,34.6044,-9.5882,-2.0702,10.568,-0.5105,4.3958,1.2611,-145.3921,-2.8955,-0.6813,50.005,5.9879,-4.4255,21.6,2.4,24,2492,202,NA,NA,NA,NA,NA,NA,FALSE,-8.8,18.7,3.5,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718439,"2023-04-26",4,"2023-04-26T04:15:48.537Z","2023-04-26T04:15:59.849Z",TRUE,"pitch","96b4c2f5-ea6d-43fe-b03d-8c19a247d6fc",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,2,0,NA,NA,3.43,1.69,NA,124.16,202.08,"ground_ball","medium","4",149.06,154.97,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Joc Pederson singles on a ground ball to right fielder Alec Burleson, deflected by second baseman Tommy Edman.",0,4,2,66,"bottom",9,"2023-04-26T04:14:54.656Z","2023-04-26T04:15:59.849Z",TRUE,FALSE,FALSE,FALSE,33,1,2,0,592626,"Joc Pederson","/api/v1/people/592626","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Men_On",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.5,82.1,13,0.9,0.4236,6.5235,25.0934,-29.2125,2.2481,1.7447,-0.1879,1.3593,0.1598,-128.9596,-5.7557,-0.5428,50.0007,5.8541,3.812,7.2,7.2,24,2413,115,97.9,8,142,NA,NA,NA,FALSE,-32.4,2.2,-4.1,NA,NA,NA,NA,NA,FALSE,FALSE,592626,"Joc Pederson","/api/v1/people/592626",NA,NA,NA,NA,NA,NA
718439,"2023-04-26",3,"2023-04-26T04:15:30.165Z","2023-04-26T04:15:33.724Z",TRUE,"pitch","6e1f0710-89d7-479e-aa3c-a4ee400b5823",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,0,NA,NA,3.5816,1.8204,NA,90.79,175.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Joc Pederson singles on a ground ball to right fielder Alec Burleson, deflected by second baseman Tommy Edman.",0,4,2,66,"bottom",9,"2023-04-26T04:14:54.656Z","2023-04-26T04:15:59.849Z",TRUE,FALSE,FALSE,FALSE,33,1,2,0,592626,"Joc Pederson","/api/v1/people/592626","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Men_On",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.9,83.1,9,0.89,0.4171,6.4827,26.0435,-25.3738,-0.1613,3.8852,0.6877,2.3352,3.2839,-131.0097,-4.447,-0.5577,50.0018,5.9368,-0.2831,1.2,6,24,2339,163,NA,NA,NA,NA,NA,NA,FALSE,-27.2,6.4,-0.4,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
