"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718423,"2023-04-27",0,"2023-04-27T04:37:26.675Z","2023-04-27T04:37:34.455Z",TRUE,"pitch","01e0fac1-e3a9-4f79-a650-7f8e270c9660",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.43,1.65,NA,144.89,147.7,"ground_ball","medium","4",110.69,151.26,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Grounded Into DP","grounded_into_double_play","Paul Goldschmidt grounds into a double play, second baseman Thairo Estrada to shortstop Brandon Crawford to first baseman Wilmer Flores. Lars Nootbaar out at 2nd. Paul Goldschmidt out at 1st.",0,3,7,80,"top",9,"2023-04-27T04:37:03.056Z","2023-04-27T04:37:34.455Z",TRUE,FALSE,FALSE,TRUE,24,0,0,3,502671,"Paul Goldschmidt","/api/v1/people/502671","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.6,89.8,1,0.91,0.3822,7.2849,34.548,-27.257,-8.608,2.3695,-0.7317,3.3733,5.686,-143.5445,-0.3559,-1.6242,50.006,5.2021,-17.8904,31.2,6,24,2486,238,95.1,1,52,NA,NA,NA,TRUE,-23.8,4.4,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718423,"2023-04-27",6,"2023-04-27T04:36:56.102Z","2023-04-27T04:37:02.511Z",TRUE,"pitch","468e76e9-21bb-4a98-9f59-103c22c79665",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,1,1,NA,NA,3.3807,1.6167,NA,155.42,148.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Lars Nootbaar walks.",0,3,7,79,"top",9,"2023-04-27T04:35:49.971Z","2023-04-27T04:37:02.511Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,663457,"Lars Nootbaar","/api/v1/people/663457","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89,81.5,11,2,0.4223,6.2689,27.3204,-27.0675,0.8272,2.9971,-1.008,3.3521,1.6399,-129.7215,0.0304,-1.756,50.0007,5.4049,1.4086,3.6,6,24,2478,149,NA,NA,NA,NA,NA,NA,FALSE,-28.8,5.6,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,663457,"Lars Nootbaar","/api/v1/people/663457",657557,"Paul DeJong","/api/v1/people/657557",680977,"Brendan Donovan","/api/v1/people/680977",NA,NA,NA,NA
718423,"2023-04-27",5,"2023-04-27T04:36:37.729Z","2023-04-27T04:36:41.274Z",TRUE,"pitch","71381baf-8c37-4798-83bd-b5546c16df7e",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.4094,1.675,NA,82.09,165.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Lars Nootbaar walks.",0,3,7,79,"top",9,"2023-04-27T04:35:49.971Z","2023-04-27T04:37:02.511Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,663457,"Lars Nootbaar","/api/v1/people/663457","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",100.4,92.1,12,2,0.3745,6.817,32.7742,-11.8874,-5.9098,9.3531,0.9159,2.6964,9.2818,-145.9882,-5.1571,-1.5296,50.003,5.1947,-12.8195,39.6,3.6,24,2523,236,NA,NA,NA,NA,NA,NA,FALSE,-10.9,16.1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718423,"2023-04-27",4,"2023-04-27T04:36:22.236Z","2023-04-27T04:36:25.236Z",TRUE,"pitch","160e6bb3-f5be-458f-a85c-a6816058d295",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.4381,1.6459,NA,166.63,164.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Lars Nootbaar walks.",0,3,7,79,"top",9,"2023-04-27T04:35:49.971Z","2023-04-27T04:37:02.511Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,663457,"Lars Nootbaar","/api/v1/people/663457","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.6,81.3,11,2,0.4217,6.2161,30.3782,-28.5961,0.4393,2.0998,-1.3019,2.7371,1.0893,-130.4519,-1.3513,-1.7839,50.0022,5.4407,0.7483,2.4,7.2,24,2477,142,NA,NA,NA,NA,NA,NA,FALSE,-30.6,3.7,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718423,"2023-04-27",3,"2023-04-27T04:36:07.803Z","2023-04-27T04:36:11.441Z",TRUE,"pitch","6c13d454-0046-49f4-af75-66efb5c81253",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.4381,1.7041,NA,131.23,134.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Lars Nootbaar walks.",0,3,7,79,"top",9,"2023-04-27T04:35:49.971Z","2023-04-27T04:37:02.511Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,663457,"Lars Nootbaar","/api/v1/people/663457","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",99.8,91.1,11,2,0.377,6.3396,34.2596,-14.8898,-4.3967,8.0874,-0.3732,3.8563,5.4831,-145.31,-1.6909,-1.714,50.0007,5.351,-9.395,27.6,3.6,24,2449,228,NA,NA,NA,NA,NA,NA,FALSE,-13,14.5,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718423,"2023-04-27",2,"2023-04-27T04:35:52.307Z","2023-04-27T04:35:55.619Z",TRUE,"pitch","0e1627bf-8460-4d9b-ae34-4df78a997993",1,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,1,1,NA,NA,3.37,1.61,NA,112.92,151.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Lars Nootbaar walks.",0,3,7,79,"top",9,"2023-04-27T04:35:49.971Z","2023-04-27T04:37:02.511Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,663457,"Lars Nootbaar","/api/v1/people/663457","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",99.9,91.3,2,2,0.3767,6.4792,33.667,-14.1947,-5.718,8.3976,0.107,3.2252,7.2635,-145.3236,-3.4667,-1.6804,50.0071,5.2944,-12.2487,34.8,3.6,24,2458,225,NA,NA,NA,NA,NA,NA,FALSE,-12.7,14.6,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718423,"2023-04-27",0,"2023-04-27T04:33:00.021Z","2023-04-27T04:33:35.771Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",3,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Lars Nootbaar walks.",0,3,7,79,"top",9,"2023-04-27T04:35:49.971Z","2023-04-27T04:37:02.511Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,663457,"Lars Nootbaar","/api/v1/people/663457","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718423,"2023-04-27",1,"2023-04-27T04:33:35.771Z","2023-04-27T04:35:52.307Z",FALSE,"action",NA,NA,"Pitching Change: Camilo Doval replaces Sean Hjelle.","Pitching Substitution",3,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,666808,"/api/v1/people/666808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"79","atBat","Walk","walk","Lars Nootbaar walks.",0,3,7,79,"top",9,"2023-04-27T04:35:49.971Z","2023-04-27T04:37:02.511Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,663457,"Lars Nootbaar","/api/v1/people/663457","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718423,"2023-04-27",4,"2023-04-27T04:32:22.760Z","2023-04-27T04:32:36.486Z",TRUE,"pitch","3ab39e6d-0c75-4299-9325-cdb2e58f90fb",5,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,2,1,NA,NA,3.35,1.53,NA,109.97,174.92,"line_drive","hard","7",20.94,86.92,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Double","double","Paul DeJong doubles (2) on a sharp line drive to left fielder Mitch Haniger. Alec Burleson scores. Brendan Donovan to 3rd.",1,3,7,78,"top",9,"2023-04-27T04:30:51.539Z","2023-04-27T04:32:36.486Z",TRUE,TRUE,FALSE,FALSE,34,1,2,1,657557,"Paul DeJong","/api/v1/people/657557","R","Right",663546,"Sean Hjelle","/api/v1/people/663546","R","Right","vs_RHP","vs_RHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",86.5,80.4,5,0.89,0.433,6.8507,22.901,-31.3234,-0.5879,0.5211,0.1845,2.3651,4.5803,-125.9571,-3.5337,-1.5724,50.0025,6.2892,-0.9565,0,8.4,24,1602,284,100.9,21,325,NA,NA,NA,FALSE,-35.8,0.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,657557,"Paul DeJong","/api/v1/people/657557",680977,"Brendan Donovan","/api/v1/people/680977",NA,NA,NA,NA
718423,"2023-04-27",3,"2023-04-27T04:32:00.642Z","2023-04-27T04:32:03.778Z",TRUE,"pitch","0aa5c5de-d041-4e31-936d-1487a1c31600",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.35,1.53,NA,124.93,178.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Double","double","Paul DeJong doubles (2) on a sharp line drive to left fielder Mitch Haniger. Alec Burleson scores. Brendan Donovan to 3rd.",1,3,7,78,"top",9,"2023-04-27T04:30:51.539Z","2023-04-27T04:32:36.486Z",TRUE,TRUE,FALSE,FALSE,34,1,2,1,657557,"Paul DeJong","/api/v1/people/657557","R","Right",663546,"Sean Hjelle","/api/v1/people/663546","R","Right","vs_RHP","vs_RHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",86.1,79.9,5,0.9,0.4356,6.6186,24.0117,-33.9658,0.3786,-1.114,-0.2081,2.2509,3.645,-125.4792,-3.324,-1.7253,50.006,6.3439,0.6066,2.4,8.4,24,1895,35,NA,NA,NA,NA,NA,NA,FALSE,-39.1,-2.5,-1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718423,"2023-04-27",2,"2023-04-27T04:31:37.757Z","2023-04-27T04:31:42.175Z",TRUE,"pitch","e00567e7-7269-4e08-ad74-023dce8bd343",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.35,1.53,NA,101.25,198.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Double","double","Paul DeJong doubles (2) on a sharp line drive to left fielder Mitch Haniger. Alec Burleson scores. Brendan Donovan to 3rd.",1,3,7,78,"top",9,"2023-04-27T04:30:51.539Z","2023-04-27T04:32:36.486Z",TRUE,TRUE,FALSE,FALSE,34,1,2,1,657557,"Paul DeJong","/api/v1/people/657557","R","Right",663546,"Sean Hjelle","/api/v1/people/663546","R","Right","vs_RHP","vs_RHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",86.4,79.7,9,0.9,0.4362,6.6938,26.17,-37.3755,-0.5935,-3.2614,0.4132,1.5003,5.1693,-125.7158,-4.3871,-1.595,50.0027,6.3113,-0.9486,0,9.6,24,2036,44,NA,NA,NA,NA,NA,NA,FALSE,-43.4,-6.7,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718423,"2023-04-27",1,"2023-04-27T04:31:20.079Z","2023-04-27T04:31:23.081Z",TRUE,"pitch","69ab00be-0ba5-4829-85b9-a7f01cca4773",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.3468,1.5268,NA,88.79,172.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Double","double","Paul DeJong doubles (2) on a sharp line drive to left fielder Mitch Haniger. Alec Burleson scores. Brendan Donovan to 3rd.",1,3,7,78,"top",9,"2023-04-27T04:30:51.539Z","2023-04-27T04:32:36.486Z",TRUE,TRUE,FALSE,FALSE,34,1,2,1,657557,"Paul DeJong","/api/v1/people/657557","R","Right",663546,"Sean Hjelle","/api/v1/people/663546","R","Right","vs_RHP","vs_RHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.1,86.3,6,0.91,0.3984,6.8805,33.513,-27.0426,-12.4282,2.6878,0.74,2.4436,10.3566,-138.0118,-5.0751,-1.4647,50.0054,6.1504,-23.7448,37.2,7.2,24,2178,229,NA,NA,NA,NA,NA,NA,FALSE,-26.8,3.8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718423,"2023-04-27",0,"2023-04-27T04:31:03.820Z","2023-04-27T04:31:08.768Z",TRUE,"pitch","97ba229b-2161-4ca4-8d20-f719630b085b",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.3431,1.5814,NA,87.85,198.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Double","double","Paul DeJong doubles (2) on a sharp line drive to left fielder Mitch Haniger. Alec Burleson scores. Brendan Donovan to 3rd.",1,3,7,78,"top",9,"2023-04-27T04:30:51.539Z","2023-04-27T04:32:36.486Z",TRUE,TRUE,FALSE,FALSE,34,1,2,1,657557,"Paul DeJong","/api/v1/people/657557","R","Right",663546,"Sean Hjelle","/api/v1/people/663546","R","Right","vs_RHP","vs_RHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.7,87.7,9,0.91,0.3947,6.9252,31.6208,-27.8088,-11.2463,2.2414,0.7646,1.509,10.2478,-138.8648,-7.6128,-1.5157,50.0038,6.1408,-21.9255,33.6,7.2,24,2120,234,NA,NA,NA,NA,NA,NA,FALSE,-27.5,2.5,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718423,"2023-04-27",5,"2023-04-27T04:30:23.165Z","2023-04-27T04:30:31.077Z",TRUE,"pitch","8c8b823a-1229-4ae9-9cc8-b483fe9fc2dc",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,0,NA,NA,3.3,1.65,NA,112.12,176.65,"ground_ball","medium","1",127.68,180.38,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Forceout","force_out","Brendan Donovan grounds into a force out, pitcher Sean Hjelle to shortstop Brandon Crawford. Alec Burleson to 3rd. Tyler O'Neill out at 2nd. Brendan Donovan to 1st.",0,2,7,77,"top",9,"2023-04-27T04:29:07.004Z","2023-04-27T04:30:31.077Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,680977,"Brendan Donovan","/api/v1/people/680977","L","Left",663546,"Sean Hjelle","/api/v1/people/663546","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.7,86,5,0.91,0.402,6.7323,29.7305,-29.1854,-10.468,1.5849,0.128,2.301,8.0919,-136.2221,-5.1862,-1.52,50.0007,6.2455,-19.6847,31.2,7.2,24,2061,236,66.3,-44,2,NA,NA,NA,TRUE,-29.3,1.9,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,680977,"Brendan Donovan","/api/v1/people/680977",NA,NA,NA,676475,"Alec Burleson","/api/v1/people/676475",NA,NA,NA,NA
718423,"2023-04-27",4,"2023-04-27T04:30:02.944Z","2023-04-27T04:30:07.077Z",TRUE,"pitch","b27c09fe-57d7-4d00-8351-e6ea3a50dddb",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.3,1.65,NA,171.45,189.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Forceout","force_out","Brendan Donovan grounds into a force out, pitcher Sean Hjelle to shortstop Brandon Crawford. Alec Burleson to 3rd. Tyler O'Neill out at 2nd. Brendan Donovan to 1st.",0,2,7,77,"top",9,"2023-04-27T04:29:07.004Z","2023-04-27T04:30:31.077Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,680977,"Brendan Donovan","/api/v1/people/680977","L","Left",663546,"Sean Hjelle","/api/v1/people/663546","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",90.2,83.4,13,0.81,0.4163,6.5771,26.2452,-30.0626,-9.3717,1.2047,-1.4285,1.8238,4.4449,-131.2842,-5.0736,-1.9204,50.0051,6.0033,-16.4585,26.4,8.4,24,1679,249,NA,NA,NA,NA,NA,NA,FALSE,-32.2,1.3,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718423,"2023-04-27",3,"2023-04-27T04:29:41.851Z","2023-04-27T04:29:45.664Z",TRUE,"pitch","18911ce2-0e57-4fa0-8b39-1743fca1ef38",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.3,1.65,NA,166.23,178.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Forceout","force_out","Brendan Donovan grounds into a force out, pitcher Sean Hjelle to shortstop Brandon Crawford. Alec Burleson to 3rd. Tyler O'Neill out at 2nd. Brendan Donovan to 1st.",0,2,7,77,"top",9,"2023-04-27T04:29:07.004Z","2023-04-27T04:30:31.077Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,680977,"Brendan Donovan","/api/v1/people/680977","L","Left",663546,"Sean Hjelle","/api/v1/people/663546","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",84.5,77.7,13,0.9,0.4456,6.5796,25.5484,-37.0615,0.4112,-3.2008,-1.2915,2.2237,1.0392,-123.1308,-2.3823,-1.7732,50.0007,6.3541,0.6282,1.2,9.6,24,1744,40,NA,NA,NA,NA,NA,NA,FALSE,-44.4,-6.1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
