"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717910,"2023-06-03",2,"2023-06-03T23:21:42.194Z","2023-06-03T23:21:46.572Z",TRUE,"pitch","1e4f1ed1-0a80-4687-85cb-59eae1b78465",3,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",0,3,2,NA,NA,3.33,1.61,NA,153.99,217.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Brandon Nimmo strikes out swinging.",0,2,1,76,"bottom",9,"2023-06-03T23:20:36.474Z","2023-06-03T23:21:46.572Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,607043,"Brandon Nimmo","/api/v1/people/607043","L","Left",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",86.1,78.6,13,0.9,0.4396,6.6043,28.1482,-29.6295,-12.2719,1.6261,-0.9705,0.7959,4.3277,-125.1861,-6.2582,-1.1393,50.0061,5.7917,-19.2435,31.2,9.6,24,1296,229,NA,NA,NA,NA,NA,NA,TRUE,-35.8,1.6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717910,"2023-06-03",1,"2023-06-03T23:21:21.030Z","2023-06-03T23:21:25.043Z",TRUE,"pitch","8b62adeb-e967-4546-a9e5-733e837cd470",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.33,1.61,NA,121.56,172.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Brandon Nimmo strikes out swinging.",0,2,1,76,"bottom",9,"2023-06-03T23:20:36.474Z","2023-06-03T23:21:46.572Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,607043,"Brandon Nimmo","/api/v1/people/607043","L","Left",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.7,84.3,5,0.9,0.4026,6.6157,38.1183,-4.1994,-6.6396,15.0214,-0.1196,2.437,3.8427,-137.4709,-8.4405,-0.6929,50.0057,5.8745,-12.3679,60,2.4,24,2432,214,NA,NA,NA,NA,NA,NA,FALSE,-6.4,25,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717910,"2023-06-03",0,"2023-06-03T23:20:59.596Z","2023-06-03T23:21:02.964Z",TRUE,"pitch","c03a5b9c-446c-47e4-bee5-271767cf6c84",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.33,1.61,NA,151.98,156.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Brandon Nimmo strikes out swinging.",0,2,1,76,"bottom",9,"2023-06-03T23:20:36.474Z","2023-06-03T23:21:46.572Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,607043,"Brandon Nimmo","/api/v1/people/607043","L","Left",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.9,84.4,11,0.9,0.4041,6.6447,35.1755,-6.8216,-6.9373,13.6872,-0.9176,3.0318,1.9834,-136.4939,-6.6874,-0.7609,50.002,6.0096,-12.8495,55.2,3.6,24,2366,205,NA,NA,NA,NA,NA,NA,FALSE,-8.3,23.2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717910,"2023-06-03",9,"2023-06-03T23:20:20.503Z","2023-06-03T23:20:31.914Z",TRUE,"pitch","fe3a74b8-010e-41ec-88d6-0b6a82d360ad",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,1,NA,NA,3.15,1.48,NA,82.15,165.43,"fly_ball","medium","8",144.39,98.94,NA,NA,TRUE,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Francisco Alvarez flies out to center fielder Kevin Kiermaier.",0,2,1,75,"bottom",9,"2023-06-03T23:18:12.644Z","2023-06-03T23:20:31.914Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.5,84.2,12,0.9,0.4033,6.6924,38.0086,-6.5824,-4.2771,13.7928,0.9142,2.7166,5.0086,-137.2261,-7.688,-0.4027,50.0067,6.046,-7.9386,37.2,2.4,24,2354,208,92,51,257,NA,NA,NA,TRUE,-8.4,22.9,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,502054,"Tommy Pham","/api/v1/people/502054",NA,NA,NA,NA,NA,NA
717910,"2023-06-03",7,"2023-06-03T23:19:40.969Z","2023-06-03T23:19:44.234Z",TRUE,"pitch","61f135e4-7acd-46cb-bc7c-7f28530dd6b4",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,2,1,NA,NA,3.15,1.48,NA,140.35,165.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Francisco Alvarez flies out to center fielder Kevin Kiermaier.",0,2,1,75,"bottom",9,"2023-06-03T23:18:12.644Z","2023-06-03T23:20:31.914Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.9,85.6,1,0.9,0.4016,6.6947,30.8995,-9.8264,-5.8786,11.871,-0.6125,2.6993,2.5395,-136.5453,-6.9371,-0.7924,50.0028,5.9537,-11.0677,43.2,3.6,24,2378,211,NA,NA,NA,NA,NA,NA,FALSE,-10.9,20.2,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,502054,"Tommy Pham","/api/v1/people/502054",NA,NA,NA,NA,NA,NA
717910,"2023-06-03",6,"2023-06-03T23:19:17.908Z","2023-06-03T23:19:23.750Z",TRUE,"pitch","92beb3b9-7f89-4792-9386-d0cba2047ae6",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.15,1.4792,NA,145.27,141.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Francisco Alvarez flies out to center fielder Kevin Kiermaier.",0,2,1,75,"bottom",9,"2023-06-03T23:18:12.644Z","2023-06-03T23:20:31.914Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",85.8,78.5,11,0.88,0.4384,6.5581,25.5119,-19.4691,-8.2362,8.0395,-0.7415,3.6084,3.1319,-124.9899,-2.01,-0.9418,50.0008,6.0239,-13.0121,32.4,6,24,1325,229,NA,NA,NA,NA,NA,NA,FALSE,-22.8,14.3,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,502054,"Tommy Pham","/api/v1/people/502054",NA,NA,NA,NA,NA,NA
717910,"2023-06-03",5,"2023-06-03T23:18:56.913Z","2023-06-03T23:19:00.957Z",TRUE,"pitch","43eb93b9-3698-4b1f-8bd5-c6cbaa6c1ca0",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,1,NA,NA,3.2647,1.4505,NA,141.69,147.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Francisco Alvarez flies out to center fielder Kevin Kiermaier.",0,2,1,75,"bottom",9,"2023-06-03T23:18:12.644Z","2023-06-03T23:20:31.914Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",84.6,76.6,1,0.91,0.4472,6.4985,27.1903,-23.2235,-9.4416,5.9072,-0.6478,3.379,4.4362,-123.062,-1.5687,-1.259,50.0026,6.0153,-14.3051,30,7.2,24,1187,233,NA,NA,NA,NA,NA,NA,FALSE,-28.1,10.6,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,502054,"Tommy Pham","/api/v1/people/502054",NA,NA,NA,NA,NA,NA
717910,"2023-06-03",4,"2023-06-03T23:18:34.560Z","2023-06-03T23:18:39.755Z",TRUE,"pitch","45015226-16f2-476c-8092-cc4e2b2bef09",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.2307,1.5365,NA,126.37,136.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Francisco Alvarez flies out to center fielder Kevin Kiermaier.",0,2,1,75,"bottom",9,"2023-06-03T23:18:12.644Z","2023-06-03T23:20:31.914Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.8,77.5,11,0.91,0.4415,6.4083,28.9823,-25.3443,7.2779,4.4029,-0.2459,3.8024,0.8339,-124.8364,-0.0186,-1.5297,50.0054,5.9252,11.2998,24,7.2,24,2176,135,NA,NA,NA,NA,NA,NA,FALSE,-29.4,8.2,-13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,502054,"Tommy Pham","/api/v1/people/502054",NA,NA,NA,NA,NA,NA
717910,"2023-06-03",3,"2023-06-03T23:18:14.814Z","2023-06-03T23:18:18.428Z",TRUE,"pitch","8b800b18-6f03-485f-a82f-4714d3696eb0",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.15,1.5652,NA,136.98,118.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Francisco Alvarez flies out to center fielder Kevin Kiermaier.",0,2,1,75,"bottom",9,"2023-06-03T23:18:12.644Z","2023-06-03T23:20:31.914Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87,78.2,11,0.9,0.4359,6.4675,30.44,-20.1182,4.8442,7.5749,-0.5241,4.4726,1.0284,-126.5875,0.2462,-1.5663,50.0048,6.0099,7.7121,21.6,6,24,2074,138,NA,NA,NA,NA,NA,NA,FALSE,-22.7,14,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,502054,"Tommy Pham","/api/v1/people/502054",NA,NA,NA,NA,NA,NA
717910,"2023-06-03",0,"2023-06-03T23:17:12.486Z","2023-06-03T23:17:19.500Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Francisco Alvarez replaces Tomas Nido.","Offensive Substitution",2,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,682626,"/api/v1/people/682626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","75","atBat","Flyout","field_out","Francisco Alvarez flies out to center fielder Kevin Kiermaier.",0,2,1,75,"bottom",9,"2023-06-03T23:18:12.644Z","2023-06-03T23:20:31.914Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,621512,"/api/v1/people/621512",TRUE,FALSE,502054,"Tommy Pham","/api/v1/people/502054",NA,NA,NA,NA,NA,NA
717910,"2023-06-03",1,"2023-06-03T23:17:19.500Z","2023-06-03T23:17:50.019Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",2,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Francisco Alvarez flies out to center fielder Kevin Kiermaier.",0,2,1,75,"bottom",9,"2023-06-03T23:18:12.644Z","2023-06-03T23:20:31.914Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,502054,"Tommy Pham","/api/v1/people/502054",NA,NA,NA,NA,NA,NA
717910,"2023-06-03",2,"2023-06-03T23:17:50.019Z","2023-06-03T23:18:14.814Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Tommy Pham replaces Mark Canha.","Offensive Substitution",2,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,502054,"/api/v1/people/502054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","801","75","atBat","Flyout","field_out","Francisco Alvarez flies out to center fielder Kevin Kiermaier.",0,2,1,75,"bottom",9,"2023-06-03T23:18:12.644Z","2023-06-03T23:20:31.914Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,592192,"/api/v1/people/592192",TRUE,FALSE,502054,"Tommy Pham","/api/v1/people/502054",NA,NA,NA,NA,NA,NA
717910,"2023-06-03",8,"2023-06-03T23:20:00.954Z","2023-06-03T23:20:20.503Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",2,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,3,2,1,682626,"/api/v1/people/682626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Francisco Alvarez flies out to center fielder Kevin Kiermaier.",0,2,1,75,"bottom",9,"2023-06-03T23:18:12.644Z","2023-06-03T23:20:31.914Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,502054,"Tommy Pham","/api/v1/people/502054",NA,NA,NA,NA,NA,NA
717910,"2023-06-03",3,"2023-06-03T23:16:41.112Z","2023-06-03T23:16:53.041Z",TRUE,"pitch","80c7430e-8822-42a8-88e6-a27536921820",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,1,1,NA,NA,3.23,1.52,NA,133.19,152.51,"ground_ball","medium","8",137.67,103.6,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Single","single","Mark Canha singles on a ground ball to center fielder Kevin Kiermaier.",0,2,1,74,"bottom",9,"2023-06-03T23:15:21.915Z","2023-06-03T23:16:53.041Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,592192,"Mark Canha","/api/v1/people/592192","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",84.8,78.4,1,0.9,0.4421,6.5673,23.1335,-31.4968,-6.1417,0.4305,-0.4248,3.1954,3.6889,-123.5791,-0.6242,-1.134,50.0003,6.0822,-9.5594,15.6,8.4,24,1110,226,88.5,9,136,NA,NA,NA,FALSE,-36.8,0.8,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,592192,"Mark Canha","/api/v1/people/592192",NA,NA,NA,NA,NA,NA
717910,"2023-06-03",2,"2023-06-03T23:16:24.451Z","2023-06-03T23:16:28.489Z",TRUE,"pitch","eea41af4-22d9-46c2-b23f-5aa65c71c50e",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.23,1.5365,NA,155.68,105.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Single","single","Mark Canha singles on a ground ball to center fielder Kevin Kiermaier.",0,2,1,74,"bottom",9,"2023-06-03T23:15:21.915Z","2023-06-03T23:16:53.041Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,592192,"Mark Canha","/api/v1/people/592192","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",85,78.2,11,0.91,0.4413,6.4783,23.3134,-29.5096,-8.2516,1.7061,-1.0147,4.9478,2.6815,-123.8284,2.9001,-1.0357,50.0032,6.2208,-12.8926,22.8,8.4,24,1096,226,NA,NA,NA,NA,NA,NA,FALSE,-33.6,4,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,592192,"Mark Canha","/api/v1/people/592192",NA,NA,NA,NA,NA,NA
717910,"2023-06-03",1,"2023-06-03T23:16:04.116Z","2023-06-03T23:16:07.425Z",TRUE,"pitch","c66128ab-870f-4213-98b8-96f89544bc5c",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,1,NA,NA,3.23,1.52,NA,110.69,195.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Single","single","Mark Canha singles on a ground ball to center fielder Kevin Kiermaier.",0,2,1,74,"bottom",9,"2023-06-03T23:15:21.915Z","2023-06-03T23:16:53.041Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,592192,"Mark Canha","/api/v1/people/592192","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",85.4,79.3,8,0.9,0.4388,6.5731,22.1788,-24.8261,-8.1155,4.642,0.1655,1.6119,5.4997,-124.2707,-5.5501,-1.0091,50.0023,5.9058,-12.8411,25.2,7.2,24,1168,229,NA,NA,NA,NA,NA,NA,FALSE,-29.6,7.4,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,592192,"Mark Canha","/api/v1/people/592192",NA,NA,NA,NA,NA,NA
