"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
745030,"2024-04-10",5,"2024-04-10T02:32:44.587Z","2024-04-10T02:32:51.666Z",TRUE,"pitch","89bbb6ae-71b9-4e4e-9aec-14f407c8781c",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,3,2,NA,NA,3.5914,1.6762,NA,92.98,167.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Evan Carter called out on strikes.",0,4,3,69,"bottom",9,"2024-04-10T02:30:59.272Z","2024-04-10T02:32:51.666Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,694497,"Evan Carter","/api/v1/people/694497","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101,92.8,6,0.94,0.3723,6.4847,32.5328,-8.9457,-5.5155,10.5825,0.6301,2.6462,9.496,-146.7305,-8.4438,-1.9217,50.0044,6.0832,-12.1088,43.2,2.4,24,2578,212,NA,NA,NA,NA,NA,NA,TRUE,-9,17.8,8.3,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",4,"2024-04-10T02:32:20.374Z","2024-04-10T02:32:24.192Z",TRUE,"pitch","7ad2d9f2-6bdc-4893-a365-a8cb97399820",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.4799,1.4763,NA,93.96,225.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Evan Carter called out on strikes.",0,4,3,69,"bottom",9,"2024-04-10T02:30:59.272Z","2024-04-10T02:32:51.666Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,694497,"Evan Carter","/api/v1/people/694497","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.5,80.5,14,0.84,0.4318,7.1465,27.3634,-32.8092,1.2798,-0.3925,0.6044,0.4793,6.4672,-127.1092,-6.9068,-2.1446,50.0017,5.8546,2.0818,6,8.4,24,2158,26,NA,NA,NA,NA,NA,NA,FALSE,-38.2,-2.2,-3.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",3,"2024-04-10T02:32:03.851Z","2024-04-10T02:32:12.842Z",TRUE,"pitch","f8b026ab-2feb-496d-a28c-56259560bb6d",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.5771,1.6724,NA,141.07,195.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Evan Carter called out on strikes.",0,4,3,69,"bottom",9,"2024-04-10T02:30:59.272Z","2024-04-10T02:32:51.666Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,694497,"Evan Carter","/api/v1/people/694497","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.8,80.8,7,0.84,0.4289,6.5516,27.2031,-34.1459,1.6112,-1.1964,-0.6315,1.5929,3.2877,-127.8781,-4.377,-2.1448,50.0013,6.0153,2.6588,4.8,8.4,24,2217,37,NA,NA,NA,NA,NA,NA,FALSE,-38.4,-3,-3.7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",1,"2024-04-10T02:31:36.273Z","2024-04-10T02:31:40.054Z",TRUE,"pitch","9c7e6cc7-a341-4496-a4db-37fe6220aa25",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.59,1.64,NA,123.79,162.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Evan Carter called out on strikes.",0,4,3,69,"bottom",9,"2024-04-10T02:30:59.272Z","2024-04-10T02:32:51.666Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,694497,"Evan Carter","/api/v1/people/694497","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.1,91.3,5,0.94,0.3769,6.6397,34.5111,-10.5404,-6.1817,10.1157,-0.1782,2.8183,7.5673,-145.4055,-7.5381,-2.0129,50.0042,6.0862,-13.2217,43.2,3.6,24,2616,210,NA,NA,NA,NA,NA,NA,FALSE,-10.4,16.9,9.7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",0,"2024-04-10T02:31:14.768Z","2024-04-10T02:31:18.726Z",TRUE,"pitch","f0ae0b1a-8380-43f7-8b39-1e189b8c8474",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.59,1.64,NA,123.25,154.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Evan Carter called out on strikes.",0,4,3,69,"bottom",9,"2024-04-10T02:30:59.272Z","2024-04-10T02:32:51.666Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,694497,"Evan Carter","/api/v1/people/694497","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.2,91.2,2,0.94,0.3766,6.4326,35.3264,-10.2287,-6.0379,10.2514,-0.1639,3.1317,7.8032,-145.6411,-6.6753,-2.0979,50.0042,6.0774,-12.9273,43.2,3.6,24,2585,214,NA,NA,NA,NA,NA,NA,FALSE,-10.1,17.3,9.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",2,"2024-04-10T02:31:51.124Z","2024-04-10T02:32:03.851Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",4,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,2,694497,"/api/v1/people/694497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Evan Carter called out on strikes.",0,4,3,69,"bottom",9,"2024-04-10T02:30:59.272Z","2024-04-10T02:32:51.666Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,694497,"Evan Carter","/api/v1/people/694497","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",8,"2024-04-10T02:30:46.781Z","2024-04-10T02:30:52.546Z",TRUE,"pitch","8a7d53b1-88b0-42a0-8efd-8adbd6d75a54",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,1,NA,NA,3.38,1.54,NA,91.26,153.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Jared Walsh strikes out swinging.",0,4,3,68,"bottom",9,"2024-04-10T02:28:58.993Z","2024-04-10T02:30:52.546Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,665120,"Jared Walsh","/api/v1/people/665120","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100,91.2,3,0.94,0.3773,6.9489,34.4357,-10.2236,-5.7432,10.2876,0.6753,3.1644,9.589,-145.238,-6.5107,-1.9249,50.0027,6.0589,-12.2548,40.8,2.4,24,2533,221,NA,NA,NA,NA,NA,NA,TRUE,-10.1,17.4,8.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",7,"2024-04-10T02:30:28.921Z","2024-04-10T02:30:34.192Z",TRUE,"pitch","42638cd7-bdf2-4ed4-9eb7-dee51eef4436",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.5781,1.6789,NA,173.77,124.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Jared Walsh strikes out swinging.",0,4,3,68,"bottom",9,"2024-04-10T02:28:58.993Z","2024-04-10T02:30:52.546Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,665120,"Jared Walsh","/api/v1/people/665120","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101.2,92.2,11,0.95,0.372,6.3482,35.9294,-10.6112,-4.3296,9.8271,-1.4893,4.2334,3.4452,-147.3903,-3.9112,-2.1125,50.0004,6.2071,-9.4983,37.2,2.4,24,2581,214,NA,NA,NA,NA,NA,NA,FALSE,-9.6,17.2,7.2,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",6,"2024-04-10T02:30:02.631Z","2024-04-10T02:30:07.408Z",TRUE,"pitch","c8e3bc0e-a1d9-48ff-846e-09fc6358169c",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.38,1.54,NA,114.09,182.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Jared Walsh strikes out swinging.",0,4,3,68,"bottom",9,"2024-04-10T02:28:58.993Z","2024-04-10T02:30:52.546Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,665120,"Jared Walsh","/api/v1/people/665120","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.3,92.1,8,0.93,0.3752,6.474,32.1946,-9.5731,-5.2225,10.459,0.0763,2.0783,7.9266,-145.6215,-9.7917,-1.9946,50.0068,6.052,-11.2897,39.6,2.4,24,2451,217,NA,NA,NA,NA,NA,NA,FALSE,-10,17.3,8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",5,"2024-04-10T02:29:45.403Z","2024-04-10T02:29:51.982Z",TRUE,"pitch","0e041e87-ee02-46dd-9328-4d20996aeca1",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.6156,1.5816,NA,164.09,114.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Jared Walsh strikes out swinging.",0,4,3,68,"bottom",9,"2024-04-10T02:28:58.993Z","2024-04-10T02:30:52.546Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,665120,"Jared Walsh","/api/v1/people/665120","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.9,92.3,11,0.95,0.3725,6.3639,34.2935,-11.4261,-5.2344,9.4732,-1.2355,4.5856,4.6963,-146.9497,-2.6633,-2.1729,50.0068,6.181,-11.4692,40.8,2.4,24,2440,214,NA,NA,NA,NA,NA,NA,FALSE,-10,16.8,8.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",3,"2024-04-10T02:29:20.586Z","2024-04-10T02:29:24.908Z",TRUE,"pitch","1bf48e87-9178-4437-a062-61d586834fee",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,1,NA,NA,3.4715,1.5723,NA,124.15,197.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Jared Walsh strikes out swinging.",0,4,3,68,"bottom",9,"2024-04-10T02:28:58.993Z","2024-04-10T02:30:52.546Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,665120,"Jared Walsh","/api/v1/people/665120","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.7,80.3,8,0.9,0.4333,6.7285,25.2666,-34.9208,4.8751,-1.6985,-0.1875,1.5183,3.5249,-126.3244,-4.3008,-2.2333,50.0013,6.0441,7.893,13.2,9.6,24,2217,39,NA,NA,NA,NA,NA,NA,FALSE,-40.1,-3.8,-9.6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",2,"2024-04-10T02:29:01.233Z","2024-04-10T02:29:04.719Z",TRUE,"pitch","8bb82771-e677-41d2-99ba-c1a78d1546bb",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.38,1.54,NA,102.22,153.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Jared Walsh strikes out swinging.",0,4,3,68,"bottom",9,"2024-04-10T02:28:58.993Z","2024-04-10T02:30:52.546Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,665120,"Jared Walsh","/api/v1/people/665120","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.9,90.5,3,0.94,0.3789,6.4164,36.373,-10.4064,-6.436,10.3035,0.3878,3.1687,8.9868,-144.9995,-6.6048,-1.9268,50.0018,6.1225,-13.5968,43.2,3.6,24,2642,215,NA,NA,NA,NA,NA,NA,FALSE,-10.3,17.3,9.7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",0,"2024-04-10T02:28:16.568Z","2024-04-10T02:28:26.793Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Jared Walsh replaces Davis Wendzel.","Offensive Substitution",4,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,665120,"/api/v1/people/665120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","701","68","atBat","Strikeout","strikeout","Jared Walsh strikes out swinging.",0,4,3,68,"bottom",9,"2024-04-10T02:28:58.993Z","2024-04-10T02:30:52.546Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,665120,"Jared Walsh","/api/v1/people/665120","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,673995,"/api/v1/people/673995",NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",1,"2024-04-10T02:28:26.793Z","2024-04-10T02:29:01.233Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",4,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Jared Walsh strikes out swinging.",0,4,3,68,"bottom",9,"2024-04-10T02:28:58.993Z","2024-04-10T02:30:52.546Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,665120,"Jared Walsh","/api/v1/people/665120","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",4,"2024-04-10T02:29:29.691Z","2024-04-10T02:29:45.403Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",4,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,1,665120,"/api/v1/people/665120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Jared Walsh strikes out swinging.",0,4,3,68,"bottom",9,"2024-04-10T02:28:58.993Z","2024-04-10T02:30:52.546Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,665120,"Jared Walsh","/api/v1/people/665120","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",9,"2024-04-10T02:27:57.926Z","2024-04-10T02:28:10.030Z",TRUE,"pitch","69855f55-8790-47de-9e27-1f44e25021b8",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,0,NA,NA,3.33,1.59,NA,97.39,199.52,"ground_ball","medium","5",99.77,164.37,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Ezequiel Duran grounds out, third baseman Darell Hernaiz to first baseman J. D. Davis.",0,4,3,67,"bottom",9,"2024-04-10T02:26:29.324Z","2024-04-10T02:28:10.030Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,677649,"Ezequiel Duran","/api/v1/people/677649","R","Right",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.4,80.7,14,0.87,0.4307,7.0896,26.341,-31.6786,5.0739,0.3038,0.5146,1.454,5.0456,-127.2206,-5.043,-2.1545,50.0053,5.9759,8.3081,15.6,8.4,24,2175,34,96.5,-15,7,NA,NA,NA,TRUE,-36.2,-0.4,-10.3,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745030,"2024-04-10",8,"2024-04-10T02:27:38.486Z","2024-04-10T02:27:42.273Z",TRUE,"pitch","d7a7ca75-208f-4607-819b-75b7f1367187",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.33,1.59,NA,103.87,164.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Ezequiel Duran grounds out, third baseman Darell Hernaiz to first baseman J. D. Davis.",0,4,3,67,"bottom",9,"2024-04-10T02:26:29.324Z","2024-04-10T02:28:10.030Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,677649,"Ezequiel Duran","/api/v1/people/677649","R","Right",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.3,91,6,0.93,0.3772,6.6464,36.6451,-9.2044,-4.3563,10.7757,0.3444,2.7654,7.9185,-145.6422,-8.2908,-1.8533,50.0044,6.2185,-9.2878,33.6,2.4,24,2510,212,NA,NA,NA,NA,NA,NA,FALSE,-9.6,17.9,6.2,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
