"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718446,"2023-04-25",6,"2023-04-25T04:07:52.033Z","2023-04-25T04:07:59.678Z",TRUE,"pitch","6a6e2bc5-2978-45d4-a0e7-87b7015cf21a",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,2,NA,NA,3.12,1.57,NA,126.32,182.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Tyler O'Neill strikes out swinging.",0,0,4,68,"top",9,"2023-04-25T04:06:16.865Z","2023-04-25T04:07:59.678Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,641933,"Tyler O'Neill","/api/v1/people/641933","R","Right",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",90,82.1,5,2,0.4196,6.2698,28.9082,-26.1342,-9.911,3.5051,-0.2446,2.0695,7.3705,-130.7962,-3.6708,-1.8186,50.0053,5.4625,-17.0868,30,7.2,24,1961,233,NA,NA,NA,NA,NA,NA,TRUE,-28.3,5.6,16.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",5,"2023-04-25T04:07:39.802Z","2023-04-25T04:07:43.912Z",TRUE,"pitch","95f1c7bb-e8aa-452e-8cd8-5633343d6d7d",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.232,1.5668,NA,178.57,186.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Tyler O'Neill strikes out swinging.",0,0,4,68,"top",9,"2023-04-25T04:06:16.865Z","2023-04-25T04:07:59.678Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,641933,"Tyler O'Neill","/api/v1/people/641933","R","Right",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",91.6,84.2,13,2,0.4107,6.2101,28.3436,-28.4357,-8.5407,2.0708,-1.6152,1.9199,3.6565,-133.32,-3.915,-1.8941,50.0006,5.457,-15.3904,26.4,7.2,24,1697,229,NA,NA,NA,NA,NA,NA,FALSE,-29.4,3.1,14.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",3,"2023-04-25T04:07:14.770Z","2023-04-25T04:07:18.638Z",TRUE,"pitch","0e86cca5-73cc-4e6f-999b-7d76b55d3137",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.12,1.57,NA,105.95,152.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Tyler O'Neill strikes out swinging.",0,0,4,68,"top",9,"2023-04-25T04:06:16.865Z","2023-04-25T04:07:59.678Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,641933,"Tyler O'Neill","/api/v1/people/641933","R","Right",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.3,85.9,3,2,0.3999,6.2466,30.7936,-18.1733,-8.6618,7.3701,0.2898,3.1887,8.2839,-137.0679,-2.7816,-1.6488,50.002,5.4602,-16.4522,38.4,4.8,24,2018,287,NA,NA,NA,NA,NA,NA,FALSE,-17.9,13,13.9,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",2,"2023-04-25T04:07:00.785Z","2023-04-25T04:07:05.043Z",TRUE,"pitch","c949b0a8-813c-4e37-943c-78ac4cf63636",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,2,NA,NA,3.2863,1.651,NA,120.29,147.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Tyler O'Neill strikes out swinging.",0,0,4,68,"top",9,"2023-04-25T04:06:16.865Z","2023-04-25T04:07:59.678Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,641933,"Tyler O'Neill","/api/v1/people/641933","R","Right",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.7,86.4,2,2,0.398,6.1489,30.7994,-25.3784,-11.7468,3.5453,-0.0863,3.3868,8.422,-137.6545,-1.2469,-1.6606,50.0045,5.5652,-22.5265,38.4,7.2,24,2209,222,NA,NA,NA,NA,NA,NA,FALSE,-24.2,6.4,19.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",1,"2023-04-25T04:06:42.780Z","2023-04-25T04:06:48.267Z",TRUE,"pitch","ca387ff9-6485-476f-86e5-42195e8e2141",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.2607,1.6251,NA,127.09,142.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Tyler O'Neill strikes out swinging.",0,0,4,68,"top",9,"2023-04-25T04:06:16.865Z","2023-04-25T04:07:59.678Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,641933,"Tyler O'Neill","/api/v1/people/641933","R","Right",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.2,86,11,2,0.3997,6.2029,30.1879,-18.7248,-7.9405,7.0719,-0.2646,3.5696,6.8068,-137.009,-1.991,-1.7492,50.0024,5.585,-15.1003,36,4.8,24,2126,224,NA,NA,NA,NA,NA,NA,FALSE,-18.2,12.6,13,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",0,"2023-04-25T04:06:30.066Z","2023-04-25T04:06:35.152Z",TRUE,"pitch","87d70c2a-9967-42df-8b26-ca45bce8e030",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.232,1.5959,NA,159.69,161.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Tyler O'Neill strikes out swinging.",0,0,4,68,"top",9,"2023-04-25T04:06:16.865Z","2023-04-25T04:07:59.678Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,641933,"Tyler O'Neill","/api/v1/people/641933","R","Right",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",84.6,77.3,11,2,0.4462,5.8603,26.3708,-40.3032,5.9332,-5.3411,-1.1201,2.859,0.118,-123.1572,1.1177,-1.9384,50.0003,5.8303,9.0363,13.2,10.8,24,2778,40,NA,NA,NA,NA,NA,NA,FALSE,-47.5,-9.1,-10.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",4,"2023-04-25T04:07:32.743Z","2023-04-25T04:07:39.802Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",0,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,2,2,641933,"/api/v1/people/641933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Tyler O'Neill strikes out swinging.",0,0,4,68,"top",9,"2023-04-25T04:06:16.865Z","2023-04-25T04:07:59.678Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,641933,"Tyler O'Neill","/api/v1/people/641933","R","Right",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",4,"2023-04-25T04:05:57.747Z","2023-04-25T04:06:06.361Z",TRUE,"pitch","d378e1ad-570e-4439-b32f-d5b446f54e1c",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,1,NA,NA,3.43,1.63,NA,146.95,195.88,"ground_ball","medium","5",103.53,156.49,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Alec Burleson grounds out, third baseman J. D. Davis to first baseman LaMonte Wade Jr.",0,0,4,67,"top",9,"2023-04-25T04:04:50.597Z","2023-04-25T04:06:06.361Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,676475,"Alec Burleson","/api/v1/people/676475","L","Left",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",88.6,81.2,7,2,0.4254,6.1482,27.2415,-26.868,-9.0017,3.1637,-0.7857,1.5888,6.0232,-128.8451,-4.9841,-1.9864,50.0038,5.6293,-15.1071,26.4,7.2,24,1803,232,96.1,-4,16,NA,NA,NA,TRUE,-30.1,4.8,14.9,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",3,"2023-04-25T04:05:38.602Z","2023-04-25T04:05:42.525Z",TRUE,"pitch","18fd1f00-71ac-4f7c-95a4-3bcfe70c9794",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,1,NA,NA,3.43,1.63,NA,105.7,136.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Alec Burleson grounds out, third baseman J. D. Davis to first baseman LaMonte Wade Jr.",0,0,4,67,"top",9,"2023-04-25T04:04:50.597Z","2023-04-25T04:06:06.361Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,676475,"Alec Burleson","/api/v1/people/676475","L","Left",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.2,85.9,12,2,0.4024,6.2275,26.975,-22.1895,-8.6278,5.3122,0.2964,3.7756,8.3444,-135.6122,-0.8126,-1.6852,50.006,5.6134,-16.2284,33.6,6,24,2018,317,NA,NA,NA,NA,NA,NA,FALSE,-21.6,9.7,14,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",2,"2023-04-25T04:05:24.924Z","2023-04-25T04:05:29.633Z",TRUE,"pitch","d6c7ee57-9fb8-4aff-a1be-f62863959a4b",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.4555,1.6559,NA,94.8,129.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Alec Burleson grounds out, third baseman J. D. Davis to first baseman LaMonte Wade Jr.",0,0,4,67,"top",9,"2023-04-25T04:04:50.597Z","2023-04-25T04:06:06.361Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,676475,"Alec Burleson","/api/v1/people/676475","L","Left",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.9,86.7,12,2,0.397,6.1533,30.0335,-23.5819,-11.3081,4.4594,0.5825,4.0455,10.008,-137.8448,-0.004,-1.6222,50.0066,5.6362,-21.8123,39.6,6,24,2463,222,NA,NA,NA,NA,NA,NA,FALSE,-22.2,8.3,18.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",1,"2023-04-25T04:05:13.259Z","2023-04-25T04:05:17.571Z",TRUE,"pitch","786a2386-59de-4e19-a683-5632beda23df",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.4555,1.685,NA,129.49,211.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Alec Burleson grounds out, third baseman J. D. Davis to first baseman LaMonte Wade Jr.",0,0,4,67,"top",9,"2023-04-25T04:04:50.597Z","2023-04-25T04:06:06.361Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,676475,"Alec Burleson","/api/v1/people/676475","L","Left",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",89.4,82.1,13,2,0.4218,6.0084,27.3852,-24.5329,-11.3713,4.4774,-0.3276,1.006,7.8229,-129.8826,-7.0563,-1.9023,50.0035,5.6255,-19.415,34.8,7.2,24,1913,231,NA,NA,NA,NA,NA,NA,FALSE,-27.6,6.7,18.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",0,"2023-04-25T04:05:02.839Z","2023-04-25T04:05:07.520Z",TRUE,"pitch","558ac866-3457-4ebc-a125-c38d1184ea12",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.5129,1.6559,NA,140.18,192.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Alec Burleson grounds out, third baseman J. D. Davis to first baseman LaMonte Wade Jr.",0,0,4,67,"top",9,"2023-04-25T04:04:50.597Z","2023-04-25T04:06:06.361Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,676475,"Alec Burleson","/api/v1/people/676475","L","Left",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",91.1,83.8,7,2,0.4127,6.1914,27.3836,-24.854,-9.7627,4.1032,-0.608,1.7162,6.949,-132.5416,-5.1723,-1.9907,50.0055,5.4996,-17.4344,32.4,7.2,24,1861,237,NA,NA,NA,NA,NA,NA,FALSE,-26.4,6.5,16.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",6,"2023-04-25T04:04:31.505Z","2023-04-25T04:04:41.447Z",TRUE,"pitch","34841b9b-d603-42f1-a973-fee9a922f620",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,0,NA,NA,3.34,1.61,NA,108.88,192.76,"fly_ball","medium","9",190.09,78.3,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Willson Contreras flies out to right fielder Michael Conforto.",0,0,4,66,"top",9,"2023-04-25T04:03:04.735Z","2023-04-25T04:04:41.447Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,575929,"Willson Contreras","/api/v1/people/575929","R","Right",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",90.7,83.4,8,2,0.415,6.2488,26.7085,-23.1751,-10.3448,5.0955,0.2129,1.7043,8.8432,-131.7414,-5.4408,-1.8353,50.0035,5.4981,-18.2735,34.8,7.2,24,1774,231,99.5,26,339,NA,NA,NA,TRUE,-25,8.3,16.9,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",5,"2023-04-25T04:04:13.808Z","2023-04-25T04:04:17.561Z",TRUE,"pitch","5cd8819f-464d-4e9b-b4e5-63fb1ed0c2ac",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.34,1.61,NA,90.83,141.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Willson Contreras flies out to right fielder Michael Conforto.",0,0,4,66,"top",9,"2023-04-25T04:03:04.735Z","2023-04-25T04:04:41.447Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,575929,"Willson Contreras","/api/v1/people/575929","R","Right",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.6,87.2,12,2,0.3965,6.2109,27.5793,-23.9767,-10.5685,4.2362,0.6866,3.6054,9.9011,-137.5874,-1.1316,-1.5677,50.0067,5.6312,-20.4759,37.2,6,24,2123,226,NA,NA,NA,NA,NA,NA,FALSE,-22.7,7.7,17.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",4,"2023-04-25T04:03:59.524Z","2023-04-25T04:04:04.305Z",TRUE,"pitch","979f0834-cec1-456f-8c76-500a404f2a55",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,0,NA,NA,3.2217,1.4902,NA,134.34,151.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Willson Contreras flies out to right fielder Michael Conforto.",0,0,4,66,"top",9,"2023-04-25T04:03:04.735Z","2023-04-25T04:04:41.447Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,575929,"Willson Contreras","/api/v1/people/575929","R","Right",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.7,78.6,1,2,0.4395,6.1102,25.7025,-36.151,9.2013,-2.5299,-0.4549,3.2495,0.6898,-124.7489,1.34,-1.9301,50.0022,5.6912,14.4641,21.6,9.6,24,2426,10,NA,NA,NA,NA,NA,NA,FALSE,-41.3,-4,-16.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",2,"2023-04-25T04:03:21.013Z","2023-04-25T04:03:28.006Z",TRUE,"pitch","8eb61dc9-15bb-4faa-94d5-137943f25983",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,0,NA,NA,3.34,1.61,NA,126.2,200.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Willson Contreras flies out to right fielder Michael Conforto.",0,0,4,66,"top",9,"2023-04-25T04:03:04.735Z","2023-04-25T04:04:41.447Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,575929,"Willson Contreras","/api/v1/people/575929","R","Right",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.6,85.7,13,2,0.4008,6.1604,34.0254,-24.5906,-11.0131,4.0225,-0.2413,1.4106,7.8115,-137.3327,-6.4634,-1.7101,50.006,5.4982,-20.7727,36,7.2,24,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,-25.1,5.9,18,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718446,"2023-04-25",1,"2023-04-25T04:03:06.835Z","2023-04-25T04:03:12.458Z",TRUE,"pitch","559608f4-7ef0-4125-99df-0f433bb3114f",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.308,1.5777,NA,159.44,149.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Willson Contreras flies out to right fielder Michael Conforto.",0,0,4,66,"top",9,"2023-04-25T04:03:04.735Z","2023-04-25T04:04:41.447Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,575929,"Willson Contreras","/api/v1/people/575929","R","Right",502171,"Alex Cobb","/api/v1/people/502171","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","San Francisco Giants",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",83,75.7,11,2,0.4557,5.934,25.893,-45.4516,4.8869,-9.0986,-1.1134,3.3079,0.1865,-120.7082,3.276,-1.8258,50.0023,5.9654,7.132,9.6,13.2,24,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,-55.3,-15.2,-8.9,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
