"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718110,"2023-05-19",4,"2023-05-20T01:50:37.867Z","2023-05-20T01:50:41.135Z",TRUE,"pitch","08cae16d-fb0a-4851-b3c5-c95786065dcf",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.41,1.59,NA,134.3,194.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Eugenio Suarez strikes out swinging.",0,2,6,68,"top",9,"2023-05-20T01:49:36.502Z","2023-05-20T01:50:41.135Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,553993,"Eugenio Suárez","/api/v1/people/553993","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.3,82.7,7,2,0.4172,6.3337,28.4116,-28.7398,-9.8088,1.9676,-0.4538,1.6324,6.4394,-131.3916,-3.8332,-1.6648,50.0013,5.251,-17.111,27.6,7.2,24,1869,244,NA,NA,NA,NA,NA,NA,TRUE,-30.7,2.9,16.3,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",3,"2023-05-20T01:50:23.362Z","2023-05-20T01:50:26.546Z",TRUE,"pitch","c723db0c-12e4-4032-b6a5-c02d150ffd45",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.4101,1.6129,NA,53.87,179.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Eugenio Suarez strikes out swinging.",0,2,6,68,"top",9,"2023-05-20T01:49:36.502Z","2023-05-20T01:50:41.135Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,553993,"Eugenio Suárez","/api/v1/people/553993","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.6,86.6,14,2,0.3989,6.2771,29.4828,-20.5107,-8.5115,6.1052,1.6563,2.1983,13.2084,-137.1502,-3.513,-2.1097,50.0057,4.8897,-16.2684,32.4,4.8,24,2451,239,NA,NA,NA,NA,NA,NA,FALSE,-20.3,10.4,12.7,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",2,"2023-05-20T01:50:09.503Z","2023-05-20T01:50:13.256Z",TRUE,"pitch","ed33c48a-9652-4482-9ccd-220a7e6cf378",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.4562,1.6129,NA,48.05,218.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Eugenio Suarez strikes out swinging.",0,2,6,68,"top",9,"2023-05-20T01:49:36.502Z","2023-05-20T01:50:41.135Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,553993,"Eugenio Suárez","/api/v1/people/553993","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.3,79.2,14,2,0.4402,6.0564,23.0572,-26.3516,4.2998,3.7057,1.8088,0.7632,6.4311,-124.0549,-5.6691,-1.3682,50.0017,5.2536,6.7508,15.6,7.2,24,2614,64,NA,NA,NA,NA,NA,NA,FALSE,-31.7,5.8,-9.2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",1,"2023-05-20T01:49:56.961Z","2023-05-20T01:50:01.879Z",TRUE,"pitch","1679252b-6dfd-459e-b189-b557a9c8e808",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.41,1.59,NA,86.69,201.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Eugenio Suarez strikes out swinging.",0,2,6,68,"top",9,"2023-05-20T01:49:36.502Z","2023-05-20T01:50:41.135Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,553993,"Eugenio Suárez","/api/v1/people/553993","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.8,78.9,14,2,0.4391,6.4928,25.7027,-30.2081,3.4563,1.2455,0.7951,1.3722,6.5733,-124.8593,-2.6499,-2.3229,50.0006,4.9389,5.4427,12,8.4,24,2614,85,NA,NA,NA,NA,NA,NA,FALSE,-35.4,1.9,-7.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",0,"2023-05-20T01:49:45.599Z","2023-05-20T01:49:50.053Z",TRUE,"pitch","e4547a14-d002-4973-9625-7d3703c81bea",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.5484,1.6589,NA,119.89,175.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Eugenio Suarez strikes out swinging.",0,2,6,68,"top",9,"2023-05-20T01:49:36.502Z","2023-05-20T01:50:41.135Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,553993,"Eugenio Suárez","/api/v1/people/553993","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,87.6,5,2,0.394,6.1286,30.1938,-17.8869,-4.3818,7.293,-0.0757,2.3533,5.5865,-138.8528,-5.4615,-1.5415,50.0025,5.5304,-8.5832,21.6,4.8,24,2334,216,NA,NA,NA,NA,NA,NA,FALSE,-17.6,12.2,6.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",6,"2023-05-20T01:49:12.973Z","2023-05-20T01:49:20.127Z",TRUE,"pitch","3f434b78-7236-471e-9196-ebac400fe302",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,1,NA,NA,3.38,1.6,NA,149.87,178.52,"ground_ball","medium","4",152.66,158.74,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Jarred Kelenic grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",0,2,6,67,"top",9,"2023-05-20T01:47:38.388Z","2023-05-20T01:49:20.127Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,672284,"Jarred Kelenic","/api/v1/people/672284","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",87.6,80.3,13,2,0.4296,6.092,26.6864,-28.8019,-9.7008,2.0526,-0.8623,2.2318,4.7753,-127.573,-2.1771,-1.4998,50.0049,5.3705,-15.9628,27.6,8.4,24,1917,239,79.8,-36,5,NA,NA,NA,TRUE,-32.2,3.5,16.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",5,"2023-05-20T01:48:57.488Z","2023-05-20T01:49:01.001Z",TRUE,"pitch","91f93f57-9587-4f75-af5a-7c802f518a20",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,2,1,NA,NA,3.38,1.6,NA,140.44,151.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Jarred Kelenic grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",0,2,6,67,"top",9,"2023-05-20T01:47:38.388Z","2023-05-20T01:49:20.127Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,672284,"Jarred Kelenic","/api/v1/people/672284","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94,85.4,1,2,0.4014,6.2695,31.7844,-14.9145,-4.9138,9.167,-0.6148,3.2152,4.194,-136.752,-3.1532,-1.5343,50.0043,5.414,-9.2538,27.6,3.6,24,2269,224,NA,NA,NA,NA,NA,NA,FALSE,-15,16.1,7.9,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",3,"2023-05-20T01:48:32.204Z","2023-05-20T01:48:36.211Z",TRUE,"pitch","1453d279-7f37-4f9d-8550-839d9ff0067f",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.4031,1.5998,NA,150.77,207.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Jarred Kelenic grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",0,2,6,67,"top",9,"2023-05-20T01:47:38.388Z","2023-05-20T01:49:20.127Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,672284,"Jarred Kelenic","/api/v1/people/672284","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88,80.5,13,2,0.4288,6.1985,27.4301,-28.241,-11.0413,2.3815,-0.8859,1.1728,5.5885,-127.9399,-4.6311,-1.669,50.0011,5.2305,-18.2255,30,8.4,24,1934,244,NA,NA,NA,NA,NA,NA,FALSE,-32,3.5,18.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",2,"2023-05-20T01:48:19.365Z","2023-05-20T01:48:23.791Z",TRUE,"pitch","a606c03c-90d2-4d82-95dd-5bf888b51e76",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,1,1,NA,NA,3.38,1.6,NA,138.06,209.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Jarred Kelenic grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",0,2,6,67,"top",9,"2023-05-20T01:47:38.388Z","2023-05-20T01:49:20.127Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,672284,"Jarred Kelenic","/api/v1/people/672284","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",87.5,80.5,13,2,0.4302,6.165,26.099,-28.2805,-9.9083,2.3694,-0.5526,1.0688,5.9027,-127.3142,-4.8967,-1.6136,50.0025,5.255,-16.2677,27.6,8.4,24,1847,243,NA,NA,NA,NA,NA,NA,FALSE,-32.3,3.4,16.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",1,"2023-05-20T01:48:04.811Z","2023-05-20T01:48:08.660Z",TRUE,"pitch","03a9a76b-883a-47c0-8678-07f3f5d359be",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.4031,1.5768,NA,162.2,156.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Jarred Kelenic grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",0,2,6,67,"top",9,"2023-05-20T01:47:38.388Z","2023-05-20T01:49:20.127Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,672284,"Jarred Kelenic","/api/v1/people/672284","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.6,81.3,11,2,0.4243,6.2226,26.5225,-27.8129,-9.685,2.5868,-1.1859,3.0636,4.5669,-129.0135,-0.6158,-1.7194,50.0053,5.4466,-16.3492,28.8,7.2,24,1941,240,NA,NA,NA,NA,NA,NA,FALSE,-30,4.8,16.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",0,"2023-05-20T01:47:53.719Z","2023-05-20T01:47:56.982Z",TRUE,"pitch","5f8c281a-4107-4d41-a79d-9120c9b6ad6c",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.4954,1.6689,NA,174.78,140.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Jarred Kelenic grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",0,2,6,67,"top",9,"2023-05-20T01:47:38.388Z","2023-05-20T01:49:20.127Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,672284,"Jarred Kelenic","/api/v1/people/672284","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,87.1,11,2,0.3943,6.0273,31.7973,-13.8605,-5.2721,9.3764,-1.5157,3.6273,1.9383,-139.0332,-2.9638,-1.5377,50.0056,5.6297,-10.3006,33.6,3.6,24,2371,219,NA,NA,NA,NA,NA,NA,FALSE,-13.4,16.6,9.1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",4,"2023-05-20T01:48:45.058Z","2023-05-20T01:48:57.488Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",2,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,3,1,1,672284,"/api/v1/people/672284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Jarred Kelenic grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",0,2,6,67,"top",9,"2023-05-20T01:47:38.388Z","2023-05-20T01:49:20.127Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,672284,"Jarred Kelenic","/api/v1/people/672284","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",3,"2023-05-20T01:47:20.842Z","2023-05-20T01:47:28.350Z",TRUE,"pitch","c74652c3-cc25-42ea-b087-a2414bbebfa7",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,0,NA,NA,3.22,1.45,NA,66.6,184.92,"ground_ball","medium","6",114.61,169.23,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Groundout","field_out","Julio Rodriguez grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,2,6,66,"top",9,"2023-05-20T01:47:06.711Z","2023-05-20T01:47:28.350Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,677594,"Julio Rodríguez","/api/v1/people/677594","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.1,77.9,14,2,0.4432,6.2406,25.8437,-24.0238,4.0595,5.2748,1.3222,1.9946,5.9938,-123.8225,-3.2531,-1.6617,50.0024,5.3463,6.2729,16.8,7.2,24,2682,76,64.7,-12,12,NA,NA,NA,TRUE,-28.9,9,-8.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",2,"2023-05-20T01:47:09.048Z","2023-05-20T01:47:12.324Z",TRUE,"pitch","915c0ae4-bfe8-445c-9835-97f9015cc3f9",1,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,1,0,NA,NA,3.22,1.45,NA,145.35,159.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Groundout","field_out","Julio Rodriguez grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,2,6,66,"top",9,"2023-05-20T01:47:06.711Z","2023-05-20T01:47:28.350Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,677594,"Julio Rodríguez","/api/v1/people/677594","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83,76,1,2,0.4534,5.6493,24.1871,-24.7211,4.0555,5.0456,-0.7438,2.92,1.6949,-120.9354,-0.9286,-1.9812,50.0028,5.4827,5.9903,14.4,7.2,24,2506,94,NA,NA,NA,NA,NA,NA,FALSE,-30.5,9.1,-7.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",0,"2023-05-20T01:45:40.205Z","2023-05-20T01:45:40.247Z",FALSE,"action",NA,NA,"Kevin Pillar remains in the game as the left fielder.","Defensive Switch",2,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,607680,"/api/v1/people/607680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"7","Outfielder","Outfielder","LF","501","66","atBat","Groundout","field_out","Julio Rodriguez grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,2,6,66,"top",9,"2023-05-20T01:47:06.711Z","2023-05-20T01:47:28.350Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,677594,"Julio Rodríguez","/api/v1/people/677594","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,592696,"/api/v1/people/592696",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",1,"2023-05-20T01:45:40.247Z","2023-05-20T01:47:09.048Z",FALSE,"action",NA,NA,"Pitching Change: Raisel Iglesias replaces Nick Anderson.","Pitching Substitution",2,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,628452,"/api/v1/people/628452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"66","atBat","Groundout","field_out","Julio Rodriguez grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,2,6,66,"top",9,"2023-05-20T01:47:06.711Z","2023-05-20T01:47:28.350Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,677594,"Julio Rodríguez","/api/v1/people/677594","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Atlanta Braves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718110,"2023-05-19",2,"2023-05-20T01:44:17.335Z","2023-05-20T01:44:24.972Z",TRUE,"pitch","6830a428-9ecb-48da-913b-7230059b7b28",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,2,NA,NA,3.47,1.59,NA,120.47,181.6,"ground_ball","medium","4",151.45,153.29,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Michael Harris II grounds out, second baseman Jose Caballero to first baseman Ty France.",0,2,6,65,"bottom",8,"2023-05-20T01:43:40.554Z","2023-05-20T01:44:24.972Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,671739,"Michael Harris II","/api/v1/people/671739","L","Left",642048,"Tayler Saucedo","/api/v1/people/642048","L","Left","vs_LHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves","Seattle Mariners","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.2,84.2,8,0.92,0.4095,6.6687,29.9906,-29.7691,10.4648,1.3304,-0.0911,2.1176,-8.1474,-133.9641,-3.3198,1.6358,50.006,5.51,18.9504,30,8.4,24,2304,128,107.1,-13,11,NA,NA,NA,TRUE,-30.5,1.8,-17.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
