"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717820,"2023-06-10",5,"2023-06-10T21:06:07.021Z","2023-06-10T21:06:11.196Z",TRUE,"pitch","8fccb93f-290a-4767-b651-bb73d1e4fa94",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,2,NA,NA,3.28,1.49,NA,83.73,148.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Jake Burger strikes out swinging.",0,5,1,76,"bottom",9,"2023-06-10T21:04:21.943Z","2023-06-10T21:06:11.196Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,669394,"Jake Burger","/api/v1/people/669394","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.5,85.1,12,0.9,0.4035,7.0637,30.3477,-16.3776,6.275,8.4705,0.8727,3.3615,-8.735,-135.8415,-2.3583,3.3178,50.0031,5.3823,11.7034,30,4.8,24,2206,128,NA,NA,NA,NA,NA,NA,TRUE,-16.4,15,-9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717820,"2023-06-10",4,"2023-06-10T21:05:45.753Z","2023-06-10T21:05:50.261Z",TRUE,"pitch","973e99bb-4d03-44bf-af81-da48f98d99c7",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,2.9383,1.4501,NA,150.54,194.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Jake Burger strikes out swinging.",0,5,1,76,"bottom",9,"2023-06-10T21:04:21.943Z","2023-06-10T21:06:11.196Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,669394,"Jake Burger","/api/v1/people/669394","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.5,86.2,13,0.9,0.4004,8.7099,30.5905,-15.422,7.39,8.8392,-0.8799,1.6223,-13.4915,-136.8744,-6.7502,3.1558,50.0003,5.1789,14.0023,33.6,4.8,24,2293,129,NA,NA,NA,NA,NA,NA,FALSE,-16.3,14.6,-10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717820,"2023-06-10",3,"2023-06-10T21:05:25.059Z","2023-06-10T21:05:28.337Z",TRUE,"pitch","419b7d04-c84d-46bf-9cb9-92e2df8a65fe",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,2.9383,1.4501,NA,136.19,207.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Jake Burger strikes out swinging.",0,5,1,76,"bottom",9,"2023-06-10T21:04:21.943Z","2023-06-10T21:06:11.196Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,669394,"Jake Burger","/api/v1/people/669394","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.3,76.2,13,0.91,0.4542,8.7091,25.2095,-23.9472,-2.4316,5.5933,-0.5034,1.1514,-8.3643,-120.9289,-4.5918,3.3264,50.0012,5.1945,-3.5724,12,7.2,24,2397,253,NA,NA,NA,NA,NA,NA,FALSE,-30.6,9.1,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717820,"2023-06-10",2,"2023-06-10T21:05:05.726Z","2023-06-10T21:05:09.158Z",TRUE,"pitch","a5ca9910-a953-4b81-8f97-c7c202ea9113",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.0677,1.4501,NA,100.72,122.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Jake Burger strikes out swinging.",0,5,1,76,"bottom",9,"2023-06-10T21:04:21.943Z","2023-06-10T21:06:11.196Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,669394,"Jake Burger","/api/v1/people/669394","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.1,86.3,12,0.88,0.3974,8.392,32.0355,-20.4134,7.5882,6.1232,0.4272,4.3183,-10.1795,-138.0529,0.4388,3.1842,50.0055,5.5362,14.5828,31.2,4.8,24,2214,130,NA,NA,NA,NA,NA,NA,FALSE,-19.1,11.4,-11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717820,"2023-06-10",1,"2023-06-10T21:04:47.583Z","2023-06-10T21:04:51.635Z",TRUE,"pitch","13dca4f6-6b84-4975-8a0e-4be500333344",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.28,1.49,NA,145.53,213.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Jake Burger strikes out swinging.",0,5,1,76,"bottom",9,"2023-06-10T21:04:21.943Z","2023-06-10T21:06:11.196Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,669394,"Jake Burger","/api/v1/people/669394","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.8,77.9,13,0.9,0.4456,7.641,25.394,-28.2392,-2.6279,2.5729,-0.7486,0.9543,-9.0491,-123.1194,-4.2686,3.322,50.0015,5.1116,-4.0169,10.8,8.4,24,2511,223,NA,NA,NA,NA,NA,NA,FALSE,-34.4,3.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717820,"2023-06-10",0,"2023-06-10T21:04:29.778Z","2023-06-10T21:04:32.778Z",TRUE,"pitch","be065587-1f30-4860-aa75-6b04cbed2e19",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.28,1.49,NA,174.18,193.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Jake Burger strikes out swinging.",0,5,1,76,"bottom",9,"2023-06-10T21:04:21.943Z","2023-06-10T21:06:11.196Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,669394,"Jake Burger","/api/v1/people/669394","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.4,77.7,13,0.9,0.4472,7.1303,24.3819,-27.5869,-1.8018,3.0209,-1.5,1.6663,-10.8267,-122.5201,-3.0012,3.2118,50.0043,5.2667,-2.7357,9.6,7.2,24,2375,260,NA,NA,NA,NA,NA,NA,FALSE,-33.6,4.9,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717820,"2023-06-10",5,"2023-06-10T21:03:49.021Z","2023-06-10T21:04:05.442Z",TRUE,"pitch","bb61e161-65ed-4688-ae00-80d20571c797",5,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,2,2,NA,NA,3.32,1.48,NA,126.62,173.66,"line_drive","medium","7",50.17,108.53,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Double","double","Yoan Moncada doubles (8) on a line drive to left fielder Bryan De La Cruz.",0,5,1,75,"bottom",9,"2023-06-10T21:02:09.970Z","2023-06-10T21:04:05.442Z",TRUE,FALSE,FALSE,FALSE,34,2,2,2,660162,"Yoán Moncada","/api/v1/people/660162","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83,76.4,5,0.91,0.4538,7.6181,23.1498,-24.8324,-2.0797,4.9717,-0.2523,2.4117,-8.2851,-120.639,-1.6194,3.4945,50.001,5.2775,-3.0684,10.8,7.2,24,2330,256,84.4,20,238,NA,NA,NA,FALSE,-30.8,8.9,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,660162,"Yoán Moncada","/api/v1/people/660162",NA,NA,NA
717820,"2023-06-10",4,"2023-06-10T21:03:30.718Z","2023-06-10T21:03:34.635Z",TRUE,"pitch","2a1c49a1-a380-4157-b37b-cbc7f458cab4",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.1508,1.4401,NA,121.73,224.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Double","double","Yoan Moncada doubles (8) on a line drive to left fielder Bryan De La Cruz.",0,5,1,75,"bottom",9,"2023-06-10T21:02:09.970Z","2023-06-10T21:04:05.442Z",TRUE,FALSE,FALSE,FALSE,34,2,2,2,660162,"Yoán Moncada","/api/v1/people/660162","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.9,77.7,13,0.9,0.4485,7.5805,23.4939,-27.6315,-3.2435,3.0032,-0.124,0.5179,-7.4997,-122.0236,-5.2313,3.4078,50.0025,5.0637,-4.9,12,8.4,24,2441,260,NA,NA,NA,NA,NA,NA,FALSE,-34.3,4.4,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717820,"2023-06-10",2,"2023-06-10T21:02:59.343Z","2023-06-10T21:03:02.691Z",TRUE,"pitch","b1b54060-1b88-4d70-b6d7-ba1e51d02ffb",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.32,1.48,NA,79.79,169.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Double","double","Yoan Moncada doubles (8) on a line drive to left fielder Bryan De La Cruz.",0,5,1,75,"bottom",9,"2023-06-10T21:02:09.970Z","2023-06-10T21:04:05.442Z",TRUE,FALSE,FALSE,FALSE,34,2,2,2,660162,"Yoán Moncada","/api/v1/people/660162","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,86.9,12,0.86,0.397,7.832,29.2403,-19.6822,8.6584,6.4728,0.9761,2.5712,-9.359,-137.7217,-3.9507,3.2859,50.0036,5.3475,16.7121,36,4.8,24,2295,130,NA,NA,NA,NA,NA,NA,FALSE,-19.3,11.2,-13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717820,"2023-06-10",1,"2023-06-10T21:02:42.553Z","2023-06-10T21:02:45.566Z",TRUE,"pitch","1be4eb4d-faf0-4771-b40c-a052f7c8b5aa",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.32,1.48,NA,110.44,182.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Double","double","Yoan Moncada doubles (8) on a line drive to left fielder Bryan De La Cruz.",0,5,1,75,"bottom",9,"2023-06-10T21:02:09.970Z","2023-06-10T21:04:05.442Z",TRUE,FALSE,FALSE,FALSE,34,2,2,2,660162,"Yoán Moncada","/api/v1/people/660162","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.3,86.8,5,0.9,0.3989,8.3388,27.6085,-18.9884,8.0995,6.8901,0.1722,2.0921,-11.3249,-136.8358,-5.0849,3.2947,50.0035,5.2585,15.5017,33.6,4.8,24,2291,126,NA,NA,NA,NA,NA,NA,FALSE,-19.1,11.6,-12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717820,"2023-06-10",0,"2023-06-10T21:02:27.203Z","2023-06-10T21:02:31.098Z",TRUE,"pitch","2f6191a8-6f35-4a16-98ed-38d1178750ff",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.1293,1.4401,NA,81.51,169.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Double","double","Yoan Moncada doubles (8) on a line drive to left fielder Bryan De La Cruz.",0,5,1,75,"bottom",9,"2023-06-10T21:02:09.970Z","2023-06-10T21:04:05.442Z",TRUE,FALSE,FALSE,FALSE,34,2,2,2,660162,"Yoán Moncada","/api/v1/people/660162","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.6,88.2,12,0.87,0.3925,8.2825,27.935,-19.9574,7.8311,6.1791,0.9312,2.5815,-9.6249,-138.976,-3.7357,3.4041,50.0068,5.2507,15.492,33.6,4.8,24,2246,128,NA,NA,NA,NA,NA,NA,FALSE,-19.1,10.7,-12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717820,"2023-06-10",3,"2023-06-10T21:03:16.111Z","2023-06-10T21:03:30.718Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",5,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,2,660162,"/api/v1/people/660162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"75","atBat","Double","double","Yoan Moncada doubles (8) on a line drive to left fielder Bryan De La Cruz.",0,5,1,75,"bottom",9,"2023-06-10T21:02:09.970Z","2023-06-10T21:04:05.442Z",TRUE,FALSE,FALSE,FALSE,34,2,2,2,660162,"Yoán Moncada","/api/v1/people/660162","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717820,"2023-06-10",6,"2023-06-10T21:01:53.978Z","2023-06-10T21:02:00.915Z",TRUE,"pitch","2283f816-40c0-44c6-8f36-49e9568cc081",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,1,NA,NA,3.1,1.46,NA,119.49,199.15,"ground_ball","medium","5",106.11,164.62,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Andrew Vaughn grounds out, third baseman Jean Segura to first baseman Yuli Gurriel.",0,5,1,74,"bottom",9,"2023-06-10T21:00:13.363Z","2023-06-10T21:02:00.915Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,683734,"Andrew Vaughn","/api/v1/people/683734","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.5,86.2,8,0.62,0.4001,8.5275,30.9582,-21.2705,8.8951,5.7477,-0.0654,1.4678,-11.8984,-137.0268,-6.2585,3.1823,50.0016,5.2397,16.8733,32.4,6,24,2185,121,85.6,-22,5,NA,NA,NA,TRUE,-21.7,9.1,-13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717820,"2023-06-10",5,"2023-06-10T21:01:35.876Z","2023-06-10T21:01:38.876Z",TRUE,"pitch","de1cb07d-eecc-4954-837f-6420945c5f93",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,1,NA,NA,2.909,1.4201,NA,42.84,163.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Andrew Vaughn grounds out, third baseman Jean Segura to first baseman Yuli Gurriel.",0,5,1,74,"bottom",9,"2023-06-10T21:00:13.363Z","2023-06-10T21:02:00.915Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,683734,"Andrew Vaughn","/api/v1/people/683734","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,86.9,12,0.9,0.3963,8.5399,30.1964,-18.8533,6.7965,6.8832,1.9455,2.8018,-6.2491,-138.1148,-3.3408,3.3522,50.0051,5.292,13.1582,31.2,4.8,24,2225,125,NA,NA,NA,NA,NA,NA,FALSE,-18.4,12,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717820,"2023-06-10",4,"2023-06-10T21:01:19.626Z","2023-06-10T21:01:22.690Z",TRUE,"pitch","17b198c3-a03f-42d6-a50f-b41a51e66952",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,2.8443,1.4201,NA,62.43,151.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Andrew Vaughn grounds out, third baseman Jean Segura to first baseman Yuli Gurriel.",0,5,1,74,"bottom",9,"2023-06-10T21:00:13.363Z","2023-06-10T21:02:00.915Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,683734,"Andrew Vaughn","/api/v1/people/683734","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,87.5,12,0.9,0.3945,8.4952,28.6574,-17.822,6.93,7.3355,1.4317,3.2405,-8.1409,-138.4408,-2.3578,3.4992,50.0015,5.2857,13.5562,33.6,4.8,24,2188,124,NA,NA,NA,NA,NA,NA,FALSE,-17,13.1,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717820,"2023-06-10",3,"2023-06-10T21:01:02.109Z","2023-06-10T21:01:05.109Z",TRUE,"pitch","7e00eb58-dc29-498e-bb02-e652748dfa45",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,2.8659,1.4201,NA,166.05,220.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Andrew Vaughn grounds out, third baseman Jean Segura to first baseman Yuli Gurriel.",0,5,1,74,"bottom",9,"2023-06-10T21:00:13.363Z","2023-06-10T21:02:00.915Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,683734,"Andrew Vaughn","/api/v1/people/683734","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Miami Marlins",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.5,78.1,13,0.91,0.4464,8.0288,23.3625,-23.9558,-1.302,5.3837,-1.2869,0.6588,-10.7593,-122.5384,-5.614,3.3232,50.0044,5.0164,-1.9847,8.4,7.2,24,2390,263,NA,NA,NA,NA,NA,NA,FALSE,-29.8,8.6,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
