"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
745445,"2024-03-28",1,"2024-03-28T22:46:19.834Z","2024-03-28T22:46:28.146Z",TRUE,"pitch","a49d925a-0f77-412b-a1a6-dbbe9a8cbb8b",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.37,1.62,NA,110.42,165.35,"ground_ball","hard","4",148.98,152.8,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Patrick Bailey grounds out sharply, second baseman Xander Bogaerts to first baseman Jake Cronenworth.",0,4,6,70,"top",9,"2024-03-28T22:45:53.614Z","2024-03-28T22:46:28.146Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,672275,"Patrick Bailey","/api/v1/people/672275","L","Left",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","San Diego Padres","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.5,88,5,2,0.3865,6.4161,39.9708,-9.422,-7.1378,11.248,0.1727,2.7195,5.6664,-142.9561,-7.4596,-0.9307,50.0001,5.991,-14.4342,48,3.6,24,2392,207,102.4,-3,36,NA,NA,NA,TRUE,-10.3,18.6,11.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",0,"2024-03-28T22:46:05.472Z","2024-03-28T22:46:09.376Z",TRUE,"pitch","c5fed7a9-ae57-4804-afb8-b7c4aade2fa8",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.4477,1.7448,NA,105.94,166.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Patrick Bailey grounds out sharply, second baseman Xander Bogaerts to first baseman Jake Cronenworth.",0,4,6,70,"top",9,"2024-03-28T22:45:53.614Z","2024-03-28T22:46:28.146Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,672275,"Patrick Bailey","/api/v1/people/672275","L","Left",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","San Diego Padres","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.6,89.2,6,2,0.3816,6.5829,40.2328,-5.6674,-4.3181,12.7687,0.2903,2.6952,5.4702,-144.6647,-8.2124,-1.0827,50.0006,5.9492,-8.963,43.2,2.4,24,2359,205,NA,NA,NA,NA,NA,NA,FALSE,-7,21.2,6.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",1,"2024-03-28T22:45:22.958Z","2024-03-28T22:45:46.231Z",TRUE,"pitch","47824c32-a710-4c93-963b-c7d90bf1f935",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,1,2,NA,NA,3.23,1.59,NA,118.76,183.01,"fly_ball","medium","89",183.42,38.88,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Home Run","home_run","Michael Conforto homers (1) on a fly ball to right center field.",1,4,6,69,"top",9,"2024-03-28T22:45:03.208Z","2024-03-28T22:45:46.231Z",TRUE,TRUE,FALSE,FALSE,38,0,1,2,624424,"Michael Conforto","/api/v1/people/624424","L","Left",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","San Diego Padres","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.6,82.5,8,2,0.4175,6.7088,30.0269,-26.5335,-12.0315,3.2392,-0.0463,2.0656,6.5582,-131.6105,-4.8378,-1.018,50.0003,5.9121,-20.934,34.8,8.4,24,1924,229,105.9,29,420,NA,NA,NA,FALSE,-28.7,4.9,20.2,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",0,"2024-03-28T22:45:08.469Z","2024-03-28T22:45:12.594Z",TRUE,"pitch","0eeee8d8-1143-4048-a0a8-d6264f315b3d",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.2707,1.5918,NA,128.48,179.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Home Run","home_run","Michael Conforto homers (1) on a fly ball to right center field.",1,4,6,69,"top",9,"2024-03-28T22:45:03.208Z","2024-03-28T22:45:46.231Z",TRUE,TRUE,FALSE,FALSE,38,0,1,2,624424,"Michael Conforto","/api/v1/people/624424","L","Left",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","San Diego Padres","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.4,89.3,4,2,0.3842,6.4646,35.3686,-6.0413,-4.4295,12.7151,-0.3013,2.182,3.2761,-143.0026,-9.7422,-0.8908,50.0012,6.0256,-9.1019,44.4,2.4,24,2412,206,NA,NA,NA,NA,NA,NA,FALSE,-7.4,21,7.3,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",3,"2024-03-28T22:44:38.802Z","2024-03-28T22:44:42.774Z",TRUE,"pitch","8e9f748c-feab-40eb-8ddf-77c67db3aa5f",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,1,NA,NA,3.38,1.67,NA,90.73,163.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Thairo Estrada strikes out swinging.",0,3,6,68,"top",9,"2024-03-28T22:43:28.507Z","2024-03-28T22:44:42.774Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,642731,"Thairo Estrada","/api/v1/people/642731","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","San Diego Padres","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.4,89.7,6,0.92,0.3813,6.3165,37.541,-6.5751,-5.3481,12.2897,0.6893,2.786,6.5244,-144.3309,-7.8098,-0.9193,50.0043,5.9506,-11.1419,48,2.4,24,2432,205,NA,NA,NA,NA,NA,NA,TRUE,-7.4,20.6,8.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",2,"2024-03-28T22:44:16.547Z","2024-03-28T22:44:20.755Z",TRUE,"pitch","fa9152c9-b3a2-40d8-9cbd-893da5169003",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.38,1.67,NA,91.93,171.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Thairo Estrada strikes out swinging.",0,3,6,68,"top",9,"2024-03-28T22:43:28.507Z","2024-03-28T22:44:42.774Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,642731,"Thairo Estrada","/api/v1/people/642731","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","San Diego Padres","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.6,88.5,6,2,0.3855,6.3355,38.6351,-6.6969,-6.1661,12.514,0.6577,2.4994,6.4039,-143.0919,-8.435,-0.8281,50.0035,5.9345,-12.5542,50.4,2.4,24,2541,207,NA,NA,NA,NA,NA,NA,FALSE,-7.9,20.8,9.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",1,"2024-03-28T22:43:58.205Z","2024-03-28T22:44:01.940Z",TRUE,"pitch","97eacbb6-27c7-4740-9c5b-50ea9fdce16b",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.4296,1.7293,NA,104.79,224.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Thairo Estrada strikes out swinging.",0,3,6,68,"top",9,"2024-03-28T22:43:28.507Z","2024-03-28T22:44:42.774Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,642731,"Thairo Estrada","/api/v1/people/642731","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","San Diego Padres","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.7,89.8,14,2,0.3838,6.3556,35.0242,-7.3822,-6.7713,12.0366,0.3203,0.5165,5.8575,-143.0729,-13.5396,-0.8804,50.0062,5.789,-13.9492,49.2,3.6,24,2306,209,NA,NA,NA,NA,NA,NA,FALSE,-9.5,19,11,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",0,"2024-03-28T22:43:39.945Z","2024-03-28T22:43:43.977Z",TRUE,"pitch","5e47cffb-8f25-4bb5-b4e1-193888df0dd3",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.3609,1.6827,NA,119.11,187.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Thairo Estrada strikes out swinging.",0,3,6,68,"top",9,"2024-03-28T22:43:28.507Z","2024-03-28T22:44:42.774Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,642731,"Thairo Estrada","/api/v1/people/642731","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","San Diego Padres","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.1,88.7,8,0.91,0.3863,6.5659,36.2006,-6.7302,-5.2919,12.5328,-0.0554,1.9072,4.3376,-142.3995,-9.9419,-0.9196,50.0023,5.8907,-10.743,46.8,2.4,24,2447,209,NA,NA,NA,NA,NA,NA,FALSE,-8.3,20.5,8.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",2,"2024-03-28T22:43:06.124Z","2024-03-28T22:43:15.773Z",TRUE,"pitch","48591469-777c-419a-adb8-0bf9f0b5f562",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,0,NA,NA,3.49,1.68,NA,85.31,160.93,"ground_ball","soft","6",129.39,144.26,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Mike Yastrzemski grounds out softly, shortstop Ha-Seong Kim to first baseman Jake Cronenworth.",0,3,6,67,"top",9,"2024-03-28T22:43:03.766Z","2024-03-28T22:43:15.773Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,573262,"Mike Yastrzemski","/api/v1/people/573262","L","Left",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.9,87.2,12,2,0.3916,6.6143,36.8727,-10.66,-1.4072,10.9009,0.8313,2.8832,5.6799,-140.7633,-6.5636,-1.0445,50.0015,5.9613,-2.777,6,2.4,24,2177,207,48.4,30,126,NA,NA,NA,TRUE,-11.3,18.2,1.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",0,"2024-03-28T22:41:54.811Z","2024-03-28T22:41:54.830Z",FALSE,"action",NA,NA,"Eguy Rosario remains in the game as the third baseman.","Defensive Switch",3,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,666703,"/api/v1/people/666703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"5","Third Base","Infielder","3B","801","67","atBat","Groundout","field_out","Mike Yastrzemski grounds out softly, shortstop Ha-Seong Kim to first baseman Jake Cronenworth.",0,3,6,67,"top",9,"2024-03-28T22:43:03.766Z","2024-03-28T22:43:15.773Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,573262,"Mike Yastrzemski","/api/v1/people/573262","L","Left",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,642180,"/api/v1/people/642180",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",1,"2024-03-28T22:41:54.830Z","2024-03-28T22:43:06.124Z",FALSE,"action",NA,NA,"Pitching Change: Robert Suarez replaces Yuki Matsui.","Pitching Substitution",3,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,663158,"/api/v1/people/663158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"67","atBat","Groundout","field_out","Mike Yastrzemski grounds out softly, shortstop Ha-Seong Kim to first baseman Jake Cronenworth.",0,3,6,67,"top",9,"2024-03-28T22:43:03.766Z","2024-03-28T22:43:15.773Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,573262,"Mike Yastrzemski","/api/v1/people/573262","L","Left",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",3,"2024-03-28T22:40:32.871Z","2024-03-28T22:40:36.986Z",TRUE,"pitch","4ecd895a-b7c5-4833-8114-3ef95fba48a1",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,2,NA,NA,3.14,1.51,NA,139.69,147.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Eguy Rosario strikes out swinging.",0,3,6,66,"bottom",8,"2024-03-28T22:39:45.110Z","2024-03-28T22:40:36.986Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,666703,"Eguy Rosario","/api/v1/people/666703","R","Right",669062,"Erik Miller","/api/v1/people/669062","L","Left","vs_LHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.4,88.4,11,0.91,0.3857,6.362,38.5545,-10.5039,5.0012,10.6576,-0.5953,3.3716,-5.5825,-143.0032,-6.2787,0.7495,50.0055,6.2818,10.1719,36,3.6,24,2278,142,NA,NA,NA,NA,NA,NA,TRUE,-10.8,17.9,-7.7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",2,"2024-03-28T22:40:12.342Z","2024-03-28T22:40:16.403Z",TRUE,"pitch","da31983b-aacd-4c3e-9af9-06ad7103a50a",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.14,1.51,NA,107.3,214.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Eguy Rosario strikes out swinging.",0,3,6,66,"bottom",8,"2024-03-28T22:39:45.110Z","2024-03-28T22:40:36.986Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,666703,"Eguy Rosario","/api/v1/people/666703","R","Right",669062,"Erik Miller","/api/v1/people/669062","L","Left","vs_LHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",84.7,76.3,14,0.9,0.4495,6.5035,30.165,-30.7642,10.0948,0.9425,0.2544,0.911,-5.8444,-123.0434,-5.2317,1.3803,50.0022,5.7508,15.0868,22.8,9.6,24,2064,97,NA,NA,NA,NA,NA,NA,FALSE,-38.5,0.5,-16.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",1,"2024-03-28T22:39:47.421Z","2024-03-28T22:39:51.761Z",TRUE,"pitch","75ed1531-d998-4596-83b6-c2f320d40e57",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.14,1.51,NA,118.06,210.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Eguy Rosario strikes out swinging.",0,3,6,66,"bottom",8,"2024-03-28T22:39:45.110Z","2024-03-28T22:40:36.986Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,666703,"Eguy Rosario","/api/v1/people/666703","R","Right",669062,"Erik Miller","/api/v1/people/669062","L","Left","vs_LHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",82.9,74.6,13,0.9,0.4598,6.8622,28.9432,-31.1042,12.6462,0.7463,-0.0278,1.0647,-7.1651,-120.3188,-4.4569,1.3859,50.0024,5.7784,18.0638,27.6,10.8,24,1757,89,NA,NA,NA,NA,NA,NA,FALSE,-40.6,0.2,-20.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",0,"2024-03-28T22:39:35.302Z","2024-03-28T22:39:47.421Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Eguy Rosario replaces Tyler Wade.","Offensive Substitution",3,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,666703,"/api/v1/people/666703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","801","66","atBat","Strikeout","strikeout","Eguy Rosario strikes out swinging.",0,3,6,66,"bottom",8,"2024-03-28T22:39:45.110Z","2024-03-28T22:40:36.986Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,666703,"Eguy Rosario","/api/v1/people/666703","R","Right",669062,"Erik Miller","/api/v1/people/669062","L","Left","vs_LHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,642180,"/api/v1/people/642180",NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",4,"2024-03-28T22:39:09.451Z","2024-03-28T22:39:18.243Z",TRUE,"pitch","e819e35c-50b4-45e5-a3ce-ca3a672acef3",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,1,1,NA,NA,3.38,1.58,NA,130.36,179.5,"ground_ball","medium","5",96.39,167.3,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Luis Campusano grounds out, third baseman Matt Chapman to first baseman Wilmer Flores.",0,3,6,65,"bottom",8,"2024-03-28T22:37:56.688Z","2024-03-28T22:39:18.243Z",TRUE,FALSE,FALSE,TRUE,0,3,1,2,669134,"Luis Campusano","/api/v1/people/669134","R","Right",669062,"Erik Miller","/api/v1/people/669062","L","Left","vs_LHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",84.5,75.9,4,0.9,0.4506,6.6029,29.5102,-26.3817,9.0313,3.893,-0.3504,2.1955,-6.4147,-122.6585,-3.3437,1.156,50.003,5.8838,13.4422,24,8.4,24,1744,97,92.9,-19,9,NA,NA,NA,TRUE,-32.9,6.4,-14.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745445,"2024-03-28",3,"2024-03-28T22:38:54.991Z","2024-03-28T22:38:59.354Z",TRUE,"pitch","64195348-9397-499b-a1b7-5b4360b02a1a",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.5447,1.7391,NA,74.93,146.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Luis Campusano grounds out, third baseman Matt Chapman to first baseman Wilmer Flores.",0,3,6,65,"bottom",8,"2024-03-28T22:37:56.688Z","2024-03-28T22:39:18.243Z",TRUE,FALSE,FALSE,TRUE,0,3,1,2,669134,"Luis Campusano","/api/v1/people/669134","R","Right",669062,"Erik Miller","/api/v1/people/669062","L","Left","vs_LHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,87.1,12,0.9,0.3924,6.1922,36.1474,-14.4806,6.8533,8.999,1.1037,3.4127,-2.0588,-140.3823,-5.3729,0.963,50.0042,6.3178,13.4784,39.6,4.8,24,2206,136,NA,NA,NA,NA,NA,NA,FALSE,-14.5,15.1,-11.9,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
