"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
746000,"2024-04-27",2,"2024-04-27T03:21:20.175Z","2024-04-27T03:21:25.751Z",TRUE,"pitch","168e9eaf-6397-4320-ae9e-0b03c68b621e",3,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,1,1,NA,NA,3.3,1.47,NA,141.92,174.21,"ground_ball","medium","7",41.62,93.93,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Single","single","Joey Ortiz singles on a ground ball to left fielder Taylor Trammell. Owen Miller scores.",1,6,7,86,"bottom",11,"2024-04-27T03:20:40.479Z","2024-04-27T03:21:25.751Z",TRUE,TRUE,FALSE,FALSE,60,1,1,1,687401,"Joey Ortiz","/api/v1/people/687401","R","Right",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.8,85.3,4,2,0.4051,6.0275,27.582,-21.7806,-8.643,5.6041,-0.6539,2.3915,9.9862,-134.8708,-3.079,-3.2705,50.0015,5.0729,-16.0242,32.4,6,24,2299,238,109.4,2,80,NA,NA,NA,FALSE,-22,9.7,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,687401,"Joey Ortiz","/api/v1/people/687401",NA,NA,NA,NA,NA,NA
746000,"2024-04-27",1,"2024-04-27T03:21:01.689Z","2024-04-27T03:21:05.628Z",TRUE,"pitch","51d2f150-1aa6-487e-8a06-d13c47d954de",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.541,1.6242,NA,82.81,193.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Single","single","Joey Ortiz singles on a ground ball to left fielder Taylor Trammell. Owen Miller scores.",1,6,7,86,"bottom",11,"2024-04-27T03:20:40.479Z","2024-04-27T03:21:25.751Z",TRUE,TRUE,FALSE,FALSE,60,1,1,1,687401,"Joey Ortiz","/api/v1/people/687401","R","Right",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.6,76.4,14,0.88,0.4559,6.1782,22.2552,-33.6216,1.2184,-0.9926,0.8971,1.6784,9.7273,-119.941,-1.1518,-3.3618,50.0002,5.1512,1.782,6,9.6,24,2301,60,NA,NA,NA,NA,NA,NA,FALSE,-41.9,-1.8,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746000,"2024-04-27",0,"2024-04-27T03:20:45.445Z","2024-04-27T03:20:49.433Z",TRUE,"pitch","60b2db91-c86f-45fd-a0a9-6670f9ce78bf",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.5838,1.7311,NA,108.5,170.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Single","single","Joey Ortiz singles on a ground ball to left fielder Taylor Trammell. Owen Miller scores.",1,6,7,86,"bottom",11,"2024-04-27T03:20:40.479Z","2024-04-27T03:21:25.751Z",TRUE,TRUE,FALSE,FALSE,60,1,1,1,687401,"Joey Ortiz","/api/v1/people/687401","R","Right",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.7,76.6,5,0.88,0.4542,6.1198,21.7,-34.6059,0.9353,-1.6489,0.223,2.5348,8.2784,-120.249,0.6324,-3.3752,50.0025,5.3206,1.3788,4.8,9.6,24,2310,60,NA,NA,NA,NA,NA,NA,FALSE,-42.4,-2.6,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746000,"2024-04-27",12,"2024-04-27T03:19:57.032Z","2024-04-27T03:20:07.087Z",TRUE,"pitch","6697ec84-d278-4fd2-87cf-98ac29493949",8,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,0,NA,NA,3.24,1.5,NA,102.79,203.55,"fly_ball","medium","9",185.78,111.73,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Flyout","field_out","Brice Turang flies out to right fielder Juan Soto. Owen Miller to 3rd.",0,6,6,85,"bottom",11,"2024-04-27T03:16:50.609Z","2024-04-27T03:20:07.087Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,668930,"Brice Turang","/api/v1/people/668930","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.7,77.9,14,0.9,0.4485,6.1111,21.961,-35.0725,0.6953,-1.9178,0.3728,1.3049,8.8355,-121.7364,-1.918,-3.3808,50.0008,5.1144,1.0512,3.6,9.6,24,2314,66,79.2,27,287,NA,NA,NA,TRUE,-42.5,-3.7,-3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,680911,"Owen Miller","/api/v1/people/680911"
746000,"2024-04-27",11,"2024-04-27T03:19:17.581Z","2024-04-27T03:19:22.888Z",TRUE,"pitch","0594746e-f034-460e-821e-5adc1a59c8bf",7,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,0,NA,NA,3.24,1.5,NA,120.47,189.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Flyout","field_out","Brice Turang flies out to right fielder Juan Soto. Owen Miller to 3rd.",0,6,6,85,"bottom",11,"2024-04-27T03:16:50.609Z","2024-04-27T03:20:07.087Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,668930,"Brice Turang","/api/v1/people/668930","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.8,85,8,2,0.4065,6.1624,28.1331,-18.1837,-8.9224,7.6036,-0.091,1.836,11.774,-134.5449,-4.9627,-3.3567,50.0046,4.9859,-16.4231,36,4.8,24,2349,243,NA,NA,NA,NA,NA,NA,FALSE,-19,12.8,13.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746000,"2024-04-27",10,"2024-04-27T03:18:56.022Z","2024-04-27T03:19:00.204Z",TRUE,"pitch","d8b0fd6c-e66e-4e01-86a6-65d406709b2f",6,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",3,2,0,NA,NA,3.1531,1.4972,NA,128.57,232.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Flyout","field_out","Brice Turang flies out to right fielder Juan Soto. Owen Miller to 3rd.",0,6,6,85,"bottom",11,"2024-04-27T03:16:50.609Z","2024-04-27T03:20:07.087Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,668930,"Brice Turang","/api/v1/people/668930","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.5,77.2,13,0.9,0.4514,6.2371,23.6882,-34.352,0.9939,-1.4643,-0.3035,0.2347,7.2529,-121.3371,-4.2949,-3.4601,50.0011,5.0202,1.4806,4.8,9.6,24,2256,68,NA,NA,NA,NA,NA,NA,FALSE,-42.7,-3.5,-3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746000,"2024-04-27",9,"2024-04-27T03:18:35.438Z","2024-04-27T03:18:39.812Z",TRUE,"pitch","993ea153-9abb-42b0-bf04-6a08e1d64216",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,0,NA,NA,3.24,1.5,NA,117.82,160.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Flyout","field_out","Brice Turang flies out to right fielder Juan Soto. Owen Miller to 3rd.",0,6,6,85,"bottom",11,"2024-04-27T03:16:50.609Z","2024-04-27T03:20:07.087Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,668930,"Brice Turang","/api/v1/people/668930","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.2,84.1,2,2,0.4093,6.2435,28.8608,-19.0024,-9.1432,7.2643,-0.0216,2.9023,11.8008,-133.8164,-2.2094,-3.3007,50.0047,5.0999,-16.5849,36,4.8,24,2382,236,NA,NA,NA,NA,NA,NA,FALSE,-19.4,12.8,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746000,"2024-04-27",8,"2024-04-27T03:18:15.950Z","2024-04-27T03:18:21.126Z",TRUE,"pitch","43d99c28-521b-40a1-917a-78d01653ac56",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.1674,1.5232,NA,170.96,200.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Flyout","field_out","Brice Turang flies out to right fielder Juan Soto. Owen Miller to 3rd.",0,6,6,85,"bottom",11,"2024-04-27T03:16:50.609Z","2024-04-27T03:20:07.087Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,668930,"Brice Turang","/api/v1/people/668930","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83,76.2,13,0.9,0.4545,6.0491,24.4743,-33.7559,0.4103,-1.0743,-1.4156,1.418,5.4245,-120.7195,-1.5502,-3.7493,50.0041,5.0522,0.6027,2.4,9.6,24,2283,69,NA,NA,NA,NA,NA,NA,FALSE,-41.9,-2,-2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746000,"2024-04-27",7,"2024-04-27T03:17:56.882Z","2024-04-27T03:18:00.900Z",TRUE,"pitch","6baa9e28-b157-45c7-9154-83717fdfdd39",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,0,NA,NA,3.1985,1.5208,NA,166.06,148.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Flyout","field_out","Brice Turang flies out to right fielder Juan Soto. Owen Miller to 3rd.",0,6,6,85,"bottom",11,"2024-04-27T03:16:50.609Z","2024-04-27T03:20:07.087Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,668930,"Brice Turang","/api/v1/people/668930","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.3,84,11,2,0.4089,6.116,29.8223,-19.3208,-9.4729,7.0783,-1.2871,3.3551,9.0093,-134.1069,-1.1084,-3.4643,50.0038,5.156,-17.2039,38.4,6,24,2347,246,NA,NA,NA,NA,NA,NA,FALSE,-19.6,12.7,15.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746000,"2024-04-27",6,"2024-04-27T03:17:30.826Z","2024-04-27T03:17:34.999Z",TRUE,"pitch","6447e707-ce57-4ca5-a232-27cfddabec2b",2,"Foul Bunt",NA,NA,NA,NA,FALSE,"L","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"L","Foul Bunt",0,2,0,NA,NA,3.24,1.5,NA,119.16,174.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Flyout","field_out","Brice Turang flies out to right fielder Juan Soto. Owen Miller to 3rd.",0,6,6,85,"bottom",11,"2024-04-27T03:16:50.609Z","2024-04-27T03:20:07.087Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,668930,"Brice Turang","/api/v1/people/668930","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.5,75.9,5,0.87,0.4564,6.1631,22.9807,-31.3743,0.5775,0.5519,-0.0566,2.3882,8.1287,-119.971,0.015,-3.5624,50.0054,5.1758,0.8422,3.6,8.4,24,2255,62,NA,NA,NA,NA,NA,NA,FALSE,-38.9,1.3,-3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746000,"2024-04-27",5,"2024-04-27T03:17:04.945Z","2024-04-27T03:17:09.792Z",TRUE,"pitch","f13d92fb-e5c7-45f7-bb8a-01f2b6cea264",1,"Foul Bunt",NA,NA,NA,NA,FALSE,"L","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"L","Foul Bunt",0,1,0,NA,NA,3.24,1.5,NA,102.34,163.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Flyout","field_out","Brice Turang flies out to right fielder Juan Soto. Owen Miller to 3rd.",0,6,6,85,"bottom",11,"2024-04-27T03:16:50.609Z","2024-04-27T03:20:07.087Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,668930,"Brice Turang","/api/v1/people/668930","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.1,83.9,3,2,0.4105,6.1841,29.0516,-20.2767,-11.0062,6.5987,0.3847,2.7991,13.082,-133.4884,-2.1839,-3.1523,50.0014,5.0895,-19.8391,39.6,6,24,2370,244,NA,NA,NA,NA,NA,NA,FALSE,-20.9,11.6,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746000,"2024-04-27",0,"2024-04-27T03:16:02.269Z","2024-04-27T03:16:02.313Z",FALSE,"action",NA,NA,"Jahmai Jones remains in the game as the third baseman.","Defensive Switch",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,663330,"/api/v1/people/663330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"5","Third Base","Infielder","3B","401","85","atBat","Flyout","field_out","Brice Turang flies out to right fielder Juan Soto. Owen Miller to 3rd.",0,6,6,85,"bottom",11,"2024-04-27T03:16:50.609Z","2024-04-27T03:20:07.087Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,668930,"Brice Turang","/api/v1/people/668930","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,519203,"/api/v1/people/519203",NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746000,"2024-04-27",1,"2024-04-27T03:16:02.313Z","2024-04-27T03:16:13.386Z",FALSE,"action",NA,NA,"Defensive switch from third base to first base for Oswaldo Cabrera.","Defensive Switch",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,665828,"/api/v1/people/665828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"3","First Base","Infielder","1B","700","85","atBat","Flyout","field_out","Brice Turang flies out to right fielder Juan Soto. Owen Miller to 3rd.",0,6,6,85,"bottom",11,"2024-04-27T03:16:50.609Z","2024-04-27T03:20:07.087Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,668930,"Brice Turang","/api/v1/people/668930","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746000,"2024-04-27",2,"2024-04-27T03:16:13.386Z","2024-04-27T03:16:20.601Z",FALSE,"action",NA,NA,"Gary Sánchez starts inning at 2nd base.","Runner Placed On Base",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,596142,"/api/v1/people/596142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"runner_placed",NA,NA,NA,NA,NA,NA,"85","atBat","Flyout","field_out","Brice Turang flies out to right fielder Juan Soto. Owen Miller to 3rd.",0,6,6,85,"bottom",11,"2024-04-27T03:16:50.609Z","2024-04-27T03:20:07.087Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,668930,"Brice Turang","/api/v1/people/668930","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746000,"2024-04-27",3,"2024-04-27T03:16:20.601Z","2024-04-27T03:16:50.609Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Owen Miller replaces Gary Sánchez.","Offensive Substitution",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,680911,"/api/v1/people/680911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","601","85","atBat","Flyout","field_out","Brice Turang flies out to right fielder Juan Soto. Owen Miller to 3rd.",0,6,6,85,"bottom",11,"2024-04-27T03:16:50.609Z","2024-04-27T03:20:07.087Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,668930,"Brice Turang","/api/v1/people/668930","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,596142,"/api/v1/people/596142",2,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746000,"2024-04-27",4,"2024-04-27T03:16:50.609Z","2024-04-27T03:16:55.609Z",FALSE,"stepoff","874d2993-1300-46db-8a6b-63e5df9d712c",NA,"Pitcher Step Off",NA,NA,NA,NA,FALSE,"PSO",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Flyout","field_out","Brice Turang flies out to right fielder Juan Soto. Owen Miller to 3rd.",0,6,6,85,"bottom",11,"2024-04-27T03:16:50.609Z","2024-04-27T03:20:07.087Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,668930,"Brice Turang","/api/v1/people/668930","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746000,"2024-04-27",3,"2024-04-27T03:13:59.768Z","2024-04-27T03:14:05.294Z",TRUE,"pitch","9e0903b3-a358-4529-98ed-67e8c06fe30e",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,2,NA,NA,3.14,1.48,NA,103,194.06,"ground_ball","medium","4",128.93,143.78,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Forceout","force_out","Oswaldo Cabrera grounds into a force out, second baseman Brice Turang to shortstop Willy Adames. Alex Verdugo out at 2nd.",0,6,6,84,"top",11,"2024-04-27T03:13:03.186Z","2024-04-27T03:14:05.294Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,665828,"Oswaldo Cabrera","/api/v1/people/665828","R","Right",657649,"Jared Koenig","/api/v1/people/657649","L","Left","vs_LHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Milwaukee Brewers",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.4,86.4,9,2,0.3994,5.7616,30.699,-20.0218,0.4274,6.3844,0.3672,1.6563,-6.4639,-137.1985,-6.3019,2.6995,50.0048,5.3501,0.8138,1.2,4.8,24,2492,149,95.5,-19,5,NA,NA,NA,TRUE,-20.4,10.4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
