"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","isBaseRunningPlay","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId"
746391,"2024-05-17",2,"2024-05-17T02:34:31.012Z","2024-05-17T02:34:39.832Z",TRUE,"pitch","410f2adc-8342-412e-af34-541aaa50a5be",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.52,1.66,NA,105.77,162.77,"fly_ball","medium","8",116.18,91.71,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Flyout","field_out","Kyle McCann flies out to center fielder Jake Meyers.",0,1,8,69,"top",9,"2024-05-17T02:33:41.296Z","2024-05-17T02:34:39.832Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,668832,"Kyle McCann","/api/v1/people/668832","L","Left",681869,"Shawn Dubin","/api/v1/people/681869","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",87.9,80.1,6,0.91,0.4297,6.4246,28.2962,-29.7405,1.8842,1.4811,0.2946,2.8151,4.7956,-127.8563,-1.2336,-1.856,50.0031,5.6548,3.0939,7.2,7.2,24,2799,131,82.6,44,271,NA,NA,NA,TRUE,-33,2.6,-4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746391,"2024-05-17",1,"2024-05-17T02:34:12.737Z","2024-05-17T02:34:15.770Z",TRUE,"pitch","d48aae91-349d-465e-8037-00d3e3f0efb4",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.52,1.66,NA,99.43,155.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Flyout","field_out","Kyle McCann flies out to center fielder Jake Meyers.",0,1,8,69,"top",9,"2024-05-17T02:33:41.296Z","2024-05-17T02:34:39.832Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,668832,"Kyle McCann","/api/v1/people/668832","L","Left",681869,"Shawn Dubin","/api/v1/people/681869","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",88.6,81.5,3,0.91,0.4239,6.4794,25.8277,-23.3571,2.2042,5.214,0.461,3.1,5.1453,-129.0043,-1.8667,-1.8428,50.0058,5.6262,3.7312,10.8,6,24,2764,163,NA,NA,NA,NA,NA,NA,FALSE,-25.4,9.2,-5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746391,"2024-05-17",0,"2024-05-17T02:33:57.998Z","2024-05-17T02:34:02.538Z",TRUE,"pitch","14c13cd7-0d68-47ad-8b56-8cbf06b07ca0",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.5835,1.6656,NA,81.83,155.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Flyout","field_out","Kyle McCann flies out to center fielder Jake Meyers.",0,1,8,69,"top",9,"2024-05-17T02:33:41.296Z","2024-05-17T02:34:39.832Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,668832,"Kyle McCann","/api/v1/people/668832","L","Left",681869,"Shawn Dubin","/api/v1/people/681869","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,85.4,12,0.9,0.4,6.4732,34.9708,-13.0141,-5.5388,10.1273,0.9227,3.0767,8.4793,-137.7334,-4.5116,-1.4981,50.0006,5.638,-10.4774,30,3.6,24,2375,221,NA,NA,NA,NA,NA,NA,FALSE,-13.6,17.4,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746391,"2024-05-17",2,"2024-05-17T02:33:18.235Z","2024-05-17T02:33:27.016Z",TRUE,"pitch","05a3ca0d-95af-48f8-a545-ae34354f6506",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,1,NA,NA,3.44,1.59,NA,114.53,169.26,"ground_ball","medium","4",133.91,138.71,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Tyler Soderstrom grounds out, second baseman Mauricio Dubón to first baseman Jon Singleton.",0,1,8,68,"top",9,"2024-05-17T02:32:10.871Z","2024-05-17T02:33:27.016Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,691016,"Tyler Soderstrom","/api/v1/people/691016","L","Left",681869,"Shawn Dubin","/api/v1/people/681869","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89,81.8,5,0.91,0.4223,6.2474,26.7876,-25.3541,1.8897,4.0015,0.0647,2.5747,4.2603,-129.64,-2.9542,-1.8446,50.0034,5.6618,3.2193,8.4,6,24,2678,176,92.6,-32,4,NA,NA,NA,TRUE,-27.6,6.8,-4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746391,"2024-05-17",1,"2024-05-17T02:32:57.673Z","2024-05-17T02:33:00.787Z",TRUE,"pitch","c997c05a-fa7b-44f7-8d75-a969d2e9877f",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.4811,1.618,NA,96.59,238.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Tyler Soderstrom grounds out, second baseman Mauricio Dubón to first baseman Jon Singleton.",0,1,8,68,"top",9,"2024-05-17T02:32:10.871Z","2024-05-17T02:33:27.016Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,691016,"Tyler Soderstrom","/api/v1/people/691016","L","Left",681869,"Shawn Dubin","/api/v1/people/681869","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.1,74.5,14,0.9,0.4644,6.1093,29.7093,-45.0256,7.0056,-9.1947,0.5353,0.0127,2.9026,-119.3885,-3.6843,-1.6179,50.0022,5.7583,9.7937,13.2,13.2,24,2791,32,NA,NA,NA,NA,NA,NA,FALSE,-58.9,-17.3,-13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746391,"2024-05-17",0,"2024-05-17T02:32:32.651Z","2024-05-17T02:32:37.130Z",TRUE,"pitch","3aa4b8f2-5168-4cda-aa5b-604cd2e3206b",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.44,1.59,NA,90.08,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Tyler Soderstrom grounds out, second baseman Mauricio Dubón to first baseman Jon Singleton.",0,1,8,68,"top",9,"2024-05-17T02:32:10.871Z","2024-05-17T02:33:27.016Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,691016,"Tyler Soderstrom","/api/v1/people/691016","L","Left",681869,"Shawn Dubin","/api/v1/people/681869","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.5,82,12,0.9,0.4205,6.3448,27.3838,-25.3426,1.9525,3.9759,0.7062,3.9177,5.9088,-130.27,0.2559,-1.8452,50.0033,5.734,3.3551,9.6,6,24,2716,164,NA,NA,NA,NA,NA,NA,FALSE,-26.6,7.4,-4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746391,"2024-05-17",2,"2024-05-17T02:32:04.720Z","2024-05-17T02:32:08.250Z",TRUE,"pitch","e657f3f6-0b7e-48fa-a6fd-058dd069120e",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,3,0,NA,NA,3.2003,1.6059,NA,100.23,156.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Esteury Ruiz called out on strikes.",0,1,8,67,"top",9,"2024-05-17T02:31:13.072Z","2024-05-17T02:32:08.250Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,665923,"Esteury Ruiz","/api/v1/people/665923","R","Right",681869,"Shawn Dubin","/api/v1/people/681869","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.3,85.7,3,0.9,0.4005,6.6169,31.6038,-13.5137,-5.2643,9.8609,0.4399,3.0352,7.5364,-137.0114,-4.5622,-1.6684,50.002,5.6524,-9.9616,30,3.6,24,2317,220,NA,NA,NA,NA,NA,NA,TRUE,-13.9,17,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746391,"2024-05-17",1,"2024-05-17T02:31:42.864Z","2024-05-17T02:31:45.901Z",TRUE,"pitch","0ffc6d61-733f-461d-b882-d06a7728a081",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.3,1.59,NA,108.11,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Esteury Ruiz called out on strikes.",0,1,8,67,"top",9,"2024-05-17T02:31:13.072Z","2024-05-17T02:32:08.250Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,665923,"Esteury Ruiz","/api/v1/people/665923","R","Right",681869,"Shawn Dubin","/api/v1/people/681869","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89,81.8,2,0.91,0.4224,6.3666,26.424,-25.5616,2.6584,3.8796,0.2333,2.9548,4.4349,-129.5486,-2.0457,-1.8444,50.0017,5.7036,4.5291,12,6,24,2853,156,NA,NA,NA,NA,NA,NA,FALSE,-27.6,6.8,-5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746391,"2024-05-17",0,"2024-05-17T02:31:27.808Z","2024-05-17T02:31:32.528Z",TRUE,"pitch","16f892e6-9432-4d06-8db1-f73f0b87345a",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.2854,1.5586,NA,117.55,166.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Esteury Ruiz called out on strikes.",0,1,8,67,"top",9,"2024-05-17T02:31:13.072Z","2024-05-17T02:32:08.250Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,665923,"Esteury Ruiz","/api/v1/people/665923","R","Right",681869,"Shawn Dubin","/api/v1/people/681869","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.9,84.8,5,0.9,0.4035,6.6132,33.4851,-13.6079,-6.6317,9.9783,-0.0143,2.6694,6.5947,-136.3981,-5.4022,-1.6164,50.0056,5.6344,-12.3426,36,3.6,24,2436,217,NA,NA,NA,NA,NA,NA,FALSE,-14.5,16.9,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746391,"2024-05-17",7,"2024-05-17T02:29:11.640Z","2024-05-17T02:29:19.008Z",TRUE,"pitch","aec34473-ec94-4ed7-9a19-bd8b07cbac48",8,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,2,NA,NA,3.44,1.58,NA,121.16,187.67,"fly_ball","medium","9",172.19,96.12,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Kyle Tucker flies out to right fielder Seth Brown.",0,1,8,66,"bottom",8,"2024-05-17T02:26:39.593Z","2024-05-17T02:29:19.008Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,663656,"Kyle Tucker","/api/v1/people/663656","L","Left",621053,"Tyler Ferguson","/api/v1/people/621053","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Oakland Athletics","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.3,84.7,8,2,0.4063,6.8571,32.4178,-26.0516,-7.5039,3.335,-0.1092,1.8929,10.3623,-135.3518,-5.5348,-3.031,50.0034,5.8135,-13.7789,22.8,6,24,2254,232,78.4,31,282,NA,NA,NA,TRUE,-27,4.9,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746391,"2024-05-17",6,"2024-05-17T02:28:50.235Z","2024-05-17T02:28:54.372Z",TRUE,"pitch","6ba7b4f3-c28a-46b1-8e2d-d325c8df78c1",7,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.44,1.58,NA,117.11,163.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Kyle Tucker flies out to right fielder Seth Brown.",0,1,8,66,"bottom",8,"2024-05-17T02:26:39.593Z","2024-05-17T02:29:19.008Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,663656,"Kyle Tucker","/api/v1/people/663656","L","Left",621053,"Tyler Ferguson","/api/v1/people/621053","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Oakland Athletics","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,86.8,5,2,0.3961,5.8559,32.6,-14.7056,-4.5499,9.0358,-0.003,2.7913,10.1036,-138.5661,-5.6016,-3.1147,50.004,5.8311,-8.7979,21.6,3.6,24,2450,226,NA,NA,NA,NA,NA,NA,FALSE,-15,15.2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746391,"2024-05-17",5,"2024-05-17T02:28:29.879Z","2024-05-17T02:28:35.245Z",TRUE,"pitch","193051cc-c10a-4b39-95bc-917e07378926",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.44,1.58,NA,135.8,168.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Kyle Tucker flies out to right fielder Seth Brown.",0,1,8,66,"bottom",8,"2024-05-17T02:26:39.593Z","2024-05-17T02:29:19.008Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,663656,"Kyle Tucker","/api/v1/people/663656","L","Left",621053,"Tyler Ferguson","/api/v1/people/621053","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Oakland Athletics","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.7,86.2,4,2,0.399,6.0723,31.648,-15.6999,-5.8191,8.6423,-0.4932,2.5911,9.0721,-137.4764,-5.8468,-3.0861,50.0016,5.8184,-11.092,27.6,3.6,24,2261,234,NA,NA,NA,NA,NA,NA,FALSE,-16.2,14.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746391,"2024-05-17",4,"2024-05-17T02:28:12.661Z","2024-05-17T02:28:17.850Z",TRUE,"pitch","be671859-94f7-4fee-acaf-5a5b54e16883",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.4731,1.6233,NA,131.16,199.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Kyle Tucker flies out to right fielder Seth Brown.",0,1,8,66,"bottom",8,"2024-05-17T02:26:39.593Z","2024-05-17T02:29:19.008Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,663656,"Kyle Tucker","/api/v1/people/663656","L","Left",621053,"Tyler Ferguson","/api/v1/people/621053","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Oakland Athletics","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.5,83.2,13,2,0.4164,6.2232,28.0635,-26.6959,0.9068,3.1276,-0.3715,1.4602,7.0764,-131.5524,-5.8839,-3.2148,50.0023,5.7062,1.5882,6,6,24,2429,206,NA,NA,NA,NA,NA,NA,FALSE,-28.9,4.6,-3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746391,"2024-05-17",3,"2024-05-17T02:27:56.055Z","2024-05-17T02:27:59.896Z",TRUE,"pitch","98dc0ad9-4626-4ca3-92f3-8a06a4a4377c",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.4729,1.6231,NA,170.29,129.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Kyle Tucker flies out to right fielder Seth Brown.",0,1,8,66,"bottom",8,"2024-05-17T02:26:39.593Z","2024-05-17T02:29:19.008Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,663656,"Kyle Tucker","/api/v1/people/663656","L","Left",621053,"Tyler Ferguson","/api/v1/people/621053","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Oakland Athletics","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.6,87,11,2,0.3945,5.696,32.2003,-19.5023,-5.7337,6.4971,-1.3981,4.0451,6.6995,-139.0316,-1.8371,-3.0981,50.0052,6.0136,-11.1871,26.4,4.8,24,2416,223,NA,NA,NA,NA,NA,NA,FALSE,-18.5,11.5,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746391,"2024-05-17",2,"2024-05-17T02:27:39.781Z","2024-05-17T02:27:43.693Z",TRUE,"pitch","ce2d61c2-0743-4ca3-8dd8-2b97fb446d4c",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.421,1.6735,NA,93.59,211.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Kyle Tucker flies out to right fielder Seth Brown.",0,1,8,66,"bottom",8,"2024-05-17T02:26:39.593Z","2024-05-17T02:29:19.008Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,663656,"Kyle Tucker","/api/v1/people/663656","L","Left",621053,"Tyler Ferguson","/api/v1/people/621053","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Oakland Athletics","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.2,83,14,2,0.4187,6.0019,28.3965,-29.5781,1.1243,1.4964,0.6143,1.0208,8.9598,-130.9463,-6.634,-3.0017,50.001,5.8083,1.945,7.2,7.2,24,2505,165,NA,NA,NA,NA,NA,NA,FALSE,-32.5,1.3,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746391,"2024-05-17",1,"2024-05-17T02:27:20.507Z","2024-05-17T02:27:23.760Z",TRUE,"pitch","6b93b0ef-b1f0-48e4-8839-0f72de2174f4",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.44,1.58,NA,126.02,156.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Kyle Tucker flies out to right fielder Seth Brown.",0,1,8,66,"bottom",8,"2024-05-17T02:26:39.593Z","2024-05-17T02:29:19.008Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,663656,"Kyle Tucker","/api/v1/people/663656","L","Left",621053,"Tyler Ferguson","/api/v1/people/621053","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Oakland Athletics","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95,86.6,2,2,0.3973,6.2302,31.3962,-17.4804,-4.784,7.6364,-0.2366,3.0393,9.5343,-137.9951,-4.5234,-3.1185,50.001,5.8812,-9.2037,20.4,3.6,24,2377,226,NA,NA,NA,NA,NA,NA,FALSE,-17.4,13,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
