"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
745587,"2024-05-05",2,"2024-05-06T01:56:03.276Z","2024-05-06T01:56:10.360Z",TRUE,"pitch","32a610e8-5ef6-48a9-9008-d36debe0fe7b",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.35,1.5,NA,99.05,184.04,"fly_ball","medium","9",204.41,107.19,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Jung Hoo Lee flies out to right fielder Nick Castellanos.",0,4,5,73,"top",9,"2024-05-06T01:55:22.812Z","2024-05-06T01:56:10.360Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,808982,"Jung Hoo Lee","/api/v1/people/808982","L","Left",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.2,86.7,9,0.85,0.397,6.8183,32.0803,-8.147,5.911,12.4746,0.4709,2.0273,-3.3554,-138.2035,-10.4594,0.9356,50.0008,6.4172,11.3821,45.6,3.6,24,2067,148,82.4,34,299,NA,NA,NA,TRUE,-10,20.5,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745587,"2024-05-05",1,"2024-05-06T01:55:40.512Z","2024-05-06T01:55:43.573Z",TRUE,"pitch","42d936df-9631-45f6-baff-98da0f4ee73f",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.35,1.5,NA,89.69,170.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Jung Hoo Lee flies out to right fielder Nick Castellanos.",0,4,5,73,"top",9,"2024-05-06T01:55:22.812Z","2024-05-06T01:56:10.360Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,808982,"Jung Hoo Lee","/api/v1/people/808982","L","Left",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.1,89.9,6,0.91,0.3837,6.821,32.3683,-14.4568,8.6085,8.5839,0.7164,2.5364,-4.0511,-142.6632,-8.6367,1.0352,50.0041,6.5113,17.7722,45.6,4.8,24,2195,157,NA,NA,NA,NA,NA,NA,FALSE,-14.4,14,-14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745587,"2024-05-05",0,"2024-05-06T01:55:27.548Z","2024-05-06T01:55:32.511Z",TRUE,"pitch","cca6be98-f51d-4699-b61a-2f48c0d95801",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4796,1.4944,NA,137.14,211.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Jung Hoo Lee flies out to right fielder Nick Castellanos.",0,4,5,73,"top",9,"2024-05-06T01:55:22.812Z","2024-05-06T01:56:10.360Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,808982,"Jung Hoo Lee","/api/v1/people/808982","L","Left",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.2,87.1,13,2,0.3994,6.8398,28.1556,-21.5931,4.5978,5.5486,-0.5283,1.0076,-5.716,-136.7508,-10.7932,0.9847,50.0047,6.4667,8.7711,18,4.8,24,2087,154,NA,NA,NA,NA,NA,NA,FALSE,-22.7,8,-7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745587,"2024-05-05",3,"2024-05-06T01:54:58.512Z","2024-05-06T01:55:01.512Z",TRUE,"pitch","4834c766-921d-48c4-8b5a-c68de9c27877",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,1,NA,NA,3.65,1.74,NA,155.52,172.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nick Ahmed strikes out swinging.",0,4,5,72,"top",9,"2024-05-06T01:53:57.230Z","2024-05-06T01:55:01.512Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,605113,"Nick Ahmed","/api/v1/people/605113","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93,85.7,13,0.89,0.4045,6.7901,28.5508,-24.9725,1.5617,3.877,-1.0107,2.4509,-5.5534,-135.2336,-6.4777,0.8636,50.0038,6.6205,2.9023,3.6,6,24,2153,158,NA,NA,NA,NA,NA,NA,TRUE,-25.7,5.9,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745587,"2024-05-05",1,"2024-05-06T01:54:25.497Z","2024-05-06T01:54:28.497Z",TRUE,"pitch","347a5e42-ce15-461e-b416-5327c708d769",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,1,NA,NA,3.65,1.74,NA,137.89,196.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nick Ahmed strikes out swinging.",0,4,5,72,"top",9,"2024-05-06T01:53:57.230Z","2024-05-06T01:55:01.512Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,605113,"Nick Ahmed","/api/v1/people/605113","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.1,84.9,13,0.9,0.4089,6.7941,28.6593,-27.6782,1.0035,2.4695,-0.5481,1.5743,-4.2778,-133.9176,-8.1034,0.9388,50.0014,6.6165,1.8253,2.4,6,24,2062,162,NA,NA,NA,NA,NA,NA,FALSE,-29.3,3,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745587,"2024-05-05",0,"2024-05-06T01:54:07.358Z","2024-05-06T01:54:10.358Z",TRUE,"pitch","809b23cd-724e-4609-b3c5-37e0c6483be9",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.65,1.74,NA,98.17,167.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nick Ahmed strikes out swinging.",0,4,5,72,"top",9,"2024-05-06T01:53:57.230Z","2024-05-06T01:55:01.512Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,605113,"Nick Ahmed","/api/v1/people/605113","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.7,84.6,6,0.8,0.4095,6.727,27.5436,-23.6687,4.1938,4.6894,0.494,2.6547,-2.3313,-133.5149,-6.1528,0.8316,50.0014,6.6816,7.6047,15.6,6,24,2048,157,NA,NA,NA,NA,NA,NA,FALSE,-25,7.4,-7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745587,"2024-05-05",2,"2024-05-06T01:54:37.821Z","2024-05-06T01:54:58.512Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",4,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,1,605113,"/api/v1/people/605113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nick Ahmed strikes out swinging.",0,4,5,72,"top",9,"2024-05-06T01:53:57.230Z","2024-05-06T01:55:01.512Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,605113,"Nick Ahmed","/api/v1/people/605113","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745587,"2024-05-05",3,"2024-05-06T01:53:21.983Z","2024-05-06T01:53:48.123Z",TRUE,"pitch","f0a16e6d-1150-4910-8582-9357a36ddafd",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",2,1,1,NA,NA,3.371,1.535,NA,123.4,169.65,"fly_ball","medium","7",40.47,64.29,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Home Run","home_run","Jakson Reetz homers (1) on a fly ball to left field.",1,4,5,71,"top",9,"2024-05-06T01:52:16.804Z","2024-05-06T01:53:48.123Z",TRUE,TRUE,FALSE,FALSE,38,2,1,1,656883,"Jakson Reetz","/api/v1/people/656883","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.5,87.8,5,0.85,0.3916,6.892,33.5912,-11.4169,5.9134,10.4921,-0.1678,2.5603,-4.8605,-140.2118,-8.8975,0.8253,50.0051,6.5326,11.7006,38.4,3.6,24,2116,153,106.5,25,393,NA,NA,NA,FALSE,-12.4,17.2,-9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745587,"2024-05-05",2,"2024-05-06T01:53:00.700Z","2024-05-06T01:53:05.928Z",TRUE,"pitch","6e773606-8acc-426c-991e-7c54ecf9af17",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.4414,1.6653,NA,108.15,116.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Home Run","home_run","Jakson Reetz homers (1) on a fly ball to left field.",1,4,5,71,"top",9,"2024-05-06T01:52:16.804Z","2024-05-06T01:53:48.123Z",TRUE,TRUE,FALSE,FALSE,38,2,1,1,656883,"Jakson Reetz","/api/v1/people/656883","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.1,85.1,12,0.85,0.4039,6.5454,29.6031,-16.2443,1.6661,8.5562,0.2321,4.5346,-2.4051,-135.5873,-2.9694,0.9141,50.0054,6.7774,3.1032,8.4,3.6,24,2158,157,NA,NA,NA,NA,NA,NA,FALSE,-16.4,15.1,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745587,"2024-05-05",1,"2024-05-06T01:52:35.290Z","2024-05-06T01:52:39.880Z",TRUE,"pitch","acfac91f-9bc7-4cce-95f9-6f3afe860cbe",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,1,NA,NA,3.371,1.535,NA,104.47,164.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Home Run","home_run","Jakson Reetz homers (1) on a fly ball to left field.",1,4,5,71,"top",9,"2024-05-06T01:52:16.804Z","2024-05-06T01:53:48.123Z",TRUE,TRUE,FALSE,FALSE,38,2,1,1,656883,"Jakson Reetz","/api/v1/people/656883","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.2,86.4,6,0.88,0.3972,6.7837,33.0797,-12.492,6.8474,10.2425,0.3288,2.759,-4.2501,-138.2933,-7.8361,1.0021,50.0039,6.482,13.1609,40.8,3.6,24,2054,148,NA,NA,NA,NA,NA,NA,FALSE,-13.6,16.9,-11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745587,"2024-05-05",0,"2024-05-06T01:52:19.432Z","2024-05-06T01:52:24.228Z",TRUE,"pitch","01230f8e-c8e7-4c8d-94a3-b3042df62e82",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.4494,1.6423,NA,146.53,138.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Home Run","home_run","Jakson Reetz homers (1) on a fly ball to left field.",1,4,5,71,"top",9,"2024-05-06T01:52:16.804Z","2024-05-06T01:53:48.123Z",TRUE,TRUE,FALSE,FALSE,38,2,1,1,656883,"Jakson Reetz","/api/v1/people/656883","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.1,87.5,11,0.87,0.3926,6.8041,32.2003,-13.2011,6.9807,9.6308,-0.7747,3.7244,-7.2875,-139.6386,-5.3723,0.9652,50.0007,6.5457,13.749,39.6,3.6,24,2111,148,NA,NA,NA,NA,NA,NA,FALSE,-13.3,16.4,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745587,"2024-05-05",8,"2024-05-06T01:51:41.932Z","2024-05-06T01:51:50.946Z",TRUE,"pitch","4afd5bfb-1ff0-409d-b2c2-773787a339e2",7,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,0,NA,NA,3.41,1.67,NA,126.19,161.38,"popup","medium","4",163.46,150.68,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Pop Out","field_out","Thairo Estrada pops out to second baseman Bryson Stott.",0,3,5,70,"top",9,"2024-05-06T01:49:43.736Z","2024-05-06T01:51:50.946Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,642731,"Thairo Estrada","/api/v1/people/642731","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.3,88,5,0.86,0.3914,6.8193,31.5487,-12.3196,6.1962,10.0097,-0.241,2.8667,-5.4245,-139.9291,-7.9044,0.9176,50.0005,6.5351,12.2871,38.4,3.6,24,2118,151,81.2,64,145,NA,NA,NA,TRUE,-13,16.7,-10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745587,"2024-05-05",6,"2024-05-06T01:51:08.485Z","2024-05-06T01:51:12.626Z",TRUE,"pitch","b930d4ef-08ab-47b4-822a-9f8fc62187fc",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,0,NA,NA,3.41,1.67,NA,114.32,164.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Pop Out","field_out","Thairo Estrada pops out to second baseman Bryson Stott.",0,3,5,70,"top",9,"2024-05-06T01:49:43.736Z","2024-05-06T01:51:50.946Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,642731,"Thairo Estrada","/api/v1/people/642731","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.8,88.2,5,0.86,0.3899,6.8502,33.2694,-10.6062,6.0875,10.8055,0.0702,2.7643,-4.3899,-140.7077,-8.6348,0.8633,50.0031,6.5685,12.1518,42,3.6,24,2115,153,NA,NA,NA,NA,NA,NA,FALSE,-11.5,17.9,-10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745587,"2024-05-05",5,"2024-05-06T01:50:51.266Z","2024-05-06T01:50:55.207Z",TRUE,"pitch","407c6dac-6583-45c3-88cc-69f2f8479582",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,0,NA,NA,3.528,1.8016,NA,188.55,173.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Pop Out","field_out","Thairo Estrada pops out to second baseman Bryson Stott.",0,3,5,70,"top",9,"2024-05-06T01:49:43.736Z","2024-05-06T01:51:50.946Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,642731,"Thairo Estrada","/api/v1/people/642731","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90,82.6,13,0.86,0.419,6.7926,27.9938,-26.584,2.5671,3.2289,-1.8771,2.4127,-7.7058,-130.7972,-5.9145,0.7756,50.001,6.7007,4.4414,6,6,24,2143,158,NA,NA,NA,NA,NA,NA,FALSE,-29.2,4.7,-2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745587,"2024-05-05",4,"2024-05-06T01:50:32.716Z","2024-05-06T01:50:35.788Z",TRUE,"pitch","8c0b22ad-6486-4989-8a8c-25a8800303e5",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,0,NA,NA,3.41,1.67,NA,98.88,161.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Pop Out","field_out","Thairo Estrada pops out to second baseman Bryson Stott.",0,3,5,70,"top",9,"2024-05-06T01:49:43.736Z","2024-05-06T01:51:50.946Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,642731,"Thairo Estrada","/api/v1/people/642731","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.7,87,6,0.89,0.3947,6.7792,33.0069,-11.739,7.6139,10.494,0.4755,2.8597,-4.0872,-139.0971,-8.0871,0.9796,50.0026,6.5947,14.8271,45.6,3.6,24,2200,155,NA,NA,NA,NA,NA,NA,FALSE,-12.7,17.4,-12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745587,"2024-05-05",3,"2024-05-06T01:50:16.602Z","2024-05-06T01:50:19.806Z",TRUE,"pitch","0c4d6c72-f5ea-41d1-9e05-af5273e2e3d5",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,0,NA,NA,3.5848,1.8308,NA,123.33,175.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Pop Out","field_out","Thairo Estrada pops out to second baseman Bryson Stott.",0,3,5,70,"top",9,"2024-05-06T01:49:43.736Z","2024-05-06T01:51:50.946Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,642731,"Thairo Estrada","/api/v1/people/642731","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Philadelphia Phillies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.1,87.7,8,0.86,0.3928,6.7373,31.8262,-10.4857,6.231,11.0196,-0.1661,2.3454,-5.0538,-139.5185,-9.7683,0.8605,50.0053,6.5862,12.2675,40.8,3.6,24,2165,154,NA,NA,NA,NA,NA,NA,FALSE,-11.8,18.1,-10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
