"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716621,"2023-09-12",0,"2023-09-13T01:21:58.709Z","2023-09-13T01:22:08.621Z",TRUE,"pitch","0959a4a3-4371-4ed2-b9cf-678367bc40d0",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.41,1.62,NA,97.65,179.55,"popup","medium","4",137.18,155.18,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Pop Out","field_out","Anthony Santander pops out to second baseman Tommy Edman.",0,5,2,75,"bottom",9,"2023-09-13T01:21:32.817Z","2023-09-13T01:22:08.621Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,623993,"Anthony Santander","/api/v1/people/623993","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","St. Louis Cardinals","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.7,91.6,6,0.9,0.3749,6.8303,36.343,-8.586,-3.0166,10.9265,0.5077,2.1937,3.9841,-146.4033,-8.5974,-0.4824,50.0045,5.6916,-6.5132,27.6,2.4,24,2617,200,96.3,71,112,NA,NA,NA,TRUE,-9,18.1,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716621,"2023-09-12",0,"2023-09-13T01:21:19.340Z","2023-09-13T01:21:27.577Z",TRUE,"pitch","83a03091-dac2-4d02-974a-271e37c7df64",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.71,1.74,NA,127.95,160.66,"fly_ball","medium","7",59.62,68.01,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Gunnar Henderson flies out to left fielder Tyler O'Neill.",0,5,2,74,"bottom",9,"2023-09-13T01:20:53.727Z","2023-09-13T01:21:27.577Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,683002,"Gunnar Henderson","/api/v1/people/683002","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","St. Louis Cardinals","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101.1,92.4,4,0.9,0.3721,6.5802,34.9014,-11.6288,-2.7721,9.3647,-0.2874,2.8935,1.4997,-147.1869,-6.3346,-0.4433,50.006,5.7622,-6.084,24,2.4,24,2589,200,99.3,34,363,NA,NA,NA,TRUE,-10.8,15.8,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716621,"2023-09-12",7,"2023-09-13T01:20:43.977Z","2023-09-13T01:20:48.457Z",TRUE,"pitch","c904669a-56fb-4036-b3cb-58433712cd01",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,0,NA,NA,3.33,1.58,NA,75.13,188.35,"line_drive","medium","3",166.73,154.99,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Lineout","field_out","Adley Rutschman lines out to first baseman Paul Goldschmidt.",0,5,2,73,"bottom",9,"2023-09-13T01:18:54.148Z","2023-09-13T01:20:48.457Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",102.8,93.4,14,0.9,0.3678,6.7379,38.132,-7.4817,-3.4253,11.0114,1.0984,1.8677,6.0291,-149.2997,-9.9362,-0.5082,50.0073,5.6813,-7.6843,31.2,2.4,24,2657,206,94.4,10,153,NA,NA,NA,TRUE,-8.2,18,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716621,"2023-09-12",5,"2023-09-13T01:20:01.155Z","2023-09-13T01:20:04.317Z",TRUE,"pitch","9521dd3a-fd75-4a5c-a578-6a7bb3249e52",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.33,1.58,NA,91.85,194.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Lineout","field_out","Adley Rutschman lines out to first baseman Paul Goldschmidt.",0,5,2,73,"bottom",9,"2023-09-13T01:18:54.148Z","2023-09-13T01:20:48.457Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101,91.7,9,0.9,0.3744,6.6704,37.2342,-9.8968,-2.9418,10.2966,0.6598,1.6581,4.7592,-146.7312,-9.8907,-0.6068,50.0042,5.6773,-6.3658,22.8,2.4,24,2682,204,NA,NA,NA,NA,NA,NA,FALSE,-10.4,16.7,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716621,"2023-09-12",6,"2023-09-13T01:20:25.778Z","2023-09-13T01:20:30.778Z",FALSE,"no_pitch","6689271b-9522-4bc9-964b-86e1a9d2f87f",4,"Automatic Ball - Pitcher Pitch Timer Violation",NA,NA,NA,NA,FALSE,"VP",NA,FALSE,FALSE,TRUE,"VP","Automatic Ball - Pitcher Pitch Timer Violation",2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Lineout","field_out","Adley Rutschman lines out to first baseman Paul Goldschmidt.",0,5,2,73,"bottom",9,"2023-09-13T01:18:54.148Z","2023-09-13T01:20:48.457Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"pitcher_pitch_timer","Pitcher Pitch Timer Violation",664854,"Ryan Helsley",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716621,"2023-09-12",3,"2023-09-13T01:19:33.696Z","2023-09-13T01:19:36.975Z",TRUE,"pitch","007f6b32-dda7-4d52-a5f5-715b5ff44286",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,0,NA,NA,3.33,1.58,NA,130.96,153.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Lineout","field_out","Adley Rutschman lines out to first baseman Paul Goldschmidt.",0,5,2,73,"bottom",9,"2023-09-13T01:18:54.148Z","2023-09-13T01:20:48.457Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.4,90.7,1,0.9,0.3767,6.7074,38.4393,-8.4356,-4.5333,11.1197,-0.3662,3.1485,2.4874,-146.1042,-5.9884,-0.6453,50.0048,5.748,-9.6791,42,2.4,24,2669,205,NA,NA,NA,NA,NA,NA,FALSE,-8.5,19,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716621,"2023-09-12",2,"2023-09-13T01:19:14.277Z","2023-09-13T01:19:17.885Z",TRUE,"pitch","9e1c318d-8de7-43a4-ab25-290f7e4da75a",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.3213,1.5656,NA,148.07,174.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Lineout","field_out","Adley Rutschman lines out to first baseman Paul Goldschmidt.",0,5,2,73,"bottom",9,"2023-09-13T01:18:54.148Z","2023-09-13T01:20:48.457Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",92.6,84.6,4,0.51,0.4067,6.6863,30.4188,-22.4275,-1.2124,5.3086,-0.8152,2.3759,0.6256,-134.8691,-4.6311,-0.8932,50.0004,5.7051,-2.2243,4.8,4.8,24,2411,176,NA,NA,NA,NA,NA,NA,FALSE,-23.2,8.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716621,"2023-09-12",1,"2023-09-13T01:18:56.531Z","2023-09-13T01:18:59.844Z",TRUE,"pitch","40702d9a-b925-463a-a305-ebdb3ba77291",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.2978,1.5658,NA,95.88,155.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Lineout","field_out","Adley Rutschman lines out to first baseman Paul Goldschmidt.",0,5,2,73,"bottom",9,"2023-09-13T01:18:54.148Z","2023-09-13T01:20:48.457Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.3,81.4,3,0.9,0.4221,6.8542,28.9165,-25.5451,3.0672,3.8923,0.554,3.0842,2.6623,-130.0797,-1.7409,-0.8835,50.0031,5.7111,5.2214,12,6,24,2381,165,NA,NA,NA,NA,NA,NA,FALSE,-27.5,6.8,-6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716621,"2023-09-12",0,"2023-09-13T01:16:37.142Z","2023-09-13T01:18:56.531Z",FALSE,"action",NA,NA,"Pitching Change: Ryan Helsley replaces John King.","Pitching Substitution",5,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,664854,"/api/v1/people/664854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"73","atBat","Lineout","field_out","Adley Rutschman lines out to first baseman Paul Goldschmidt.",0,5,2,73,"bottom",9,"2023-09-13T01:18:54.148Z","2023-09-13T01:20:48.457Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716621,"2023-09-12",4,"2023-09-13T01:19:45.556Z","2023-09-13T01:20:01.155Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",5,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,0,668939,"/api/v1/people/668939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"73","atBat","Lineout","field_out","Adley Rutschman lines out to first baseman Paul Goldschmidt.",0,5,2,73,"bottom",9,"2023-09-13T01:18:54.148Z","2023-09-13T01:20:48.457Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716621,"2023-09-12",6,"2023-09-13T01:15:53.334Z","2023-09-13T01:16:00.550Z",TRUE,"pitch","0addf20d-26f0-4e49-a4f8-65eaa3af8ef0",7,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,2,NA,NA,3.35,1.6,NA,105.22,148.26,"fly_ball","medium","8",148.31,77.82,NA,NA,TRUE,NA,NA,NA,NA,NA,"72","atBat","Flyout","field_out","Lars Nootbaar flies out to center fielder Cedric Mullins.",0,5,2,72,"top",9,"2023-09-13T01:13:10.596Z","2023-09-13T01:16:00.550Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,663457,"Lars Nootbaar","/api/v1/people/663457","L","Left",608344,"Cole Irvin","/api/v1/people/608344","L","Left","vs_LHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Baltimore Orioles","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",83.9,76.3,3,2,0.4504,6.4347,26.3755,-31.6958,-0.0093,0.3221,0.309,3.3528,-2.6062,-122.1067,-0.2388,1.3961,50.0038,6.2031,-0.0139,1.2,8.4,24,2091,290,81.2,32,308,NA,NA,NA,TRUE,-38.4,0.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716621,"2023-09-12",5,"2023-09-13T01:15:27.239Z","2023-09-13T01:15:30.963Z",TRUE,"pitch","5104612e-4712-48c4-a605-df8e9c97db7d",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.35,1.6,NA,104.6,147.24,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"72","atBat","Flyout","field_out","Lars Nootbaar flies out to center fielder Cedric Mullins.",0,5,2,72,"top",9,"2023-09-13T01:13:10.596Z","2023-09-13T01:16:00.550Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,663457,"Lars Nootbaar","/api/v1/people/663457","L","Left",608344,"Cole Irvin","/api/v1/people/608344","L","Left","vs_LHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Baltimore Orioles","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.7,84.5,3,2,0.4067,6.612,30.2448,-20.6178,9.3492,6.2996,0.3253,3.3904,-5.2178,-134.8472,-3.6823,1.0741,50.0066,6.2343,17.1634,37.2,6,24,1870,141,NA,NA,NA,NA,NA,NA,FALSE,-21.1,10.8,-15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716621,"2023-09-12",4,"2023-09-13T01:14:54.467Z","2023-09-13T01:14:59.362Z",TRUE,"pitch","ef80cb43-ac92-44b1-acaf-1b4f031ce5e7",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.35,1.6,NA,106.35,146.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Flyout","field_out","Lars Nootbaar flies out to center fielder Cedric Mullins.",0,5,2,72,"top",9,"2023-09-13T01:13:10.596Z","2023-09-13T01:16:00.550Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,663457,"Lars Nootbaar","/api/v1/people/663457","L","Left",608344,"Cole Irvin","/api/v1/people/608344","L","Left","vs_LHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Baltimore Orioles","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.4,83.8,3,2,0.4114,6.5477,27.8838,-21.8099,9.5789,5.7703,0.2793,3.4226,-5.3693,-133.0076,-3.0748,1.077,50.0032,6.1709,17.2042,36,6,24,1859,136,NA,NA,NA,NA,NA,NA,FALSE,-22.7,10,-16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716621,"2023-09-12",3,"2023-09-13T01:14:32.368Z","2023-09-13T01:14:35.785Z",TRUE,"pitch","f1f79c00-9605-44d8-bc79-483393e6794c",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,1,2,NA,NA,3.35,1.6,NA,82.1,159.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Flyout","field_out","Lars Nootbaar flies out to center fielder Cedric Mullins.",0,5,2,72,"top",9,"2023-09-13T01:13:10.596Z","2023-09-13T01:16:00.550Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,663457,"Lars Nootbaar","/api/v1/people/663457","L","Left",608344,"Cole Irvin","/api/v1/people/608344","L","Left","vs_LHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Baltimore Orioles","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.3,84.8,12,2,0.4072,6.4199,28.2777,-21.074,9.8014,6.0529,0.9155,2.9301,-3.8621,-134.3549,-4.6425,1.0957,50.0023,6.172,17.9728,38.4,6,24,1936,141,NA,NA,NA,NA,NA,NA,FALSE,-21.8,10.2,-16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716621,"2023-09-12",2,"2023-09-13T01:14:12.151Z","2023-09-13T01:14:16.250Z",TRUE,"pitch","f185fb41-6058-47b6-b32f-328892e2c52d",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,2,NA,NA,3.5106,1.6854,NA,104.73,140.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Flyout","field_out","Lars Nootbaar flies out to center fielder Cedric Mullins.",0,5,2,72,"top",9,"2023-09-13T01:13:10.596Z","2023-09-13T01:16:00.550Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,663457,"Lars Nootbaar","/api/v1/people/663457","L","Left",608344,"Cole Irvin","/api/v1/people/608344","L","Left","vs_LHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Baltimore Orioles","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",90.6,83,12,2,0.4151,6.4114,27.6502,-20.304,9.7445,6.7316,0.3218,3.6338,-5.3,-131.8771,-2.836,1.0899,50.0047,6.2182,17.1917,37.2,6,24,1890,143,NA,NA,NA,NA,NA,NA,FALSE,-21.5,11.8,-16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716621,"2023-09-12",1,"2023-09-13T01:13:49.456Z","2023-09-13T01:13:53.242Z",TRUE,"pitch","986529a4-dfa7-4019-b239-66a2f1c918bd",2,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,0,2,NA,NA,3.5343,1.6615,NA,134.31,232.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Flyout","field_out","Lars Nootbaar flies out to center fielder Cedric Mullins.",0,5,2,72,"top",9,"2023-09-13T01:13:10.596Z","2023-09-13T01:16:00.550Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,663457,"Lars Nootbaar","/api/v1/people/663457","L","Left",608344,"Cole Irvin","/api/v1/people/608344","L","Left","vs_LHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Baltimore Orioles","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",85.1,78.6,13,2,0.4431,6.5061,24.8539,-28.725,0.3968,2.2275,-0.4541,0.218,-4.4615,-123.6597,-8.0203,1.3225,50.0032,5.9162,0.6149,0,8.4,24,2070,122,NA,NA,NA,NA,NA,NA,FALSE,-35.5,2.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
