"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717641,"2023-06-24",2,"2023-06-24T04:40:41.468Z","2023-06-24T04:40:49.543Z",TRUE,"pitch","a8483d6b-3cff-4190-827c-1b4c71f60ef8",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.3,1.55,NA,147.18,175.01,"ground_ball","medium","6",128.42,141.17,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Geraldo Perdomo grounds out, shortstop Brandon Crawford to first baseman LaMonte Wade Jr.",0,5,8,75,"top",9,"2023-06-24T04:39:27.884Z","2023-06-24T04:40:49.543Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,672695,"Geraldo Perdomo","/api/v1/people/672695","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.3,82.8,4,0.9,0.4189,6.3157,24.2383,-24.8426,1.0859,4.222,-0.7918,2.3618,1.829,-130.1432,-2.8529,-1.6415,50.0016,5.3297,1.8847,4.8,6,24,2356,83,93.5,5,90,NA,NA,NA,TRUE,-26.5,7.3,-2.3,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717641,"2023-06-24",1,"2023-06-24T04:40:24.685Z","2023-06-24T04:40:28.580Z",TRUE,"pitch","49eba946-3aaa-4260-895b-3de29cb49043",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.3,1.55,NA,151.65,166.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Geraldo Perdomo grounds out, shortstop Brandon Crawford to first baseman LaMonte Wade Jr.",0,5,8,75,"top",9,"2023-06-24T04:39:27.884Z","2023-06-24T04:40:49.543Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,672695,"Geraldo Perdomo","/api/v1/people/672695","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",99.5,91.4,11,0.9,0.3773,7.2734,32.3109,-12.5988,-4.5596,9.1618,-0.9092,2.6629,3.8761,-144.9049,-5.3962,-1.6685,50.0061,5.3122,-9.7457,32.4,3.6,24,2422,227,NA,NA,NA,NA,NA,NA,FALSE,-11.8,15.7,7.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717641,"2023-06-24",0,"2023-06-24T04:40:08.036Z","2023-06-24T04:40:12.278Z",TRUE,"pitch","f879f5a0-8570-4594-ae73-3f09d1a53ee1",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3834,1.5734,NA,83.15,153.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Geraldo Perdomo grounds out, shortstop Brandon Crawford to first baseman LaMonte Wade Jr.",0,5,8,75,"top",9,"2023-06-24T04:39:27.884Z","2023-06-24T04:40:49.543Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,672695,"Geraldo Perdomo","/api/v1/people/672695","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",100.6,92.4,12,2,0.3735,7.0128,32.3947,-15.3208,-5.6573,7.7259,0.888,3.171,8.9439,-146.2925,-3.8635,-1.4647,50.004,5.4185,-12.3437,32.4,3.6,24,2353,228,NA,NA,NA,NA,NA,NA,FALSE,-13.4,13.4,8.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717641,"2023-06-24",6,"2023-06-24T04:39:08.422Z","2023-06-24T04:39:16.691Z",TRUE,"pitch","3077f596-0221-4469-9841-f1684c629288",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,1,NA,NA,3.4,1.68,NA,117.71,199.33,"ground_ball","soft","2",127.82,201.72,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Jake McCarthy grounds out softly, catcher Patrick Bailey to first baseman LaMonte Wade Jr.",0,5,8,74,"top",9,"2023-06-24T04:37:23.219Z","2023-06-24T04:39:16.691Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,664983,"Jake McCarthy","/api/v1/people/664983","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.8,82.4,13,0.9,0.4196,6.4969,28.3419,-30.9298,1.2792,0.7208,-0.0188,1.4612,3.4792,-130.6915,-3.8829,-1.5351,50.0022,5.2971,2.2054,4.8,7.2,24,2438,147,49.2,-48,2,NA,NA,NA,TRUE,-33.4,0.6,-3.1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717641,"2023-06-24",5,"2023-06-24T04:38:49.567Z","2023-06-24T04:38:53.482Z",TRUE,"pitch","21a33e9d-e596-408b-9168-141acc0b1b63",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.4,1.68,NA,90.58,185.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Jake McCarthy grounds out softly, catcher Patrick Bailey to first baseman LaMonte Wade Jr.",0,5,8,74,"top",9,"2023-06-24T04:37:23.219Z","2023-06-24T04:39:16.691Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,664983,"Jake McCarthy","/api/v1/people/664983","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.7,82.8,9,0.88,0.4184,6.1965,26.065,-25.8102,-0.1876,3.6606,0.6932,1.9868,5.4794,-130.6199,-3.9375,-1.4023,50.001,5.4418,-0.3266,1.2,6,24,2412,86,NA,NA,NA,NA,NA,NA,FALSE,-27.7,6,-0.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717641,"2023-06-24",4,"2023-06-24T04:38:32.110Z","2023-06-24T04:38:36.156Z",TRUE,"pitch","db083639-52be-41f4-b6d9-f72601ef1508",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.4,1.68,NA,117.93,163.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Jake McCarthy grounds out softly, catcher Patrick Bailey to first baseman LaMonte Wade Jr.",0,5,8,74,"top",9,"2023-06-24T04:37:23.219Z","2023-06-24T04:39:16.691Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,664983,"Jake McCarthy","/api/v1/people/664983","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",100.6,91.1,5,0.9,0.3759,6.5138,37.1818,-11.3531,-5.3658,9.7014,-0.0244,2.7932,6.3583,-146.19,-5.6029,-1.5392,50.0042,5.4279,-11.5175,38.4,3.6,24,2502,219,NA,NA,NA,NA,NA,NA,FALSE,-10.8,16.4,8.3,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717641,"2023-06-24",2,"2023-06-24T04:37:57.646Z","2023-06-24T04:38:01.187Z",TRUE,"pitch","875f27af-607e-425e-86c4-317075058135",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,1,NA,NA,3.4,1.68,NA,122.72,190.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Jake McCarthy grounds out softly, catcher Patrick Bailey to first baseman LaMonte Wade Jr.",0,5,8,74,"top",9,"2023-06-24T04:37:23.219Z","2023-06-24T04:39:16.691Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,664983,"Jake McCarthy","/api/v1/people/664983","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.5,82.3,8,0.9,0.4201,7.182,27.153,-27.8224,0.1645,2.5272,-0.15,1.8047,3.4806,-130.3241,-3.799,-1.5237,50.0029,5.3807,0.2827,2.4,7.2,24,2354,133,NA,NA,NA,NA,NA,NA,FALSE,-30.1,4,-1.1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717641,"2023-06-24",1,"2023-06-24T04:37:43.727Z","2023-06-24T04:37:48.423Z",TRUE,"pitch","786ab85c-2657-46d5-8415-8a45b7eb7f96",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.4223,1.6732,NA,81.7,215.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Jake McCarthy grounds out softly, catcher Patrick Bailey to first baseman LaMonte Wade Jr.",0,5,8,74,"top",9,"2023-06-24T04:37:23.219Z","2023-06-24T04:39:16.691Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,664983,"Jake McCarthy","/api/v1/people/664983","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.2,83.3,14,0.9,0.4168,6.3611,26.4896,-26.0734,0.2798,3.4828,0.926,0.8794,6.29,-131.164,-6.4113,-1.5346,50.0014,5.2869,0.489,3.6,6,24,2447,132,NA,NA,NA,NA,NA,NA,FALSE,-28.3,5.2,-1.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717641,"2023-06-24",0,"2023-06-24T04:37:30.048Z","2023-06-24T04:37:34.436Z",TRUE,"pitch","d7145849-4f69-4b9e-b03b-41e928313722",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.4,1.68,NA,78.7,209.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Jake McCarthy grounds out softly, catcher Patrick Bailey to first baseman LaMonte Wade Jr.",0,5,8,74,"top",9,"2023-06-24T04:37:23.219Z","2023-06-24T04:39:16.691Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,664983,"Jake McCarthy","/api/v1/people/664983","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.5,81.4,14,0.9,0.4253,7.0902,26.9498,-27.2557,0.8132,2.9285,1.0049,1.0816,5.7683,-128.8134,-5.1271,-1.3698,50.0035,5.2072,1.3642,4.8,7.2,24,2350,141,NA,NA,NA,NA,NA,NA,FALSE,-30.6,4.3,-2.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717641,"2023-06-24",3,"2023-06-24T04:38:16.723Z","2023-06-24T04:38:32.110Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",5,8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,1,664983,"/api/v1/people/664983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Jake McCarthy grounds out softly, catcher Patrick Bailey to first baseman LaMonte Wade Jr.",0,5,8,74,"top",9,"2023-06-24T04:37:23.219Z","2023-06-24T04:39:16.691Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,664983,"Jake McCarthy","/api/v1/people/664983","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
