"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.disengagementNum","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716906,"2023-08-22",3,"2023-08-22T04:33:01.719Z","2023-08-22T04:33:13.654Z",TRUE,"pitch","2f87eebb-b1de-4030-8e34-0265d67da573",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",2,1,2,NA,NA,3.51,1.69,NA,115.77,168.4,"line_drive","medium","8",162.57,74.84,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Double","double","Tommy Pham doubles (20) on a line drive to center fielder Leody Taveras. Ketel Marte scores. Geraldo Perdomo scores.",2,3,4,78,"bottom",11,"2023-08-22T04:31:49.691Z","2023-08-22T04:33:13.654Z",TRUE,TRUE,FALSE,FALSE,61,2,1,2,502054,"Tommy Pham","/api/v1/people/502054","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.2,84,5,0.9,0.4095,6.0811,30.4234,-14.8448,5.2448,9.5776,0.0323,2.6067,-4.1773,-134.0296,-7.1024,0.9338,50.0046,6.362,9.4919,27.6,3.6,24,2254,141,95.9,11,238,NA,NA,NA,FALSE,-16.4,16,-8.5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,502054,"Tommy Pham","/api/v1/people/502054",NA,NA,NA
716906,"2023-08-22",2,"2023-08-22T04:32:36.230Z","2023-08-22T04:32:41.092Z",TRUE,"pitch","98d3c69a-3607-4b71-86c9-d6233a331382",3,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,1,2,NA,NA,3.4537,1.6882,NA,129.03,236.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Double","double","Tommy Pham doubles (20) on a line drive to center fielder Leody Taveras. Ketel Marte scores. Geraldo Perdomo scores.",2,3,4,78,"bottom",11,"2023-08-22T04:31:49.691Z","2023-08-22T04:33:13.654Z",TRUE,TRUE,FALSE,FALSE,61,2,1,2,502054,"Tommy Pham","/api/v1/people/502054","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.6,76.9,13,0.9,0.4552,5.9934,22.6122,-31.2486,-2.3511,0.6314,-0.3156,0.0741,-3.15,-120.1836,-7.773,1.316,50.005,6.1146,-3.4495,7.2,9.6,24,2473,303,NA,NA,NA,NA,NA,NA,FALSE,-40.4,-0.4,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716906,"2023-08-22",1,"2023-08-22T04:32:17.649Z","2023-08-22T04:32:23.020Z",TRUE,"pitch","286dda6b-d438-4a71-ad9f-6b19ad4ee4ad",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.487,1.6882,NA,132.7,202.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Double","double","Tommy Pham doubles (20) on a line drive to center fielder Leody Taveras. Ketel Marte scores. Geraldo Perdomo scores.",2,3,4,78,"bottom",11,"2023-08-22T04:31:49.691Z","2023-08-22T04:33:13.654Z",TRUE,TRUE,FALSE,FALSE,61,2,1,2,502054,"Tommy Pham","/api/v1/people/502054","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83,77.1,13,0.9,0.4523,6.0286,22.6682,-32.6667,-2.3272,-0.3316,-0.412,1.36,-3.3689,-120.9073,-4.9395,1.2996,50.0041,6.2831,-3.4588,7.2,9.6,24,2448,316,NA,NA,NA,NA,NA,NA,FALSE,-41,-1.4,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716906,"2023-08-22",0,"2023-08-22T04:32:00.337Z","2023-08-22T04:32:05.206Z",TRUE,"pitch","934fd43f-eed5-43c0-9c39-d4c5ee944011",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.551,1.6857,NA,116.58,200.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Double","double","Tommy Pham doubles (20) on a line drive to center fielder Leody Taveras. Ketel Marte scores. Geraldo Perdomo scores.",2,3,4,78,"bottom",11,"2023-08-22T04:31:49.691Z","2023-08-22T04:33:13.654Z",TRUE,TRUE,FALSE,FALSE,61,2,1,2,502054,"Tommy Pham","/api/v1/people/502054","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",77.4,71.2,14,0.91,0.4882,5.8253,22.7881,-39.3004,-2.9771,-5.6002,0.011,1.4324,-1.8444,-112.7177,-2.3866,1.2302,50.0055,6.5187,-3.7852,6,13.2,24,1885,338,NA,NA,NA,NA,NA,NA,FALSE,-56.5,-10.4,5.9,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716906,"2023-08-22",3,"2023-08-22T04:31:12.658Z","2023-08-22T04:31:25.669Z",TRUE,"pitch","38c72a37-1568-4566-982e-63af607f1fa3",3,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,1,2,NA,NA,3.32,1.51,NA,96.31,159.91,"line_drive","medium","9",222,100.29,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Double","double","Geraldo Perdomo doubles (19) on a line drive to right fielder Adolis Garcia. Gabriel Moreno scores. Ketel Marte to 3rd.",1,3,2,77,"bottom",11,"2023-08-22T04:30:23.135Z","2023-08-22T04:31:25.669Z",TRUE,TRUE,FALSE,FALSE,34,1,1,2,672695,"Geraldo Perdomo","/api/v1/people/672695","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.5,84.4,3,0.91,0.4074,5.9701,29.9638,-12.6603,4.9194,10.6657,0.5428,2.9212,-2.8176,-134.5915,-6.8683,0.9656,50.002,6.4077,9,31.2,3.6,24,2382,151,91.2,22,298,NA,NA,NA,FALSE,-14,18,-8.3,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,672695,"Geraldo Perdomo","/api/v1/people/672695",606466,"Ketel Marte","/api/v1/people/606466"
716906,"2023-08-22",2,"2023-08-22T04:30:43.962Z","2023-08-22T04:30:51.085Z",TRUE,"pitch","3ac531a6-570d-48e9-bf5f-de7d6ea84c8f",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.3872,1.6223,NA,116.06,226.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Double","double","Geraldo Perdomo doubles (19) on a line drive to right fielder Adolis Garcia. Gabriel Moreno scores. Ketel Marte to 3rd.",1,3,2,77,"bottom",11,"2023-08-22T04:30:23.135Z","2023-08-22T04:31:25.669Z",TRUE,TRUE,FALSE,FALSE,34,1,1,2,672695,"Geraldo Perdomo","/api/v1/people/672695","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",86.4,79.5,14,0.98,0.4369,6.0305,25.4258,-19.8429,9.1044,7.745,0.0247,0.4434,-5.504,-125.3822,-10.1727,1.0658,50.0006,6.1732,14.4893,31.2,6,24,1899,144,NA,NA,NA,NA,NA,NA,FALSE,-25,11.9,-15.2,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716906,"2023-08-22",1,"2023-08-22T04:30:25.258Z","2023-08-22T04:30:30.328Z",TRUE,"pitch","2449050c-adf1-48ab-b6cf-108c28834d21",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.354,1.6223,NA,86.71,177.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Double","double","Geraldo Perdomo doubles (19) on a line drive to right fielder Adolis Garcia. Gabriel Moreno scores. Ketel Marte to 3rd.",1,3,2,77,"bottom",11,"2023-08-22T04:30:23.135Z","2023-08-22T04:31:25.669Z",TRUE,TRUE,FALSE,FALSE,34,1,1,2,672695,"Geraldo Perdomo","/api/v1/people/672695","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.3,84.4,6,0.9,0.4085,6.2225,29.6669,-13.8809,3.2731,10.0494,0.7947,2.2861,-2.1649,-134.2116,-8.1351,1.1875,50.0004,6.3497,5.9566,19.2,3.6,24,2225,150,NA,NA,NA,NA,NA,NA,FALSE,-15.6,16.6,-5.4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716906,"2023-08-22",0,"2023-08-22T04:29:38.230Z","2023-08-22T04:30:25.258Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",3,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"77","atBat","Double","double","Geraldo Perdomo doubles (19) on a line drive to right fielder Adolis Garcia. Gabriel Moreno scores. Ketel Marte to 3rd.",1,3,2,77,"bottom",11,"2023-08-22T04:30:23.135Z","2023-08-22T04:31:25.669Z",TRUE,TRUE,FALSE,FALSE,34,1,1,2,672695,"Geraldo Perdomo","/api/v1/people/672695","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716906,"2023-08-22",0,"2023-08-22T04:29:17.290Z","2023-08-22T04:29:17.323Z",FALSE,"no_pitch","07169066-0776-1003-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Intent Walk","intent_walk","Will Smith intentionally walks Ketel Marte.",0,3,1,76,"bottom",11,"2023-08-22T04:29:08.251Z","2023-08-22T04:29:22.327Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,606466,"Ketel Marte","/api/v1/people/606466","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,606466,"Ketel Marte","/api/v1/people/606466",NA,NA,NA,NA,NA,NA
716906,"2023-08-22",1,"2023-08-22T04:29:17.323Z","2023-08-22T04:29:18.323Z",FALSE,"no_pitch","07169066-0776-1013-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Intent Walk","intent_walk","Will Smith intentionally walks Ketel Marte.",0,3,1,76,"bottom",11,"2023-08-22T04:29:08.251Z","2023-08-22T04:29:22.327Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,606466,"Ketel Marte","/api/v1/people/606466","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,606466,"Ketel Marte","/api/v1/people/606466",NA,NA,NA,NA,NA,NA
716906,"2023-08-22",2,"2023-08-22T04:29:17.323Z","2023-08-22T04:29:17.324Z",FALSE,"no_pitch","07169066-0776-1023-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Intent Walk","intent_walk","Will Smith intentionally walks Ketel Marte.",0,3,1,76,"bottom",11,"2023-08-22T04:29:08.251Z","2023-08-22T04:29:22.327Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,606466,"Ketel Marte","/api/v1/people/606466","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,606466,"Ketel Marte","/api/v1/people/606466",NA,NA,NA,NA,NA,NA
716906,"2023-08-22",3,"2023-08-22T04:29:17.324Z","2023-08-22T04:29:22.327Z",FALSE,"no_pitch","07169066-0776-1033-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Intent Walk","intent_walk","Will Smith intentionally walks Ketel Marte.",0,3,1,76,"bottom",11,"2023-08-22T04:29:08.251Z","2023-08-22T04:29:22.327Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,606466,"Ketel Marte","/api/v1/people/606466","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,606466,"Ketel Marte","/api/v1/people/606466",NA,NA,NA,672515,"Gabriel Moreno","/api/v1/people/672515"
716906,"2023-08-22",4,"2023-08-22T04:28:39.497Z","2023-08-22T04:28:50.297Z",TRUE,"pitch","bb94df93-cf20-40c7-8fbe-c5d877d1bc55",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,1,NA,NA,3.1,1.47,NA,115.98,185.06,"popup","medium","2",134.12,205.65,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Pop Out","field_out","Corbin Carroll pops out to catcher Jonah Heim in foul territory.",0,3,1,75,"bottom",11,"2023-08-22T04:27:25.818Z","2023-08-22T04:28:50.297Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.2,75,5,0.9,0.4628,5.9913,22.2184,-28.215,-4.5637,2.7916,0.0269,1.9897,-1.8138,-118.2745,-4.0871,1.3963,50.0041,6.323,-6.4762,13.2,8.4,24,2429,297,68,84,4,NA,NA,NA,TRUE,-37,4.3,8.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,606466,"Ketel Marte","/api/v1/people/606466",NA,NA,NA,672515,"Gabriel Moreno","/api/v1/people/672515"
716906,"2023-08-22",3,"2023-08-22T04:28:12.820Z","2023-08-22T04:28:16.238Z",TRUE,"pitch","b8651070-6051-47c5-957d-1a980411c95b",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.1,1.47,NA,147.36,200.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Pop Out","field_out","Corbin Carroll pops out to catcher Jonah Heim in foul territory.",0,3,1,75,"bottom",11,"2023-08-22T04:27:25.818Z","2023-08-22T04:28:50.297Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.4,74.8,7,0.9,0.4636,5.9651,24.1985,-30.4445,-3.7854,1.2244,-0.7966,1.4308,-3.67,-118.4761,-4.8072,1.2686,50.0032,6.2923,-5.3403,10.8,9.6,24,2350,310,NA,NA,NA,NA,NA,NA,FALSE,-40.2,1.2,7.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,606466,"Ketel Marte","/api/v1/people/606466",NA,NA,NA,NA,NA,NA
716906,"2023-08-22",2,"2023-08-22T04:27:46.582Z","2023-08-22T04:27:52.748Z",TRUE,"pitch","e4f55b26-9235-4cba-9e82-899c3a954e5b",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.1,1.47,NA,96.44,194.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Pop Out","field_out","Corbin Carroll pops out to catcher Jonah Heim in foul territory.",0,3,1,75,"bottom",11,"2023-08-22T04:27:25.818Z","2023-08-22T04:28:50.297Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81,74.1,9,0.9,0.4664,6.1302,24.4404,-28.9456,-2.0404,2.3193,0.5394,1.6408,-1.4642,-117.885,-4.4084,1.4359,50.0048,6.2366,-2.844,6,8.4,24,2458,322,NA,NA,NA,NA,NA,NA,FALSE,-38.6,3.2,4.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,606466,"Ketel Marte","/api/v1/people/606466",NA,NA,NA,NA,NA,NA
716906,"2023-08-22",1,"2023-08-22T04:27:28.117Z","2023-08-22T04:27:31.882Z",TRUE,"pitch","8261aaca-3fcb-40c7-9bfa-d6a31adbe6f7",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.1,1.47,NA,148.78,206.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Pop Out","field_out","Corbin Carroll pops out to catcher Jonah Heim in foul territory.",0,3,1,75,"bottom",11,"2023-08-22T04:27:25.818Z","2023-08-22T04:28:50.297Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.5,76,13,0.9,0.4601,5.6823,20.7925,-31.0744,-3.0755,0.765,-0.8336,1.2028,-3.9584,-118.64,-5.377,1.2504,50.0036,6.3014,-4.423,8.4,9.6,24,2395,318,NA,NA,NA,NA,NA,NA,FALSE,-40.4,0.5,6.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,606466,"Ketel Marte","/api/v1/people/606466",NA,NA,NA,NA,NA,NA
716906,"2023-08-22",0,"2023-08-22T04:27:07.192Z","2023-08-22T04:27:28.117Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Corbin Carroll replaces Alek Thomas.","Offensive Substitution",3,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,682998,"/api/v1/people/682998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","75","atBat","Pop Out","field_out","Corbin Carroll pops out to catcher Jonah Heim in foul territory.",0,3,1,75,"bottom",11,"2023-08-22T04:27:25.818Z","2023-08-22T04:28:50.297Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Texas Rangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,677950,"/api/v1/people/677950",NA,TRUE,FALSE,606466,"Ketel Marte","/api/v1/people/606466",NA,NA,NA,NA,NA,NA
