"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.disengagementNum","isBaseRunningPlay","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
717051,"2023-08-10",6,"2023-08-11T01:56:04.137Z","2023-08-11T01:56:07.302Z",TRUE,"pitch","3ba7343b-f10d-40e6-9394-1de2e949b948",7,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.53,1.73,NA,152.21,133.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Edward Olivares strikes out swinging.",0,0,2,66,"top",9,"2023-08-11T01:52:56.085Z","2023-08-11T01:56:07.302Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,658668,"Edward Olivares","/api/v1/people/658668","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.8,86.6,11,0.85,0.3968,6.5973,30.8348,-14.0691,-0.3,9.3819,-0.9238,3.9026,4.1083,-138.0478,-3.2134,-2.3925,50.0003,6.0293,-0.58,1.2,3.6,24,2402,195,NA,NA,NA,NA,NA,NA,TRUE,-13.9,16.6,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717051,"2023-08-10",5,"2023-08-11T01:55:33.626Z","2023-08-11T01:55:38.843Z",TRUE,"pitch","eda15c04-2357-469f-8c2c-2ea1d43fca07",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.53,1.73,NA,108.48,170.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Edward Olivares strikes out swinging.",0,0,2,66,"top",9,"2023-08-11T01:52:56.085Z","2023-08-11T01:56:07.302Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,658668,"Edward Olivares","/api/v1/people/658668","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.8,88.1,5,0.9,0.3925,6.7216,29.4738,-12.346,-2.89,10.0432,0.2236,2.5447,7.8251,-139.2138,-7.0277,-2.2408,50.0068,5.9087,-5.7084,16.8,2.4,24,2535,189,NA,NA,NA,NA,NA,NA,FALSE,-12.7,17,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717051,"2023-08-10",4,"2023-08-11T01:54:46.583Z","2023-08-11T01:54:52.288Z",TRUE,"pitch","d779dde4-a032-49dd-be22-319417a07f7e",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.53,1.73,NA,116.88,148.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Edward Olivares strikes out swinging.",0,0,2,66,"top",9,"2023-08-11T01:52:56.085Z","2023-08-11T01:56:07.302Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,658668,"Edward Olivares","/api/v1/people/658668","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",95.2,87.3,2,0.73,0.3949,6.577,29.7412,-10.3303,-0.6026,11.2014,0.0032,3.3359,6.6949,-138.4914,-5.3764,-2.3632,50.0063,5.9877,-1.1754,1.2,2.4,24,2626,196,NA,NA,NA,NA,NA,NA,FALSE,-10.7,19.4,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717051,"2023-08-10",3,"2023-08-11T01:54:24.931Z","2023-08-11T01:54:28.352Z",TRUE,"pitch","d4e64763-5da3-48a0-a7d3-1286a0ff8ab7",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,2,NA,NA,3.53,1.73,NA,103.74,182.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Edward Olivares strikes out swinging.",0,0,2,66,"top",9,"2023-08-11T01:52:56.085Z","2023-08-11T01:56:07.302Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,658668,"Edward Olivares","/api/v1/people/658668","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.8,87,9,0.54,0.3971,6.611,29.7717,-10.2196,-1.1475,11.3869,0.348,2.0776,7.6264,-137.7659,-8.3343,-2.3034,50.0003,5.8273,-2.2132,2.4,2.4,24,2596,199,NA,NA,NA,NA,NA,NA,FALSE,-11.4,19.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717051,"2023-08-10",2,"2023-08-11T01:54:02.504Z","2023-08-11T01:54:07.840Z",TRUE,"pitch","07794210-6f5b-4927-9d33-fc78afddabfa",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.5095,1.7277,NA,133.76,236.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Edward Olivares strikes out swinging.",0,0,2,66,"top",9,"2023-08-11T01:52:56.085Z","2023-08-11T01:56:07.302Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,658668,"Edward Olivares","/api/v1/people/658668","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95,88,13,0.94,0.3958,7.1321,27.2396,-10.7694,-7.0093,11.004,-0.4396,0.0794,6.1594,-137.7751,-13.7293,-1.7808,50.0022,5.8235,-13.6332,43.2,3.6,24,2305,204,NA,NA,NA,NA,NA,NA,FALSE,-12.7,17.5,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717051,"2023-08-10",1,"2023-08-11T01:53:41.363Z","2023-08-11T01:53:44.556Z",TRUE,"pitch","054303e8-d7ea-4483-a000-89cf04230248",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.5391,1.7277,NA,142.7,193.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Edward Olivares strikes out swinging.",0,0,2,66,"top",9,"2023-08-11T01:52:56.085Z","2023-08-11T01:56:07.302Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,658668,"Edward Olivares","/api/v1/people/658668","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.7,87.2,7,0.86,0.397,6.5296,28.5966,-12.6174,-2.8273,10.1263,-0.6743,1.6922,6.2215,-137.6117,-8.9228,-2.5902,50.0003,5.8173,-5.4594,16.8,3.6,24,2528,202,NA,NA,NA,NA,NA,NA,FALSE,-13.7,16.8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717051,"2023-08-10",0,"2023-08-11T01:53:23.031Z","2023-08-11T01:53:26.933Z",TRUE,"pitch","0beb9edf-ac5b-4864-90fe-119ba80ba839",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.5687,1.8022,NA,71.43,175.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Edward Olivares strikes out swinging.",0,0,2,66,"top",9,"2023-08-11T01:52:56.085Z","2023-08-11T01:56:07.302Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,658668,"Edward Olivares","/api/v1/people/658668","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.4,87.5,14,0.89,0.3951,6.7707,30.2984,-12.7002,-2.7328,9.9974,1.1956,2.3428,10.4951,-138.5179,-7.1816,-2.2834,50.0006,5.8142,-5.3238,12,3.6,24,2562,201,NA,NA,NA,NA,NA,NA,FALSE,-13.3,16.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717051,"2023-08-10",3,"2023-08-11T01:52:46.009Z","2023-08-11T01:52:55.487Z",TRUE,"pitch","4731dbd5-63fb-4a1c-9b50-b597eeb1f23f",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,1,NA,NA,3.17,1.52,NA,119.08,155.92,"fly_ball","medium","9",151.11,114.16,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Flyout","field_out","Freddy Fermin flies out to right fielder Alex Verdugo.",0,0,2,65,"top",9,"2023-08-11T01:51:21.126Z","2023-08-11T01:52:55.487Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",95,86.8,2,2,0.3968,6.6331,30.5425,-11.1155,-4.0806,10.9109,-0.0546,3.0691,8.0311,-138.019,-5.6087,-2.4713,50.0069,5.8754,-7.8795,26.4,2.4,24,2589,199,88.9,54,224,NA,NA,NA,TRUE,-11.6,18.7,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717051,"2023-08-10",2,"2023-08-11T01:52:22.364Z","2023-08-11T01:52:26.501Z",TRUE,"pitch","6bed28e4-037d-4b4c-bf07-a4b437903f61",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.17,1.52,NA,104.54,188.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Flyout","field_out","Freddy Fermin flies out to right fielder Alex Verdugo.",0,0,2,65,"top",9,"2023-08-11T01:51:21.126Z","2023-08-11T01:52:55.487Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.5,78.6,9,0.89,0.4438,6.6448,22.507,-33.2724,2.9829,-0.7051,0.3268,1.8544,5.569,-123.0331,-3.3409,-2.3464,50.0061,6.0256,4.612,9.6,8.4,24,2397,93,NA,NA,NA,NA,NA,NA,FALSE,-39.8,-1.8,-6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717051,"2023-08-10",1,"2023-08-11T01:52:05.340Z","2023-08-11T01:52:08.582Z",TRUE,"pitch","3ce8ccf3-2ce3-4596-be7b-41aa9de81764",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.3023,1.5177,NA,97.48,197.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Flyout","field_out","Freddy Fermin flies out to right fielder Alex Verdugo.",0,0,2,65,"top",9,"2023-08-11T01:51:21.126Z","2023-08-11T01:52:55.487Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.4,87.7,9,0.66,0.3969,6.7752,25.9328,-12.3592,-1.7179,10.2394,0.5122,1.5434,8.3914,-137.1852,-9.3606,-2.3429,50.0067,5.8096,-3.3258,7.2,2.4,24,2549,201,NA,NA,NA,NA,NA,NA,FALSE,-13.3,17,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717051,"2023-08-10",0,"2023-08-11T01:51:48.201Z","2023-08-11T01:51:52.058Z",TRUE,"pitch","e644e74c-6937-4dce-9ccd-d26759fce4d3",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.3023,1.5177,NA,66.12,178.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Flyout","field_out","Freddy Fermin flies out to right fielder Alex Verdugo.",0,0,2,65,"top",9,"2023-08-11T01:51:21.126Z","2023-08-11T01:52:55.487Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",95,87.8,14,0.54,0.3955,6.7129,27.5929,-11.9184,-0.9216,10.4066,1.3349,2.2267,10.0502,-137.9058,-7.8162,-2.2205,50.0042,5.8819,-1.7937,1.2,2.4,24,2534,201,NA,NA,NA,NA,NA,NA,FALSE,-12.7,17.5,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717051,"2023-08-10",5,"2023-08-11T01:51:15.852Z","2023-08-11T01:51:20.372Z",TRUE,"pitch","a2ec9229-63c0-41f0-b013-5012a971e935",5,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",2,3,0,NA,NA,3.35,1.6,NA,114.35,154.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","MJ Melendez strikes out on a foul tip.",0,0,2,64,"top",9,"2023-08-11T01:49:37.457Z","2023-08-11T01:51:20.372Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669004,"MJ Melendez","/api/v1/people/669004","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.6,87.3,2,0.78,0.3965,6.6385,27.4987,-13.3294,-2.3067,9.7251,0.0696,3.1157,7.6794,-137.5888,-5.4732,-2.4449,50.0011,6.0173,-4.4697,12,3.6,24,2572,197,NA,NA,NA,NA,NA,NA,TRUE,-13.6,16.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717051,"2023-08-10",4,"2023-08-11T01:50:55.235Z","2023-08-11T01:50:58.893Z",TRUE,"pitch","d0533beb-444a-475b-b1a1-29f2c24c2129",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.4799,1.7133,NA,108.34,202.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","MJ Melendez strikes out on a foul tip.",0,0,2,64,"top",9,"2023-08-11T01:49:37.457Z","2023-08-11T01:51:20.372Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669004,"MJ Melendez","/api/v1/people/669004","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.5,88.7,14,0.94,0.3904,7.039,29.8854,-10.4217,-6.1584,10.8945,0.2272,1.3555,7.9502,-140.005,-10.9836,-1.8414,50.0057,5.9989,-12.2995,39.6,3.6,24,2196,206,NA,NA,NA,NA,NA,NA,FALSE,-11.6,17.8,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717051,"2023-08-10",3,"2023-08-11T01:50:17.762Z","2023-08-11T01:50:21.977Z",TRUE,"pitch","67a80fd8-505d-497c-bd4d-35eb63660462",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.35,1.6,NA,114.53,166.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","MJ Melendez strikes out on a foul tip.",0,0,2,64,"top",9,"2023-08-11T01:49:37.457Z","2023-08-11T01:51:20.372Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669004,"MJ Melendez","/api/v1/people/669004","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.9,87.4,5,0.61,0.3979,6.6785,24.7875,-14.2504,-1.2129,9.2963,0.0649,2.6792,7.7134,-136.6786,-6.0824,-2.6134,50.0005,5.8793,-2.3391,3.6,3.6,24,2432,197,NA,NA,NA,NA,NA,NA,FALSE,-14.5,16,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717051,"2023-08-10",2,"2023-08-11T01:49:57.459Z","2023-08-11T01:50:00.723Z",TRUE,"pitch","e900e12f-d9ef-4b36-a1ba-bae176ac6f26",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.4503,1.6541,NA,206.71,146.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","MJ Melendez strikes out on a foul tip.",0,0,2,64,"top",9,"2023-08-11T01:49:37.457Z","2023-08-11T01:51:20.372Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669004,"MJ Melendez","/api/v1/people/669004","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.9,75.8,11,0.91,0.4577,6.4462,21.2791,-32.5936,2.6197,-0.2834,-2.3535,3.4241,0.1709,-119.3157,0.2883,-2.7667,50.0055,6.2201,3.8073,7.2,9.6,24,2279,97,NA,NA,NA,NA,NA,NA,FALSE,-40.7,-0.2,-4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717051,"2023-08-10",1,"2023-08-11T01:49:39.790Z","2023-08-11T01:49:43.244Z",TRUE,"pitch","27e50f1e-9c3b-49b6-8762-bcb4c761e98c",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.4799,1.5977,NA,105.67,180.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","MJ Melendez strikes out on a foul tip.",0,0,2,64,"top",9,"2023-08-11T01:49:37.457Z","2023-08-11T01:51:20.372Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669004,"MJ Melendez","/api/v1/people/669004","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.4,85.9,9,2,0.4028,6.803,27.8874,-14.7167,-3.9088,9.3046,0.2973,2.1442,8.6791,-135.6624,-7.137,-2.4263,50.0032,5.8225,-7.3348,19.2,3.6,24,2438,197,NA,NA,NA,NA,NA,NA,FALSE,-15.7,15.6,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
