"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718212,"2023-05-12",7,"2023-05-13T01:38:32.071Z","2023-05-13T01:38:36.949Z",TRUE,"pitch","899c9947-9e02-4d21-b324-4fa9659c0089",6,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,3,2,NA,NA,3.4702,1.6505,NA,144.09,175.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Jazz Chisholm Jr. called out on strikes.",0,7,4,77,"bottom",9,"2023-05-13T01:36:23.646Z","2023-05-13T01:38:36.949Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,86.2,4,0.9,0.3978,7.7621,32.2702,-17.767,-3.0523,7.5153,-0.7108,2.3566,5.1979,-137.9856,-2.4562,-2.2271,50.0064,4.4629,-5.8549,14.4,3.6,24,2566,221,NA,NA,NA,NA,NA,NA,TRUE,-17.3,13.2,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718212,"2023-05-12",6,"2023-05-13T01:38:15.789Z","2023-05-13T01:38:21.056Z",TRUE,"pitch","dc8435fe-bb5b-4154-ba49-8f1ef5293163",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.3895,1.6505,NA,170.9,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Jazz Chisholm Jr. called out on strikes.",0,7,4,77,"bottom",9,"2023-05-13T01:36:23.646Z","2023-05-13T01:38:36.949Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.9,79.5,13,0.9,0.4331,7.7135,26.6842,-32.0692,2.0347,0.0681,-1.4142,2.0659,1.4862,-126.6327,0.1315,-2.2738,50.0051,4.586,3.2935,6,8.4,24,2520,109,NA,NA,NA,NA,NA,NA,FALSE,-35.8,0.4,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718212,"2023-05-12",4,"2023-05-13T01:37:27.432Z","2023-05-13T01:37:31.250Z",TRUE,"pitch","c5e8f407-ac3f-4289-a0d8-53c5e149f6c6",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.4298,1.6505,NA,89.18,228.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Jazz Chisholm Jr. called out on strikes.",0,7,4,77,"bottom",9,"2023-05-13T01:36:23.646Z","2023-05-13T01:38:36.949Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.7,80.4,14,0.9,0.4307,7.5022,27.6323,-31.3717,2.1977,0.488,0.7298,0.3798,6.761,-127.4647,-3.8017,-2.2487,50.0023,4.3836,3.5927,8.4,8.4,24,2729,130,NA,NA,NA,NA,NA,NA,FALSE,-35.6,0.2,-5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718212,"2023-05-12",3,"2023-05-13T01:37:08.933Z","2023-05-13T01:37:12.489Z",TRUE,"pitch","ac3282d4-202f-4700-a081-1be9edab7bcd",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.3895,1.6505,NA,56.93,167.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Jazz Chisholm Jr. called out on strikes.",0,7,4,77,"bottom",9,"2023-05-13T01:36:23.646Z","2023-05-13T01:38:36.949Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96,86.6,12,0.9,0.3951,7.5781,35.0549,-13.1629,-5.0759,9.7975,1.5759,2.6495,11.5697,-139.3075,-2.4459,-1.9956,50.0011,4.4232,-9.8496,26.4,3.6,24,2787,227,NA,NA,NA,NA,NA,NA,FALSE,-12.8,17.3,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718212,"2023-05-12",2,"2023-05-13T01:36:52.433Z","2023-05-13T01:36:58.520Z",TRUE,"pitch","4ef29719-8151-4543-ad7f-60410d3365a4",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,2,NA,NA,3.45,1.6505,NA,131.65,186.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Jazz Chisholm Jr. called out on strikes.",0,7,4,77,"bottom",9,"2023-05-13T01:36:23.646Z","2023-05-13T01:38:36.949Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,86.6,7,0.89,0.3931,7.571,37.7999,-11.9663,-7.0391,10.3284,-0.3842,1.9385,7.2286,-140.4224,-4.7143,-2.1027,50.0021,4.4454,-13.7722,42,3.6,24,2684,228,NA,NA,NA,NA,NA,NA,FALSE,-12.2,17.6,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718212,"2023-05-12",1,"2023-05-13T01:36:25.930Z","2023-05-13T01:36:30.357Z",TRUE,"pitch","1429155c-33a7-4a0e-8afc-c10a2af9e2fb",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.3289,1.6505,NA,144.35,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Jazz Chisholm Jr. called out on strikes.",0,7,4,77,"bottom",9,"2023-05-13T01:36:23.646Z","2023-05-13T01:38:36.949Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96,86.5,1,0.9,0.3942,7.8276,35.4388,-15.1992,-5.8082,8.7132,-0.7175,3.2141,6.0953,-139.6594,-0.6874,-2.188,50.0055,4.4759,-11.3198,32.4,3.6,24,2589,221,NA,NA,NA,NA,NA,NA,FALSE,-14.3,15.7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718212,"2023-05-12",0,"2023-05-13T01:36:12.040Z","2023-05-13T01:36:25.930Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",7,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,665862,"/api/v1/people/665862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Jazz Chisholm Jr. called out on strikes.",0,7,4,77,"bottom",9,"2023-05-13T01:36:23.646Z","2023-05-13T01:38:36.949Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718212,"2023-05-12",5,"2023-05-13T01:37:49.417Z","2023-05-13T01:38:15.789Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",7,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Jazz Chisholm Jr. called out on strikes.",0,7,4,77,"bottom",9,"2023-05-13T01:36:23.646Z","2023-05-13T01:38:36.949Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718212,"2023-05-12",2,"2023-05-13T01:35:33.927Z","2023-05-13T01:35:45.472Z",TRUE,"pitch","26dd0f7d-c19a-40eb-8409-52f119a83d12",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,1,NA,NA,3.32,1.59,NA,123.39,169.15,"fly_ball","medium","9",190.89,97.98,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Joey Wendle flies out to right fielder Wil Myers.",0,7,4,76,"bottom",9,"2023-05-13T01:34:37.940Z","2023-05-13T01:35:45.472Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,621563,"Joey Wendle","/api/v1/people/621563","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.8,79.9,5,0.89,0.43,8.0646,28.2799,-29.0032,3.0074,1.9342,-0.1675,2.5788,4.2542,-127.7813,0.7443,-2.2498,50.0044,4.5766,4.9332,12,7.2,24,2688,183,99.4,46,299,NA,NA,NA,TRUE,-31.8,4,-6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718212,"2023-05-12",1,"2023-05-13T01:35:17.170Z","2023-05-13T01:35:21.366Z",TRUE,"pitch","28869dee-2072-490c-a0f9-a1544e9c0482",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,1,NA,NA,3.32,1.59,NA,112.57,183.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Joey Wendle flies out to right fielder Wil Myers.",0,7,4,76,"bottom",9,"2023-05-13T01:34:37.940Z","2023-05-13T01:35:45.472Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,621563,"Joey Wendle","/api/v1/people/621563","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.9,80,8,0.9,0.4299,7.7675,28.9423,-30.0286,2.8477,1.3062,0.1163,2.0653,4.979,-127.9264,-0.4359,-2.2329,50.0006,4.6129,4.6702,10.8,7.2,24,2579,134,NA,NA,NA,NA,NA,NA,FALSE,-33.1,2.5,-6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718212,"2023-05-12",0,"2023-05-13T01:35:00.653Z","2023-05-13T01:35:06.863Z",TRUE,"pitch","9093e1b6-ee22-45ec-9cb2-f7e62c2bab3b",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.3203,1.5905,NA,214.02,142.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Joey Wendle flies out to right fielder Wil Myers.",0,7,4,76,"bottom",9,"2023-05-13T01:34:37.940Z","2023-05-13T01:35:45.472Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,621563,"Joey Wendle","/api/v1/people/621563","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.6,87.4,11,0.9,0.391,7.6422,34.6166,-15.1024,-5.8569,8.6079,-2.5454,3.5697,1.5357,-140.5973,0.0038,-2.341,50.0056,4.556,-11.619,37.2,3.6,24,2531,227,NA,NA,NA,NA,NA,NA,FALSE,-13.8,15.7,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718212,"2023-05-12",7,"2023-05-13T01:34:31.976Z","2023-05-13T01:34:36.993Z",TRUE,"pitch","478511a1-1312-4d62-b437-5b10b7ba584a",6,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,3,0,NA,NA,3.4701,1.7017,NA,134.21,147.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Jesus Sanchez called out on strikes.",0,7,4,75,"bottom",9,"2023-05-13T01:33:03.618Z","2023-05-13T01:34:36.993Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.1,80.4,1,0.9,0.4278,7.4508,27.4534,-29.6116,4.0148,1.548,-0.4514,3.3726,3.2712,-128.217,2.6863,-2.2672,50.0047,4.6276,6.6599,14.4,7.2,24,2709,118,NA,NA,NA,NA,NA,NA,TRUE,-31.7,3.7,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718212,"2023-05-12",6,"2023-05-13T01:34:11.898Z","2023-05-13T01:34:15.142Z",TRUE,"pitch","6f73b02b-3ad9-4251-ad76-215d4794543b",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,0,NA,NA,3.57,1.68,NA,123.98,172.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Jesus Sanchez called out on strikes.",0,7,4,75,"bottom",9,"2023-05-13T01:33:03.618Z","2023-05-13T01:34:36.993Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.3,85.6,5,0.9,0.4005,7.8291,32.4522,-18.0259,-4.8438,7.4806,-0.183,2.4675,6.9605,-137.169,-1.9713,-2.1329,50.0035,4.4345,-9.1626,21.6,4.8,24,2348,235,NA,NA,NA,NA,NA,NA,FALSE,-17.6,13.3,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718212,"2023-05-12",5,"2023-05-13T01:33:56.052Z","2023-05-13T01:33:59.639Z",TRUE,"pitch","8a099a2b-73e2-4e46-8baa-115f2b330c5f",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.3485,1.6805,NA,193.5,147.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Jesus Sanchez called out on strikes.",0,7,4,75,"bottom",9,"2023-05-13T01:33:03.618Z","2023-05-13T01:34:36.993Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.8,86.5,11,0.9,0.3947,7.5276,34.8535,-17.7299,-4.3011,7.4292,-2.0069,3.3626,2.003,-139.412,-0.0637,-2.1806,50.0062,4.5679,-8.3663,24,3.6,24,2426,226,NA,NA,NA,NA,NA,NA,FALSE,-16.4,13.6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718212,"2023-05-12",4,"2023-05-13T01:33:36.413Z","2023-05-13T01:33:41.518Z",TRUE,"pitch","54c80f0e-748d-4f0b-8a13-64661b181df6",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.57,1.68,NA,112.04,177.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Jesus Sanchez called out on strikes.",0,7,4,75,"bottom",9,"2023-05-13T01:33:03.618Z","2023-05-13T01:34:36.993Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.1,80.3,8,0.89,0.4285,7.5921,28.391,-29.4931,2.4622,1.6255,0.13,2.2534,5.3003,-128.2029,-0.0444,-2.2904,50.0048,4.5876,4.0673,9.6,7.2,24,2737,115,NA,NA,NA,NA,NA,NA,FALSE,-32.3,3.1,-5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718212,"2023-05-12",3,"2023-05-13T01:33:19.620Z","2023-05-13T01:33:24.782Z",TRUE,"pitch","11e3b026-63dc-4241-8c9e-90984092276a",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.4293,1.6805,NA,159.58,174.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Jesus Sanchez called out on strikes.",0,7,4,75,"bottom",9,"2023-05-13T01:33:03.618Z","2023-05-13T01:34:36.993Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.4,80,13,0.89,0.4306,7.4262,26.6127,-29.3393,2.0442,1.7303,-1.117,2.387,2.6643,-127.3005,0.2127,-2.4435,50.0024,4.6286,3.348,7.2,7.2,24,2722,130,NA,NA,NA,NA,NA,NA,FALSE,-32.4,3.5,-4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
