"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
717551,"2023-07-01",2,"2023-07-01T04:14:18.085Z","2023-07-01T04:14:22.477Z",TRUE,"pitch","de4ff0df-4b13-4bbf-a2df-3a5d928457d2",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,2,NA,NA,3.11,1.45,NA,134.74,166.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Yasmani Grandal strikes out swinging.",0,4,7,77,"top",9,"2023-07-01T04:13:27.921Z","2023-07-01T04:14:22.477Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,518735,"Yasmani Grandal","/api/v1/people/518735","L","Left",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Oakland Athletics","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,87.6,1,0.91,0.3939,7.0602,29.0629,-14.074,-4.6716,9.2306,-0.4653,2.6674,3.9525,-138.6838,-5.493,-1.2973,50.0033,5.6017,-9.1613,28.8,3.6,24,2211,215,NA,NA,NA,NA,NA,NA,TRUE,-14.2,15.8,7.7,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717551,"2023-07-01",1,"2023-07-01T04:14:02.790Z","2023-07-01T04:14:06.815Z",TRUE,"pitch","fe2eb499-d816-4a10-9713-f54e48062809",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.11,1.45,NA,121.46,187.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Yasmani Grandal strikes out swinging.",0,4,7,77,"top",9,"2023-07-01T04:13:27.921Z","2023-07-01T04:14:22.477Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,518735,"Yasmani Grandal","/api/v1/people/518735","L","Left",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Oakland Athletics","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.3,81.6,8,0.91,0.4251,7.1058,24.5058,-21.8628,-8.3484,6.1221,-0.1171,1.901,5.672,-128.4407,-5.2394,-1.26,50.0039,5.6484,-14.0669,30,6,24,1701,231,NA,NA,NA,NA,NA,NA,FALSE,-24.6,10.2,14,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717551,"2023-07-01",0,"2023-07-01T04:13:49.441Z","2023-07-01T04:13:53.977Z",TRUE,"pitch","044f33d2-b885-41ef-a36f-74b5cb93f8d1",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.1096,1.4495,NA,127.2,170.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Yasmani Grandal strikes out swinging.",0,4,7,77,"top",9,"2023-07-01T04:13:27.921Z","2023-07-01T04:14:22.477Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,518735,"Yasmani Grandal","/api/v1/people/518735","L","Left",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Oakland Athletics","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",87.7,80.9,5,0.9,0.4278,7.0783,24.5793,-26.2694,-9.6944,3.5515,-0.2676,2.5416,5.4212,-127.6979,-2.8416,-1.1509,50.0032,5.7202,-16.1226,30,7.2,24,1627,230,NA,NA,NA,NA,NA,NA,FALSE,-29.3,6,16.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717551,"2023-07-01",1,"2023-07-01T04:13:11.430Z","2023-07-01T04:13:21.374Z",TRUE,"pitch","85547b94-a59a-4ea3-9e93-d1e4d9d0c399",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.1,1.48,NA,92.56,180.19,"ground_ball","medium","6",97.55,152.71,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Andrew Vaughn grounds out, shortstop Tyler Wade to first baseman Carlos Perez.",0,4,7,76,"top",9,"2023-07-01T04:12:33.150Z","2023-07-01T04:13:21.374Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,683734,"Andrew Vaughn","/api/v1/people/683734","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Oakland Athletics","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.1,81.4,6,0.91,0.426,6.978,24.5651,-25.8787,-8.6536,3.7492,0.6411,2.1701,7.2117,-128.1887,-4.049,-1.0737,50.0003,5.7723,-14.5123,26.4,7.2,24,1524,228,101.9,3,111,NA,NA,NA,TRUE,-28.9,6.1,14.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717551,"2023-07-01",0,"2023-07-01T04:12:56.976Z","2023-07-01T04:13:01.346Z",TRUE,"pitch","b4c9eafe-0d35-4925-accd-b09aa098e1f3",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.036,1.4478,NA,99.88,192.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Andrew Vaughn grounds out, shortstop Tyler Wade to first baseman Carlos Perez.",0,4,7,76,"top",9,"2023-07-01T04:12:33.150Z","2023-07-01T04:13:21.374Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,683734,"Andrew Vaughn","/api/v1/people/683734","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Oakland Athletics","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.4,87.1,9,0.88,0.3976,7.0767,27.7757,-14.1926,-5.8567,9.3319,0.4491,1.7011,5.8467,-137.2881,-8.2881,-0.9378,50.0016,5.7062,-11.2824,32.4,3.6,24,2382,209,NA,NA,NA,NA,NA,NA,FALSE,-15,15.5,9.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717551,"2023-07-01",0,"2023-07-01T04:12:21.149Z","2023-07-01T04:12:30.210Z",TRUE,"pitch","3309575b-eab3-4a9a-85ff-a9ab38bb0590",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,0,NA,NA,3.42,1.65,NA,93.06,151.24,"fly_ball","hard","8",136.88,64.87,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Eloy Jimenez flies out sharply to center fielder Esteury Ruiz.",0,4,7,75,"top",9,"2023-07-01T04:12:06.302Z","2023-07-01T04:12:30.210Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,650391,"Eloy Jiménez","/api/v1/people/650391","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Oakland Athletics","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,86.5,3,0.9,0.3965,7.0674,32.6723,-13.6302,-5.8133,9.6115,0.628,3.242,6.7599,-138.4624,-4.2328,-1.0968,50.0066,5.7113,-11.2213,33.6,3.6,24,2160,216,100.7,41,335,NA,NA,NA,TRUE,-13.7,16.7,9,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717551,"2023-07-01",3,"2023-07-01T04:11:37.475Z","2023-07-01T04:12:04.374Z",TRUE,"pitch","8b3451a1-aa4d-4c47-8a64-c4740a1c2dd5",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,0,0,NA,NA,3.75,1.78,NA,97.28,177,"fly_ball","medium","7",25.11,73.15,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Home Run","home_run","Luis Robert Jr. homers (24) on a fly ball to left field.",1,4,7,74,"top",9,"2023-07-01T04:11:22.697Z","2023-07-01T04:12:04.374Z",TRUE,TRUE,FALSE,FALSE,38,1,0,0,673357,"Luis Robert Jr.","/api/v1/people/673357","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.7,76.5,9,0.91,0.4539,7.0911,22.797,-33.4614,0.849,-0.8695,0.5174,2.2881,3.6178,-120.5297,-1.5507,-1.1116,50.0046,5.8868,1.2526,3.6,9.6,24,2374,68,106.7,24,397,NA,NA,NA,FALSE,-41.5,-1.7,-2.4,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717551,"2023-07-01",2,"2023-07-01T04:11:24.818Z","2023-07-01T04:11:29.913Z",TRUE,"pitch","ca0fed31-4b33-415c-baeb-782759812103",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.7178,1.8113,NA,61.8,201.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Home Run","home_run","Luis Robert Jr. homers (24) on a fly ball to left field.",1,4,7,74,"top",9,"2023-07-01T04:11:22.697Z","2023-07-01T04:12:04.374Z",TRUE,TRUE,FALSE,FALSE,38,1,0,0,673357,"Luis Robert Jr.","/api/v1/people/673357","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.4,79.6,14,0.91,0.4361,6.8115,25.7511,-31.1241,1.0896,0.6619,1.4483,1.3935,6.3311,-125.6456,-4.4403,-1.2472,50.0062,5.7164,1.7399,4.8,8.4,24,2450,119,NA,NA,NA,NA,NA,NA,FALSE,-36.4,0.4,-3.5,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717551,"2023-07-01",0,"2023-07-01T04:10:46.995Z","2023-07-01T04:10:47.034Z",FALSE,"action",NA,NA,"Seth Brown remains in the game as the right fielder.","Defensive Switch",3,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,664913,"/api/v1/people/664913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"9","Outfielder","Outfielder","RF","401","74","atBat","Home Run","home_run","Luis Robert Jr. homers (24) on a fly ball to left field.",1,4,7,74,"top",9,"2023-07-01T04:11:22.697Z","2023-07-01T04:12:04.374Z",TRUE,TRUE,FALSE,FALSE,38,1,0,0,673357,"Luis Robert Jr.","/api/v1/people/673357","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Oakland Athletics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,667670,"/api/v1/people/667670",NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717551,"2023-07-01",1,"2023-07-01T04:10:47.034Z","2023-07-01T04:11:24.818Z",FALSE,"action",NA,NA,"Tyler Wade remains in the game as the shortstop.","Defensive Switch",3,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,642180,"/api/v1/people/642180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"6","Shortstop","Infielder","SS","601","74","atBat","Home Run","home_run","Luis Robert Jr. homers (24) on a fly ball to left field.",1,4,7,74,"top",9,"2023-07-01T04:11:22.697Z","2023-07-01T04:12:04.374Z",TRUE,TRUE,FALSE,FALSE,38,1,0,0,673357,"Luis Robert Jr.","/api/v1/people/673357","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Oakland Athletics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,649557,"/api/v1/people/649557",NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717551,"2023-07-01",3,"2023-07-01T04:09:10.471Z","2023-07-01T04:09:18.862Z",TRUE,"pitch","05373cc0-b963-4e0c-94c8-d121e6182ed7",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,2,NA,NA,3.12,1.47,NA,104.73,170.63,"line_drive","medium","4",149.36,151.19,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Lineout","field_out","Tony Kemp lines out to second baseman Elvis Andrus.",0,3,7,73,"bottom",8,"2023-07-01T04:07:32.405Z","2023-07-01T04:09:18.862Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,643393,"Tony Kemp","/api/v1/people/643393","L","Left",669947,"Jesse Scholtens","/api/v1/people/669947","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.5,84.7,6,0.92,0.4069,7.061,28.7675,-12.2444,-0.5647,10.8553,0.322,2.524,3.3898,-134.535,-6.7512,-0.8802,50.0038,5.9312,-1.0374,1.2,3.6,24,1903,196,82.8,12,149,NA,NA,NA,TRUE,-13.6,18.5,0.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717551,"2023-07-01",2,"2023-07-01T04:08:41.602Z","2023-07-01T04:08:45.653Z",TRUE,"pitch","763751b7-e725-4da0-b276-5c7ea909d682",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.12,1.47,NA,120.41,195.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Lineout","field_out","Tony Kemp lines out to second baseman Elvis Andrus.",0,3,7,73,"bottom",8,"2023-07-01T04:07:32.405Z","2023-07-01T04:09:18.862Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,643393,"Tony Kemp","/api/v1/people/643393","L","Left",669947,"Jesse Scholtens","/api/v1/people/669947","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",72.9,67,8,0.89,0.5187,6.9619,20.4528,-39.7214,5.763,-6.7113,-0.0894,1.5944,-0.1588,-106.1465,-0.1138,-0.7601,50.0003,6.223,6.4863,9.6,14.4,24,2340,29,NA,NA,NA,NA,NA,NA,FALSE,-63.7,-11.8,-10.3,NA,1,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717551,"2023-07-01",0,"2023-07-01T04:07:57.805Z","2023-07-01T04:08:02.517Z",TRUE,"pitch","e1361c30-b2c0-4cc4-9ee6-049b206c0691",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.12,1.47,NA,132.22,182.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Lineout","field_out","Tony Kemp lines out to second baseman Elvis Andrus.",0,3,7,73,"bottom",8,"2023-07-01T04:07:32.405Z","2023-07-01T04:09:18.862Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,643393,"Tony Kemp","/api/v1/people/643393","L","Left",669947,"Jesse Scholtens","/api/v1/people/669947","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.5,84.1,4,0.9,0.4107,7.0243,27.5999,-12.6183,-0.6471,10.8466,-0.3992,2.0675,1.2193,-133.179,-7.9555,-0.7781,50.005,5.9987,-1.1671,3.6,3.6,24,1935,198,NA,NA,NA,NA,NA,NA,FALSE,-14.4,18.2,1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717551,"2023-07-01",1,"2023-07-01T04:08:20.288Z","2023-07-01T04:08:24.320Z",FALSE,"pickoff","081d7f51-4b1e-40f8-96f8-cde491b57c2b",NA,"Pickoff Attempt 1B",NA,NA,NA,NA,FALSE,"1",NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Lineout","field_out","Tony Kemp lines out to second baseman Elvis Andrus.",0,3,7,73,"bottom",8,"2023-07-01T04:07:32.405Z","2023-07-01T04:09:18.862Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,643393,"Tony Kemp","/api/v1/people/643393","L","Left",669947,"Jesse Scholtens","/api/v1/people/669947","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,1,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717551,"2023-07-01",3,"2023-07-01T04:07:16.797Z","2023-07-01T04:07:29.209Z",TRUE,"pitch","3021c6cf-988e-42ca-9b9c-e9584c3c6cf5",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,2,2,NA,NA,3.22,1.48,NA,130.58,175.38,"ground_ball","medium","8",124.6,107.93,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Single","single","Jace Peterson singles on a ground ball to center fielder Luis Robert Jr. Tyler Wade scores.",1,3,7,72,"bottom",8,"2023-07-01T04:05:41.775Z","2023-07-01T04:07:29.209Z",TRUE,TRUE,FALSE,FALSE,33,1,2,2,607054,"Jace Peterson","/api/v1/people/607054","L","Left",669947,"Jesse Scholtens","/api/v1/people/669947","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.1,77.4,4,0.89,0.447,6.9535,24.3696,-30.9285,2.644,0.8201,-0.3562,2.3483,0.4846,-122.5761,-2.3083,-0.9,50.0027,5.9445,4.021,7.2,8.4,24,2349,132,103.1,3,74,NA,NA,NA,FALSE,-37.3,1.2,-4.9,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,607054,"Jace Peterson","/api/v1/people/607054"
717551,"2023-07-01",2,"2023-07-01T04:06:51.729Z","2023-07-01T04:06:55.903Z",TRUE,"pitch","da197214-be5b-4d31-aa64-c59d8dde1b43",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,2,NA,NA,3.22,1.48,NA,91.31,207.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Single","single","Jace Peterson singles on a ground ball to center fielder Luis Robert Jr. Tyler Wade scores.",1,3,7,72,"bottom",8,"2023-07-01T04:05:41.775Z","2023-07-01T04:07:29.209Z",TRUE,TRUE,FALSE,FALSE,33,1,2,2,607054,"Jace Peterson","/api/v1/people/607054","L","Left",669947,"Jesse Scholtens","/api/v1/people/669947","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.1,80.8,14,0.89,0.4306,7.0426,24.1093,-26.7678,1.2061,3.2947,0.674,1.1632,3.2978,-126.8319,-6.4723,-0.7959,50.005,5.8617,1.9793,4.8,7.2,24,2305,172,NA,NA,NA,NA,NA,NA,FALSE,-31,4.8,-2.9,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717551,"2023-07-01",1,"2023-07-01T04:06:27.874Z","2023-07-01T04:06:33.578Z",TRUE,"pitch","7a47c02f-cdd6-4ff9-82f2-b523fe5e2b18",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.22,1.48,NA,82.01,190.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Single","single","Jace Peterson singles on a ground ball to center fielder Luis Robert Jr. Tyler Wade scores.",1,3,7,72,"bottom",8,"2023-07-01T04:05:41.775Z","2023-07-01T04:07:29.209Z",TRUE,TRUE,FALSE,FALSE,33,1,2,2,607054,"Jace Peterson","/api/v1/people/607054","L","Left",669947,"Jesse Scholtens","/api/v1/people/669947","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.5,80.4,14,0.89,0.4302,6.9947,26.5001,-25.5552,1.0729,4.0377,0.918,1.8048,4.1326,-127.3731,-5.1519,-0.8659,50.0057,5.8779,1.7609,6,7.2,24,2313,168,NA,NA,NA,NA,NA,NA,FALSE,-29.4,6.4,-2.9,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
