"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId"
718567,"2023-04-15",4,"2023-04-15T22:45:47.587Z","2023-04-15T22:45:55.024Z",TRUE,"pitch","3ec85897-b462-47e0-9ca0-f3eb681b5aa8",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.4,1.67,NA,127.76,157.28,"fly_ball","medium","7",37.6,109.25,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Jake McCarthy flies out to left fielder Bryan De La Cruz.",0,2,3,66,"top",9,"2023-04-15T22:44:10.339Z","2023-04-15T22:45:55.024Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,664983,"Jake McCarthy","/api/v1/people/664983","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Miami Marlins","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.4,83.5,1,0.88,0.4151,6.3373,25.9371,-29.6693,-3.4414,1.4173,-0.2823,3.0185,-6.9192,-131.5582,0.4135,2.8211,50.0023,5.0452,-6.076,14.4,7.2,24,2724,245,94.6,25,311,NA,NA,NA,TRUE,-30.4,2.9,7.7,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718567,"2023-04-15",3,"2023-04-15T22:45:25.232Z","2023-04-15T22:45:28.949Z",TRUE,"pitch","02be5140-1903-47e9-bd85-3198c922defe",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.4,1.67,NA,122.28,130.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Jake McCarthy flies out to left fielder Bryan De La Cruz.",0,2,3,66,"top",9,"2023-04-15T22:44:10.339Z","2023-04-15T22:45:55.024Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,664983,"Jake McCarthy","/api/v1/people/664983","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.2,88.8,11,0.91,0.3873,6.165,32.1928,-13.8143,2.9758,9.0667,-0.1386,3.9966,-8.7881,-141.4024,-0.9044,2.6228,50.0053,5.2067,6.028,15.6,2.4,24,2644,148,NA,NA,NA,NA,NA,NA,FALSE,-12.6,16.4,-3.6,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718567,"2023-04-15",2,"2023-04-15T22:45:06.198Z","2023-04-15T22:45:09.853Z",TRUE,"pitch","fe3d11a4-b26e-4536-be47-995b99506dc6",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,3.2656,1.5678,NA,125.62,161.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Jake McCarthy flies out to left fielder Bryan De La Cruz.",0,2,3,66,"top",9,"2023-04-15T22:44:10.339Z","2023-04-15T22:45:55.024Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,664983,"Jake McCarthy","/api/v1/people/664983","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Miami Marlins","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.6,81.8,2,0.9,0.4237,6.1927,25.4818,-30.7845,-2.7219,0.8236,-0.2262,2.8742,-7.0872,-128.9982,0.556,2.9047,50.0055,5.019,-4.6122,10.8,7.2,24,2738,264,NA,NA,NA,NA,NA,NA,FALSE,-32.9,1.8,6.5,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718567,"2023-04-15",1,"2023-04-15T22:44:45.195Z","2023-04-15T22:44:49.186Z",TRUE,"pitch","b4b18b07-ee6b-4bea-baed-3e91123008c1",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.2857,1.6088,NA,200.47,229.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Jake McCarthy flies out to left fielder Bryan De La Cruz.",0,2,3,66,"top",9,"2023-04-15T22:44:10.339Z","2023-04-15T22:45:55.024Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,664983,"Jake McCarthy","/api/v1/people/664983","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,87.8,13,0.89,0.396,6.4978,28.9819,-13.3034,2.8965,9.7271,-2.1897,0.3312,-13.6829,-137.99,-9.9148,2.4438,50.0016,4.8535,5.619,10.8,3.6,24,2798,144,NA,NA,NA,NA,NA,NA,FALSE,-14.6,15.7,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718567,"2023-04-15",0,"2023-04-15T22:44:29.544Z","2023-04-15T22:44:32.924Z",TRUE,"pitch","5db14549-ca97-495a-a01e-f27d03714e08",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.3059,1.6088,NA,109.3,159.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Jake McCarthy flies out to left fielder Bryan De La Cruz.",0,2,3,66,"top",9,"2023-04-15T22:44:10.339Z","2023-04-15T22:45:55.024Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,664983,"Jake McCarthy","/api/v1/people/664983","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Miami Marlins","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.3,81.7,2,0.9,0.4222,6.3571,28.3167,-34.6197,-3.5541,-1.4389,0.2019,2.9208,-5.7152,-129.9502,1.2294,2.8949,50.001,5.08,-6.0504,12,8.4,24,2811,254,NA,NA,NA,NA,NA,NA,FALSE,-36.5,-2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718567,"2023-04-15",0,"2023-04-15T22:43:51.394Z","2023-04-15T22:43:58.189Z",TRUE,"pitch","7fe7c672-f7b2-4a43-9a67-97dbec551788",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.31,1.53,NA,155.94,163.34,"ground_ball","medium","3",153.29,166.67,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Gabriel Moreno grounds out, first baseman Garrett Cooper to pitcher Tanner Scott.",0,2,3,65,"top",9,"2023-04-15T22:43:28.602Z","2023-04-15T22:43:58.189Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,672515,"Gabriel Moreno","/api/v1/people/672515","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Miami Marlins","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,88.3,11,0.9,0.3902,6.3766,31.9813,-12.6773,3.0929,9.7719,-1.0217,2.7941,-11.1608,-140.4113,-4.0187,2.6041,50.0052,5.0696,6.1735,15.6,2.4,24,2737,141,61.8,-6,18,NA,NA,NA,TRUE,-12.4,17,-3.2,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718567,"2023-04-15",8,"2023-04-15T22:43:22.445Z","2023-04-15T22:43:28.106Z",TRUE,"pitch","01c850a2-9388-45a7-83aa-82ba5126585f",6,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,3,0,NA,NA,3.2656,1.7113,NA,100.92,162.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Pavin Smith called out on strikes.",0,2,3,64,"top",9,"2023-04-15T22:42:01.065Z","2023-04-15T22:43:28.106Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,656976,"Pavin Smith","/api/v1/people/656976","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Miami Marlins",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.1,82.3,3,0.9,0.4208,6.4017,25.4438,-31.6077,-3.3722,0.332,0.4217,2.8287,-5.3474,-129.81,0.5473,2.9413,50.0049,5.0085,-5.7938,12,7.2,24,2760,262,NA,NA,NA,NA,NA,NA,TRUE,-33.2,1,7.2,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718567,"2023-04-15",7,"2023-04-15T22:43:03.827Z","2023-04-15T22:43:07.623Z",TRUE,"pitch","b1aa5ff7-5968-4012-b1b3-da3432840a5e",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,2,0,NA,NA,3.2857,1.6703,NA,108.52,170.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Pavin Smith called out on strikes.",0,2,3,64,"top",9,"2023-04-15T22:42:01.065Z","2023-04-15T22:43:28.106Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,656976,"Pavin Smith","/api/v1/people/656976","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Miami Marlins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,87.1,5,0.9,0.3949,6.3674,31.4849,-14.3678,1.6084,9.1425,0.2224,2.5334,-7.4783,-138.7828,-4.3441,2.7448,50.0053,5.0782,3.1347,6,3.6,24,2627,143,NA,NA,NA,NA,NA,NA,FALSE,-14.3,15.8,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718567,"2023-04-15",6,"2023-04-15T22:42:48.583Z","2023-04-15T22:42:55.543Z",TRUE,"pitch","7b8217b4-192b-49a6-b839-3101214c3df2",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,1,0,NA,NA,3.2454,1.6088,NA,113.68,157.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Pavin Smith called out on strikes.",0,2,3,64,"top",9,"2023-04-15T22:42:01.065Z","2023-04-15T22:43:28.106Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,656976,"Pavin Smith","/api/v1/people/656976","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Miami Marlins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,86.7,2,0.89,0.397,6.2302,30.6223,-15.2581,1.8487,8.7713,0.0871,2.9976,-7.8182,-137.9625,-3.1035,2.717,50.0009,5.1652,3.5664,7.2,3.6,24,2611,144,NA,NA,NA,NA,NA,NA,FALSE,-15,15.5,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718567,"2023-04-15",5,"2023-04-15T22:42:32.841Z","2023-04-15T22:42:35.841Z",TRUE,"pitch","0b5d2adf-955b-4ebf-a55f-2c8881a35a29",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,0,NA,NA,3.2656,1.6293,NA,169.64,159.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Pavin Smith called out on strikes.",0,2,3,64,"top",9,"2023-04-15T22:42:01.065Z","2023-04-15T22:43:28.106Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,656976,"Pavin Smith","/api/v1/people/656976","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Miami Marlins",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.9,81.9,11,0.89,0.4233,6.3363,25.8592,-29.1329,-2.9005,1.7889,-1.3811,2.9545,-9.8059,-129.1972,0.2744,2.8337,50.0004,5.0783,-4.9217,13.2,7.2,24,2642,250,NA,NA,NA,NA,NA,NA,FALSE,-31.1,3.6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718567,"2023-04-15",4,"2023-04-15T22:42:17.169Z","2023-04-15T22:42:20.471Z",TRUE,"pitch","4079d9e7-3d28-4eba-8876-8fb2998f3aa6",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,0,NA,NA,3.2656,1.6703,NA,172.06,160.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Pavin Smith called out on strikes.",0,2,3,64,"top",9,"2023-04-15T22:42:01.065Z","2023-04-15T22:43:28.106Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,656976,"Pavin Smith","/api/v1/people/656976","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Miami Marlins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,86.5,11,0.89,0.3983,6.0526,31.155,-15.7264,1.9954,8.5907,-1.4445,2.8894,-11.5214,-137.6394,-3.268,2.5403,50.0036,5.1601,3.823,4.8,3.6,24,2555,137,NA,NA,NA,NA,NA,NA,FALSE,-15.6,15,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718567,"2023-04-15",3,"2023-04-15T22:42:03.215Z","2023-04-15T22:42:11.260Z",TRUE,"pitch","34bdb73b-0acd-4e93-afb5-1f72aa411211",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.3059,1.6293,NA,154.02,174.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Pavin Smith called out on strikes.",0,2,3,64,"top",9,"2023-04-15T22:42:01.065Z","2023-04-15T22:43:28.106Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,656976,"Pavin Smith","/api/v1/people/656976","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Miami Marlins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.1,87,13,0.89,0.3964,6.1721,30.3881,-14.7564,2.4604,9.0051,-0.9711,2.3837,-10.4443,-138.1126,-4.7087,2.5378,50.0041,5.1012,4.7607,9.6,3.6,24,2600,144,NA,NA,NA,NA,NA,NA,FALSE,-14.9,15.5,-2.3,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718567,"2023-04-15",0,"2023-04-15T22:39:26.591Z","2023-04-15T22:39:33.282Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Pavin Smith replaces Nick Ahmed.","Offensive Substitution",2,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,656976,"/api/v1/people/656976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","701","64","atBat","Strikeout","strikeout","Pavin Smith called out on strikes.",0,2,3,64,"top",9,"2023-04-15T22:42:01.065Z","2023-04-15T22:43:28.106Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,656976,"Pavin Smith","/api/v1/people/656976","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Miami Marlins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,605113,"/api/v1/people/605113",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718567,"2023-04-15",1,"2023-04-15T22:39:33.282Z","2023-04-15T22:40:04.661Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",2,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Pavin Smith called out on strikes.",0,2,3,64,"top",9,"2023-04-15T22:42:01.065Z","2023-04-15T22:43:28.106Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,656976,"Pavin Smith","/api/v1/people/656976","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Miami Marlins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718567,"2023-04-15",2,"2023-04-15T22:40:04.661Z","2023-04-15T22:42:03.215Z",FALSE,"action",NA,NA,"Pitching Change: Tanner Scott replaces Huascar Brazoban.","Pitching Substitution",2,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,656945,"/api/v1/people/656945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"64","atBat","Strikeout","strikeout","Pavin Smith called out on strikes.",0,2,3,64,"top",9,"2023-04-15T22:42:01.065Z","2023-04-15T22:43:28.106Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,656976,"Pavin Smith","/api/v1/people/656976","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Miami Marlins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718567,"2023-04-15",1,"2023-04-15T22:37:06.633Z","2023-04-15T22:37:10.958Z",TRUE,"pitch","49e04faa-dffd-4195-9b2e-4e5391ec9061",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.57,1.69,NA,163.03,180.02,"line_drive","hard","5",93.39,161.07,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Lineout","field_out","Bryan De La Cruz lines out sharply to third baseman Josh Rojas.",0,2,3,63,"bottom",8,"2023-04-15T22:36:38.393Z","2023-04-15T22:37:10.958Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,650559,"Bryan De La Cruz","/api/v1/people/650559","R","Right",612434,"Miguel Castro","/api/v1/people/612434","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Arizona Diamondbacks","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.9,75.8,13,0.91,0.4574,6.184,21.4998,-31.381,5.5007,0.5423,-1.2075,2.1762,1.016,-119.4174,-0.1189,-2.3525,50.0002,5.0332,7.9984,14.4,9.6,24,2947,73,105.8,10,178,NA,NA,NA,TRUE,-39.2,1.2,-10.2,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
