"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","isSubstitution","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
718777,"2023-03-30",5,"2023-03-30T20:42:09.628Z","2023-03-30T20:42:17.662Z",TRUE,"pitch","d03faa7b-0166-42f3-a400-07d30af17955",5,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",0,3,2,NA,NA,3.42,1.56,NA,132.8,221.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Garrett Mitchell strikes out swinging, catcher Yan Gomes to first baseman Eric Hosmer.",0,0,4,68,"top",9,"2023-03-30T20:40:18.878Z","2023-03-30T20:42:17.662Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,669003,"Garrett Mitchell","/api/v1/people/669003","L","Left",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.3,82.2,13,2,0.4242,6.6856,23.6508,-27.4891,-7.8536,2.7661,-0.4146,0.6529,5.448,-128.5422,-7.0122,-1.5285,50.0018,5.5156,-13.2994,22.8,7.2,24,1757,223,NA,NA,NA,NA,NA,NA,TRUE,-31,3.8,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718777,"2023-03-30",4,"2023-03-30T20:41:44.578Z","2023-03-30T20:41:49.656Z",TRUE,"pitch","e3fd7a7d-ade3-4902-83ea-1a11a519f3f2",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.42,1.56,NA,118.79,170.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Garrett Mitchell strikes out swinging, catcher Yan Gomes to first baseman Eric Hosmer.",0,0,4,68,"top",9,"2023-03-30T20:40:18.878Z","2023-03-30T20:42:17.662Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,669003,"Garrett Mitchell","/api/v1/people/669003","L","Left",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,87.5,5,0.9,0.3946,6.8389,29.7569,-13.9929,-0.3017,9.3091,-0.0471,2.5407,3.0056,-138.5814,-6.5683,-1.1045,50.0043,5.869,-0.5897,0,3.6,24,2464,195,NA,NA,NA,NA,NA,NA,FALSE,-14.3,15.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718777,"2023-03-30",3,"2023-03-30T20:41:19.761Z","2023-03-30T20:41:24.485Z",TRUE,"pitch","b6bf464f-2fc2-406b-8b9e-c2b8d78bef4a",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.42,1.56,NA,91.56,162.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Garrett Mitchell strikes out swinging, catcher Yan Gomes to first baseman Eric Hosmer.",0,0,4,68,"top",9,"2023-03-30T20:40:18.878Z","2023-03-30T20:42:17.662Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,669003,"Garrett Mitchell","/api/v1/people/669003","L","Left",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.6,87,6,0.9,0.397,6.8032,28.8449,-14.8183,-2.6397,8.9891,0.6674,2.8315,5.4364,-137.6669,-5.6924,-0.9847,50.0054,5.9191,-5.0986,14.4,3.6,24,2332,197,NA,NA,NA,NA,NA,NA,FALSE,-15.1,15.4,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718777,"2023-03-30",2,"2023-03-30T20:40:56.469Z","2023-03-30T20:40:59.966Z",TRUE,"pitch","9da1c1f2-2424-45a5-b1c9-9605144d16d1",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.42,1.56,NA,119.84,184.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Garrett Mitchell strikes out swinging, catcher Yan Gomes to first baseman Eric Hosmer.",0,0,4,68,"top",9,"2023-03-30T20:40:18.878Z","2023-03-30T20:42:17.662Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,669003,"Garrett Mitchell","/api/v1/people/669003","L","Left",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.8,81.8,8,2,0.4232,6.6454,26.1724,-25.7682,-4.7705,3.7764,-0.0746,2,5.0801,-129.2601,-4.3858,-1.4427,50.0043,5.69,-8.0979,15.6,6,24,1639,222,NA,NA,NA,NA,NA,NA,FALSE,-28.4,6.1,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718777,"2023-03-30",1,"2023-03-30T20:40:21.152Z","2023-03-30T20:40:27.454Z",TRUE,"pitch","1227c1ea-a8ec-4507-b9f6-dd8174f8cd9c",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.42,1.56,NA,110.29,150.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Garrett Mitchell strikes out swinging, catcher Yan Gomes to first baseman Eric Hosmer.",0,0,4,68,"top",9,"2023-03-30T20:40:18.878Z","2023-03-30T20:42:17.662Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,669003,"Garrett Mitchell","/api/v1/people/669003","L","Left",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94,86,2,0.9,0.4,6.8478,30.061,-14.4743,-2.1645,9.3225,0.1761,3.276,3.7813,-136.8963,-4.4823,-0.9415,50.0061,5.9246,-4.1114,12,3.6,24,2434,197,NA,NA,NA,NA,NA,NA,FALSE,-14.8,16.1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718777,"2023-03-30",0,"2023-03-30T20:40:02.257Z","2023-03-30T20:40:21.152Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",0,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Garrett Mitchell strikes out swinging, catcher Yan Gomes to first baseman Eric Hosmer.",0,0,4,68,"top",9,"2023-03-30T20:40:18.878Z","2023-03-30T20:42:17.662Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,669003,"Garrett Mitchell","/api/v1/people/669003","L","Left",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718777,"2023-03-30",4,"2023-03-30T20:38:59.655Z","2023-03-30T20:39:08.056Z",TRUE,"pitch","b0e45c9f-1661-4a78-9262-9e23456a8115",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,1,NA,NA,3.18,1.49,NA,73.68,188.1,"ground_ball","medium","1",128.84,186.63,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Luis Urias grounds out, pitcher Michael Fulmer to first baseman Eric Hosmer. William Contreras to 2nd.",0,0,4,67,"top",9,"2023-03-30T20:37:35.385Z","2023-03-30T20:39:08.056Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,649966,"Luis Urías","/api/v1/people/649966","R","Right",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_RHB","RISP",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",88.3,82,14,0.9,0.4245,6.7261,24.4809,-29.4171,3.0073,1.6349,1.1365,1.8772,4.275,-128.6109,-4.5933,-0.9326,50.0061,5.9449,5.0825,10.8,7.2,24,2384,151,95.9,-2,26,NA,NA,NA,TRUE,-32.5,2.3,-6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,661388,"William Contreras","/api/v1/people/661388",NA,NA,NA,NA,NA,NA,NA
718777,"2023-03-30",3,"2023-03-30T20:38:36.543Z","2023-03-30T20:38:40.728Z",TRUE,"pitch","b8f890c3-e922-4cd0-bdb0-c54002883582",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.18,1.49,NA,75.8,183.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Luis Urias grounds out, pitcher Michael Fulmer to first baseman Eric Hosmer. William Contreras to 2nd.",0,0,4,67,"top",9,"2023-03-30T20:37:35.385Z","2023-03-30T20:39:08.056Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,649966,"Luis Urías","/api/v1/people/649966","R","Right",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_RHB","RISP",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",82.5,75.8,14,0.91,0.4572,6.6652,24.6315,-34.217,8.7182,-1.4113,1.081,2.0341,2.9225,-120.0932,-1.848,-1.2862,50.0012,5.8753,12.6509,20.4,10.8,24,2602,60,NA,NA,NA,NA,NA,NA,FALSE,-43.1,-2.8,-16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718777,"2023-03-30",2,"2023-03-30T20:38:14.234Z","2023-03-30T20:38:17.791Z",TRUE,"pitch","c11042da-6d61-4a5f-8eec-532486089774",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.18,1.49,NA,77.28,167.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Luis Urias grounds out, pitcher Michael Fulmer to first baseman Eric Hosmer. William Contreras to 2nd.",0,0,4,67,"top",9,"2023-03-30T20:37:35.385Z","2023-03-30T20:39:08.056Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,649966,"Luis Urías","/api/v1/people/649966","R","Right",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_RHB","RISP",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",88.9,82.5,12,0.91,0.4212,6.7713,24.3731,-27.3942,1.1669,2.7816,1.0419,2.6466,4.7019,-129.5227,-3.3732,-0.9407,50.0018,6.0367,2.0021,6,7.2,24,2533,154,NA,NA,NA,NA,NA,NA,FALSE,-29.6,4.6,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718777,"2023-03-30",1,"2023-03-30T20:37:53.335Z","2023-03-30T20:37:56.537Z",TRUE,"pitch","fc07c291-91cb-48cc-8337-2f46dd004621",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.3572,1.5778,NA,93.36,196.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Luis Urias grounds out, pitcher Michael Fulmer to first baseman Eric Hosmer. William Contreras to 2nd.",0,0,4,67,"top",9,"2023-03-30T20:37:35.385Z","2023-03-30T20:39:08.056Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,649966,"Luis Urías","/api/v1/people/649966","R","Right",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_RHB","RISP",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.1,87.4,9,0.91,0.3959,6.8205,29.9972,-20.1918,-10.0018,6.1744,0.6202,1.567,7.7128,-138.2124,-7.6434,-0.9032,50.0019,5.7179,-19.4036,39.6,6,24,2283,200,NA,NA,NA,NA,NA,NA,FALSE,-20.5,9.8,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718777,"2023-03-30",0,"2023-03-30T20:37:36.205Z","2023-03-30T20:37:39.556Z",TRUE,"pitch","dbe20459-1b5d-4566-abe4-7a2962989637",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.18,1.49,NA,113.26,176.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Luis Urias grounds out, pitcher Michael Fulmer to first baseman Eric Hosmer. William Contreras to 2nd.",0,0,4,67,"top",9,"2023-03-30T20:37:35.385Z","2023-03-30T20:39:08.056Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,649966,"Luis Urías","/api/v1/people/649966","R","Right",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_RHB","RISP",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",88.5,82,5,0.91,0.4234,6.8134,24.4823,-26.6123,1.7589,3.2721,0.0981,2.3076,2.3778,-128.9115,-4.1227,-1.0615,50.0018,5.9602,2.9867,7.2,6,24,2419,154,NA,NA,NA,NA,NA,NA,FALSE,-29.3,5.3,-3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718777,"2023-03-30",1,"2023-03-30T20:36:56.634Z","2023-03-30T20:37:08.855Z",TRUE,"pitch","b523ad00-e371-4bbe-b37e-92286d555cac",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,1,1,NA,NA,3.51,1.7,NA,114.66,163.17,"line_drive","medium","7",96.26,73,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","William Contreras singles on a line drive to center fielder Cody Bellinger, deflected by left fielder Ian Happ.",0,0,4,66,"top",9,"2023-03-30T20:36:41.573Z","2023-03-30T20:37:08.855Z",TRUE,FALSE,FALSE,FALSE,33,0,1,1,661388,"William Contreras","/api/v1/people/661388","R","Right",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.8,75.7,5,0.91,0.4529,6.579,28.407,-31.8705,11.0422,0.2076,0.0614,2.8004,0.0863,-121.8784,-0.8117,-1.4046,50.0033,5.9393,16.2815,26.4,9.6,24,2765,69,84.3,26,308,NA,NA,NA,FALSE,-39.1,0.5,-19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,661388,"William Contreras","/api/v1/people/661388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718777,"2023-03-30",0,"2023-03-30T20:36:43.996Z","2023-03-30T20:36:47.205Z",TRUE,"pitch","f16329d0-608e-4198-832b-5e7e051ae1a6",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.51,1.7,NA,77.62,171.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","William Contreras singles on a line drive to center fielder Cody Bellinger, deflected by left fielder Ian Happ.",0,0,4,66,"top",9,"2023-03-30T20:36:41.573Z","2023-03-30T20:37:08.855Z",TRUE,FALSE,FALSE,FALSE,33,0,1,1,661388,"William Contreras","/api/v1/people/661388","R","Right",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89,82.1,14,0.91,0.4219,6.6935,26.2923,-28.0561,3.9546,2.4128,1.033,2.4961,3.65,-129.6488,-3.5967,-0.9053,50.0038,6.035,6.754,14.4,7.2,24,2485,149,NA,NA,NA,NA,NA,NA,FALSE,-30.6,3.8,-7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718777,"2023-03-30",3,"2023-03-30T20:36:19.797Z","2023-03-30T20:36:25.394Z",TRUE,"pitch","370c949d-5b34-451a-bb51-7c7fede22e58",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,0,NA,NA,3.48,1.68,NA,136.93,211.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Rowdy Tellez strikes out swinging.",0,0,4,65,"top",9,"2023-03-30T20:35:44.323Z","2023-03-30T20:36:25.394Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,642133,"Rowdy Tellez","/api/v1/people/642133","L","Left",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.7,81.9,13,2,0.424,6.6645,25.8647,-29.5185,-8.7885,1.5711,-0.5229,1.0248,5.185,-128.9971,-5.8644,-1.4131,50.0052,5.5925,-14.8704,24,8.4,24,1718,228,NA,NA,NA,NA,NA,NA,TRUE,-32.9,1.8,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718777,"2023-03-30",2,"2023-03-30T20:35:58.379Z","2023-03-30T20:36:02.799Z",TRUE,"pitch","cf9205e6-a39a-4622-a91a-5a59d4687e52",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.48,1.68,NA,93.06,173.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Rowdy Tellez strikes out swinging.",0,0,4,65,"top",9,"2023-03-30T20:35:44.323Z","2023-03-30T20:36:25.394Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,642133,"Rowdy Tellez","/api/v1/people/642133","L","Left",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.6,84.3,6,0.91,0.4126,6.7736,24.5665,-26.5469,3.2486,3.1407,0.6281,2.4192,3.3757,-132.0796,-4.276,-1.0823,50.0013,5.9804,5.8161,13.2,6,24,2420,156,NA,NA,NA,NA,NA,NA,FALSE,-27.7,5,-6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718777,"2023-03-30",1,"2023-03-30T20:35:46.648Z","2023-03-30T20:35:49.648Z",TRUE,"pitch","e1e5c2e2-34e4-4246-90a8-c10de69885a0",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.3235,1.4137,NA,130.07,165.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Rowdy Tellez strikes out swinging.",0,0,4,65,"top",9,"2023-03-30T20:35:44.323Z","2023-03-30T20:36:25.394Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,642133,"Rowdy Tellez","/api/v1/people/642133","L","Left",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Chicago Cubs",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.8,86.4,4,0.9,0.3998,6.8333,28.3268,-14.8013,-1.1458,9.1263,-0.3429,2.703,2.4761,-136.6572,-5.8684,-1.1093,50.0006,5.8839,-2.1809,6,3.6,24,2284,192,NA,NA,NA,NA,NA,NA,FALSE,-15.2,15.6,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
