"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718682,"2023-04-06",0,"2023-04-06T22:28:53.008Z","2023-04-06T22:29:01.871Z",TRUE,"pitch","f67ef179-84e8-49ab-a317-f1f9cbd74e93",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.55,1.75,NA,154.81,164.58,"ground_ball","medium","5",99.52,159.35,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Luis Garcia grounds out, third baseman Alan Trejo to first baseman C. J. Cron.",0,0,1,67,"top",9,"2023-04-06T22:28:44.238Z","2023-04-06T22:29:01.871Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,671277,"Luis García Jr.","/api/v1/people/671277","L","Left",572955,"Pierce Johnson","/api/v1/people/572955","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Colorado Rockies","true",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",84.4,79.9,11,2,0.4398,5.7899,17.5505,-35.0561,4.8787,-1.8199,-0.9919,2.7482,2.9304,-123.1505,-0.8629,-2.8196,50.0042,5.9919,7.719,13.2,9.6,24,2906,60,53.8,-36,4,NA,NA,NA,TRUE,-40.7,-3.2,-9.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",2,"2023-04-06T22:28:23.556Z","2023-04-06T22:28:28.443Z",TRUE,"pitch","cfac294e-61bf-41aa-b1dc-a83e3b5bf154",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,3,1,NA,NA,3.4488,1.6687,NA,151.03,169.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Keibert Ruiz called out on strikes.",0,0,1,66,"top",9,"2023-04-06T22:27:34.203Z","2023-04-06T22:28:28.443Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,660688,"Keibert Ruiz","/api/v1/people/660688","L","Left",572955,"Pierce Johnson","/api/v1/people/572955","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Colorado Rockies","true",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82,77.2,11,0.9,0.4543,5.8466,18.3901,-35.3289,7.0217,-2.1301,-0.8927,2.5801,1.8436,-119.5909,-1.0879,-2.5823,50.0039,6.1498,10.3909,16.8,9.6,24,3045,42,NA,NA,NA,NA,NA,NA,TRUE,-43.7,-3.8,-13.2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",1,"2023-04-06T22:28:06.127Z","2023-04-06T22:28:09.296Z",TRUE,"pitch","c3e6a37d-9a1e-4c50-94b3-6f5406402357",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,1,NA,NA,3.4337,1.5725,NA,133.79,146.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Keibert Ruiz called out on strikes.",0,0,1,66,"top",9,"2023-04-06T22:27:34.203Z","2023-04-06T22:28:28.443Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,660688,"Keibert Ruiz","/api/v1/people/660688","L","Left",572955,"Pierce Johnson","/api/v1/people/572955","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Colorado Rockies","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",84.2,78.6,1,2,0.4437,5.7441,20.9478,-34.4985,7.6808,-1.5012,-0.4405,3.4004,2.9521,-122.756,0.2477,-2.6516,50.0028,6.2002,11.8938,19.2,9.6,24,3179,46,NA,NA,NA,NA,NA,NA,FALSE,-40.4,-2.5,-14.5,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",0,"2023-04-06T22:27:47.443Z","2023-04-06T22:27:50.542Z",TRUE,"pitch","7a848067-94ad-41e8-ad30-7d7f8436c840",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.21,1.5,NA,118.58,204.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Keibert Ruiz called out on strikes.",0,0,1,66,"top",9,"2023-04-06T22:27:34.203Z","2023-04-06T22:28:28.443Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,660688,"Keibert Ruiz","/api/v1/people/660688","L","Left",572955,"Pierce Johnson","/api/v1/people/572955","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Colorado Rockies","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",84,79.4,13,2,0.4433,5.7739,18.9897,-36.0048,5.2272,-2.4696,-0.0416,1.2775,4.7388,-122.4871,-3.7422,-2.6644,50.0009,5.8317,8.1216,13.2,9.6,24,2859,45,NA,NA,NA,NA,NA,NA,FALSE,-43,-5,-10.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",7,"2023-04-06T22:27:16.944Z","2023-04-06T22:27:21.735Z",TRUE,"pitch","6ad0820e-8f93-4531-ac68-b014d5d8f69b",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,0,NA,NA,3.28,1.56,NA,131.26,164.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Dominic Smith strikes out swinging.",0,0,1,65,"top",9,"2023-04-06T22:25:41.452Z","2023-04-06T22:27:21.735Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,642086,"Dominic Smith","/api/v1/people/642086","L","Left",572955,"Pierce Johnson","/api/v1/people/572955","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Colorado Rockies",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",83.3,78.4,1,0.9,0.447,5.858,18.8095,-35.0906,6.5538,-1.9068,-0.3741,2.7667,3.1366,-121.5173,-0.7605,-2.5243,50.0041,6.0738,10.0201,16.8,9.6,24,3121,43,NA,NA,NA,NA,NA,NA,TRUE,-42,-3.4,-12.5,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",6,"2023-04-06T22:27:01.075Z","2023-04-06T22:27:05.306Z",TRUE,"pitch","7227a751-7aae-4b6f-8ec5-95f628c22483",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,0,NA,NA,3.4351,1.6335,NA,154.39,116.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Dominic Smith strikes out swinging.",0,0,1,65,"top",9,"2023-04-06T22:25:41.452Z","2023-04-06T22:27:21.735Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,642086,"Dominic Smith","/api/v1/people/642086","L","Left",572955,"Pierce Johnson","/api/v1/people/572955","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Colorado Rockies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.2,87.1,11,0.9,0.3971,5.831,26.2213,-14.3843,-5.209,9.2019,-0.9809,4.5272,6.5648,-137.1644,-1.104,-2.7124,50.0005,5.9016,-10.0686,31.2,3.6,24,2322,229,NA,NA,NA,NA,NA,NA,FALSE,-13.7,16.7,8.3,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",4,"2023-04-06T22:26:24.146Z","2023-04-06T22:26:31.047Z",TRUE,"pitch","42fc621c-7b84-4d3b-9ca6-511350d3a4f4",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.28,1.56,NA,119.49,157.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Dominic Smith strikes out swinging.",0,0,1,65,"top",9,"2023-04-06T22:25:41.452Z","2023-04-06T22:27:21.735Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,642086,"Dominic Smith","/api/v1/people/642086","L","Left",572955,"Pierce Johnson","/api/v1/people/572955","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Colorado Rockies",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.1,76.8,2,0.9,0.455,5.9542,19.6392,-34.5897,6.9728,-1.6447,-0.0652,2.9957,3.7577,-119.6473,-0.3951,-2.5537,50.0001,6.2211,10.2675,16.8,9.6,24,2859,37,NA,NA,NA,NA,NA,NA,FALSE,-42.8,-2.9,-13.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",3,"2023-04-06T22:25:59.489Z","2023-04-06T22:26:05.366Z",TRUE,"pitch","6d482e7c-f57f-4392-aa64-e7892eb612eb",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.28,1.56,NA,130.59,178.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Dominic Smith strikes out swinging.",0,0,1,65,"top",9,"2023-04-06T22:25:41.452Z","2023-04-06T22:27:21.735Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,642086,"Dominic Smith","/api/v1/people/642086","L","Left",572955,"Pierce Johnson","/api/v1/people/572955","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Colorado Rockies",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.3,77,4,0.9,0.4541,5.8128,20.2009,-34.4796,6.7731,-1.5631,-0.3566,2.2224,3.4255,-119.9803,-1.8955,-2.6764,50.0005,6.0557,10.0094,16.8,9.6,24,2990,41,NA,NA,NA,NA,NA,NA,FALSE,-42.8,-3,-13.1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",2,"2023-04-06T22:25:43.768Z","2023-04-06T22:25:46.967Z",TRUE,"pitch","1066658e-51c3-4901-9e42-b5c7f59f4862",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.4118,1.6335,NA,120.58,163.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Dominic Smith strikes out swinging.",0,0,1,65,"top",9,"2023-04-06T22:25:41.452Z","2023-04-06T22:27:21.735Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,642086,"Dominic Smith","/api/v1/people/642086","L","Left",572955,"Pierce Johnson","/api/v1/people/572955","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Colorado Rockies",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.2,77.2,5,0.9,0.4534,5.6965,18.6662,-33.0838,5.8343,-0.6157,-0.0938,2.7963,4.106,-119.8511,-1.0872,-2.5749,50.0008,6.1566,8.6614,15.6,9.6,24,2928,41,NA,NA,NA,NA,NA,NA,FALSE,-40.8,-1.1,-11.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",0,"2023-04-06T22:24:47.126Z","2023-04-06T22:24:47.163Z",FALSE,"action",NA,NA,"Defensive Substitution: Alan Trejo replaces third baseman Elehuris Montero, batting 7th, playing third base.","Defensive Sub",0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,676701,"/api/v1/people/676701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_substitution",NA,"5","Third Base","Infielder","3B","701","65","atBat","Strikeout","strikeout","Dominic Smith strikes out swinging.",0,0,1,65,"top",9,"2023-04-06T22:25:41.452Z","2023-04-06T22:27:21.735Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,642086,"Dominic Smith","/api/v1/people/642086","L","Left",572955,"Pierce Johnson","/api/v1/people/572955","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Colorado Rockies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,660707,"/api/v1/people/660707",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",1,"2023-04-06T22:24:47.163Z","2023-04-06T22:25:43.768Z",FALSE,"action",NA,NA,"Pitching Change: Pierce Johnson replaces Justin Lawrence.","Pitching Substitution",0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,572955,"/api/v1/people/572955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"65","atBat","Strikeout","strikeout","Dominic Smith strikes out swinging.",0,0,1,65,"top",9,"2023-04-06T22:25:41.452Z","2023-04-06T22:27:21.735Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,642086,"Dominic Smith","/api/v1/people/642086","L","Left",572955,"Pierce Johnson","/api/v1/people/572955","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Colorado Rockies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",5,"2023-04-06T22:26:45.616Z","2023-04-06T22:27:01.075Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,0,642086,"/api/v1/people/642086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Dominic Smith strikes out swinging.",0,0,1,65,"top",9,"2023-04-06T22:25:41.452Z","2023-04-06T22:27:21.735Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,642086,"Dominic Smith","/api/v1/people/642086","L","Left",572955,"Pierce Johnson","/api/v1/people/572955","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Colorado Rockies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",3,"2023-04-06T22:22:47.273Z","2023-04-06T22:22:54.773Z",TRUE,"pitch","bd2491d9-81a8-4582-950e-2b44945fed17",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.38,1.72,NA,93.06,208.59,"ground_ball","medium","5",109.2,168.64,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Elehuris Montero grounds out, third baseman Jeimer Candelario to first baseman Dominic Smith.",0,0,1,64,"bottom",8,"2023-04-06T22:21:44.805Z","2023-04-06T22:22:54.773Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,660707,"Elehuris Montero","/api/v1/people/660707","R","Right",666168,"Mason Thompson","/api/v1/people/666168","R","Right","vs_RHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","Washington Nationals","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.1,80.6,14,0.91,0.4366,6.7585,17.7972,-30.5471,1.9781,1.0104,0.6279,1.1183,5.1466,-124.03,-4.6516,-1.7063,50.0009,5.4801,3.1731,7.2,8.4,24,2374,93,52.6,-25,4,NA,NA,NA,TRUE,-35.5,1.2,-4.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",2,"2023-04-06T22:22:29.413Z","2023-04-06T22:22:32.788Z",TRUE,"pitch","ab029bbb-5668-45e1-a9d1-cfc9d08f6a52",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,3.3496,1.7484,NA,108.33,166.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Elehuris Montero grounds out, third baseman Jeimer Candelario to first baseman Dominic Smith.",0,0,1,64,"bottom",8,"2023-04-06T22:21:44.805Z","2023-04-06T22:22:54.773Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,660707,"Elehuris Montero","/api/v1/people/660707","R","Right",666168,"Mason Thompson","/api/v1/people/666168","R","Right","vs_RHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","Washington Nationals","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.4,88,5,0.9,0.3955,6.9077,24.7586,-22.4362,-7.2915,4.9929,0.2275,2.692,6.8935,-137.448,-4.0814,-1.3417,50.0061,5.6825,-14.2327,28.8,6,24,2367,219,NA,NA,NA,NA,NA,NA,FALSE,-21.6,8.5,12.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",1,"2023-04-06T22:22:10.301Z","2023-04-06T22:22:14.274Z",TRUE,"pitch","b0743c1e-d468-46bb-9f83-0e4b43824e36",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.4428,1.7948,NA,163.08,136.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Elehuris Montero grounds out, third baseman Jeimer Candelario to first baseman Dominic Smith.",0,0,1,64,"bottom",8,"2023-04-06T22:21:44.805Z","2023-04-06T22:22:54.773Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,660707,"Elehuris Montero","/api/v1/people/660707","R","Right",666168,"Mason Thompson","/api/v1/people/666168","R","Right","vs_RHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","Washington Nationals","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.3,87.1,11,2,0.399,6.9007,23.5416,-19.9369,-6.7304,6.3818,-1.2088,3.7873,2.7224,-136.1064,-1.909,-1.3348,50.0063,5.8464,-12.9156,31.2,4.8,24,2199,217,NA,NA,NA,NA,NA,NA,FALSE,-19.3,11.5,11.9,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",0,"2023-04-06T22:21:54.526Z","2023-04-06T22:21:57.526Z",TRUE,"pitch","eb4b8a75-44e1-4160-a4b5-06be921bd385",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.38,1.72,NA,145.53,182.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Elehuris Montero grounds out, third baseman Jeimer Candelario to first baseman Dominic Smith.",0,0,1,64,"bottom",8,"2023-04-06T22:21:44.805Z","2023-04-06T22:22:54.773Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,660707,"Elehuris Montero","/api/v1/people/660707","R","Right",666168,"Mason Thompson","/api/v1/people/666168","R","Right","vs_RHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","Washington Nationals","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.8,87.6,7,0.89,0.3978,7.0085,24.1505,-22.1975,-7.7452,5.1705,-0.7484,2.0786,4.7571,-136.5984,-5.8764,-1.4874,50.0044,5.739,-14.946,31.2,6,24,2253,218,NA,NA,NA,NA,NA,NA,FALSE,-22,8.6,13.3,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718682,"2023-04-06",3,"2023-04-06T22:21:14.832Z","2023-04-06T22:21:25.436Z",TRUE,"pitch","4d5dcb76-8c1d-4002-8282-91fa72f52872",3,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,2,2,NA,NA,3.18,1.46,NA,113.49,197.36,"ground_ball","medium","5",89.1,155.11,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Single","single","Elias Diaz singles on a ground ball to third baseman Jeimer Candelario.",0,0,1,63,"bottom",8,"2023-04-06T22:20:18.983Z","2023-04-06T22:21:25.436Z",TRUE,FALSE,FALSE,FALSE,33,0,2,2,553869,"Elias Díaz","/api/v1/people/553869","R","Right",666168,"Mason Thompson","/api/v1/people/666168","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","Washington Nationals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85,80,8,0.9,0.4383,6.8107,19.5167,-32.4048,-0.1408,-0.1454,0.0921,1.534,4.7562,-123.9073,-3.354,-1.816,50.0033,5.5504,-0.2247,1.2,8.4,24,2308,105,87.5,-14,9,NA,NA,NA,FALSE,-37.8,-0.7,-0.6,NA,NA,NA,NA,NA,FALSE,FALSE,553869,"Elias Díaz","/api/v1/people/553869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
