"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
718422,"2023-04-26",4,"2023-04-26T04:22:56.778Z","2023-04-26T04:23:06.295Z",TRUE,"pitch","cb0d6411-c680-4704-ae50-b04f38af2977",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.34,1.54,NA,97.7,198.34,"ground_ball","medium","5",103.5,165.33,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Christian Walker grounds out, third baseman Nicky Lopez to first baseman Vinnie Pasquantino.",0,5,4,79,"bottom",9,"2023-04-26T04:22:09.241Z","2023-04-26T04:23:06.295Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,572233,"Christian Walker","/api/v1/people/572233","R","Right",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.4,76.3,9,0.91,0.4559,7.0931,22.3815,-34.4366,4.2033,-1.5499,0.5064,1.4979,3.8294,-119.9662,-1.473,-1.6542,50.0001,5.1786,6.1486,10.8,9.6,24,2571,86,83.4,-11,9,NA,NA,NA,TRUE,-43,-2.9,-8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718422,"2023-04-26",2,"2023-04-26T04:22:34.942Z","2023-04-26T04:22:42.418Z",TRUE,"pitch","91e949a9-fdd6-4f24-a9c5-ca787a2b76ff",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.3256,1.6065,NA,98.2,199.44,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Christian Walker grounds out, third baseman Nicky Lopez to first baseman Vinnie Pasquantino.",0,5,4,79,"bottom",9,"2023-04-26T04:22:09.241Z","2023-04-26T04:23:06.295Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,572233,"Christian Walker","/api/v1/people/572233","R","Right",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82,75.8,14,0.91,0.4581,7.1306,22.5435,-31.4931,5.71,0.4727,0.4932,1.4571,3.8098,-119.4621,-1.9468,-1.863,50.0049,5.1077,8.2713,15.6,9.6,24,2594,80,NA,NA,NA,NA,NA,NA,FALSE,-39.8,0.6,-11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718422,"2023-04-26",1,"2023-04-26T04:22:11.368Z","2023-04-26T04:22:14.886Z",TRUE,"pitch","6cabb94c-a6f3-4cbb-833a-4e4e6d81a841",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.34,1.54,NA,117.74,184.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Christian Walker grounds out, third baseman Nicky Lopez to first baseman Vinnie Pasquantino.",0,5,4,79,"bottom",9,"2023-04-26T04:22:09.241Z","2023-04-26T04:23:06.295Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,572233,"Christian Walker","/api/v1/people/572233","R","Right",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.3,76.7,8,0.9,0.4515,7.0941,23.6261,-31.2201,3.6159,0.637,-0.0195,2.0134,3.2776,-121.2992,-0.9717,-1.8577,50.0014,5.1402,5.3891,10.8,8.4,24,2439,85,NA,NA,NA,NA,NA,NA,FALSE,-38.2,1.2,-7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718422,"2023-04-26",0,"2023-04-26T04:21:08.535Z","2023-04-26T04:22:11.368Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",5,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Christian Walker grounds out, third baseman Nicky Lopez to first baseman Vinnie Pasquantino.",0,5,4,79,"bottom",9,"2023-04-26T04:22:09.241Z","2023-04-26T04:23:06.295Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,572233,"Christian Walker","/api/v1/people/572233","R","Right",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718422,"2023-04-26",3,"2023-04-26T04:22:46.264Z","2023-04-26T04:22:56.778Z",FALSE,"action",NA,NA,"Corbin Carroll steals (10) 2nd base.","Stolen Base 2B",5,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,1,2,682998,"/api/v1/people/682998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91e949a9-fdd6-4f24-a9c5-ca787a2b76ff","stolen_base_2b",NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Christian Walker grounds out, third baseman Nicky Lopez to first baseman Vinnie Pasquantino.",0,5,4,79,"bottom",9,"2023-04-26T04:22:09.241Z","2023-04-26T04:23:06.295Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,572233,"Christian Walker","/api/v1/people/572233","R","Right",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718422,"2023-04-26",4,"2023-04-26T04:20:42.700Z","2023-04-26T04:20:50.513Z",TRUE,"pitch","ab2160d5-fd60-4fee-a162-905770dc92cc",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,1,2,NA,NA,3.1295,1.4989,NA,159.01,154.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Walk","walk","Corbin Carroll walks.",0,5,4,78,"bottom",9,"2023-04-26T04:18:59.972Z","2023-04-26T04:20:50.513Z",TRUE,FALSE,FALSE,FALSE,0,4,1,2,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",80.8,74.2,11,2,0.4653,7.0707,22.2596,-31.7404,5.3678,0.3134,-1.1022,3.1096,0.5221,-117.694,2.0906,-2.0244,50.0058,5.1486,7.5342,13.2,9.6,24,2411,89,NA,NA,NA,NA,NA,NA,FALSE,-40.4,1.3,-9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,682998,"Corbin Carroll","/api/v1/people/682998",672695,"Geraldo Perdomo","/api/v1/people/672695",NA,NA,NA
718422,"2023-04-26",3,"2023-04-26T04:20:24.296Z","2023-04-26T04:20:28.705Z",TRUE,"pitch","74292d93-5d95-4106-bb31-253bc6551859",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,2,NA,NA,3.0967,1.4989,NA,156.74,160.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Walk","walk","Corbin Carroll walks.",0,5,4,78,"bottom",9,"2023-04-26T04:18:59.972Z","2023-04-26T04:20:50.513Z",TRUE,FALSE,FALSE,FALSE,0,4,1,2,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",77.6,71,11,0.91,0.4866,7.1315,22.0369,-38.3308,9.5284,-4.8028,-1.0427,2.8978,-0.7592,-112.8967,2.9347,-1.9374,50.0051,5.4598,12.2057,18,12,24,2356,62,NA,NA,NA,NA,NA,NA,FALSE,-53.3,-7.6,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,682998,"Corbin Carroll","/api/v1/people/682998",NA,NA,NA,NA,NA,NA
718422,"2023-04-26",2,"2023-04-26T04:20:06.175Z","2023-04-26T04:20:10.682Z",TRUE,"pitch","d2c98f8f-8cc4-4cb7-96be-fb3aadcb34e9",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,2,NA,NA,3.0638,1.4989,NA,136.43,174.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Walk","walk","Corbin Carroll walks.",0,5,4,78,"bottom",9,"2023-04-26T04:18:59.972Z","2023-04-26T04:20:50.513Z",TRUE,FALSE,FALSE,FALSE,0,4,1,2,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.2,76.1,4,2,0.4561,7.0014,21.7983,-33.5526,5.8788,-0.9387,-0.5097,2.3959,1.7586,-119.8101,0.6499,-2.0161,50.0058,5.105,8.6004,14.4,9.6,24,2497,88,NA,NA,NA,NA,NA,NA,FALSE,-41.5,-1.3,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,682998,"Corbin Carroll","/api/v1/people/682998",NA,NA,NA,NA,NA,NA
718422,"2023-04-26",1,"2023-04-26T04:19:35.936Z","2023-04-26T04:19:41.503Z",TRUE,"pitch","a4e7d962-e97d-456e-b9b2-f36f3d6194fa",2,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,0,2,NA,NA,3.0638,1.5422,NA,86.8,241.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Walk","walk","Corbin Carroll walks.",0,5,4,78,"bottom",9,"2023-04-26T04:18:59.972Z","2023-04-26T04:20:50.513Z",TRUE,FALSE,FALSE,FALSE,0,4,1,2,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.8,77.8,14,0.9,0.4489,7.1941,23.478,-33.9145,4.657,-1.1578,0.7923,-0.1155,4.8271,-121.9185,-5.2148,-1.8165,50.0002,4.9707,7.024,12,9.6,24,2520,81,NA,NA,NA,NA,NA,NA,FALSE,-42,-3.1,-9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,682998,"Corbin Carroll","/api/v1/people/682998",NA,NA,NA,NA,NA,NA
718422,"2023-04-26",0,"2023-04-26T04:19:10.516Z","2023-04-26T04:19:15.635Z",TRUE,"pitch","094ccea4-5968-4045-b9ce-bc3e1389a994",1,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,0,2,NA,NA,3.1295,1.5096,NA,78.18,237.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Walk","walk","Corbin Carroll walks.",0,5,4,78,"bottom",9,"2023-04-26T04:18:59.972Z","2023-04-26T04:20:50.513Z",TRUE,FALSE,FALSE,FALSE,0,4,1,2,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",79.7,72.9,14,0.88,0.4763,7.0682,25.6036,-38.6016,7.9618,-4.8169,1.0184,0.0387,4.0638,-115.8691,-3.1778,-1.804,50.0045,5.189,10.6152,15.6,12,24,2478,62,NA,NA,NA,NA,NA,NA,FALSE,-53,-9.2,-15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,682998,"Corbin Carroll","/api/v1/people/682998",NA,NA,NA,NA,NA,NA
718422,"2023-04-26",0,"2023-04-26T04:18:25.892Z","2023-04-26T04:18:37.185Z",TRUE,"pitch","319316cf-e18e-437a-967d-205330f6b321",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.57,1.74,NA,114.67,189.6,"popup","medium","6",106.04,148.09,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Pop Out","field_out","Ketel Marte pops out to shortstop Bobby Witt Jr.",0,5,4,77,"bottom",9,"2023-04-26T04:18:21.439Z","2023-04-26T04:18:37.185Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,606466,"Ketel Marte","/api/v1/people/606466","L","Left",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.1,76.4,8,0.9,0.4528,7.0678,24.0384,-31.8207,3.2539,0.2423,0.0612,1.8215,3.7515,-121.0521,-1.3412,-1.9325,50.0049,5.1731,4.8208,9.6,8.4,24,2538,72,82.2,67,155,NA,NA,NA,TRUE,-39.2,0.4,-6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,682998,"Corbin Carroll","/api/v1/people/682998",672695,"Geraldo Perdomo","/api/v1/people/672695",NA,NA,NA
718422,"2023-04-26",5,"2023-04-26T04:17:50.867Z","2023-04-26T04:17:58.351Z",TRUE,"pitch","8feb4bc9-451c-4bb4-8ef0-6c7d887e6111",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,1,0,NA,NA,3.5,1.73,NA,129.43,194.56,"ground_ball","medium","4",148.64,163.81,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Josh Rojas grounds out, second baseman Michael Massey to first baseman Vinnie Pasquantino. Geraldo Perdomo to 3rd.",0,5,4,76,"bottom",9,"2023-04-26T04:16:03.339Z","2023-04-26T04:17:58.351Z",TRUE,FALSE,FALSE,TRUE,0,3,1,1,668942,"Josh Rojas","/api/v1/people/668942","L","Left",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.4,75.9,7,0.91,0.4565,7.172,23.3185,-33.0577,4.9704,-0.6029,-0.3261,1.6379,2.4514,-120.0044,-1.1698,-2.0068,50.0042,5.0775,7.2469,13.2,9.6,24,2504,90,83,-30,3,NA,NA,NA,TRUE,-41.4,-1.1,-9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,682998,"Corbin Carroll","/api/v1/people/682998",672695,"Geraldo Perdomo","/api/v1/people/672695",NA,NA,NA
718422,"2023-04-26",4,"2023-04-26T04:17:34.281Z","2023-04-26T04:17:42.302Z",TRUE,"pitch","06a4d069-26d3-45c0-823a-9fb187406499",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,0,NA,NA,3.5897,1.7289,NA,157.76,179.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Josh Rojas grounds out, second baseman Michael Massey to first baseman Vinnie Pasquantino. Geraldo Perdomo to 3rd.",0,5,4,76,"bottom",9,"2023-04-26T04:16:03.339Z","2023-04-26T04:17:58.351Z",TRUE,FALSE,FALSE,TRUE,0,3,1,1,668942,"Josh Rojas","/api/v1/people/668942","L","Left",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",77.5,71,13,0.9,0.4869,6.8599,21.9869,-37.6555,7.9889,-4.29,-1.0694,2.1793,-0.4186,-112.8224,1.1879,-1.9173,50.0005,5.4635,10.2183,15.6,12,24,2392,59,NA,NA,NA,NA,NA,NA,FALSE,-52.8,-7.1,-14.3,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,682998,"Corbin Carroll","/api/v1/people/682998",NA,NA,NA,NA,NA,NA
718422,"2023-04-26",3,"2023-04-26T04:17:16.346Z","2023-04-26T04:17:21.077Z",TRUE,"pitch","5313d60f-a186-48a5-b0ea-6fd0c9383f13",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,0,NA,NA,3.5568,1.7712,NA,135.53,197.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Josh Rojas grounds out, second baseman Michael Massey to first baseman Vinnie Pasquantino. Geraldo Perdomo to 3rd.",0,5,4,76,"bottom",9,"2023-04-26T04:16:03.339Z","2023-04-26T04:17:58.351Z",TRUE,FALSE,FALSE,TRUE,0,3,1,1,668942,"Josh Rojas","/api/v1/people/668942","L","Left",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.5,76.2,13,2,0.4553,6.9063,22.9479,-32.2927,5.2869,-0.0814,-0.4862,1.5141,2.0998,-120.2184,-1.7557,-2.0573,50.0028,5.1159,7.7505,14.4,9.6,24,2536,88,NA,NA,NA,NA,NA,NA,FALSE,-40.3,-0.4,-10.1,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,682998,"Corbin Carroll","/api/v1/people/682998",NA,NA,NA,NA,NA,NA
718422,"2023-04-26",1,"2023-04-26T04:16:34.825Z","2023-04-26T04:16:40.142Z",TRUE,"pitch","5d8e196a-b502-4d8d-b20c-d7fda6e7810e",2,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,1,0,NA,NA,3.5897,1.7289,NA,177.74,216.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Josh Rojas grounds out, second baseman Michael Massey to first baseman Vinnie Pasquantino. Geraldo Perdomo to 3rd.",0,5,4,76,"bottom",9,"2023-04-26T04:16:03.339Z","2023-04-26T04:17:58.351Z",TRUE,FALSE,FALSE,TRUE,0,3,1,1,668942,"Josh Rojas","/api/v1/people/668942","L","Left",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.4,71.7,13,0.88,0.4829,7.0978,23.9722,-38.1584,8.3312,-4.6156,-1.5934,0.8087,-1.3502,-114.0944,-1.5888,-2.0695,50.0003,5.3273,10.8144,15.6,12,24,2330,66,NA,NA,NA,NA,NA,NA,FALSE,-53.4,-8.4,-14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,682998,"Corbin Carroll","/api/v1/people/682998",NA,NA,NA,NA,NA,NA
718422,"2023-04-26",0,"2023-04-26T04:16:17.360Z","2023-04-26T04:16:21.884Z",TRUE,"pitch","1ae95154-1e32-45d4-956e-a458b8cfc4c1",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.4581,1.7289,NA,86.76,190.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Josh Rojas grounds out, second baseman Michael Massey to first baseman Vinnie Pasquantino. Geraldo Perdomo to 3rd.",0,5,4,76,"bottom",9,"2023-04-26T04:16:03.339Z","2023-04-26T04:17:58.351Z",TRUE,FALSE,FALSE,TRUE,0,3,1,1,668942,"Josh Rojas","/api/v1/people/668942","L","Left",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_LHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Kansas City Royals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.7,72,9,0.88,0.4807,7.1059,23.6299,-37.9138,6.3995,-4.3812,0.7934,1.7875,3.8477,-114.5033,0.3504,-1.7472,50.0013,5.3807,8.3887,13.2,12,24,2258,71,NA,NA,NA,NA,NA,NA,FALSE,-52.1,-7.4,-12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,682998,"Corbin Carroll","/api/v1/people/682998",NA,NA,NA,NA,NA,NA
