"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
718681,"2023-04-06",4,"2023-04-07T02:36:48.070Z","2023-04-07T02:37:00.486Z",TRUE,"pitch","d1c0ed6f-973e-45fe-80a5-08d15a5a4c4b",5,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",2,2,2,NA,NA,3.48,1.68,NA,71.32,158.37,"line_drive","medium","8",137.16,78.78,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Single","single","Orlando Arcia singles on a line drive to center fielder Trent Grisham. Eddie Rosario scores.",1,6,7,84,"bottom",9,"2023-04-07T02:35:24.850Z","2023-04-07T02:37:00.486Z",TRUE,TRUE,FALSE,FALSE,60,2,2,2,606115,"Orlando Arcia","/api/v1/people/606115","R","Right",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",88.7,81.4,12,0.91,0.4241,7.2992,25.6505,-15.979,-4.7139,9.5763,1.1984,2.9782,8.8073,-128.9169,-3.9171,-1.6426,50.0007,5.7431,-7.9708,20.4,4.8,24,2377,219,93,14,256,NA,NA,NA,FALSE,-18,16.7,6.7,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,606115,"Orlando Arcia","/api/v1/people/606115"
718681,"2023-04-06",3,"2023-04-07T02:36:30.423Z","2023-04-07T02:36:34.777Z",TRUE,"pitch","356d2f05-61dc-4b1e-9144-f1f0b14047da",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,2,NA,NA,3.4119,1.679,NA,107,151.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Single","single","Orlando Arcia singles on a line drive to center fielder Trent Grisham. Eddie Rosario scores.",1,6,7,84,"bottom",9,"2023-04-07T02:35:24.850Z","2023-04-07T02:37:00.486Z",TRUE,TRUE,FALSE,FALSE,60,2,2,2,606115,"Orlando Arcia","/api/v1/people/606115","R","Right",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",73.2,66.7,2,0.9,0.518,7.2427,20.9663,-42.236,6.423,-8.9274,0.2623,3.215,2.6268,-106.3822,4.234,-1.8289,50.0007,6.0376,7.2424,10.8,15.6,24,2472,39,NA,NA,NA,NA,NA,NA,FALSE,-66.1,-14.4,-12.4,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718681,"2023-04-06",2,"2023-04-07T02:36:07.974Z","2023-04-07T02:36:12.077Z",TRUE,"pitch","62409493-38ec-4e64-9610-f1c1e2fed2ce",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.3671,1.679,NA,56.96,172.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Single","single","Orlando Arcia singles on a line drive to center fielder Trent Grisham. Eddie Rosario scores.",1,6,7,84,"bottom",9,"2023-04-07T02:35:24.850Z","2023-04-07T02:37:00.486Z",TRUE,TRUE,FALSE,FALSE,60,2,2,2,606115,"Orlando Arcia","/api/v1/people/606115","R","Right",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",73.6,67.1,14,0.9,0.5161,6.9853,21.6296,-40.0092,7.2473,-6.9016,1.575,2.4523,5.0486,-106.8982,2.0958,-1.7745,50.0019,6.0138,8.2294,13.2,14.4,24,2498,37,NA,NA,NA,NA,NA,NA,FALSE,-62.8,-11.3,-14.6,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718681,"2023-04-06",1,"2023-04-07T02:35:52.761Z","2023-04-07T02:35:59.525Z",TRUE,"pitch","9f84b9e4-a09b-48ad-8418-60dca4f9d001",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.4343,1.679,NA,88.57,142.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Single","single","Orlando Arcia singles on a line drive to center fielder Trent Grisham. Eddie Rosario scores.",1,6,7,84,"bottom",9,"2023-04-07T02:35:24.850Z","2023-04-07T02:37:00.486Z",TRUE,TRUE,FALSE,FALSE,60,2,2,2,606115,"Orlando Arcia","/api/v1/people/606115","R","Right",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",88.3,80.7,12,0.91,0.4267,7.0694,26.4008,-16.9715,-5.7873,9.1062,0.7459,3.5796,8.1239,-128.3415,-2.3309,-1.7076,50.0001,5.8203,-9.6593,25.2,4.8,24,2450,225,NA,NA,NA,NA,NA,NA,FALSE,-19,16.2,8.6,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718681,"2023-04-06",0,"2023-04-07T02:35:37.386Z","2023-04-07T02:35:42.743Z",TRUE,"pitch","82e228a4-844b-400d-bdfb-9d856c283b1b",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.4781,1.6555,NA,83.25,154.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Single","single","Orlando Arcia singles on a line drive to center fielder Trent Grisham. Eddie Rosario scores.",1,6,7,84,"bottom",9,"2023-04-07T02:35:24.850Z","2023-04-07T02:37:00.486Z",TRUE,TRUE,FALSE,FALSE,60,2,2,2,606115,"Orlando Arcia","/api/v1/people/606115","R","Right",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",73.1,67,12,0.9,0.5173,7.0812,20.1156,-40.1832,7.0339,-7.0718,0.8854,3.1193,3.6378,-106.3231,3.323,-1.768,50.0034,6.1311,7.9639,12,14.4,24,2454,37,NA,NA,NA,NA,NA,NA,FALSE,-63,-11.4,-13.8,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718681,"2023-04-06",6,"2023-04-07T02:34:55.821Z","2023-04-07T02:35:08.612Z",TRUE,"pitch","2a862404-bc0d-499e-b972-2ffdbce8db36",6,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",3,2,2,NA,NA,3.23,1.58,NA,118.3,177.65,"line_drive","medium","9",197.7,122.95,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Double","double","Eddie Rosario doubles (1) on a line drive to right fielder Jose Azocar.",0,6,6,83,"bottom",9,"2023-04-07T02:33:39.642Z","2023-04-07T02:35:08.612Z",TRUE,FALSE,FALSE,FALSE,34,3,2,2,592696,"Eddie Rosario","/api/v1/people/592696","L","Left",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",82.7,75.8,5,0.9,0.4558,7.0692,23.6859,-30.2733,-10.6124,1.2985,-0.0341,2.2639,8.0546,-120.2409,-1.5029,-2.0514,50.0016,5.5874,-15.512,25.2,9.6,24,1708,240,89.5,17,213,NA,NA,NA,FALSE,-37.8,2.3,17.3,NA,NA,NA,NA,NA,FALSE,FALSE,592696,"Eddie Rosario","/api/v1/people/592696",NA,NA,NA,NA,NA,NA
718681,"2023-04-06",5,"2023-04-07T02:34:42.226Z","2023-04-07T02:34:45.731Z",TRUE,"pitch","b524af2b-e600-4abe-9956-1aceceed7020",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,2,2,NA,NA,3.23,1.58,NA,125.97,197.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Double","double","Eddie Rosario doubles (1) on a line drive to right fielder Jose Azocar.",0,6,6,83,"bottom",9,"2023-04-07T02:33:39.642Z","2023-04-07T02:35:08.612Z",TRUE,FALSE,FALSE,FALSE,34,3,2,2,592696,"Eddie Rosario","/api/v1/people/592696","L","Left",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",82.6,75.7,8,0.9,0.4569,7.3999,24.3271,-32.9364,-9.049,-0.5225,-0.2354,1.5287,7.1098,-120.1034,-2.7412,-2.0655,50.0052,5.6285,-13.1572,19.2,9.6,24,1679,240,NA,NA,NA,NA,NA,NA,FALSE,-41.6,-1.3,14.5,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718681,"2023-04-06",4,"2023-04-07T02:34:29.497Z","2023-04-07T02:34:33.631Z",TRUE,"pitch","33dae2a4-859b-4e40-a33b-40d5c4dc66ce",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,1,2,NA,NA,3.23,1.58,NA,120.98,203.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Double","double","Eddie Rosario doubles (1) on a line drive to right fielder Jose Azocar.",0,6,6,83,"bottom",9,"2023-04-07T02:33:39.642Z","2023-04-07T02:35:08.612Z",TRUE,FALSE,FALSE,FALSE,34,3,2,2,592696,"Eddie Rosario","/api/v1/people/592696","L","Left",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",82.8,75.9,13,0.9,0.4559,7.3812,24.0277,-29.7633,-9.6795,1.6481,-0.1043,1.3219,7.623,-120.2759,-3.7092,-2.0622,50.0001,5.5324,-14.134,22.8,9.6,24,1624,237,NA,NA,NA,NA,NA,NA,FALSE,-37.8,2.3,15.6,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718681,"2023-04-06",3,"2023-04-07T02:34:14.078Z","2023-04-07T02:34:21.885Z",TRUE,"pitch","41bf59f4-8abd-4396-b568-8bb3f7053a4f",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,2,NA,NA,3.0933,1.7124,NA,89.18,196.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Double","double","Eddie Rosario doubles (1) on a line drive to right fielder Jose Azocar.",0,6,6,83,"bottom",9,"2023-04-07T02:33:39.642Z","2023-04-07T02:35:08.612Z",TRUE,FALSE,FALSE,FALSE,34,3,2,2,592696,"Eddie Rosario","/api/v1/people/592696","L","Left",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",74.7,68.3,14,0.9,0.5082,7.0517,22.3609,-42.6926,5.5515,-8.9796,0.7299,1.5511,3.8983,-108.5595,0.7569,-1.8226,50.0035,5.9166,6.5011,9.6,14.4,24,2399,41,NA,NA,NA,NA,NA,NA,FALSE,-65.4,-15.6,-11.3,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718681,"2023-04-06",2,"2023-04-07T02:33:59.591Z","2023-04-07T02:34:04.124Z",TRUE,"pitch","187664af-c135-4862-a0b0-5861707b8f33",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.1843,1.579,NA,149.49,138.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Double","double","Eddie Rosario doubles (1) on a line drive to right fielder Jose Azocar.",0,6,6,83,"bottom",9,"2023-04-07T02:33:39.642Z","2023-04-07T02:35:08.612Z",TRUE,FALSE,FALSE,FALSE,34,3,2,2,592696,"Eddie Rosario","/api/v1/people/592696","L","Left",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.4,78.1,11,0.92,0.4406,6.8106,25.3259,-24.8324,-0.4894,4.693,-0.8524,3.7168,3.4834,-124.3863,-0.1681,-2.2083,50.0035,5.8471,-0.7665,0,6,24,2293,213,NA,NA,NA,NA,NA,NA,FALSE,-28.8,8.8,0.1,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718681,"2023-04-06",1,"2023-04-07T02:33:41.878Z","2023-04-07T02:33:48.002Z",TRUE,"pitch","a55d87cc-bb9d-4bc6-b11a-e7e4cc4f7bad",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.2067,1.579,NA,161.06,209.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Double","double","Eddie Rosario doubles (1) on a line drive to right fielder Jose Azocar.",0,6,6,83,"bottom",9,"2023-04-07T02:33:39.642Z","2023-04-07T02:35:08.612Z",TRUE,FALSE,FALSE,FALSE,34,3,2,2,592696,"Eddie Rosario","/api/v1/people/592696","L","Left",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",83,76.2,13,0.9,0.4547,7.3824,24.6835,-33.4914,-8.9389,-0.8959,-1.1559,1.0936,5.3116,-120.7048,-3.4527,-2.2297,50.0044,5.5081,-13.1199,19.2,9.6,24,1696,234,NA,NA,NA,NA,NA,NA,FALSE,-42.1,-2.3,14.9,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718681,"2023-04-06",0,"2023-04-07T02:33:30.901Z","2023-04-07T02:33:41.878Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Eddie Rosario replaces Kevin Pillar.","Offensive Substitution",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,592696,"/api/v1/people/592696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","801","83","atBat","Double","double","Eddie Rosario doubles (1) on a line drive to right fielder Jose Azocar.",0,6,6,83,"bottom",9,"2023-04-07T02:33:39.642Z","2023-04-07T02:35:08.612Z",TRUE,FALSE,FALSE,FALSE,34,3,2,2,592696,"Eddie Rosario","/api/v1/people/592696","L","Left",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,607680,"/api/v1/people/607680",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718681,"2023-04-06",3,"2023-04-07T02:33:05.266Z","2023-04-07T02:33:18.556Z",TRUE,"pitch","472b3ff9-4c15-4001-b2de-12605607d969",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,1,NA,NA,3.6,1.71,NA,109.25,167.98,"fly_ball","medium","9",154.41,83.66,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Flyout","field_out","Sam Hilliard flies out to right fielder Jose Azocar.",0,6,6,82,"bottom",9,"2023-04-07T02:32:13.842Z","2023-04-07T02:33:18.556Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,656541,"Sam Hilliard","/api/v1/people/656541","L","Left",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",74.8,68.2,5,0.9,0.5073,7.2455,22.336,-43.7268,5.4345,-9.8321,0.2034,2.6221,3.0892,-108.7362,3.1271,-1.9506,50.0015,5.9722,6.3866,9.6,15.6,24,2455,37,95.9,47,297,NA,NA,NA,TRUE,-66,-16.3,-10.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718681,"2023-04-06",1,"2023-04-07T02:32:37.061Z","2023-04-07T02:32:50.646Z",TRUE,"pitch","077dbb95-fccd-4f17-89fd-76831f3286b9",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.5319,1.709,NA,85,182.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Flyout","field_out","Sam Hilliard flies out to right fielder Jose Azocar.",0,6,6,82,"bottom",9,"2023-04-07T02:32:13.842Z","2023-04-07T02:33:18.556Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,656541,"Sam Hilliard","/api/v1/people/656541","L","Left",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.9,77.6,14,0.92,0.4447,6.9817,25.8556,-24.7351,-0.7197,4.8485,0.8395,2.0753,7.0048,-123.4253,-3.869,-1.9486,50.0023,5.7596,-1.1047,0,7.2,24,2299,207,NA,NA,NA,NA,NA,NA,FALSE,-30.1,8,-0.5,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718681,"2023-04-06",0,"2023-04-07T02:32:25.960Z","2023-04-07T02:32:31.991Z",TRUE,"pitch","4e8bec2b-6e64-40d6-bbe9-6c9a08e2f061",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.5543,1.709,NA,119.28,190.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Flyout","field_out","Sam Hilliard flies out to right fielder Jose Azocar.",0,6,6,82,"bottom",9,"2023-04-07T02:32:13.842Z","2023-04-07T02:33:18.556Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,656541,"Sam Hilliard","/api/v1/people/656541","L","Left",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",82.8,76.1,8,0.9,0.4548,7.3031,23.2545,-28.7403,-9.5139,2.3369,-0.0598,1.779,7.8649,-120.4055,-2.966,-2.1316,50.0028,5.5686,-13.9773,22.8,8.4,24,1567,236,NA,NA,NA,NA,NA,NA,FALSE,-36.1,3.7,15.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718681,"2023-04-06",2,"2023-04-07T02:32:56.139Z","2023-04-07T02:33:05.266Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,1,1,656541,"/api/v1/people/656541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"82","atBat","Flyout","field_out","Sam Hilliard flies out to right fielder Jose Azocar.",0,6,6,82,"bottom",9,"2023-04-07T02:32:13.842Z","2023-04-07T02:33:18.556Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,656541,"Sam Hilliard","/api/v1/people/656541","L","Left",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718681,"2023-04-06",3,"2023-04-07T02:31:53.117Z","2023-04-07T02:32:01.799Z",TRUE,"pitch","1132c5ea-a7e0-47c3-9c95-72e1597d65d3",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,0,NA,NA,3.51,1.67,NA,69.7,158.79,"fly_ball","medium","8",147.25,72.69,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Flyout","field_out","Sean Murphy flies out to center fielder Trent Grisham.",0,6,6,81,"bottom",9,"2023-04-07T02:31:16.548Z","2023-04-07T02:32:01.799Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,669221,"Sean Murphy","/api/v1/people/669221","R","Right",622503,"Nabil Crismatt","/api/v1/people/622503","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.1,83.2,12,0.91,0.414,7.139,28.2022,-15.8381,-5.4991,9.2206,1.2409,2.9627,9.0197,-132.2807,-4.6543,-1.4986,50.0059,5.9061,-9.7472,25.2,4.8,24,2196,214,91.9,42,320,NA,NA,NA,TRUE,-17.3,15.8,8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
