"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
718418,"2023-04-26",3,"2023-04-26T22:12:53.861Z","2023-04-26T22:12:59.767Z",TRUE,"pitch","ba400d11-e0ab-461f-87b1-b49cadcb081e",4,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",1,3,2,NA,NA,3.285,1.487,NA,122.14,226.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Freddy Fermin strikes out swinging.",0,0,2,65,"top",9,"2023-04-26T22:11:18.086Z","2023-04-26T22:12:59.767Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84,77.9,13,0.89,0.448,6.6799,23.7198,-30.3886,0.377,1.1778,-0.1349,0.4646,-5.4832,-122.1903,-7.1459,2.0876,50.0023,6.0326,0.5715,0,8.4,24,2605,2,NA,NA,NA,NA,NA,NA,TRUE,-38,0.7,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718418,"2023-04-26",2,"2023-04-26T22:12:26.753Z","2023-04-26T22:12:33.052Z",TRUE,"pitch","03f6d879-884f-4e38-ba4d-340320f14e0d",3,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,2,2,NA,NA,3.284,1.5749,NA,141.16,232.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Freddy Fermin strikes out swinging.",0,0,2,65,"top",9,"2023-04-26T22:11:18.086Z","2023-04-26T22:12:59.767Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.5,76.6,13,0.9,0.4534,6.7068,26.0158,-31.3572,1.0648,0.5491,-0.6339,0.2423,-6.6449,-121.282,-7.116,2.0152,50.0009,5.9859,1.5711,1.2,9.6,24,2548,0,NA,NA,NA,NA,NA,NA,FALSE,-40.3,-0.6,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718418,"2023-04-26",1,"2023-04-26T22:11:51.676Z","2023-04-26T22:11:58.972Z",TRUE,"pitch","1a0699c3-9582-4c90-b0df-016aa5fa379f",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.285,1.487,NA,98.14,186.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Freddy Fermin strikes out swinging.",0,0,2,65,"top",9,"2023-04-26T22:11:18.086Z","2023-04-26T22:12:59.767Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91,83,9,2,0.4151,6.6327,29.1368,-15.6275,7.7473,9.3921,0.4949,1.9482,-6.3128,-132.1387,-8.1168,1.9127,50.0034,6.2164,13.6499,34.8,4.8,24,2185,143,NA,NA,NA,NA,NA,NA,FALSE,-17.9,15.4,-12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718418,"2023-04-26",0,"2023-04-26T22:11:32.509Z","2023-04-26T22:11:36.459Z",TRUE,"pitch","7f3598d7-e488-4066-a581-98d76fdff6d9",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,2.9654,1.4442,NA,133.66,184.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Freddy Fermin strikes out swinging.",0,0,2,65,"top",9,"2023-04-26T22:11:18.086Z","2023-04-26T22:12:59.767Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.5,83.5,4,2,0.413,6.9223,29.1068,-16.8583,9.0383,8.6059,-0.4371,2.0224,-8.922,-132.7441,-7.4065,1.7974,50.006,6.082,16.0914,37.2,4.8,24,2123,138,NA,NA,NA,NA,NA,NA,FALSE,-18.8,14,-14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718418,"2023-04-26",1,"2023-04-26T22:10:39.170Z","2023-04-26T22:10:50.305Z",TRUE,"pitch","3644a813-e9c1-40e0-8f33-4f4bfb36cc90",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.68,1.76,NA,99.82,180.31,"line_drive","medium","8",117.72,69.97,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Lineout","field_out","Franmil Reyes lines out to center fielder Alek Thomas.",0,0,2,64,"top",9,"2023-04-26T22:10:37.188Z","2023-04-26T22:10:50.305Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,614177,"Franmil Reyes","/api/v1/people/614177","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.4,84,9,2,0.4091,6.7751,31.0442,-18.0137,9.4538,7.8154,0.4506,2.1657,-7.4273,-134.2499,-6.8201,2.0348,50.004,6.037,17.1318,38.4,6,24,2166,131,89.4,23,323,NA,NA,NA,TRUE,-19.6,12.7,-15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,658668,"Edward Olivares","/api/v1/people/658668",NA,NA,NA,669004,"MJ Melendez","/api/v1/people/669004"
718418,"2023-04-26",0,"2023-04-26T22:09:56.150Z","2023-04-26T22:10:39.170Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Franmil Reyes replaces Kyle Isbel.","Offensive Substitution",0,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,614177,"/api/v1/people/614177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","601","64","atBat","Lineout","field_out","Franmil Reyes lines out to center fielder Alek Thomas.",0,0,2,64,"top",9,"2023-04-26T22:10:37.188Z","2023-04-26T22:10:50.305Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,614177,"Franmil Reyes","/api/v1/people/614177","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,664728,"/api/v1/people/664728",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718418,"2023-04-26",7,"2023-04-26T22:09:25.133Z","2023-04-26T22:09:37.983Z",TRUE,"pitch","bf8d730c-c761-4c1c-97cf-8a4ef97656d0",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,0,NA,NA,3.53,1.67,NA,122.99,170.27,"fly_ball","medium","9",171.2,102.83,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Matt Duffy flies out to right fielder Corbin Carroll.",0,0,2,63,"top",9,"2023-04-26T22:07:35.658Z","2023-04-26T22:09:37.983Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,622110,"Matt Duffy","/api/v1/people/622110","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.1,84.1,5,2,0.4098,6.8288,29.4259,-17.8471,9.0753,7.9211,-0.1571,2.5374,-8.105,-133.7662,-6.1557,1.7362,50.0009,6.1522,16.4101,37.2,6,24,2259,138,89.4,50,266,NA,NA,NA,TRUE,-19.3,13.2,-14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,658668,"Edward Olivares","/api/v1/people/658668",NA,NA,NA,669004,"MJ Melendez","/api/v1/people/669004"
718418,"2023-04-26",6,"2023-04-26T22:09:02.481Z","2023-04-26T22:09:06.571Z",TRUE,"pitch","06745de5-050e-436b-8ac3-56b6a87b9157",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,0,NA,NA,3.5239,1.6076,NA,124.18,215.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Matt Duffy flies out to right fielder Corbin Carroll.",0,0,2,63,"top",9,"2023-04-26T22:07:35.658Z","2023-04-26T22:09:37.983Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,622110,"Matt Duffy","/api/v1/people/622110","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",89.4,81.8,13,2,0.4231,6.7927,27.779,-18.2161,9.5354,8.2272,-0.1882,0.8663,-7.9708,-129.5993,-9.9071,1.6924,50.0042,6.1377,16.1776,36,6,24,2142,140,NA,NA,NA,NA,NA,NA,FALSE,-21.8,12.7,-15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718418,"2023-04-26",5,"2023-04-26T22:08:41.682Z","2023-04-26T22:08:46.490Z",TRUE,"pitch","3b5a1d54-f45d-4b1c-94ee-90b23bbd6d9e",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,0,NA,NA,3.5568,1.6076,NA,126.08,195.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Matt Duffy flies out to right fielder Corbin Carroll.",0,0,2,63,"top",9,"2023-04-26T22:07:35.658Z","2023-04-26T22:09:37.983Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,622110,"Matt Duffy","/api/v1/people/622110","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",90.5,82.8,8,2,0.4175,6.7791,28.1916,-18.3422,9.6237,7.9408,-0.2383,1.5876,-8.6305,-131.2723,-8.227,1.8442,50.0057,6.1316,16.7726,37.2,6,24,2156,143,NA,NA,NA,NA,NA,NA,FALSE,-21,12.7,-15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718418,"2023-04-26",4,"2023-04-26T22:08:15.248Z","2023-04-26T22:08:19.209Z",TRUE,"pitch","0010c2c0-e4f8-4191-8abc-4f0fa3304555",3,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,1,0,NA,NA,3.5568,1.6403,NA,123.14,230.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Matt Duffy flies out to right fielder Corbin Carroll.",0,0,2,63,"top",9,"2023-04-26T22:07:35.658Z","2023-04-26T22:09:37.983Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,622110,"Matt Duffy","/api/v1/people/622110","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",90.2,82.9,13,2,0.4188,6.7372,26.8251,-16.1045,9.0232,9.2683,-0.1611,0.3001,-7.725,-130.6565,-11.7132,1.6576,50.0043,6.0439,15.6449,37.2,6,24,2190,137,NA,NA,NA,NA,NA,NA,FALSE,-19.4,14.4,-14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718418,"2023-04-26",3,"2023-04-26T22:07:55.639Z","2023-04-26T22:07:59.796Z",TRUE,"pitch","d6ee3dd0-4222-4d56-830a-ebe81fa521c8",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,0,NA,NA,3.53,1.67,NA,98.27,206.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Matt Duffy flies out to right fielder Corbin Carroll.",0,0,2,63,"top",9,"2023-04-26T22:07:35.658Z","2023-04-26T22:09:37.983Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,622110,"Matt Duffy","/api/v1/people/622110","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",90.9,83.2,14,2,0.4156,6.6801,28.562,-19.4616,10.2124,7.2316,0.4913,1.1966,-7.0961,-131.8898,-8.8973,1.8925,50.0055,6.0544,17.9593,37.2,6,24,2163,138,NA,NA,NA,NA,NA,NA,FALSE,-22.1,11.3,-16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718418,"2023-04-26",2,"2023-04-26T22:07:38.015Z","2023-04-26T22:07:43.881Z",TRUE,"pitch","3a774729-e383-4317-b6b1-9729f72413d6",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.5568,1.6403,NA,124.01,210.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Matt Duffy flies out to right fielder Corbin Carroll.",0,0,2,63,"top",9,"2023-04-26T22:07:35.658Z","2023-04-26T22:09:37.983Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,622110,"Matt Duffy","/api/v1/people/622110","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.2,83.7,13,2,0.4139,6.633,28.0733,-18.6155,8.9752,7.6447,-0.1838,1.0339,-8.1077,-132.3148,-9.6851,1.7531,50.0048,6.1042,15.9252,34.8,6,24,2203,139,NA,NA,NA,NA,NA,NA,FALSE,-21.2,11.9,-14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718418,"2023-04-26",0,"2023-04-26T22:06:54.557Z","2023-04-26T22:06:58.699Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Matt Duffy replaces Michael Massey.","Offensive Substitution",0,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,622110,"/api/v1/people/622110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","501","63","atBat","Flyout","field_out","Matt Duffy flies out to right fielder Corbin Carroll.",0,0,2,63,"top",9,"2023-04-26T22:07:35.658Z","2023-04-26T22:09:37.983Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,622110,"Matt Duffy","/api/v1/people/622110","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,686681,"/api/v1/people/686681",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718418,"2023-04-26",1,"2023-04-26T22:06:58.699Z","2023-04-26T22:07:38.015Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",0,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Matt Duffy flies out to right fielder Corbin Carroll.",0,0,2,63,"top",9,"2023-04-26T22:07:35.658Z","2023-04-26T22:09:37.983Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,622110,"Matt Duffy","/api/v1/people/622110","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718418,"2023-04-26",4,"2023-04-26T22:06:17.812Z","2023-04-26T22:06:31.474Z",TRUE,"pitch","c9cbd37d-f790-4f87-a801-8c9a3f55f4a0",3,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,2,0,NA,NA,3.54,1.7,NA,128.08,193.93,"ground_ball","medium","6",91.33,122.73,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Field Error","field_error","Edward Olivares reaches on a fielding error by shortstop Nick Ahmed. MJ Melendez to 2nd.",0,0,2,62,"top",9,"2023-04-26T22:04:54.284Z","2023-04-26T22:06:31.474Z",TRUE,FALSE,FALSE,FALSE,0,0,2,0,658668,"Edward Olivares","/api/v1/people/658668","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.8,83.7,7,2,0.412,6.7209,29.773,-17.1538,9.6716,8.4005,-0.2908,1.6611,-8.825,-133.1753,-8.4005,1.8164,50.0049,6.1076,17.2985,39.6,6,24,2291,140,98.3,-11,9,NA,NA,NA,FALSE,-19.3,13.4,-15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,658668,"Edward Olivares","/api/v1/people/658668",NA,NA,NA,669004,"MJ Melendez","/api/v1/people/669004"
718418,"2023-04-26",1,"2023-04-26T22:05:16.197Z","2023-04-26T22:05:24.524Z",TRUE,"pitch","47a48100-fe50-4e0c-b132-67f85a47b9ab",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,0,NA,NA,3.5897,1.6731,NA,133.91,189.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Field Error","field_error","Edward Olivares reaches on a fielding error by shortstop Nick Ahmed. MJ Melendez to 2nd.",0,0,2,62,"top",9,"2023-04-26T22:04:54.284Z","2023-04-26T22:06:31.474Z",TRUE,FALSE,FALSE,FALSE,0,0,2,0,658668,"Edward Olivares","/api/v1/people/658668","R","Right",605177,"Andrew Chafin","/api/v1/people/605177","L","Left","vs_LHP","vs_RHB","RISP",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Arizona Diamondbacks",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91,83,7,2,0.4156,6.6557,29.1177,-17.7061,9.9845,8.231,-0.4437,1.8188,-9.2792,-131.9885,-7.7686,1.827,50.0011,6.1131,17.5462,38.4,6,24,2261,135,NA,NA,NA,NA,NA,NA,FALSE,-20,13.3,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
