"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
746575,"2024-04-07",1,"2024-04-07T03:14:19.705Z","2024-04-07T03:14:29.818Z",TRUE,"pitch","6ff0ec65-0d3e-4794-80de-486e1839178e",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,2,NA,NA,3.16,1.43,NA,130.85,174.23,"fly_ball","medium","8",127.89,62.28,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Flyout","field_out","Elias Díaz flies out to center fielder Jose Siri.",0,8,6,80,"bottom",9,"2024-04-07T03:13:59.913Z","2024-04-07T03:14:29.818Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,553869,"Elias Díaz","/api/v1/people/553869","R","Right",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Tampa Bay Rays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",90.9,83.9,4,0.89,0.4129,7.2224,26.1944,-15.8497,-1.3135,9.1396,-0.3635,2.3906,-3.2045,-132.2826,-6.6458,1.0305,50.0009,6.082,-2.3446,9.6,3.6,24,NA,NA,93.1,39,341,NA,NA,NA,TRUE,-17.4,15.5,3,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",0,"2024-04-07T03:14:05.747Z","2024-04-07T03:14:10.818Z",TRUE,"pitch","4a06e49d-3865-4fb9-ad71-7ac33901a417",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.308,1.4349,NA,145.15,200.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Flyout","field_out","Elias Díaz flies out to center fielder Jose Siri.",0,8,6,80,"bottom",9,"2024-04-07T03:13:59.913Z","2024-04-07T03:14:29.818Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,553869,"Elias Díaz","/api/v1/people/553869","R","Right",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Tampa Bay Rays","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.7,85.5,7,2,0.4076,7.2576,23.8469,-13.9564,-1.71,9.9211,-0.7386,1.4268,-3.7868,-133.4472,-9.6664,0.9111,50.0049,6.0596,-3.139,13.2,3.6,24,2291,207,NA,NA,NA,NA,NA,NA,FALSE,-15.6,16.6,3.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",6,"2024-04-07T03:13:32.551Z","2024-04-07T03:13:40.313Z",TRUE,"pitch","589bb30d-17dc-40b5-b76b-4ecb5ae3d3ef",6,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,3,1,NA,NA,3.5539,1.6564,NA,86.14,160.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Nolan Jones called out on strikes.",0,8,6,79,"bottom",9,"2024-04-07T03:11:48.127Z","2024-04-07T03:13:40.313Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,666134,"Nolan Jones","/api/v1/people/666134","L","Left",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.3,86.1,6,0.89,0.4062,7.2078,20.156,-19.9436,-2.8853,6.5963,0.8097,2.9062,0.0559,-133.2515,-4.9209,1.1656,50.0061,6.1571,-5.3534,14.4,4.8,24,2140,192,NA,NA,NA,NA,NA,NA,TRUE,-20.4,11.5,5.3,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",5,"2024-04-07T03:13:17.592Z","2024-04-07T03:13:21.092Z",TRUE,"pitch","15c4b270-6491-41ef-bf8e-73aee1a086fd",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,1,NA,NA,3.601,1.6564,NA,195.38,203.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Nolan Jones called out on strikes.",0,8,6,79,"bottom",9,"2024-04-07T03:11:48.127Z","2024-04-07T03:13:40.313Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,666134,"Nolan Jones","/api/v1/people/666134","L","Left",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.3,85.4,13,0.88,0.4095,7.2929,23.4018,-20.0288,-2.7287,6.6763,-2.0562,1.3152,-6.5807,-132.8102,-8.6976,0.7901,50.0066,6.0412,-4.9681,15.6,4.8,24,2197,284,NA,NA,NA,NA,NA,NA,FALSE,-21.6,10.8,6.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",3,"2024-04-07T03:12:39.818Z","2024-04-07T03:12:44.035Z",TRUE,"pitch","eb42a272-cc59-4f53-aa9f-ce2068ff66a5",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.5774,1.6091,NA,166,236.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Nolan Jones called out on strikes.",0,8,6,79,"bottom",9,"2024-04-07T03:11:48.127Z","2024-04-07T03:13:40.313Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,666134,"Nolan Jones","/api/v1/people/666134","L","Left",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.6,78.1,13,0.91,0.4517,7.2582,18.8805,-32.4184,-4.5541,-0.1687,-1.2856,0.0808,-3.6456,-120.3351,-7.4587,0.8297,50.0007,6.0184,-6.8129,12,9.6,24,2384,203,NA,NA,NA,NA,NA,NA,FALSE,-40.9,-1.6,9,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",2,"2024-04-07T03:12:18.908Z","2024-04-07T03:12:23.185Z",TRUE,"pitch","91871453-fc8e-4ae9-b385-1cf87c0de52f",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,1,NA,NA,3.6245,1.7272,NA,117.02,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Nolan Jones called out on strikes.",0,8,6,79,"bottom",9,"2024-04-07T03:11:48.127Z","2024-04-07T03:13:40.313Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,666134,"Nolan Jones","/api/v1/people/666134","L","Left",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",90,84,8,0.85,0.4149,7.1736,23.2064,-19.8963,-4.2099,6.929,-6e-04,1.6957,-1.206,-131.1353,-7.7974,1.0105,50.0038,6.1494,-7.4596,20.4,4.8,24,2519,173,NA,NA,NA,NA,NA,NA,FALSE,-21.8,11.4,7.9,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",1,"2024-04-07T03:12:04.297Z","2024-04-07T03:12:12.245Z",TRUE,"pitch","8543192b-2bf0-4ba1-88b2-af47c4c67e60",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.5539,1.6564,NA,114.29,165.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Nolan Jones called out on strikes.",0,8,6,79,"bottom",9,"2024-04-07T03:11:48.127Z","2024-04-07T03:13:40.313Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,666134,"Nolan Jones","/api/v1/people/666134","L","Left",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",90.9,85.4,5,0.89,0.409,7.1468,20.9097,-18.4532,-1.2866,7.5048,0.0712,2.727,-2.1206,-132.5217,-5.5402,1.0405,50.0035,6.1381,-2.3517,8.4,4.8,24,2224,181,NA,NA,NA,NA,NA,NA,FALSE,-19.3,13,2.6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",0,"2024-04-07T03:11:51.480Z","2024-04-07T03:11:57.172Z",TRUE,"pitch","824655b0-3b05-4f0f-85d4-1274778d2afd",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.5539,1.6091,NA,155.8,204.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Nolan Jones called out on strikes.",0,8,6,79,"bottom",9,"2024-04-07T03:11:48.127Z","2024-04-07T03:13:40.313Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,666134,"Nolan Jones","/api/v1/people/666134","L","Left",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.9,86.3,13,0.87,0.4057,7.1747,22.4737,-20.8323,-1.3451,6.1062,-1.0179,1.2767,-5.2898,-133.8113,-8.7396,1.1405,50.0008,6.017,-2.4945,8.4,4.8,24,2001,263,NA,NA,NA,NA,NA,NA,FALSE,-22,9.8,3.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",4,"2024-04-07T03:12:57.721Z","2024-04-07T03:13:17.592Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",8,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,2,1,666134,"/api/v1/people/666134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Nolan Jones called out on strikes.",0,8,6,79,"bottom",9,"2024-04-07T03:11:48.127Z","2024-04-07T03:13:40.313Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,666134,"Nolan Jones","/api/v1/people/666134","L","Left",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Tampa Bay Rays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",2,"2024-04-07T03:11:20.919Z","2024-04-07T03:11:28.344Z",TRUE,"pitch","dfa1cedd-5bb7-4e41-88bc-7258ed534855",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,0,NA,NA,3.37,1.59,NA,121.36,166.69,"ground_ball","medium","4",141.87,153.03,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Brendan Rodgers grounds out, second baseman Brandon Lowe to first baseman Yandy Díaz.",0,8,6,78,"bottom",9,"2024-04-07T03:11:04.909Z","2024-04-07T03:11:28.344Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,663898,"Brendan Rodgers","/api/v1/people/663898","R","Right",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",89.3,83.5,5,0.86,0.4174,7.2672,21.5046,-18.298,-1.1541,7.9156,-0.1144,2.6702,-2.6226,-130.1212,-5.5637,1.0477,50.0057,6.1769,-2.0243,7.2,4.8,24,2066,264,93,-28,5,NA,NA,NA,TRUE,-20,13.7,2.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",1,"2024-04-07T03:11:04.909Z","2024-04-07T03:11:12.182Z",TRUE,"pitch","cf9c2119-e1e8-4868-ae63-7fb08ab28076",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.2205,1.4862,NA,109.2,197.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Brendan Rodgers grounds out, second baseman Brandon Lowe to first baseman Yandy Díaz.",0,8,6,78,"bottom",9,"2024-04-07T03:11:04.909Z","2024-04-07T03:11:28.344Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,663898,"Brendan Rodgers","/api/v1/people/663898","R","Right",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.2,84.2,14,0.89,0.4127,7.3351,26.4556,-12.7422,-0.5409,10.8784,0.3713,0.3032,-1.7031,-132.3641,-12.3372,1.0916,50.0038,5.9391,-0.9664,4.8,3.6,24,1841,249,NA,NA,NA,NA,NA,NA,FALSE,-15.5,17.4,1.3,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",0,"2024-04-07T03:09:23.667Z","2024-04-07T03:11:04.909Z",FALSE,"action",NA,NA,"Pitching Change: Colin Poche replaces Jason Adam.","Pitching Substitution",8,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,621363,"/api/v1/people/621363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"78","atBat","Groundout","field_out","Brendan Rodgers grounds out, second baseman Brandon Lowe to first baseman Yandy Díaz.",0,8,6,78,"bottom",9,"2024-04-07T03:11:04.909Z","2024-04-07T03:11:28.344Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,663898,"Brendan Rodgers","/api/v1/people/663898","R","Right",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Tampa Bay Rays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",3,"2024-04-07T03:08:41.709Z","2024-04-07T03:08:46.511Z",TRUE,"pitch","b10836c6-ee0e-4407-90b3-5ded996092dc",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,2,NA,NA,3.1734,1.5571,NA,140.59,194.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Richie Palacios called out on strikes.",0,8,6,77,"top",9,"2024-04-07T03:07:33.975Z","2024-04-07T03:08:46.511Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,680700,"Richie Palacios","/api/v1/people/680700","L","Left",664875,"Justin Lawrence","/api/v1/people/664875","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Colorado Rockies","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96,89.3,7,0.89,0.3894,6.3082,25.9201,-32.6724,-8.2694,-0.2488,-0.6188,1.6338,8.8449,-139.6622,-1.2205,-2.7243,50.0024,4.1889,-16.643,25.2,7.2,24,1739,282,NA,NA,NA,NA,NA,NA,TRUE,-29.8,-0.5,13.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",2,"2024-04-07T03:08:19.678Z","2024-04-07T03:08:24.217Z",TRUE,"pitch","1b825cc6-7ec0-4fe7-b3f8-f342ad719b9f",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,2,NA,NA,3.37,1.59,NA,108.1,143.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Richie Palacios called out on strikes.",0,8,6,77,"top",9,"2024-04-07T03:07:33.975Z","2024-04-07T03:08:46.511Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,680700,"Richie Palacios","/api/v1/people/680700","L","Left",664875,"Justin Lawrence","/api/v1/people/664875","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Colorado Rockies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94,88.8,12,0.88,0.3943,6.0845,18.8385,-28.7313,-7.5914,1.7476,0.2334,3.5116,10.2979,-136.8515,2.8757,-2.5238,50.0049,4.3692,-14.9782,25.2,6,24,2149,249,NA,NA,NA,NA,NA,NA,FALSE,-26.3,3.7,12.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",1,"2024-04-07T03:08:04.801Z","2024-04-07T03:08:08.886Z",TRUE,"pitch","9cbfbd6a-6e10-4ffe-b689-6f86c122d2cb",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.244,1.5098,NA,117.3,170.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Richie Palacios called out on strikes.",0,8,6,77,"top",9,"2024-04-07T03:07:33.975Z","2024-04-07T03:08:46.511Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,680700,"Richie Palacios","/api/v1/people/680700","L","Left",664875,"Justin Lawrence","/api/v1/people/664875","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Colorado Rockies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.4,86.9,5,0.87,0.3977,6.4173,28.2713,-30.8294,-5.7007,0.6974,-0.0079,2.5443,8.9866,-137.3115,1.4443,-2.5711,50.0007,4.0977,-10.9663,16.8,7.2,24,2846,186,NA,NA,NA,NA,NA,NA,FALSE,-28.8,1.8,8.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",0,"2024-04-07T03:07:50.372Z","2024-04-07T03:07:54.523Z",TRUE,"pitch","b0228ea5-1c99-4125-9813-a9fb0007c41c",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.197,1.4862,NA,93.92,204.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Richie Palacios called out on strikes.",0,8,6,77,"top",9,"2024-04-07T03:07:33.975Z","2024-04-07T03:08:46.511Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,680700,"Richie Palacios","/api/v1/people/680700","L","Left",664875,"Justin Lawrence","/api/v1/people/664875","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Colorado Rockies","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85,79.7,14,0.9,0.4388,6.2792,19.7365,-26.606,4.698,3.5131,0.6055,1.2594,6.623,-123.8277,-1.6675,-2.6927,50.0059,4.1225,7.4528,16.8,7.2,24,2278,99,NA,NA,NA,NA,NA,NA,FALSE,-30.8,6.2,-9.7,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746575,"2024-04-07",6,"2024-04-07T03:07:16.197Z","2024-04-07T03:07:23.542Z",TRUE,"pitch","2f5fcb58-99f2-48cf-bf64-ee3343aef9d2",7,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,1,NA,NA,3.23,1.56,NA,89.41,180.96,"line_drive","medium","9",171.87,83.18,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Lineout","field_out","Isaac Paredes lines out to right fielder Jake Cave.",0,8,6,76,"top",9,"2024-04-07T03:05:00.498Z","2024-04-07T03:07:23.542Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",664875,"Justin Lawrence","/api/v1/people/664875","R","Right","vs_RHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Colorado Rockies","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.2,86.7,6,0.88,0.3993,6.4043,28.2004,-31.619,-7.185,0.2901,0.7239,2.1416,11.4933,-136.8188,0.0958,-2.5842,50.0022,4.2605,-13.718,20.4,7.2,24,2119,132,94.4,19,311,NA,NA,NA,TRUE,-30,0.7,10.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
