"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
745195,"2024-04-09",3,"2024-04-10T02:25:18.096Z","2024-04-10T02:25:22.003Z",TRUE,"pitch","7d95df4f-140d-44ce-8475-06cb30f8536b",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.19,1.56,NA,118.89,216.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Brandon Marsh strikes out swinging.",0,0,3,67,"top",9,"2024-04-10T02:23:55.372Z","2024-04-10T02:25:22.003Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669016,"Brandon Marsh","/api/v1/people/669016","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","St. Louis Cardinals","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.7,83.3,13,2,0.4158,6.9646,29.7577,-34.5556,1.9792,-1.3599,-0.0495,0.8377,0.9728,-132.0343,-5.912,-0.6805,50.0002,5.6677,3.4719,6,8.4,24,2508,119,NA,NA,NA,NA,NA,NA,TRUE,-37,-3.6,-3.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",2,"2024-04-10T02:24:52.369Z","2024-04-10T02:24:56.732Z",TRUE,"pitch","e57dd6a4-5276-41ed-9a89-0b31ccbad0c2",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.1946,1.5768,NA,61.1,301.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Brandon Marsh strikes out swinging.",0,0,3,67,"top",9,"2024-04-10T02:23:55.372Z","2024-04-10T02:25:22.003Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669016,"Brandon Marsh","/api/v1/people/669016","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","St. Louis Cardinals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.7,81.3,14,2,0.4344,6.6848,24.0116,-35.961,-0.0255,-2.3525,1.4666,-2.3165,4.6439,-125.7832,-12.214,-0.3953,50.0017,5.4901,-0.0421,1.2,9.6,24,2628,16,NA,NA,NA,NA,NA,NA,FALSE,-43.1,-6.7,-1,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",1,"2024-04-10T02:24:33.093Z","2024-04-10T02:24:37.167Z",TRUE,"pitch","ebce8a87-cb4b-4f0a-a9df-8dfa96d232c0",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.19,1.56,NA,98.72,200.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Brandon Marsh strikes out swinging.",0,0,3,67,"top",9,"2024-04-10T02:23:55.372Z","2024-04-10T02:25:22.003Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669016,"Brandon Marsh","/api/v1/people/669016","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","St. Louis Cardinals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.2,83.6,14,2,0.4159,6.7355,26.2382,-30.7634,2.4817,0.8015,0.4796,1.4237,1.7266,-131.4032,-5.2987,-0.507,50.0022,5.735,4.3664,8.4,7.2,24,2468,154,NA,NA,NA,NA,NA,NA,FALSE,-32.8,0.6,-4.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",0,"2024-04-10T02:24:16.402Z","2024-04-10T02:24:20.377Z",TRUE,"pitch","d9d42bba-a2b9-4395-bfac-f20e9da7be21",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.2538,1.662,NA,124.8,199.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Brandon Marsh strikes out swinging.",0,0,3,67,"top",9,"2024-04-10T02:23:55.372Z","2024-04-10T02:25:22.003Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669016,"Brandon Marsh","/api/v1/people/669016","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","St. Louis Cardinals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.1,91.7,13,0.9,0.3761,6.8092,33.5462,-9.3305,-4.0095,10.6306,-0.2046,1.473,2.1329,-145.5144,-10.1906,-0.4255,50.0023,5.5821,-8.614,34.8,2.4,24,2645,206,NA,NA,NA,NA,NA,NA,FALSE,-9.8,17.4,6.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",2,"2024-04-10T02:23:35.442Z","2024-04-10T02:23:42.299Z",TRUE,"pitch","14ac263e-7c30-4163-b70e-6614a0adf4ae",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,1,NA,NA,3.77,1.82,NA,114.8,148.53,"line_drive","hard","8",129.85,66.66,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Lineout","field_out","Nick Castellanos lines out sharply to center fielder Victor Scott II.",0,0,3,66,"top",9,"2024-04-10T02:22:50.576Z","2024-04-10T02:23:42.299Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,592206,"Nick Castellanos","/api/v1/people/592206","R","Right",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","St. Louis Cardinals","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.7,90.9,2,0.9,0.3777,6.6641,34.566,-7.9214,-1.6644,11.395,0.0577,3.3426,1.6577,-145.117,-5.8476,-0.3052,50.0063,5.8688,-3.5437,19.2,2.4,24,2537,197,101.2,18,330,NA,NA,NA,TRUE,-7.9,19.6,2.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",1,"2024-04-10T02:23:16.945Z","2024-04-10T02:23:20.631Z",TRUE,"pitch","edcf381f-0109-4b54-b91c-87ca360c0312",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,1,NA,NA,3.77,1.82,NA,97.39,191.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Lineout","field_out","Nick Castellanos lines out sharply to center fielder Victor Scott II.",0,0,3,66,"top",9,"2024-04-10T02:22:50.576Z","2024-04-10T02:23:42.299Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,592206,"Nick Castellanos","/api/v1/people/592206","R","Right",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","St. Louis Cardinals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.9,83.2,9,2,0.4169,6.8234,25.8038,-26.573,1.6404,3.1976,0.5144,1.7387,2.2905,-131.0068,-5.2304,-0.5819,50.0011,5.7293,2.8714,7.2,6,24,2420,173,NA,NA,NA,NA,NA,NA,FALSE,-28.6,4.9,-3.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",0,"2024-04-10T02:23:01.269Z","2024-04-10T02:23:05.741Z",TRUE,"pitch","0d3836fb-1b5a-47d4-a94d-eee719e2b95f",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,4.0475,1.8925,NA,118.11,187.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Lineout","field_out","Nick Castellanos lines out sharply to center fielder Victor Scott II.",0,0,3,66,"top",9,"2024-04-10T02:22:50.576Z","2024-04-10T02:23:42.299Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,592206,"Nick Castellanos","/api/v1/people/592206","R","Right",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","St. Louis Cardinals","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.5,72.4,8,0.9,0.4797,6.8265,21.9951,-41.1764,2.6061,-6.8261,-0.029,1.9029,0.3547,-114.3909,0.0339,-0.5247,50.0018,5.94,3.4376,4.8,13.2,24,2350,35,NA,NA,NA,NA,NA,NA,FALSE,-56.4,-12,-4.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",7,"2024-04-10T02:22:32.451Z","2024-04-10T02:22:35.908Z",TRUE,"pitch","02638c9e-3f04-4936-ba71-a3d990653af3",7,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,0,NA,NA,3.26,1.53,NA,136.38,165.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Bryson Stott strikes out swinging.",0,0,3,65,"top",9,"2024-04-10T02:20:21.086Z","2024-04-10T02:22:35.908Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,681082,"Bryson Stott","/api/v1/people/681082","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.9,91.4,4,0.9,0.3745,6.7703,37.8317,-7.8557,-2.8046,11.2499,-0.5085,2.7094,1.4688,-146.803,-7.1329,-0.6535,50.0072,5.652,-6.0648,30,2.4,24,2608,200,NA,NA,NA,NA,NA,NA,TRUE,-8,19,4.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",6,"2024-04-10T02:22:05.522Z","2024-04-10T02:22:09.063Z",TRUE,"pitch","cb642cbb-6eca-47bf-ab4f-101a2c39f8b7",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,0,NA,NA,3.26,1.53,NA,87.52,212.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Bryson Stott strikes out swinging.",0,0,3,65,"top",9,"2024-04-10T02:20:21.086Z","2024-04-10T02:22:35.908Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,681082,"Bryson Stott","/api/v1/people/681082","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.1,82.9,14,2,0.418,6.786,28.0875,-28.966,2.3392,1.845,0.7733,0.9719,2.7947,-131.1144,-6.4395,-0.6108,50.0018,5.6251,4.0667,8.4,7.2,24,2443,182,NA,NA,NA,NA,NA,NA,FALSE,-31.6,2.2,-4.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",5,"2024-04-10T02:21:44.773Z","2024-04-10T02:21:50.018Z",TRUE,"pitch","2c8d26d9-c6b2-4780-a12a-e9de39209c43",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.385,1.6393,NA,79.72,190.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Bryson Stott strikes out swinging.",0,0,3,65,"top",9,"2024-04-10T02:20:21.086Z","2024-04-10T02:22:35.908Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,681082,"Bryson Stott","/api/v1/people/681082","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",102.2,93.4,14,0.9,0.3688,6.6395,35.4205,-6.5376,-2.9881,11.4764,0.9779,1.7837,6.2423,-148.4855,-9.8663,-0.7631,50.0071,5.5296,-6.6778,30,2.4,24,2620,208,NA,NA,NA,NA,NA,NA,FALSE,-7.2,19,4.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",4,"2024-04-10T02:21:18.820Z","2024-04-10T02:21:24.858Z",TRUE,"pitch","ac03177d-b160-4f18-b485-85e48600a879",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.26,1.53,NA,100.55,190.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Bryson Stott strikes out swinging.",0,0,3,65,"top",9,"2024-04-10T02:20:21.086Z","2024-04-10T02:22:35.908Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,681082,"Bryson Stott","/api/v1/people/681082","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101.3,93.2,9,0.9,0.3709,6.6513,32.638,-9.8382,-4.4747,10.0956,0.4317,1.7843,4.5476,-147.2752,-9.5988,-0.5458,50.0036,5.6546,-9.9006,37.2,2.4,24,2612,199,NA,NA,NA,NA,NA,NA,FALSE,-9.8,16.7,7.3,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",3,"2024-04-10T02:20:59.183Z","2024-04-10T02:21:02.892Z",TRUE,"pitch","c64964a3-da47-4601-8b70-4a2bd36f5f86",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,0,NA,NA,3.26,1.53,NA,110.56,152.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Bryson Stott strikes out swinging.",0,0,3,65,"top",9,"2024-04-10T02:20:21.086Z","2024-04-10T02:22:35.908Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,681082,"Bryson Stott","/api/v1/people/681082","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.9,81.9,2,2,0.4246,6.755,22.7335,-31.6326,1.546,0.3208,0.1689,3.1935,1.6327,-128.2507,-0.5061,-0.6733,50.0042,5.8285,2.6142,4.8,7.2,24,2413,136,NA,NA,NA,NA,NA,NA,FALSE,-34.1,0.7,-3.1,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",2,"2024-04-10T02:20:39.548Z","2024-04-10T02:20:43.919Z",TRUE,"pitch","ef59680d-e432-4b51-abab-25bc8dbb7889",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,0,NA,NA,3.4397,1.6346,NA,144.51,169.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Bryson Stott strikes out swinging.",0,0,3,65,"top",9,"2024-04-10T02:20:21.086Z","2024-04-10T02:22:35.908Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,681082,"Bryson Stott","/api/v1/people/681082","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.2,91.8,4,0.9,0.3752,6.7547,33.4866,-8.9055,-4.5082,10.7752,-0.7217,2.5479,1.1826,-145.8332,-7.3608,-0.5461,50.0009,5.638,-9.7334,42,2.4,24,2632,204,NA,NA,NA,NA,NA,NA,FALSE,-8.9,18.2,7.9,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",1,"2024-04-10T02:20:23.293Z","2024-04-10T02:20:27.135Z",TRUE,"pitch","debcc1d6-048a-4ce8-80b1-224c9e0e54a0",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.5868,1.6153,NA,118.63,137.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Bryson Stott strikes out swinging.",0,0,3,65,"top",9,"2024-04-10T02:20:21.086Z","2024-04-10T02:22:35.908Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,681082,"Bryson Stott","/api/v1/people/681082","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","St. Louis Cardinals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",79,73.1,11,0.9,0.4746,6.4487,19.8879,-36.5047,1.3036,-3.2078,-0.0427,3.7643,0.8601,-115.0861,2.6727,-0.5897,50.0018,6.1058,1.7611,3.6,10.8,24,2276,37,NA,NA,NA,NA,NA,NA,FALSE,-48.4,-4.9,-2.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",0,"2024-04-10T02:19:31.689Z","2024-04-10T02:20:23.293Z",FALSE,"action",NA,NA,"Pitching Change: Ryan Helsley replaces JoJo Romero.","Pitching Substitution",0,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,664854,"/api/v1/people/664854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"65","atBat","Strikeout","strikeout","Bryson Stott strikes out swinging.",0,0,3,65,"top",9,"2024-04-10T02:20:21.086Z","2024-04-10T02:22:35.908Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,681082,"Bryson Stott","/api/v1/people/681082","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",6,"2024-04-10T02:17:51.202Z","2024-04-10T02:17:58.740Z",TRUE,"pitch","6c306e60-af6e-4135-8dc2-4d39681317b2",7,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,2,NA,NA,3.24,1.51,NA,101.65,175.33,"ground_ball","medium","4",142.13,149.88,NA,NA,TRUE,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Iván Herrera grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",0,0,3,64,"bottom",8,"2024-04-10T02:15:24.587Z","2024-04-10T02:17:58.740Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,671056,"Iván Herrera","/api/v1/people/671056","R","Right",620982,"Ricardo Pinto","/api/v1/people/620982","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Philadelphia Phillies","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.2,84.1,6,2,0.4093,6.3183,30.0849,-23.6103,-10.7605,4.729,0.4027,2.35,7.8728,-134.0295,-4.2381,-1.1807,50.0061,5.6466,-19.5002,36,7.2,24,1970,228,95.8,0,43,NA,NA,NA,TRUE,-24.6,7.8,17.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745195,"2024-04-09",5,"2024-04-10T02:17:23.787Z","2024-04-10T02:17:28.641Z",TRUE,"pitch","5e6548bf-4441-4c93-a71b-371b558fc114",6,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",3,2,2,NA,NA,3.3107,1.5426,NA,111.45,235.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Iván Herrera grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",0,0,3,64,"bottom",8,"2024-04-10T02:15:24.587Z","2024-04-10T02:17:58.740Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,671056,"Iván Herrera","/api/v1/people/671056","R","Right",620982,"Ricardo Pinto","/api/v1/people/620982","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Philadelphia Phillies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.9,84.9,14,2,0.4095,6.4206,26.8121,-19.88,-9.6032,6.776,0.1457,0.1039,6.5023,-133.388,-10.4307,-1.0672,50.0065,5.4791,-17.4297,36,6,24,1973,226,NA,NA,NA,NA,NA,NA,FALSE,-22.1,10.3,16.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
