"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718670,"2023-04-08",2,"2023-04-08T04:38:50.595Z","2023-04-08T04:38:58.021Z",TRUE,"pitch","b5463b20-7e85-4918-828e-e1c529ab3450",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.13,1.44,NA,107.01,164,"ground_ball","medium","4",141.96,165.11,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Luis Rengifo grounds out, second baseman Santiago Espinal to first baseman Vladimir Guerrero Jr.",0,4,3,72,"bottom",9,"2023-04-08T04:38:28.736Z","2023-04-08T04:38:58.021Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,650859,"Luis Rengifo","/api/v1/people/650859","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.6,88.2,2,0.88,0.3883,7.6341,35.6502,-13.6741,-5.5045,9.2064,0.2622,2.7697,9.0407,-141.6393,-5.9446,-2.2721,50.0053,5.788,-11.0646,30,3.6,24,2304,201,71.1,-60,4,NA,NA,NA,TRUE,-13.7,15.5,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718670,"2023-04-08",1,"2023-04-08T04:38:31.110Z","2023-04-08T04:38:36.222Z",TRUE,"pitch","9dc76d8a-a734-4833-857c-bc68b789e0ec",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.13,1.44,NA,97.19,172.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Luis Rengifo grounds out, second baseman Santiago Espinal to first baseman Vladimir Guerrero Jr.",0,4,3,72,"bottom",9,"2023-04-08T04:38:28.736Z","2023-04-08T04:38:58.021Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,650859,"Luis Rengifo","/api/v1/people/650859","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.9,88.5,6,0.91,0.3895,7.8628,32.0929,-11.641,-2.7651,10.2567,0.5196,2.4391,9.4711,-140.654,-6.6101,-2.5332,50.0056,5.5757,-5.5369,14.4,2.4,24,2347,201,NA,NA,NA,NA,NA,NA,FALSE,-12,17.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718670,"2023-04-08",0,"2023-04-08T04:38:08.839Z","2023-04-08T04:38:31.110Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Luis Rengifo replaces David Fletcher.","Offensive Substitution",4,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,650859,"/api/v1/people/650859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","72","atBat","Groundout","field_out","Luis Rengifo grounds out, second baseman Santiago Espinal to first baseman Vladimir Guerrero Jr.",0,4,3,72,"bottom",9,"2023-04-08T04:38:28.736Z","2023-04-08T04:38:58.021Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,650859,"Luis Rengifo","/api/v1/people/650859","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,664058,"/api/v1/people/664058",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718670,"2023-04-08",2,"2023-04-08T04:37:51.474Z","2023-04-08T04:38:00.690Z",TRUE,"pitch","8af15bfd-bd17-4a0d-ad8f-6024f89fdcb7",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,1,NA,NA,3.19,1.45,NA,145.07,162.38,"fly_ball","medium","7",79.37,72.76,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Logan O'Hoppe flies out to left fielder Daulton Varsho.",0,4,3,71,"bottom",9,"2023-04-08T04:37:18.148Z","2023-04-08T04:38:00.690Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,681351,"Logan O'Hoppe","/api/v1/people/681351","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Toronto Blue Jays","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.7,78.1,1,0.9,0.4433,7.7008,23.9556,-32.6386,0.7923,-0.3004,-0.7364,2.8298,3.8268,-123.4406,-0.8267,-2.408,50.0037,5.9105,1.225,3.6,8.4,24,2051,76,86.1,30,335,NA,NA,NA,TRUE,-38.4,-0.5,-2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718670,"2023-04-08",1,"2023-04-08T04:37:38.437Z","2023-04-08T04:37:42.762Z",TRUE,"pitch","81a154e9-8d43-49dc-95ee-03cb36f025eb",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,1,NA,NA,3.19,1.45,NA,141.5,170.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Logan O'Hoppe flies out to left fielder Daulton Varsho.",0,4,3,71,"bottom",9,"2023-04-08T04:37:18.148Z","2023-04-08T04:38:00.690Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,681351,"Logan O'Hoppe","/api/v1/people/681351","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.7,79.1,4,0.9,0.4382,7.5443,23.9753,-32.6422,0.8145,-0.2927,-0.6427,2.5276,4.7731,-124.7547,-1.3287,-2.6829,50.0042,5.7458,1.2901,3.6,8.4,24,2150,87,NA,NA,NA,NA,NA,NA,FALSE,-37.7,-0.6,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718670,"2023-04-08",0,"2023-04-08T04:37:25.743Z","2023-04-08T04:37:29.319Z",TRUE,"pitch","14556250-a2ac-4297-84c2-dfd72e168f82",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.177,1.6878,NA,67.98,159.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Logan O'Hoppe flies out to left fielder Daulton Varsho.",0,4,3,71,"bottom",9,"2023-04-08T04:37:18.148Z","2023-04-08T04:38:00.690Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,681351,"Logan O'Hoppe","/api/v1/people/681351","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.8,88.6,12,0.91,0.3894,7.9792,31.1396,-9.2342,-3.113,11.4429,1.2861,2.9369,10.249,-140.53,-6.5086,-1.9999,50.003,5.8793,-6.2412,20.4,2.4,24,2460,191,NA,NA,NA,NA,NA,NA,FALSE,-9.7,19.6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718670,"2023-04-08",2,"2023-04-08T04:36:51.775Z","2023-04-08T04:37:01.891Z",TRUE,"pitch","46f807a0-8016-48f5-a031-3726e7298597",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,0,NA,NA,3.45,1.63,NA,138.24,172.23,"fly_ball","medium","8",132.85,96.96,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Flyout","field_out","Gio Urshela flies out to center fielder Kevin Kiermaier.",0,4,3,70,"bottom",9,"2023-04-08T04:36:49.425Z","2023-04-08T04:37:01.891Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,570482,"Gio Urshela","/api/v1/people/570482","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.4,87.9,4,0.91,0.3911,7.5179,32.2186,-10.095,-4.1877,11.1206,-0.5573,2.4649,7.1548,-140.1422,-6.9338,-2.6014,50.0008,5.6333,-8.3134,30,2.4,24,2465,206,93.8,53,258,NA,NA,NA,TRUE,-10.7,18.8,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718670,"2023-04-08",0,"2023-04-08T04:35:32.045Z","2023-04-08T04:35:32.072Z",FALSE,"action",NA,NA,"Cavan Biggio remains in the game as the designated hitter.","Defensive Switch",4,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,624415,"/api/v1/people/624415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"10","Designated Hitter","Hitter","DH","801","70","atBat","Flyout","field_out","Gio Urshela flies out to center fielder Kevin Kiermaier.",0,4,3,70,"bottom",9,"2023-04-08T04:36:49.425Z","2023-04-08T04:37:01.891Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,570482,"Gio Urshela","/api/v1/people/570482","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,656669,"/api/v1/people/656669",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718670,"2023-04-08",1,"2023-04-08T04:35:32.072Z","2023-04-08T04:36:51.775Z",FALSE,"action",NA,NA,"Pitching Change: Jordan Romano replaces Erik Swanson.","Pitching Substitution",4,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,605447,"/api/v1/people/605447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"70","atBat","Flyout","field_out","Gio Urshela flies out to center fielder Kevin Kiermaier.",0,4,3,70,"bottom",9,"2023-04-08T04:36:49.425Z","2023-04-08T04:37:01.891Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,570482,"Gio Urshela","/api/v1/people/570482","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718670,"2023-04-08",2,"2023-04-08T04:34:05.966Z","2023-04-08T04:34:11.245Z",TRUE,"pitch","7338b87d-7c2f-4702-917e-c3815d37eed1",3,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,3,2,NA,NA,3.38,1.65,NA,99.74,198.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Kevin Kiermaier strikes out on a foul tip.",0,4,3,69,"top",9,"2023-04-08T04:33:36.925Z","2023-04-08T04:34:11.245Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,595281,"Kevin Kiermaier","/api/v1/people/595281","L","Left",681806,"Andrew Wantz","/api/v1/people/681806","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Los Angeles Angels","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.6,83,14,0.92,0.4187,6.4515,25.831,-25.934,2.4262,3.597,0.4527,1.5024,4.4495,-130.4902,-5.9982,-1.5856,50.0041,5.7684,4.2104,10.8,6,24,2605,196,NA,NA,NA,NA,NA,NA,TRUE,-28.3,5.5,-5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718670,"2023-04-08",1,"2023-04-08T04:33:51.175Z","2023-04-08T04:33:56.201Z",TRUE,"pitch","a166cf9a-346f-4c73-8c03-30f4bdc81fce",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.38,1.65,NA,100.04,165.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Kevin Kiermaier strikes out on a foul tip.",0,4,3,69,"top",9,"2023-04-08T04:33:36.925Z","2023-04-08T04:34:11.245Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,595281,"Kevin Kiermaier","/api/v1/people/595281","L","Left",681806,"Andrew Wantz","/api/v1/people/681806","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Los Angeles Angels","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.4,83.9,6,0.9,0.4138,6.5267,24.768,-24.707,2.1845,4.198,0.4449,2.7324,4.3125,-131.7393,-3.4398,-1.4894,50.0057,5.8563,3.8859,10.8,6,24,2588,158,NA,NA,NA,NA,NA,NA,FALSE,-25.9,7.2,-4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718670,"2023-04-08",0,"2023-04-08T04:33:40.037Z","2023-04-08T04:33:44.062Z",TRUE,"pitch","64e1ed9c-459c-458f-89e9-230edb6f3cf2",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.2965,1.5229,NA,87.33,169.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Kevin Kiermaier strikes out on a foul tip.",0,4,3,69,"top",9,"2023-04-08T04:33:36.925Z","2023-04-08T04:34:11.245Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,595281,"Kevin Kiermaier","/api/v1/people/595281","L","Left",681806,"Andrew Wantz","/api/v1/people/681806","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.1,86.6,6,0.89,0.3993,6.4289,28.3364,-12.9397,-2.0487,10.0787,0.7784,2.5554,6.3762,-136.8306,-6.5321,-1.3092,50.0036,5.8488,-3.9104,10.8,3.6,24,2425,193,NA,NA,NA,NA,NA,NA,FALSE,-13.6,17.2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718670,"2023-04-08",5,"2023-04-08T04:33:16.776Z","2023-04-08T04:33:22.040Z",TRUE,"pitch","d34c440a-3478-465a-bb76-59780c7a059c",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,1,NA,NA,3.32,1.59,NA,103.98,130.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Cavan Biggio strikes out swinging.",0,4,3,68,"top",9,"2023-04-08T04:32:37.384Z","2023-04-08T04:33:22.040Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,624415,"Cavan Biggio","/api/v1/people/624415","L","Left",681806,"Andrew Wantz","/api/v1/people/681806","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.3,86.5,12,0.91,0.3983,6.5076,29.4638,-15.3722,-2.4044,8.7656,0.3415,4.0094,5.3615,-137.3518,-2.7615,-1.3206,50.0062,6.0689,-4.6114,12,3.6,24,2313,196,NA,NA,NA,NA,NA,NA,TRUE,-15.1,15.5,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718670,"2023-04-08",3,"2023-04-08T04:32:51.721Z","2023-04-08T04:32:55.791Z",TRUE,"pitch","135258bd-553e-4ca7-9202-ff422ddf8585",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.32,1.59,NA,106.49,163.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Cavan Biggio strikes out swinging.",0,4,3,68,"top",9,"2023-04-08T04:32:37.384Z","2023-04-08T04:33:22.040Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,624415,"Cavan Biggio","/api/v1/people/624415","L","Left",681806,"Andrew Wantz","/api/v1/people/681806","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.5,86,5,0.88,0.4016,6.3742,28.5026,-13.7737,-1.8609,9.7587,0.2758,2.7782,5.1371,-136.1145,-5.872,-1.39,50.0023,5.9088,-3.5089,9.6,3.6,24,2409,205,NA,NA,NA,NA,NA,NA,FALSE,-14.4,16.7,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718670,"2023-04-08",2,"2023-04-08T04:32:39.568Z","2023-04-08T04:32:42.745Z",TRUE,"pitch","1fc49f62-81ac-41b3-9547-345ee1b257b1",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.4086,1.6106,NA,120.57,147.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Cavan Biggio strikes out swinging.",0,4,3,68,"top",9,"2023-04-08T04:32:37.384Z","2023-04-08T04:33:22.040Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,624415,"Cavan Biggio","/api/v1/people/624415","L","Left",681806,"Andrew Wantz","/api/v1/people/681806","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.8,85.6,2,0.88,0.4039,6.8485,27.0263,-14.7578,-1.8179,9.3336,-0.0938,3.3768,4.4135,-135.1539,-4.2278,-1.5054,50.0067,5.9847,-3.3942,9.6,3.6,24,2403,193,NA,NA,NA,NA,NA,NA,FALSE,-15.2,16.3,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718670,"2023-04-08",0,"2023-04-08T04:31:48.365Z","2023-04-08T04:32:01.016Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Cavan Biggio replaces Jordan Luplow.","Offensive Substitution",4,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,624415,"/api/v1/people/624415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","801","68","atBat","Strikeout","strikeout","Cavan Biggio strikes out swinging.",0,4,3,68,"top",9,"2023-04-08T04:32:37.384Z","2023-04-08T04:33:22.040Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,624415,"Cavan Biggio","/api/v1/people/624415","L","Left",681806,"Andrew Wantz","/api/v1/people/681806","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Los Angeles Angels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,656669,"/api/v1/people/656669",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
