"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716442,"2023-09-24",2,"2023-09-24T22:40:58.058Z","2023-09-24T22:41:05.902Z",TRUE,"pitch","0c1e2054-1bc3-447d-90c8-a16180ca5b03",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,2,NA,NA,3.41,1.55,NA,130.99,186.71,"ground_ball","medium","3",164.67,160.51,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Tyler Soderstrom grounds out, first baseman Spencer Torkelson to pitcher Alex Lange.",0,2,0,74,"bottom",9,"2023-09-24T22:40:43.784Z","2023-09-24T22:41:05.902Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,691016,"Tyler Soderstrom","/api/v1/people/691016","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.7,82.9,7,0.9,0.4184,6.2728,25.0104,-24.8157,-10.1825,4.2341,-0.367,1.9285,6.7245,-130.4358,-5.0991,-1.6431,50.0055,5.7576,-17.7141,32.4,7.2,24,1733,240,92.8,-22,5,NA,NA,NA,TRUE,-27,6.8,17.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716442,"2023-09-24",1,"2023-09-24T22:40:46.102Z","2023-09-24T22:40:51.455Z",TRUE,"pitch","afb0ec70-9d42-40e5-9507-a8eb11844ed2",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4504,1.4551,NA,80.44,204.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Tyler Soderstrom grounds out, first baseman Spencer Torkelson to pitcher Alex Lange.",0,2,0,74,"bottom",9,"2023-09-24T22:40:43.784Z","2023-09-24T22:41:05.902Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,691016,"Tyler Soderstrom","/api/v1/people/691016","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",89.2,82.7,14,2,0.4212,6.3542,25.3731,-32.7961,-1.5443,-0.364,0.9592,1.2563,7.4855,-129.6991,-4.9524,-1.755,50.0028,5.6718,-2.6507,2.4,8.4,24,2235,18,NA,NA,NA,NA,NA,NA,FALSE,-35.8,-1.6,1.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716442,"2023-09-24",0,"2023-09-24T22:40:25.311Z","2023-09-24T22:40:46.102Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Tyler Soderstrom replaces Kevin Smith.","Offensive Substitution",2,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,691016,"/api/v1/people/691016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","801","74","atBat","Groundout","field_out","Tyler Soderstrom grounds out, first baseman Spencer Torkelson to pitcher Alex Lange.",0,2,0,74,"bottom",9,"2023-09-24T22:40:43.784Z","2023-09-24T22:41:05.902Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,691016,"Tyler Soderstrom","/api/v1/people/691016","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,675656,"/api/v1/people/675656",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716442,"2023-09-24",7,"2023-09-24T22:40:11.293Z","2023-09-24T22:40:16.010Z",TRUE,"pitch","703db503-c2d7-423b-bf4f-913e3ec49175",6,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",2,3,1,NA,NA,3.12,1.48,NA,100.91,216.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Tony Kemp strikes out swinging.",0,2,0,73,"bottom",9,"2023-09-24T22:38:06.774Z","2023-09-24T22:40:16.010Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,643393,"Tony Kemp","/api/v1/people/643393","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",89.4,82.2,14,2,0.4221,6.2772,28.5469,-35.777,-2.4975,-2.1123,0.422,0.8177,6.1669,-130.0097,-5.722,-1.6617,50.0044,5.7787,-4.254,4.8,8.4,24,2227,4,NA,NA,NA,NA,NA,NA,TRUE,-39.4,-4.9,3.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,669127,"Shea Langeliers","/api/v1/people/669127"
716442,"2023-09-24",6,"2023-09-24T22:39:33.506Z","2023-09-24T22:39:39.794Z",TRUE,"pitch","6149f150-dea0-42d2-a67f-e131e5596a3c",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,1,NA,NA,3.12,1.48,NA,137.71,196.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Tony Kemp strikes out swinging.",0,2,0,73,"bottom",9,"2023-09-24T22:38:06.774Z","2023-09-24T22:40:16.010Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,643393,"Tony Kemp","/api/v1/people/643393","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",89.1,82.3,7,2,0.4218,6.2634,26.3992,-33.038,-2.0128,-0.506,-0.5434,1.5551,4.0283,-129.7089,-4.3584,-1.853,50.0019,5.7681,-3.4395,4.8,8.4,24,2229,13,NA,NA,NA,NA,NA,NA,FALSE,-36,-1.7,2.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716442,"2023-09-24",5,"2023-09-24T22:39:17.987Z","2023-09-24T22:39:20.987Z",TRUE,"pitch","ac9f4380-0f43-4271-b073-0a3657327b51",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.2275,1.4234,NA,188.91,170.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Tony Kemp strikes out swinging.",0,2,0,73,"bottom",9,"2023-09-24T22:38:06.774Z","2023-09-24T22:40:16.010Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,643393,"Tony Kemp","/api/v1/people/643393","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.1,83.1,11,0.91,0.4164,6.102,26.5772,-32.185,-9.1333,-0.0029,-1.8865,2.5464,3.8149,-131.2987,-2.0832,-2.1678,50.0046,5.7342,-16.0233,25.2,8.4,24,1557,251,NA,NA,NA,NA,NA,NA,FALSE,-33.7,-0.2,15.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716442,"2023-09-24",4,"2023-09-24T22:38:45.676Z","2023-09-24T22:38:48.676Z",TRUE,"pitch","b4038127-6cdf-4dee-af28-5d4702a8ddc8",3,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,2,1,NA,NA,3.1638,1.4234,NA,126.15,257.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Tony Kemp strikes out swinging.",0,2,0,73,"bottom",9,"2023-09-24T22:38:06.774Z","2023-09-24T22:40:16.010Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,643393,"Tony Kemp","/api/v1/people/643393","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",89.5,82.7,13,2,0.4218,6.3406,27.9449,-34.4276,-3.713,-1.3155,-0.2401,-0.6938,5.1742,-129.9829,-9.6329,-1.7767,50.0054,5.6845,-6.3368,8.4,8.4,24,2245,346,NA,NA,NA,NA,NA,NA,FALSE,-38.8,-4.4,5.5,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716442,"2023-09-24",3,"2023-09-24T22:38:24.422Z","2023-09-24T22:38:28.340Z",TRUE,"pitch","8a80e64a-0ce3-4fb8-9507-bd69596207da",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.12,1.48,NA,121.42,174.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Tony Kemp strikes out swinging.",0,2,0,73,"bottom",9,"2023-09-24T22:38:06.774Z","2023-09-24T22:40:16.010Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,643393,"Tony Kemp","/api/v1/people/643393","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.3,82.4,5,0.91,0.4206,6.2838,25.6305,-28.4571,-9.9567,2.1609,-0.116,2.3645,7.4685,-129.92,-3.482,-1.7255,50.0022,5.8702,-17.1266,28.8,7.2,24,1569,242,NA,NA,NA,NA,NA,NA,FALSE,-30.7,3.4,16.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716442,"2023-09-24",2,"2023-09-24T22:38:09.096Z","2023-09-24T22:38:12.096Z",TRUE,"pitch","97c819f5-a980-4ace-87cf-5092c23b7d15",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.12,1.48,NA,112.45,187.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Tony Kemp strikes out swinging.",0,2,0,73,"bottom",9,"2023-09-24T22:38:06.774Z","2023-09-24T22:40:16.010Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,643393,"Tony Kemp","/api/v1/people/643393","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.8,82.9,8,0.91,0.4184,6.132,25.8687,-27.8377,-8.7084,2.4934,0.1193,1.9038,7.6804,-130.5887,-4.8693,-1.7195,50.0018,5.8707,-15.1354,25.2,7.2,24,1660,240,NA,NA,NA,NA,NA,NA,FALSE,-30.1,3.7,14.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716442,"2023-09-24",0,"2023-09-24T22:36:53.788Z","2023-09-24T22:37:33.553Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Tony Kemp replaces Carlos Perez.","Offensive Substitution",2,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,643393,"/api/v1/people/643393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","701","73","atBat","Strikeout","strikeout","Tony Kemp strikes out swinging.",0,2,0,73,"bottom",9,"2023-09-24T22:38:06.774Z","2023-09-24T22:40:16.010Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,643393,"Tony Kemp","/api/v1/people/643393","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,542208,"/api/v1/people/542208",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716442,"2023-09-24",1,"2023-09-24T22:37:33.553Z","2023-09-24T22:38:09.096Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",2,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Tony Kemp strikes out swinging.",0,2,0,73,"bottom",9,"2023-09-24T22:38:06.774Z","2023-09-24T22:40:16.010Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,643393,"Tony Kemp","/api/v1/people/643393","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716442,"2023-09-24",2,"2023-09-24T22:36:15.376Z","2023-09-24T22:36:28.224Z",TRUE,"pitch","4efe23d4-11f8-4d41-b515-6b7d75f5fc2b",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,0,NA,NA,3.47,1.68,NA,154.8,169.8,"ground_ball","medium","4",154.37,152.64,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Ryan Noda grounds out, second baseman Andy Ibanez to first baseman Spencer Torkelson. Shea Langeliers to 3rd.",0,2,0,72,"bottom",9,"2023-09-24T22:35:18.621Z","2023-09-24T22:36:28.224Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,676116,"Ryan Noda","/api/v1/people/676116","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.1,83.1,13,0.87,0.4165,6.3175,25.7665,-23.7926,-8.6202,4.7752,-0.9917,2.5548,5.2453,-131.1414,-3.8645,-1.89,50.0033,5.8066,-15.1287,30,6,24,1577,244,77.8,9,93,NA,NA,NA,TRUE,-25.4,8,14.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,669127,"Shea Langeliers","/api/v1/people/669127"
716442,"2023-09-24",0,"2023-09-24T22:35:39.663Z","2023-09-24T22:35:42.663Z",TRUE,"pitch","b1512068-9b3d-493d-83fb-e9743d03431d",1,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",0,1,0,NA,NA,3.47,1.68,NA,94.23,221.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Ryan Noda grounds out, second baseman Andy Ibanez to first baseman Spencer Torkelson. Shea Langeliers to 3rd.",0,2,0,72,"bottom",9,"2023-09-24T22:35:18.621Z","2023-09-24T22:36:28.224Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,676116,"Ryan Noda","/api/v1/people/676116","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88.9,81.5,14,2,0.425,6.3295,28.8166,-32.0325,-1.1363,0.0819,0.5974,0.6572,6.59,-129.2582,-6.4042,-1.8456,50.0024,5.6497,-1.9099,1.2,8.4,24,2201,12,NA,NA,NA,NA,NA,NA,FALSE,-36,-1.2,0.5,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716442,"2023-09-24",1,"2023-09-24T22:35:57.181Z","2023-09-24T22:36:02.181Z",FALSE,"stepoff","819b2515-748f-42d3-b53c-a18bdd228272",NA,"Pitcher Step Off",NA,NA,NA,NA,FALSE,"PSO",NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Ryan Noda grounds out, second baseman Andy Ibanez to first baseman Spencer Torkelson. Shea Langeliers to 3rd.",0,2,0,72,"bottom",9,"2023-09-24T22:35:18.621Z","2023-09-24T22:36:28.224Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,676116,"Ryan Noda","/api/v1/people/676116","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,1,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716442,"2023-09-24",1,"2023-09-24T22:35:00.354Z","2023-09-24T22:35:12.355Z",TRUE,"pitch","385d96bc-cb7d-49da-8fb9-885568889bab",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,0,0,NA,NA,3.28,1.45,NA,132.56,186.36,"line_drive","hard","7",34.21,103.12,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Double","double","Shea Langeliers doubles (19) on a sharp line drive to left fielder Zach McKinstry.",0,2,0,71,"bottom",9,"2023-09-24T22:34:45.545Z","2023-09-24T22:35:12.355Z",TRUE,FALSE,FALSE,FALSE,34,1,0,0,669127,"Shea Langeliers","/api/v1/people/669127","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","RISP",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.1,88.4,7,0.9,0.3914,6.362,29.7117,-20.1188,-10.6002,6.0677,-0.4081,1.9416,7.595,-139.6277,-6.9306,-1.7783,50.0016,5.7672,-21.0516,42,6,24,2063,222,110.6,10,195,NA,NA,NA,FALSE,-19.8,9.8,17.8,NA,NA,NA,NA,NA,FALSE,FALSE,669127,"Shea Langeliers","/api/v1/people/669127",NA,NA,NA,NA,NA,NA
716442,"2023-09-24",0,"2023-09-24T22:34:45.545Z","2023-09-24T22:34:48.599Z",TRUE,"pitch","e1b23768-b542-4cc6-8424-7cd760cbcccc",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.1957,1.3917,NA,55.61,218.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Double","double","Shea Langeliers doubles (19) on a sharp line drive to left fielder Zach McKinstry.",0,2,0,71,"bottom",9,"2023-09-24T22:34:45.545Z","2023-09-24T22:35:12.355Z",TRUE,FALSE,FALSE,FALSE,34,1,0,0,669127,"Shea Langeliers","/api/v1/people/669127","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","RISP",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Detroit Tigers","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.6,80.5,14,2,0.4313,6.3303,27.1768,-31.5105,-3.0922,0.4069,1.6107,0.734,9.0143,-127.2031,-6.2703,-1.5843,50.0037,5.7432,-5.0463,6,8.4,24,2192,344,NA,NA,NA,NA,NA,NA,FALSE,-36.5,-0.6,3.5,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716442,"2023-09-24",5,"2023-09-24T22:32:31.852Z","2023-09-24T22:32:36.133Z",TRUE,"pitch","35f8201b-c9ea-4526-ae06-825a0dba232c",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.58,1.83,NA,129.7,179.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Miguel Cabrera strikes out swinging.",0,2,0,70,"top",9,"2023-09-24T22:30:22.051Z","2023-09-24T22:32:36.133Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,408234,"Miguel Cabrera","/api/v1/people/408234","R","Right",594943,"Zach Neal","/api/v1/people/594943","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Oakland Athletics","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",90.9,83.7,7,0.91,0.4134,6.4158,26.5879,-27.979,-8.7547,2.3599,-0.3331,2.2132,7.385,-132.1752,-2.4685,-2.0177,50.0047,5.2011,-15.585,26.4,7.2,24,2275,222,NA,NA,NA,NA,NA,NA,TRUE,-29,4,14.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
