"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718108,"2023-05-20",3,"2023-05-20T22:08:10.939Z","2023-05-20T22:08:21.752Z",TRUE,"pitch","e85c149d-6d74-49ee-996e-c09519a94d79",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.23,1.56,NA,104.02,162.44,"popup","medium","4",150.67,151.61,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Pop Out","field_out","Akil Baddoo pops out to second baseman Ildemaro Vargas.",0,2,5,65,"top",9,"2023-05-20T22:06:50.171Z","2023-05-20T22:08:21.752Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,668731,"Akil Baddoo","/api/v1/people/668731","L","Left",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Washington Nationals","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.8,90,3,2,0.3839,6.8426,29.927,-16.0916,-9.1574,7.7837,0.3406,2.8273,8.5415,-142.2081,-4.9369,-1.4993,50.0037,5.5928,-18.9223,45.6,4.8,24,1976,223,93.5,68,130,NA,NA,NA,TRUE,-15.1,13.3,15,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718108,"2023-05-20",2,"2023-05-20T22:07:49.904Z","2023-05-20T22:07:56.274Z",TRUE,"pitch","f2a0dd1e-21a9-48c3-b9d7-961741d13977",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.23,1.56,NA,106.47,171.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Pop Out","field_out","Akil Baddoo pops out to second baseman Ildemaro Vargas.",0,2,5,65,"top",9,"2023-05-20T22:06:50.171Z","2023-05-20T22:08:21.752Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,668731,"Akil Baddoo","/api/v1/people/668731","L","Left",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Washington Nationals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.2,88.6,6,2,0.3882,6.7955,33.0605,-13.9537,-7.8005,9.0428,0.2762,2.4841,7.6595,-141.2539,-6.1456,-1.4609,50.0032,5.5902,-15.7175,42,3.6,24,2126,212,NA,NA,NA,NA,NA,NA,FALSE,-13.9,15.2,12.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718108,"2023-05-20",1,"2023-05-20T22:07:31.866Z","2023-05-20T22:07:35.898Z",TRUE,"pitch","627dd238-2e50-4f19-97ec-b7f1842be3f1",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.2262,1.6057,NA,145.87,204.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Pop Out","field_out","Akil Baddoo pops out to second baseman Ildemaro Vargas.",0,2,5,65,"top",9,"2023-05-20T22:06:50.171Z","2023-05-20T22:08:21.752Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,668731,"Akil Baddoo","/api/v1/people/668731","L","Left",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Washington Nationals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.3,90.7,13,2,0.38,6.5727,33.9482,-12.5037,-8.5575,9.3545,-0.7574,1.264,5.9525,-144.1907,-9.7807,-1.7382,50.0022,5.4742,-17.9944,48,4.8,24,2263,222,NA,NA,NA,NA,NA,NA,FALSE,-12.8,15.1,14.3,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718108,"2023-05-20",0,"2023-05-20T22:07:13.668Z","2023-05-20T22:07:16.991Z",TRUE,"pitch","18f9cb72-2c90-48bd-9a09-c2d457e64b9f",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.23,1.56,NA,150.64,193.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Pop Out","field_out","Akil Baddoo pops out to second baseman Ildemaro Vargas.",0,2,5,65,"top",9,"2023-05-20T22:06:50.171Z","2023-05-20T22:08:21.752Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,668731,"Akil Baddoo","/api/v1/people/668731","L","Left",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Washington Nationals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.3,88.8,13,2,0.3877,6.6436,33.0885,-15.6862,-8.0667,8.1629,-0.8826,1.6788,5.091,-141.4124,-7.8101,-1.6607,50.0037,5.4885,-16.2927,40.8,4.8,24,2027,225,NA,NA,NA,NA,NA,NA,FALSE,-15.7,13.3,13.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718108,"2023-05-20",4,"2023-05-20T22:06:37.878Z","2023-05-20T22:06:44.901Z",TRUE,"pitch","5766875e-9bc7-43a4-8d51-a22c2215af59",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,1,NA,NA,3.1562,1.4889,NA,103.66,181.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Nick Maton called out on strikes.",0,2,5,64,"top",9,"2023-05-20T22:05:19.581Z","2023-05-20T22:06:44.901Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,665155,"Nick Maton","/api/v1/people/665155","L","Left",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Washington Nationals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.6,89.6,6,2,0.3834,6.6724,34.7089,-13.6117,-7.7945,8.9885,0.35,2.1225,8.345,-143.1774,-7.1504,-1.5972,50.0042,5.5137,-16.0983,43.2,3.6,24,2223,216,NA,NA,NA,NA,NA,NA,TRUE,-13.4,14.9,12.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718108,"2023-05-20",3,"2023-05-20T22:06:18.917Z","2023-05-20T22:06:23.250Z",TRUE,"pitch","129b3e06-f79e-40b4-8697-3252b969ce5f",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.3327,1.5551,NA,87.1,189.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Nick Maton called out on strikes.",0,2,5,64,"top",9,"2023-05-20T22:05:19.581Z","2023-05-20T22:06:44.901Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,665155,"Nick Maton","/api/v1/people/665155","L","Left",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Washington Nationals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.1,89.6,9,2,0.3846,6.7577,32.703,-13.6025,-8.1823,9.0423,0.7845,1.8079,10.0278,-142.4067,-7.9095,-1.7193,50.0036,5.4819,-16.807,43.2,3.6,24,2053,222,NA,NA,NA,NA,NA,NA,FALSE,-13.7,14.9,12.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718108,"2023-05-20",2,"2023-05-20T22:05:40.594Z","2023-05-20T22:05:44.718Z",TRUE,"pitch","9120e9ce-3aee-46ae-ab9d-a24c6de162c2",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.16,1.52,NA,147.38,146.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Nick Maton called out on strikes.",0,2,5,64,"top",9,"2023-05-20T22:05:19.581Z","2023-05-20T22:06:44.901Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,665155,"Nick Maton","/api/v1/people/665155","L","Left",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Washington Nationals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98,89.6,11,2,0.3838,6.4976,32.3113,-14.4385,-6.834,8.5975,-0.7969,3.4254,4.7458,-142.6208,-3.7836,-1.5932,50.0058,5.6779,-14.1035,40.8,3.6,24,2041,220,NA,NA,NA,NA,NA,NA,FALSE,-13.4,15,11.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718108,"2023-05-20",1,"2023-05-20T22:05:21.924Z","2023-05-20T22:05:27.336Z",TRUE,"pitch","57bdd961-af75-49a7-a9ea-2f07ccde2a95",1,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,1,1,NA,NA,3.16,1.52,NA,130.89,143.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Nick Maton called out on strikes.",0,2,5,64,"top",9,"2023-05-20T22:05:19.581Z","2023-05-20T22:06:44.901Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,665155,"Nick Maton","/api/v1/people/665155","L","Left",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Washington Nationals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.3,89,11,2,0.3867,6.7526,31.8069,-16.7564,-7.501,7.5837,-0.3644,3.535,6.6753,-141.5471,-2.923,-1.7768,50.0005,5.6517,-15.2446,38.4,4.8,24,1990,222,NA,NA,NA,NA,NA,NA,FALSE,-15.5,13.3,12.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718108,"2023-05-20",0,"2023-05-20T22:04:59.206Z","2023-05-20T22:05:21.924Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Nick Maton replaces Jonathan Schoop.","Offensive Substitution",2,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,665155,"/api/v1/people/665155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","601","64","atBat","Strikeout","strikeout","Nick Maton called out on strikes.",0,2,5,64,"top",9,"2023-05-20T22:05:19.581Z","2023-05-20T22:06:44.901Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,665155,"Nick Maton","/api/v1/people/665155","L","Left",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Washington Nationals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,570731,"/api/v1/people/570731",NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718108,"2023-05-20",2,"2023-05-20T22:04:42.178Z","2023-05-20T22:04:48.837Z",TRUE,"pitch","c5fdf403-e451-4628-b51d-beb5d2f7d31c",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,0,NA,NA,2.91,1.38,NA,97.34,183.36,"line_drive","medium","3",154.15,160.87,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Lineout","field_out","Andy Ibanez lines out to first baseman Dominic Smith.",0,2,5,63,"top",9,"2023-05-20T22:04:19.593Z","2023-05-20T22:04:48.837Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,628451,"Andy Ibáñez","/api/v1/people/628451","R","Right",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_RHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Washington Nationals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.3,89.5,6,2,0.3842,6.6881,34.1151,-13.8501,-7.6885,8.9073,0.5158,2.0525,8.0673,-142.7917,-7.6711,-1.3526,50.0011,5.6527,-15.8122,42,3.6,24,2157,214,104.6,5,124,NA,NA,NA,TRUE,-13.8,14.6,12.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718108,"2023-05-20",1,"2023-05-20T22:04:22.001Z","2023-05-20T22:04:26.738Z",TRUE,"pitch","d2241587-9449-49e5-9f2f-775b58c7d609",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,0,NA,NA,2.91,1.38,NA,122.85,161.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Lineout","field_out","Andy Ibanez lines out to first baseman Dominic Smith.",0,2,5,63,"top",9,"2023-05-20T22:04:19.593Z","2023-05-20T22:04:48.837Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,628451,"Andy Ibáñez","/api/v1/people/628451","R","Right",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_RHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Washington Nationals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.8,88.7,2,2,0.3886,6.7985,31.1644,-15.7826,-7.1057,8.1435,-0.1534,2.8665,6.8337,-140.7946,-5.0291,-1.6857,50.003,5.6929,-14.3043,37.2,4.8,24,2021,219,NA,NA,NA,NA,NA,NA,FALSE,-15.2,13.9,11.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718108,"2023-05-20",0,"2023-05-20T22:03:00.637Z","2023-05-20T22:04:22.001Z",FALSE,"action",NA,NA,"Pitching Change: Kyle Finnegan replaces Hunter Harvey.","Pitching Substitution",2,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,640448,"/api/v1/people/640448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"63","atBat","Lineout","field_out","Andy Ibanez lines out to first baseman Dominic Smith.",0,2,5,63,"top",9,"2023-05-20T22:04:19.593Z","2023-05-20T22:04:48.837Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,628451,"Andy Ibáñez","/api/v1/people/628451","R","Right",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_RHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Washington Nationals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718108,"2023-05-20",0,"2023-05-20T22:01:15.301Z","2023-05-20T22:01:22.583Z",TRUE,"pitch","f6a45eb2-68f7-4630-8da8-058f8256ae17",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.39,1.71,NA,115.8,157.98,"line_drive","medium","9",197.25,102.91,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Lineout","field_out","Stone Garrett lines out to right fielder Matt Vierling.",0,2,5,62,"bottom",8,"2023-05-20T22:01:12.411Z","2023-05-20T22:01:22.583Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,656448,"Stone Garrett","/api/v1/people/656448","R","Right",676684,"Will Vest","/api/v1/people/676684","R","Right","vs_RHP","vs_RHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals","Detroit Tigers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.4,86.1,2,0.89,0.3994,6.1754,30.8051,-16.3217,-6.8014,8.3266,0.0314,2.9924,8.2547,-137.2177,-4.3606,-2.1344,50.0038,5.7167,-12.9508,32.4,4.8,24,2013,221,98.9,16,297,NA,NA,NA,TRUE,-16.4,14.3,10.6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718108,"2023-05-20",3,"2023-05-20T22:00:25.564Z","2023-05-20T22:00:37.046Z",TRUE,"pitch","69a2db60-409e-4526-84c9-ab77168789af",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,2,2,NA,NA,3.33,1.65,NA,94.48,162.66,"ground_ball","medium","7",58.8,147.04,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Double","double","Jeimer Candelario doubles (13) on a ground ball to left fielder Zach McKinstry. Lane Thomas scores.",1,2,5,61,"bottom",8,"2023-05-20T21:59:18.312Z","2023-05-20T22:00:37.046Z",TRUE,TRUE,FALSE,FALSE,71,1,2,2,600869,"Jeimer Candelario","/api/v1/people/600869","L","Left",676684,"Will Vest","/api/v1/people/676684","R","Right","vs_RHP","vs_LHB","RISP",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals","Detroit Tigers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,89,3,0.9,0.3884,6.3723,29.4619,-16.3477,-5.0675,7.8439,0.5909,2.8193,9.2962,-140.5724,-4.8317,-2.0885,50.0019,5.6088,-10.224,25.2,3.6,24,1872,226,74.3,6,92,NA,NA,NA,FALSE,-15.7,13.4,7.4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,600869,"Jeimer Candelario","/api/v1/people/600869",NA,NA,NA
718108,"2023-05-20",2,"2023-05-20T22:00:04.912Z","2023-05-20T22:00:09.439Z",TRUE,"pitch","3d9f580b-c711-4de5-b0cf-3cf29456cb73",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.33,1.65,NA,96.16,169.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Double","double","Jeimer Candelario doubles (13) on a ground ball to left fielder Zach McKinstry. Lane Thomas scores.",1,2,5,61,"bottom",8,"2023-05-20T21:59:18.312Z","2023-05-20T22:00:37.046Z",TRUE,TRUE,FALSE,FALSE,71,1,2,2,600869,"Jeimer Candelario","/api/v1/people/600869","L","Left",676684,"Will Vest","/api/v1/people/676684","R","Right","vs_RHP","vs_LHB","RISP",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals","Detroit Tigers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.8,88.3,6,0.91,0.39,6.1795,32.1815,-15.8177,-8.0694,8.1896,0.5467,2.5544,10.2309,-140.505,-5.5654,-2.0954,50.003,5.5908,-16.1164,38.4,4.8,24,2184,224,NA,NA,NA,NA,NA,NA,FALSE,-15.6,13.8,12.5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718108,"2023-05-20",1,"2023-05-20T21:59:45.356Z","2023-05-20T21:59:49.318Z",TRUE,"pitch","fcd10fe6-050e-41ec-bee4-1d63170ea137",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.33,1.65,NA,88.91,197.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Double","double","Jeimer Candelario doubles (13) on a ground ball to left fielder Zach McKinstry. Lane Thomas scores.",1,2,5,61,"bottom",8,"2023-05-20T21:59:18.312Z","2023-05-20T22:00:37.046Z",TRUE,TRUE,FALSE,FALSE,71,1,2,2,600869,"Jeimer Candelario","/api/v1/people/600869","L","Left",676684,"Will Vest","/api/v1/people/676684","R","Right","vs_RHP","vs_LHB","RISP",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals","Detroit Tigers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.5,79.9,14,0.9,0.4351,6.3089,25.3396,-35.5889,1.929,-2.1227,0.737,1.5128,7.2224,-125.8521,-2.855,-2.4197,50.0053,5.542,3.0973,7.2,9.6,24,2276,22,NA,NA,NA,NA,NA,NA,FALSE,-40.8,-4.3,-5.2,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718108,"2023-05-20",0,"2023-05-20T21:59:29.619Z","2023-05-20T21:59:33.417Z",TRUE,"pitch","3836a409-5d67-41d2-9bcd-f9572537db3b",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3262,1.559,NA,165.31,173.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Double","double","Jeimer Candelario doubles (13) on a ground ball to left fielder Zach McKinstry. Lane Thomas scores.",1,2,5,61,"bottom",8,"2023-05-20T21:59:18.312Z","2023-05-20T22:00:37.046Z",TRUE,TRUE,FALSE,FALSE,71,1,2,2,600869,"Jeimer Candelario","/api/v1/people/600869","L","Left",676684,"Will Vest","/api/v1/people/676684","R","Right","vs_RHP","vs_LHB","RISP",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals","Detroit Tigers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.5,80,13,0.9,0.4338,6.1241,24.4145,-35.229,1.6497,-1.8945,-1.2675,2.4245,2.7714,-126.0173,-1.0326,-2.5936,50.0002,5.6729,2.6653,4.8,8.4,24,2157,20,NA,NA,NA,NA,NA,NA,FALSE,-39.7,-3.5,-3.6,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
