"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType"
717704,"2023-06-18",0,"2023-06-18T22:32:12.120Z","2023-06-18T22:32:27.130Z",TRUE,"pitch","3c158034-3ac8-4bd6-9486-d7a11a854825",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.08,1.46,NA,119.82,194.98,"fly_ball","medium","7",79.01,97.43,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Flyout","field_out","Andrew Vaughn flies out to left fielder Jarred Kelenic.",0,1,5,65,"top",9,"2023-06-18T22:32:08.056Z","2023-06-18T22:32:27.130Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,683734,"Andrew Vaughn","/api/v1/people/683734","R","Right",686654,"Ty Adcock","/api/v1/people/686654","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Seattle Mariners","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.4,78.8,8,0.95,0.4405,6.6048,25.0028,-32.071,2.7259,0.0676,-0.0741,1.6222,5.1331,-124.3638,-3.8123,-2.5193,50.0041,5.8359,4.2685,8.4,8.4,24,2189,87,89.8,47,280,NA,NA,NA,TRUE,-38,-0.5,-6.1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717704,"2023-06-18",3,"2023-06-18T22:31:30.667Z","2023-06-18T22:31:38.327Z",TRUE,"pitch","a7261e30-8a00-4f12-b060-373d4eacb74d",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,1,2,NA,NA,3.21,1.51,NA,134.42,195.02,"ground_ball","medium","4",143.4,150.57,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Single","single","Yasmani Grandal singles on a ground ball to second baseman Kolten Wong. Luis Robert Jr. to 3rd.",0,1,5,64,"top",9,"2023-06-18T22:30:35.744Z","2023-06-18T22:31:38.327Z",TRUE,FALSE,FALSE,FALSE,33,2,1,2,518735,"Yasmani Grandal","/api/v1/people/518735","L","Left",686654,"Ty Adcock","/api/v1/people/686654","R","Right","vs_RHP","vs_LHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Seattle Mariners","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.4,79,7,0.95,0.4399,6.6797,24.5325,-33.0906,3.0796,-0.5836,-0.4569,1.6207,4.0671,-124.4163,-3.7241,-2.5117,50.0029,5.874,4.8363,9.6,8.4,24,2025,77,92.5,1,44,NA,NA,NA,FALSE,-39,-1.7,-6.5,NA,NA,NA,FALSE,TRUE,518735,"Yasmani Grandal","/api/v1/people/518735",NA,NA,NA,673357,"Luis Robert Jr.","/api/v1/people/673357",NA,NA,NA
717704,"2023-06-18",2,"2023-06-18T22:31:10.489Z","2023-06-18T22:31:16.520Z",TRUE,"pitch","7f7cfa5e-ab65-47c6-9972-fc9a6a8b43b7",3,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,1,2,NA,NA,3.23,1.5083,NA,74.58,223.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Single","single","Yasmani Grandal singles on a ground ball to second baseman Kolten Wong. Luis Robert Jr. to 3rd.",0,1,5,64,"top",9,"2023-06-18T22:30:35.744Z","2023-06-18T22:31:38.327Z",TRUE,FALSE,FALSE,FALSE,33,2,1,2,518735,"Yasmani Grandal","/api/v1/people/518735","L","Left",686654,"Ty Adcock","/api/v1/people/686654","R","Right","vs_RHP","vs_LHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Seattle Mariners","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.1,79.7,14,0.93,0.4378,6.6552,25.1389,-32.939,2.1671,-0.4796,1.1129,0.5599,7.719,-125.0865,-6.2979,-2.2942,50.005,5.8097,3.4353,8.4,8.4,24,2104,90,NA,NA,NA,NA,NA,NA,FALSE,-39.1,-2.2,-5.6,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717704,"2023-06-18",1,"2023-06-18T22:30:53.251Z","2023-06-18T22:31:05.489Z",TRUE,"pitch","9aa2cc61-98d6-41d8-b074-bae1d7888b0c",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.2022,1.6684,NA,128.91,202.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Single","single","Yasmani Grandal singles on a ground ball to second baseman Kolten Wong. Luis Robert Jr. to 3rd.",0,1,5,64,"top",9,"2023-06-18T22:30:35.744Z","2023-06-18T22:31:38.327Z",TRUE,FALSE,FALSE,FALSE,33,2,1,2,518735,"Yasmani Grandal","/api/v1/people/518735","L","Left",686654,"Ty Adcock","/api/v1/people/686654","R","Right","vs_RHP","vs_LHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Seattle Mariners","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.2,79.5,13,0.91,0.4368,6.6109,25.9395,-34.4574,0.6312,-1.4341,-0.3124,1.3453,5.1007,-125.5053,-4.1859,-2.455,50.0037,5.848,1.0039,3.6,8.4,24,2029,90,NA,NA,NA,NA,NA,NA,FALSE,-40.2,-3.4,-2.4,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717704,"2023-06-18",0,"2023-06-18T22:30:35.744Z","2023-06-18T22:30:48.251Z",TRUE,"pitch","f66d130c-bb33-46f5-9797-2e67a2334f24",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.45,1.67,NA,128.34,195.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Single","single","Yasmani Grandal singles on a ground ball to second baseman Kolten Wong. Luis Robert Jr. to 3rd.",0,1,5,64,"top",9,"2023-06-18T22:30:35.744Z","2023-06-18T22:31:38.327Z",TRUE,FALSE,FALSE,FALSE,33,2,1,2,518735,"Yasmani Grandal","/api/v1/people/518735","L","Left",686654,"Ty Adcock","/api/v1/people/686654","R","Right","vs_RHP","vs_LHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Seattle Mariners","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.2,79.6,7,0.93,0.4364,6.5041,25.234,-32.568,1.405,-0.2453,-0.2976,1.6064,5.2683,-125.4845,-3.8214,-2.6063,50.0041,5.8004,2.2418,6,8.4,24,2069,95,NA,NA,NA,NA,NA,NA,FALSE,-37.8,-1.1,-3.7,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717704,"2023-06-18",0,"2023-06-18T22:29:59.642Z","2023-06-18T22:30:07.397Z",TRUE,"pitch","58dd3265-4bfe-47d4-bc6b-e8731aa31c67",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.71,1.76,NA,113.51,199.54,"ground_ball","medium","1",129.71,184.53,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Groundout","field_out","Eloy Jimenez grounds out, pitcher Ty Adcock to first baseman Ty France.",0,1,5,63,"top",9,"2023-06-18T22:29:59.642Z","2023-06-18T22:30:07.397Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,650391,"Eloy Jiménez","/api/v1/people/650391","R","Right",686654,"Ty Adcock","/api/v1/people/686654","R","Right","vs_RHP","vs_RHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Seattle Mariners","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.1,77.7,14,0.94,0.4476,6.5019,23.9889,-32.0948,1.0233,0.0533,0.0914,1.4533,5.5681,-122.3426,-3.9207,-2.3463,50.0031,5.8254,1.5521,4.8,8.4,24,2005,88,95.4,-15,7,NA,NA,NA,TRUE,-39.2,-0.6,-3.1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,673357,"Luis Robert Jr.","/api/v1/people/673357",NA,NA,NA,NA,NA,NA
717704,"2023-06-18",1,"2023-06-18T22:28:15.980Z","2023-06-18T22:28:29.580Z",TRUE,"pitch","ffa683fc-310e-4418-bf6e-458e9ed8cbee",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,1,1,NA,NA,3.71,1.76,NA,132.53,182.85,"fly_ball","hard","9",182.65,53.73,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Double","double","Umpire reviewed (home run), call on the field was upheld: Luis Robert Jr. doubles (20) on a sharp fly ball to right fielder Teoscar Hernandez.",0,1,5,62,"top",9,"2023-06-18T22:28:01.942Z","2023-06-18T22:28:29.580Z",TRUE,FALSE,TRUE,FALSE,34,0,1,1,673357,"Luis Robert Jr.","/api/v1/people/673357","R","Right",686654,"Ty Adcock","/api/v1/people/686654","R","Right","vs_RHP","vs_RHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Seattle Mariners","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.9,88.1,7,0.85,0.3921,6.6885,30.0269,-15.4906,-2.8792,8.4311,-0.4075,2.0713,5.9296,-139.4521,-7.4119,-2.1829,50.0007,5.7765,-5.6964,14.4,3.6,24,1829,212,104.7,24,386,NA,NA,NA,FALSE,-15.7,14,4.1,NA,NA,NA,FALSE,TRUE,NA,NA,NA,673357,"Luis Robert Jr.","/api/v1/people/673357",NA,NA,NA,FALSE,FALSE,"NH"
717704,"2023-06-18",0,"2023-06-18T22:28:03.637Z","2023-06-18T22:28:07.470Z",TRUE,"pitch","cf155ec4-1702-4d6a-8eea-c6fa63437a16",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.841,1.883,NA,111.23,144.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Double","double","Umpire reviewed (home run), call on the field was upheld: Luis Robert Jr. doubles (20) on a sharp fly ball to right fielder Teoscar Hernandez.",0,1,5,62,"top",9,"2023-06-18T22:28:01.942Z","2023-06-18T22:28:29.580Z",TRUE,FALSE,TRUE,FALSE,34,0,1,1,673357,"Luis Robert Jr.","/api/v1/people/673357","R","Right",686654,"Ty Adcock","/api/v1/people/686654","R","Right","vs_RHP","vs_RHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Seattle Mariners","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84,76.8,2,0.96,0.449,6.6074,25.2639,-32.9876,2.8969,-0.5446,0.1514,3.4816,5.3066,-122.2275,0.9979,-2.4284,50.0004,5.9122,4.3581,9.6,8.4,24,1851,90,NA,NA,NA,NA,NA,NA,FALSE,-39.4,-0.5,-6.6,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717704,"2023-06-18",1,"2023-06-18T22:27:25.712Z","2023-06-18T22:27:31.507Z",TRUE,"pitch","5e9d538c-b26c-47eb-ae58-ea7600d1a82f",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,0,NA,NA,3.371,1.535,NA,140.93,159.28,"bunt_grounder","medium","5",116.58,188.01,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Bunt Groundout","field_out","Zach Remillard bunt grounds out, third baseman Eugenio Suarez to first baseman Ty France.",0,1,5,61,"top",9,"2023-06-18T22:27:23.362Z","2023-06-18T22:27:31.507Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,621545,"Zach Remillard","/api/v1/people/621545","R","Right",686654,"Ty Adcock","/api/v1/people/686654","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94,86.2,1,0.86,0.3999,6.5707,29.0522,-14.132,-3.209,9.4874,-0.6278,2.9445,5.6712,-136.7646,-5.0892,-2.3076,50.0039,5.7925,-6.1038,18,3.6,24,2034,206,35.1,-37,6,NA,NA,NA,TRUE,-14.5,16.3,4.7,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717704,"2023-06-18",0,"2023-06-18T22:25:52.330Z","2023-06-18T22:27:25.712Z",FALSE,"action",NA,NA,"Pitching Change: Ty Adcock replaces Justin Topa.","Pitching Substitution",1,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,686654,"/api/v1/people/686654",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"61","atBat","Bunt Groundout","field_out","Zach Remillard bunt grounds out, third baseman Eugenio Suarez to first baseman Ty France.",0,1,5,61,"top",9,"2023-06-18T22:27:23.362Z","2023-06-18T22:27:31.507Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,621545,"Zach Remillard","/api/v1/people/621545","R","Right",686654,"Ty Adcock","/api/v1/people/686654","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717704,"2023-06-18",4,"2023-06-18T22:23:30.237Z","2023-06-18T22:23:38.458Z",TRUE,"pitch","6a5fe36a-9451-4daa-bb4b-43197f7c2f73",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,3,2,NA,NA,3.5633,1.6184,NA,104.54,196.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Eugenio Suarez called out on strikes.",0,1,5,60,"bottom",8,"2023-06-18T22:22:18.093Z","2023-06-18T22:23:38.458Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,553993,"Eugenio Suárez","/api/v1/people/553993","R","Right",625643,"Reynaldo López","/api/v1/people/625643","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Chicago White Sox","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.8,91.3,9,0.91,0.3777,7.0225,33.2099,-10.0275,-5.4694,10.3939,0.3268,1.5743,7.6464,-144.8996,-9.2448,-1.6332,50.0065,5.4154,-11.6575,39.6,2.4,24,2186,209,NA,NA,NA,NA,NA,NA,TRUE,-10.4,17.2,8.4,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717704,"2023-06-18",3,"2023-06-18T22:23:14.128Z","2023-06-18T22:23:18.079Z",TRUE,"pitch","6baf76a9-b11e-4f40-bf38-4e4182e3e5f6",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.48,1.6184,NA,66.39,198.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Eugenio Suarez called out on strikes.",0,1,5,60,"bottom",8,"2023-06-18T22:22:18.093Z","2023-06-18T22:23:38.458Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,553993,"Eugenio Suárez","/api/v1/people/553993","R","Right",625643,"Reynaldo López","/api/v1/people/625643","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Chicago White Sox","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.3,81.9,14,0.9,0.4252,6.5899,24.6544,-30.4573,2.5984,1.0211,1.3276,1.4983,7.0151,-128.4333,-4.2043,-1.7684,50.0042,5.5046,4.3742,9.6,7.2,24,2351,100,NA,NA,NA,NA,NA,NA,FALSE,-33.7,1.2,-6.1,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717704,"2023-06-18",2,"2023-06-18T22:22:54.134Z","2023-06-18T22:23:00.326Z",TRUE,"pitch","94cb8574-21a9-461c-8959-f74accc12f23",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,2,NA,NA,3.45,1.62,NA,75.39,207.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Eugenio Suarez called out on strikes.",0,1,5,60,"bottom",8,"2023-06-18T22:22:18.093Z","2023-06-18T22:23:38.458Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,553993,"Eugenio Suárez","/api/v1/people/553993","R","Right",625643,"Reynaldo López","/api/v1/people/625643","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Chicago White Sox","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.5,82,14,0.9,0.4243,6.8661,25.3763,-26.9641,2.2397,3.0868,1.0916,1.1539,6.466,-128.8094,-5.7596,-1.7368,50.0053,5.4891,3.7849,9.6,7.2,24,2305,132,NA,NA,NA,NA,NA,NA,FALSE,-30.2,4.6,-5.4,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717704,"2023-06-18",1,"2023-06-18T22:22:35.129Z","2023-06-18T22:22:39.282Z",TRUE,"pitch","2061c028-b5b5-4037-b84b-4fccbe0b18aa",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.45,1.62,NA,116.98,157.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Eugenio Suarez called out on strikes.",0,1,5,60,"bottom",8,"2023-06-18T22:22:18.093Z","2023-06-18T22:23:38.458Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,553993,"Eugenio Suárez","/api/v1/people/553993","R","Right",625643,"Reynaldo López","/api/v1/people/625643","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Chicago White Sox","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.6,89.9,2,0.9,0.3822,6.7504,33.3483,-10.547,-6.9312,10.4035,5e-04,3.0143,7.0922,-143.3348,-5.1873,-1.6062,50.0071,5.5071,-14.4156,48,3.6,24,2098,209,NA,NA,NA,NA,NA,NA,FALSE,-10.3,18,11.2,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717704,"2023-06-18",0,"2023-06-18T22:22:19.902Z","2023-06-18T22:22:24.008Z",TRUE,"pitch","1b15223c-b272-4f34-96ba-d1da9c4179ce",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.6466,1.7442,NA,143.79,128.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Eugenio Suarez called out on strikes.",0,1,5,60,"bottom",8,"2023-06-18T22:22:18.093Z","2023-06-18T22:23:38.458Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,553993,"Eugenio Suárez","/api/v1/people/553993","R","Right",625643,"Reynaldo López","/api/v1/people/625643","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Chicago White Sox","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.6,88.9,11,0.9,0.3859,6.502,33.2415,-9.7092,-5.8616,11.0176,-0.7027,4.0693,4.773,-142.0662,-2.8118,-1.6449,50.0065,5.6912,-11.9567,46.8,2.4,24,2190,212,NA,NA,NA,NA,NA,NA,FALSE,-9.2,19.6,9.6,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717704,"2023-06-18",2,"2023-06-18T22:21:22.393Z","2023-06-18T22:21:37.782Z",TRUE,"pitch","86316371-79e6-4e9f-ad6e-9c314518bf02",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,0,2,NA,NA,3.56,1.66,NA,140.06,191.78,"line_drive","hard","8",78,58.81,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Triple","triple","Jarred Kelenic triples (2) on a sharp line drive to center fielder Luis Robert Jr. J.P. Crawford scores. Ty France scores. Teoscar Hernandez scores.",3,1,5,59,"bottom",8,"2023-06-18T22:21:02.564Z","2023-06-18T22:21:37.782Z",TRUE,TRUE,FALSE,FALSE,35,1,0,2,672284,"Jarred Kelenic","/api/v1/people/672284","L","Left",625643,"Reynaldo López","/api/v1/people/625643","R","Right","vs_RHP","vs_LHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Chicago White Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.9,89.8,7,0.9,0.3843,6.5451,31.5309,-11.6359,-6.3669,9.9741,-0.605,1.7406,5.6379,-142.3202,-8.4888,-1.7809,50.0004,5.4919,-13.1077,40.8,3.6,24,2057,212,107.8,10,234,NA,NA,NA,FALSE,-11.9,16.6,10.4,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,672284,"Jarred Kelenic","/api/v1/people/672284",NA,NA,NA
