"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isSubstitution","isBaseRunningPlay","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717289,"2023-07-23",2,"2023-07-23T20:26:26.096Z","2023-07-23T20:26:33.597Z",TRUE,"pitch","c573a58d-acf9-4de9-a49c-361e552a1831",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,1,NA,NA,3.53,1.68,NA,82.59,154.17,"ground_ball","medium","6",111.06,155.53,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Grounded Into DP","grounded_into_double_play","Lourdes Gurriel Jr. grounds into a double play, shortstop Matt McLain to second baseman Jonathan India to first baseman Spencer Steer. Christian Walker out at 2nd. Lourdes Gurriel Jr. out at 1st.",0,3,7,75,"top",9,"2023-07-23T20:25:38.827Z","2023-07-23T20:26:33.597Z",TRUE,FALSE,FALSE,TRUE,24,1,0,3,666971,"Lourdes Gurriel Jr.","/api/v1/people/666971","R","Right",608371,"Lucas Sims","/api/v1/people/608371","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.6,86.5,12,0.88,0.4003,5.7435,26.9321,-14.6918,-1.932,9.1965,0.9028,3.1337,7.315,-136.2843,-3.9872,-1.5526,50.0065,5.615,-3.6753,8.4,3.6,24,2565,204,97.4,4,92,NA,NA,NA,TRUE,-14.8,16.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717289,"2023-07-23",0,"2023-07-23T20:25:40.977Z","2023-07-23T20:25:45.538Z",TRUE,"pitch","6e0062be-42b4-46a1-869f-f88ce278371f",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.6165,1.6795,NA,137.22,112.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Grounded Into DP","grounded_into_double_play","Lourdes Gurriel Jr. grounds into a double play, shortstop Matt McLain to second baseman Jonathan India to first baseman Spencer Steer. Christian Walker out at 2nd. Lourdes Gurriel Jr. out at 1st.",0,3,7,75,"top",9,"2023-07-23T20:25:38.827Z","2023-07-23T20:26:33.597Z",TRUE,FALSE,FALSE,TRUE,24,1,0,3,666971,"Lourdes Gurriel Jr.","/api/v1/people/666971","R","Right",608371,"Lucas Sims","/api/v1/people/608371","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.9,86.5,11,0.89,0.3988,5.7534,27.2703,-15.2753,-3.1708,8.824,-0.5305,4.6872,3.9339,-136.8097,-0.2857,-1.5682,50.0029,5.8307,-6.0729,19.2,3.6,24,2774,202,NA,NA,NA,NA,NA,NA,FALSE,-14.5,16.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717289,"2023-07-23",1,"2023-07-23T20:25:48.821Z","2023-07-23T20:26:26.096Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",3,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"75","atBat","Grounded Into DP","grounded_into_double_play","Lourdes Gurriel Jr. grounds into a double play, shortstop Matt McLain to second baseman Jonathan India to first baseman Spencer Steer. Christian Walker out at 2nd. Lourdes Gurriel Jr. out at 1st.",0,3,7,75,"top",9,"2023-07-23T20:25:38.827Z","2023-07-23T20:26:33.597Z",TRUE,FALSE,FALSE,TRUE,24,1,0,3,666971,"Lourdes Gurriel Jr.","/api/v1/people/666971","R","Right",608371,"Lucas Sims","/api/v1/people/608371","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717289,"2023-07-23",6,"2023-07-23T20:25:05.484Z","2023-07-23T20:25:12.916Z",TRUE,"pitch","43829832-6bc6-4014-9b82-bf5d8452ec65",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,1,1,NA,NA,3.4817,1.6095,NA,36.61,195.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Walk","walk","Christian Walker walks. Ketel Marte to 2nd.",0,3,7,74,"top",9,"2023-07-23T20:23:40.204Z","2023-07-23T20:25:12.916Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,572233,"Christian Walker","/api/v1/people/572233","R","Right",608371,"Lucas Sims","/api/v1/people/608371","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.3,79.5,14,2,0.4389,5.9755,21.469,-24.1404,2.9295,5.0749,2.1091,1.6203,7.2963,-124.104,-4.6331,-1.2326,50.0022,5.487,4.6335,13.2,6,24,3008,69,NA,NA,NA,NA,NA,NA,FALSE,-28.7,8.5,-6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,572233,"Christian Walker","/api/v1/people/572233",606466,"Ketel Marte","/api/v1/people/606466",672695,"Geraldo Perdomo","/api/v1/people/672695"
717289,"2023-07-23",5,"2023-07-23T20:24:43.077Z","2023-07-23T20:24:47.713Z",TRUE,"pitch","872d0b27-4d78-4393-a3fe-728a4df53850",4,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",3,1,1,NA,NA,3.4007,1.5595,NA,53.94,218.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Walk","walk","Christian Walker walks. Ketel Marte to 2nd.",0,3,7,74,"top",9,"2023-07-23T20:23:40.204Z","2023-07-23T20:25:12.916Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,572233,"Christian Walker","/api/v1/people/572233","R","Right",608371,"Lucas Sims","/api/v1/people/608371","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.7,78.4,14,2,0.4443,5.7337,24.2634,-27.8574,6.8536,2.8044,1.6544,0.759,4.8862,-123.2424,-5.8085,-1.2437,50.0035,5.4963,10.5532,21.6,8.4,24,2995,61,NA,NA,NA,NA,NA,NA,FALSE,-34.1,4,-13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717289,"2023-07-23",4,"2023-07-23T20:24:21.342Z","2023-07-23T20:24:26.461Z",TRUE,"pitch","9a15bf6d-2662-4910-a5e4-b7bfabd8a34c",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,1,1,NA,NA,3.36,1.56,NA,90.31,171.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Walk","walk","Christian Walker walks. Ketel Marte to 2nd.",0,3,7,74,"top",9,"2023-07-23T20:23:40.204Z","2023-07-23T20:25:12.916Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,572233,"Christian Walker","/api/v1/people/572233","R","Right",608371,"Lucas Sims","/api/v1/people/608371","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.6,86,6,0.9,0.4015,5.9088,28.1771,-12.3561,-5.9909,10.5002,0.7001,2.5046,6.2025,-136.0967,-6.1314,-0.8235,50.0035,5.6326,-11.3076,36,3.6,24,2786,206,NA,NA,NA,NA,NA,NA,FALSE,-13.1,18,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717289,"2023-07-23",3,"2023-07-23T20:24:00.341Z","2023-07-23T20:24:04.561Z",TRUE,"pitch","4633a88c-642a-4aef-a127-d9a1e5468f03",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.4007,1.5546,NA,67.32,194.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Walk","walk","Christian Walker walks. Ketel Marte to 2nd.",0,3,7,74,"top",9,"2023-07-23T20:23:40.204Z","2023-07-23T20:25:12.916Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,572233,"Christian Walker","/api/v1/people/572233","R","Right",608371,"Lucas Sims","/api/v1/people/608371","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.6,86.3,14,0.9,0.4016,5.9241,27.1269,-11.656,-6.3835,10.8677,1.3033,1.645,9.1948,-135.8855,-8.4712,-1.2801,50.004,5.5941,-12.0535,37.2,3.6,24,2826,209,NA,NA,NA,NA,NA,NA,FALSE,-13,18.2,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717289,"2023-07-23",2,"2023-07-23T20:23:42.557Z","2023-07-23T20:23:47.168Z",TRUE,"pitch","bd3b2f28-0b99-42eb-b1c1-010d3bf7ab88",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.5087,1.637,NA,175.72,162.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Walk","walk","Christian Walker walks. Ketel Marte to 2nd.",0,3,7,74,"top",9,"2023-07-23T20:23:40.204Z","2023-07-23T20:25:12.916Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,572233,"Christian Walker","/api/v1/people/572233","R","Right",608371,"Lucas Sims","/api/v1/people/608371","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.1,84.3,11,0.89,0.4083,5.7453,28.5155,-13.4637,-4.2141,10.2627,-1.5405,2.8294,1.7965,-134.0611,-4.9756,-1.6711,50.0049,5.6679,-7.6846,26.4,3.6,24,2686,210,NA,NA,NA,NA,NA,NA,FALSE,-14.4,17.8,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717289,"2023-07-23",0,"2023-07-23T20:20:51.147Z","2023-07-23T20:21:25.771Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",3,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"74","atBat","Walk","walk","Christian Walker walks. Ketel Marte to 2nd.",0,3,7,74,"top",9,"2023-07-23T20:23:40.204Z","2023-07-23T20:25:12.916Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,572233,"Christian Walker","/api/v1/people/572233","R","Right",608371,"Lucas Sims","/api/v1/people/608371","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717289,"2023-07-23",1,"2023-07-23T20:21:25.771Z","2023-07-23T20:23:42.557Z",FALSE,"action",NA,NA,"Pitching Change: Lucas Sims replaces Levi Stoudt.","Pitching Substitution",3,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,608371,"/api/v1/people/608371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"74","atBat","Walk","walk","Christian Walker walks. Ketel Marte to 2nd.",0,3,7,74,"top",9,"2023-07-23T20:23:40.204Z","2023-07-23T20:25:12.916Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,572233,"Christian Walker","/api/v1/people/572233","R","Right",608371,"Lucas Sims","/api/v1/people/608371","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717289,"2023-07-23",3,"2023-07-23T20:20:24.900Z","2023-07-23T20:20:31.345Z",TRUE,"pitch","ea4e68b9-f761-4064-a0c3-a1a67ca63370",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,0,NA,NA,3.08,1.46,NA,112.77,167.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Corbin Carroll strikes out swinging.",0,3,7,73,"top",9,"2023-07-23T20:19:19.532Z","2023-07-23T20:20:31.345Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",686651,"Levi Stoudt","/api/v1/people/686651","R","Right","vs_RHP","vs_LHB","RISP",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.4,80.5,2,0.91,0.4326,6.5461,21.9802,-24.8472,5.2408,4.499,0.1109,2.6541,3.1426,-125.9088,-2.9168,-1.8284,50.0053,5.8063,8.5414,19.2,7.2,24,2460,74,NA,NA,NA,NA,NA,NA,TRUE,-28.3,7.8,-10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,606466,"Ketel Marte","/api/v1/people/606466",NA,NA,NA,672695,"Geraldo Perdomo","/api/v1/people/672695"
717289,"2023-07-23",2,"2023-07-23T20:20:04.176Z","2023-07-23T20:20:08.841Z",TRUE,"pitch","1a18c953-6e4d-42c3-a818-6f110120d281",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,0,NA,NA,3.2656,1.6095,NA,96.59,197.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Corbin Carroll strikes out swinging.",0,3,7,73,"top",9,"2023-07-23T20:19:19.532Z","2023-07-23T20:20:31.345Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",686651,"Levi Stoudt","/api/v1/people/686651","R","Right","vs_RHP","vs_LHB","RISP",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.8,89.5,9,0.9,0.3879,6.6968,28.6351,-15.8008,-5.1554,8.085,0.5355,1.5178,7.5088,-140.6276,-8.663,-1.486,50.0004,5.6399,-10.4375,27.6,3.6,24,2193,216,NA,NA,NA,NA,NA,NA,FALSE,-15.8,13.2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717289,"2023-07-23",1,"2023-07-23T20:19:45.831Z","2023-07-23T20:19:49.990Z",TRUE,"pitch","7adb789b-7845-4a53-a412-d6bbdfe35fc1",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.2926,1.5821,NA,154.15,205.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Corbin Carroll strikes out swinging.",0,3,7,73,"top",9,"2023-07-23T20:19:19.532Z","2023-07-23T20:20:31.345Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",686651,"Levi Stoudt","/api/v1/people/686651","R","Right","vs_RHP","vs_LHB","RISP",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",84.9,79.1,13,0.88,0.4407,6.6073,21.5903,-28.2175,-8.0127,2.5234,-0.9746,1.2193,4.9987,-123.672,-4.9108,-1.9674,50.0046,5.5606,-12.5785,21.6,8.4,24,1539,251,NA,NA,NA,NA,NA,NA,FALSE,-33.7,3.8,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717289,"2023-07-23",0,"2023-07-23T20:19:24.819Z","2023-07-23T20:19:28.383Z",TRUE,"pitch","1e8893dd-66a2-48da-9a97-4dbb15baede5",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,0,NA,NA,3.08,1.46,NA,93.62,167.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Corbin Carroll strikes out swinging.",0,3,7,73,"top",9,"2023-07-23T20:19:19.532Z","2023-07-23T20:20:31.345Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",686651,"Levi Stoudt","/api/v1/people/686651","R","Right","vs_RHP","vs_LHB","RISP",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.6,79.1,3,0.91,0.4381,6.7221,23.6688,-22.3154,5.6931,6.2231,0.6134,2.6562,3.954,-124.7214,-3.1602,-1.7291,50.0047,5.7677,9.0244,22.8,6,24,2334,93,NA,NA,NA,NA,NA,NA,FALSE,-26.3,10.8,-11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717289,"2023-07-23",6,"2023-07-23T20:18:50.697Z","2023-07-23T20:18:56.214Z",TRUE,"pitch","3ee7708f-5db0-4957-88bf-11b6bcc6a1b4",7,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,0,NA,NA,3.6165,1.7466,NA,84.62,160.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Walk","walk","Ketel Marte walks.",0,3,7,72,"top",9,"2023-07-23T20:16:35.659Z","2023-07-23T20:18:56.214Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,606466,"Ketel Marte","/api/v1/people/606466","L","Left",686651,"Levi Stoudt","/api/v1/people/686651","R","Right","vs_RHP","vs_LHB","RISP",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.3,88.8,12,0.91,0.3895,6.6232,28.5602,-12.6465,-5.2133,9.7249,0.8494,2.9119,8.4466,-140.0775,-5.9048,-1.5135,50.0034,5.8579,-10.4696,32.4,3.6,24,2192,207,NA,NA,NA,NA,NA,NA,FALSE,-12.6,16.7,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,606466,"Ketel Marte","/api/v1/people/606466",NA,NA,NA,672695,"Geraldo Perdomo","/api/v1/people/672695"
717289,"2023-07-23",5,"2023-07-23T20:18:29.868Z","2023-07-23T20:18:33.362Z",TRUE,"pitch","d9cd23a9-47b4-43e0-b634-52d61cb9d75c",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,0,NA,NA,3.52,1.71,NA,141.69,162.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Walk","walk","Ketel Marte walks.",0,3,7,72,"top",9,"2023-07-23T20:16:35.659Z","2023-07-23T20:18:56.214Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,606466,"Ketel Marte","/api/v1/people/606466","L","Left",686651,"Levi Stoudt","/api/v1/people/686651","R","Right","vs_RHP","vs_LHB","RISP",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,88.6,4,0.91,0.3893,6.7037,30.6165,-13.2586,-4.6589,9.4281,-0.6476,2.8433,4.2789,-140.466,-5.7853,-1.5824,50.0053,5.7855,-9.3489,30,3.6,24,2203,210,NA,NA,NA,NA,NA,NA,FALSE,-13.1,16.1,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
