"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
746068,"2024-05-12",4,"2024-05-12T20:39:44.926Z","2024-05-12T20:39:55.098Z",TRUE,"pitch","aaa5cb39-f7dd-4051-bac3-0b2fa530bc80",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,2,0,NA,NA,3.44,1.58,NA,124.32,187.34,"ground_ball","medium","1",148.25,155.28,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Single","single","Emmanuel Rivera singles on a ground ball to right fielder Nick Castellanos, deflected by pitcher Gregory Soto. Nick Fortes scores. Josh Bell to 2nd.",1,6,7,82,"bottom",10,"2024-05-12T20:38:46.048Z","2024-05-12T20:39:55.098Z",TRUE,TRUE,FALSE,FALSE,60,1,2,0,656896,"Emmanuel Rivera","/api/v1/people/656896","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Philadelphia Phillies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.1,79.7,8,0.9,0.4332,6.4342,27.4072,-30.5841,0.8957,0.9872,-0.1921,1.9054,-5.4269,-126.7521,-3.0898,1.8662,50.0061,5.5982,1.449,1.2,8.4,24,2556,208,90.5,-7,15,NA,NA,NA,FALSE,-34.9,1.3,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,605137,"Josh Bell","/api/v1/people/605137",656896,"Emmanuel Rivera","/api/v1/people/656896",NA,NA,NA
746068,"2024-05-12",3,"2024-05-12T20:39:24.151Z","2024-05-12T20:39:28.386Z",TRUE,"pitch","b7e1c763-0e16-43d5-909f-e963c119e437",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,0,NA,NA,3.44,1.58,NA,149.68,190.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Single","single","Emmanuel Rivera singles on a ground ball to right fielder Nick Castellanos, deflected by pitcher Gregory Soto. Nick Fortes scores. Josh Bell to 2nd.",1,6,7,82,"bottom",10,"2024-05-12T20:38:46.048Z","2024-05-12T20:39:55.098Z",TRUE,TRUE,FALSE,FALSE,60,1,2,0,656896,"Emmanuel Rivera","/api/v1/people/656896","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Philadelphia Phillies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.9,87.9,13,2,0.3911,6.5014,34.0852,-21.9443,11.5675,5.1603,-0.8572,1.7912,-11.4472,-140.4469,-6.1839,1.7837,50.0033,5.4651,22.9329,40.8,6,24,2377,130,NA,NA,NA,NA,NA,NA,FALSE,-21.5,8,-18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746068,"2024-05-12",2,"2024-05-12T20:39:04.139Z","2024-05-12T20:39:07.452Z",TRUE,"pitch","76969052-676c-4c4c-afad-5e4cae100ff5",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,0,NA,NA,3.44,1.58,NA,151.95,190.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Single","single","Emmanuel Rivera singles on a ground ball to right fielder Nick Castellanos, deflected by pitcher Gregory Soto. Nick Fortes scores. Josh Bell to 2nd.",1,6,7,82,"bottom",10,"2024-05-12T20:38:46.048Z","2024-05-12T20:39:55.098Z",TRUE,TRUE,FALSE,FALSE,60,1,2,0,656896,"Emmanuel Rivera","/api/v1/people/656896","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Philadelphia Phillies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.4,77,13,0.89,0.4484,6.4562,26.4956,-30.7353,0.8626,0.9575,-0.917,1.7742,-6.7938,-122.6246,-3.1699,1.7893,50.0052,5.7331,1.3012,0,8.4,24,2521,264,NA,NA,NA,NA,NA,NA,FALSE,-37.7,1.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746068,"2024-05-12",1,"2024-05-12T20:38:48.260Z","2024-05-12T20:38:51.937Z",TRUE,"pitch","23316d0b-6a65-4d24-ba5a-cf117a35acbe",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.5899,1.6498,NA,124.48,213.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Single","single","Emmanuel Rivera singles on a ground ball to right fielder Nick Castellanos, deflected by pitcher Gregory Soto. Nick Fortes scores. Josh Bell to 2nd.",1,6,7,82,"bottom",10,"2024-05-12T20:38:46.048Z","2024-05-12T20:39:55.098Z",TRUE,TRUE,FALSE,FALSE,60,1,2,0,656896,"Emmanuel Rivera","/api/v1/people/656896","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Philadelphia Phillies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.9,89.2,13,0.89,0.3864,6.5789,34.0908,-16.0369,10.6619,7.9384,-0.1963,0.9478,-9.167,-142.0343,-9.7145,1.696,50.0016,5.4438,21.6708,46.8,4.8,24,2334,133,NA,NA,NA,NA,NA,NA,FALSE,-16.4,12.4,-17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746068,"2024-05-12",0,"2024-05-12T20:38:30.908Z","2024-05-12T20:38:48.260Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Emmanuel Rivera replaces Jesús Sánchez.","Offensive Substitution",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,656896,"/api/v1/people/656896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","501","82","atBat","Single","single","Emmanuel Rivera singles on a ground ball to right fielder Nick Castellanos, deflected by pitcher Gregory Soto. Nick Fortes scores. Josh Bell to 2nd.",1,6,7,82,"bottom",10,"2024-05-12T20:38:46.048Z","2024-05-12T20:39:55.098Z",TRUE,TRUE,FALSE,FALSE,60,1,2,0,656896,"Emmanuel Rivera","/api/v1/people/656896","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,660821,"/api/v1/people/660821",NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746068,"2024-05-12",6,"2024-05-12T20:38:23.302Z","2024-05-12T20:38:23.342Z",FALSE,"no_pitch","07460686-0826-1003-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Intent Walk","intent_walk","Gregory Soto intentionally walks Josh Bell.",0,6,6,81,"bottom",10,"2024-05-12T20:37:44.093Z","2024-05-12T20:38:25.374Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,605137,"Josh Bell","/api/v1/people/605137","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746068,"2024-05-12",7,"2024-05-12T20:38:23.342Z","2024-05-12T20:38:24.342Z",FALSE,"no_pitch","07460686-0826-1013-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Intent Walk","intent_walk","Gregory Soto intentionally walks Josh Bell.",0,6,6,81,"bottom",10,"2024-05-12T20:37:44.093Z","2024-05-12T20:38:25.374Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,605137,"Josh Bell","/api/v1/people/605137","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746068,"2024-05-12",8,"2024-05-12T20:38:23.342Z","2024-05-12T20:38:24.342Z",FALSE,"no_pitch","07460686-0826-1023-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Intent Walk","intent_walk","Gregory Soto intentionally walks Josh Bell.",0,6,6,81,"bottom",10,"2024-05-12T20:37:44.093Z","2024-05-12T20:38:25.374Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,605137,"Josh Bell","/api/v1/people/605137","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746068,"2024-05-12",9,"2024-05-12T20:38:23.342Z","2024-05-12T20:38:25.374Z",FALSE,"no_pitch","07460686-0826-1033-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Intent Walk","intent_walk","Gregory Soto intentionally walks Josh Bell.",0,6,6,81,"bottom",10,"2024-05-12T20:37:44.093Z","2024-05-12T20:38:25.374Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,605137,"Josh Bell","/api/v1/people/605137","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,663743,"Nick Fortes","/api/v1/people/663743",605137,"Josh Bell","/api/v1/people/605137",NA,NA,NA
746068,"2024-05-12",0,"2024-05-12T20:37:44.093Z","2024-05-12T20:37:44.122Z",FALSE,"action",NA,NA,"Defensive switch from third base to second base for Whit Merrifield.","Defensive Switch",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,593160,"/api/v1/people/593160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"4","Second Base","Infielder","2B","100","81","atBat","Intent Walk","intent_walk","Gregory Soto intentionally walks Josh Bell.",0,6,6,81,"bottom",10,"2024-05-12T20:37:44.093Z","2024-05-12T20:38:25.374Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,605137,"Josh Bell","/api/v1/people/605137","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746068,"2024-05-12",1,"2024-05-12T20:37:44.122Z","2024-05-12T20:37:45.122Z",FALSE,"action",NA,NA,"Defensive switch from first base to third base for Alec Bohm.","Defensive Switch",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,664761,"/api/v1/people/664761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"5","Third Base","Infielder","3B","200","81","atBat","Intent Walk","intent_walk","Gregory Soto intentionally walks Josh Bell.",0,6,6,81,"bottom",10,"2024-05-12T20:37:44.093Z","2024-05-12T20:38:25.374Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,605137,"Josh Bell","/api/v1/people/605137","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746068,"2024-05-12",2,"2024-05-12T20:37:44.122Z","2024-05-12T20:37:44.123Z",FALSE,"action",NA,NA,"Defensive switch from second base to shortstop for Bryson Stott.","Defensive Switch",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,681082,"/api/v1/people/681082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"6","Shortstop","Infielder","SS","500","81","atBat","Intent Walk","intent_walk","Gregory Soto intentionally walks Josh Bell.",0,6,6,81,"bottom",10,"2024-05-12T20:37:44.093Z","2024-05-12T20:38:25.374Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,605137,"Josh Bell","/api/v1/people/605137","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746068,"2024-05-12",3,"2024-05-12T20:37:44.123Z","2024-05-12T20:37:44.124Z",FALSE,"action",NA,NA,"Kody Clemens remains in the game as the first baseman.","Defensive Switch",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,665019,"/api/v1/people/665019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"3","First Base","Infielder","1B","601","81","atBat","Intent Walk","intent_walk","Gregory Soto intentionally walks Josh Bell.",0,6,6,81,"bottom",10,"2024-05-12T20:37:44.093Z","2024-05-12T20:38:25.374Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,605137,"Josh Bell","/api/v1/people/605137","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,624641,"/api/v1/people/624641",NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746068,"2024-05-12",4,"2024-05-12T20:37:44.124Z","2024-05-12T20:38:20.015Z",FALSE,"action",NA,NA,"Pitching Change: Gregory Soto replaces Jeff Hoffman.","Pitching Substitution",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,642397,"/api/v1/people/642397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"81","atBat","Intent Walk","intent_walk","Gregory Soto intentionally walks Josh Bell.",0,6,6,81,"bottom",10,"2024-05-12T20:37:44.093Z","2024-05-12T20:38:25.374Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,605137,"Josh Bell","/api/v1/people/605137","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746068,"2024-05-12",5,"2024-05-12T20:38:20.015Z","2024-05-12T20:38:23.302Z",FALSE,"action",NA,NA,"Nick Fortes starts inning at 2nd base.","Runner Placed On Base",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,663743,"/api/v1/people/663743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"runner_placed",NA,NA,NA,NA,NA,NA,"81","atBat","Intent Walk","intent_walk","Gregory Soto intentionally walks Josh Bell.",0,6,6,81,"bottom",10,"2024-05-12T20:37:44.093Z","2024-05-12T20:38:25.374Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,605137,"Josh Bell","/api/v1/people/605137","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746068,"2024-05-12",5,"2024-05-12T20:35:36.331Z","2024-05-12T20:35:45.242Z",TRUE,"pitch","4bc1aa29-2056-4f8b-8f3a-88b75885ba9d",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.47,1.66,NA,87.08,161.32,"popup","medium","4",175.4,142.64,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Pop Out","field_out","Kody Clemens pops out to second baseman Otto Lopez.",0,6,6,80,"top",10,"2024-05-12T20:34:34.937Z","2024-05-12T20:35:45.242Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,665019,"Kody Clemens","/api/v1/people/665019","L","Left",669622,"Anthony Bender","/api/v1/people/669622","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Miami Marlins",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.4,77.6,6,2,0.4427,5.899,27.6385,-28.5852,8.2234,2.3247,0.7851,2.8691,3.1878,-124.2909,0.1402,-1.587,50.0048,5.2087,12.7171,25.2,8.4,24,2627,63,75.1,56,190,NA,NA,NA,TRUE,-33.4,4.6,-15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746068,"2024-05-12",4,"2024-05-12T20:35:15.365Z","2024-05-12T20:35:18.633Z",TRUE,"pitch","9d2d2d32-fdf0-484b-87fc-2ce3f5da6aac",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,3.6486,1.6811,NA,140.57,188.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Pop Out","field_out","Kody Clemens pops out to second baseman Otto Lopez.",0,6,6,80,"top",10,"2024-05-12T20:34:34.937Z","2024-05-12T20:35:45.242Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,665019,"Kody Clemens","/api/v1/people/665019","L","Left",669622,"Anthony Bender","/api/v1/people/669622","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Miami Marlins",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.1,76.8,7,2,0.4488,5.8937,26.374,-32.9654,9.3049,-0.5272,-0.6183,1.8602,-0.0963,-122.4885,-1.0859,-1.7853,50.0027,5.1527,14.0012,22.8,9.6,24,2691,67,NA,NA,NA,NA,NA,NA,FALSE,-39.8,-1,-16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
