"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
718379,"2023-04-29",1,"2023-04-29T21:30:35.634Z","2023-04-29T21:30:45.874Z",TRUE,"pitch","5165283c-5d13-40cf-b36c-c3dee5432371",1,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,0,0,NA,NA,3.26,1.5,NA,115.34,160.21,"line_drive","hard","9",182.46,55.87,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Single","single","Daulton Varsho singles on a sharp line drive to right fielder Teoscar Hernandez. Bo Bichette scores. Vladimir Guerrero Jr. to 3rd. Matt Chapman to 2nd.",1,0,1,69,"bottom",10,"2023-04-29T21:30:33.264Z","2023-04-29T21:30:45.874Z",TRUE,TRUE,FALSE,FALSE,60,0,0,0,662139,"Daulton Varsho","/api/v1/people/662139","L","Left",641627,"Trevor Gott","/api/v1/people/641627","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94,85.6,2,0.9,0.4016,6.0591,30.7624,-16.1998,-6.9105,8.4826,0.0436,2.9099,9.3836,-136.5322,-2.9118,-2.544,50.0042,5.1086,-13.0163,32.4,4.8,24,2172,227,100.5,17,335,NA,NA,NA,FALSE,-16.2,14.9,10.4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,662139,"Daulton Varsho","/api/v1/people/662139",665489,"Vladimir Guerrero Jr.","/api/v1/people/665489",656305,"Matt Chapman","/api/v1/people/656305"
718379,"2023-04-29",0,"2023-04-29T21:30:01.047Z","2023-04-29T21:30:35.634Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"69","atBat","Single","single","Daulton Varsho singles on a sharp line drive to right fielder Teoscar Hernandez. Bo Bichette scores. Vladimir Guerrero Jr. to 3rd. Matt Chapman to 2nd.",1,0,1,69,"bottom",10,"2023-04-29T21:30:33.264Z","2023-04-29T21:30:45.874Z",TRUE,TRUE,FALSE,FALSE,60,0,0,0,662139,"Daulton Varsho","/api/v1/people/662139","L","Left",641627,"Trevor Gott","/api/v1/people/641627","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718379,"2023-04-29",0,"2023-04-29T21:29:52.793Z","2023-04-29T21:29:52.839Z",FALSE,"no_pitch","07183796-0696-1003-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Intent Walk","intent_walk","Trevor Gott intentionally walks Matt Chapman. Vladimir Guerrero Jr. to 2nd.",0,0,0,68,"bottom",10,"2023-04-29T21:29:31.848Z","2023-04-29T21:29:56.417Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,656305,"Matt Chapman","/api/v1/people/656305","R","Right",641627,"Trevor Gott","/api/v1/people/641627","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Seattle Mariners","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718379,"2023-04-29",1,"2023-04-29T21:29:52.839Z","2023-04-29T21:29:52.846Z",FALSE,"no_pitch","07183796-0696-1013-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Intent Walk","intent_walk","Trevor Gott intentionally walks Matt Chapman. Vladimir Guerrero Jr. to 2nd.",0,0,0,68,"bottom",10,"2023-04-29T21:29:31.848Z","2023-04-29T21:29:56.417Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,656305,"Matt Chapman","/api/v1/people/656305","R","Right",641627,"Trevor Gott","/api/v1/people/641627","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Seattle Mariners","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718379,"2023-04-29",2,"2023-04-29T21:29:52.846Z","2023-04-29T21:29:52.854Z",FALSE,"no_pitch","07183796-0696-1023-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Intent Walk","intent_walk","Trevor Gott intentionally walks Matt Chapman. Vladimir Guerrero Jr. to 2nd.",0,0,0,68,"bottom",10,"2023-04-29T21:29:31.848Z","2023-04-29T21:29:56.417Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,656305,"Matt Chapman","/api/v1/people/656305","R","Right",641627,"Trevor Gott","/api/v1/people/641627","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Seattle Mariners","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718379,"2023-04-29",3,"2023-04-29T21:29:52.854Z","2023-04-29T21:29:56.417Z",FALSE,"no_pitch","07183796-0696-1033-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Intent Walk","intent_walk","Trevor Gott intentionally walks Matt Chapman. Vladimir Guerrero Jr. to 2nd.",0,0,0,68,"bottom",10,"2023-04-29T21:29:31.848Z","2023-04-29T21:29:56.417Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,656305,"Matt Chapman","/api/v1/people/656305","R","Right",641627,"Trevor Gott","/api/v1/people/641627","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Seattle Mariners","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,656305,"Matt Chapman","/api/v1/people/656305",666182,"Bo Bichette","/api/v1/people/666182",665489,"Vladimir Guerrero Jr.","/api/v1/people/665489"
718379,"2023-04-29",5,"2023-04-29T21:29:01.038Z","2023-04-29T21:29:12.533Z",TRUE,"pitch","db4d4c2f-721e-42a0-95a0-1d1803eb96ff",3,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,0,0,NA,NA,3.65,1.69,NA,114.78,167.42,"line_drive","hard","8",132.41,66.04,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Vladimir Guerrero Jr. singles on a sharp line drive to center fielder Jarred Kelenic. Bo Bichette to 3rd.",0,0,0,67,"bottom",10,"2023-04-29T21:28:31.305Z","2023-04-29T21:29:12.533Z",TRUE,FALSE,FALSE,FALSE,33,2,0,0,665489,"Vladimir Guerrero Jr.","/api/v1/people/665489","R","Right",641627,"Trevor Gott","/api/v1/people/641627","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.7,85.3,5,2,0.4031,6.1601,30.9348,-25.623,-10.698,3.507,0.0581,2.6429,10.4024,-136.0881,-1.6934,-2.4311,50.0035,5.0547,-19.99,34.8,7.2,24,1984,231,111.8,11,274,NA,NA,NA,FALSE,-25.2,6.1,17,NA,NA,NA,NA,NA,NA,FALSE,FALSE,665489,"Vladimir Guerrero Jr.","/api/v1/people/665489",666182,"Bo Bichette","/api/v1/people/666182",NA,NA,NA
718379,"2023-04-29",4,"2023-04-29T21:28:44.467Z","2023-04-29T21:28:49.267Z",TRUE,"pitch","839ecce6-f0ce-4b13-962e-5ca866ee851d",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,0,NA,NA,3.6493,1.6761,NA,62.91,181.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Vladimir Guerrero Jr. singles on a sharp line drive to center fielder Jarred Kelenic. Bo Bichette to 3rd.",0,0,0,67,"bottom",10,"2023-04-29T21:28:31.305Z","2023-04-29T21:29:12.533Z",TRUE,FALSE,FALSE,FALSE,33,2,0,0,665489,"Vladimir Guerrero Jr.","/api/v1/people/665489","R","Right",641627,"Trevor Gott","/api/v1/people/641627","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Seattle Mariners",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",87.8,80.7,14,2,0.429,6.1957,25.6513,-24.6437,-0.2885,4.5628,1.4189,2.1332,9.6662,-127.5564,-2.7432,-2.3786,50.0063,5.1607,-0.4769,3.6,6,24,2211,184,NA,NA,NA,NA,NA,NA,FALSE,-27.7,7.8,-1.6,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718379,"2023-04-29",3,"2023-04-29T21:28:31.305Z","2023-04-29T21:28:35.216Z",TRUE,"pitch","868b8270-6154-4552-bf0f-8a4cace188c8",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.6493,1.7295,NA,47.58,137.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Vladimir Guerrero Jr. singles on a sharp line drive to center fielder Jarred Kelenic. Bo Bichette to 3rd.",0,0,0,67,"bottom",10,"2023-04-29T21:28:31.305Z","2023-04-29T21:29:12.533Z",TRUE,FALSE,FALSE,FALSE,33,2,0,0,665489,"Vladimir Guerrero Jr.","/api/v1/people/665489","R","Right",641627,"Trevor Gott","/api/v1/people/641627","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.5,84.4,11,2,0.4073,5.9685,29.5762,-25.7091,-10.9033,3.5295,-1.5019,3.0459,7.067,-134.5527,-0.8162,-2.7477,50.0025,5.1773,-19.9636,36,7.2,24,1944,231,NA,NA,NA,NA,NA,NA,FALSE,-25.6,6.5,18.2,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718379,"2023-04-29",0,"2023-04-29T21:27:18.418Z","2023-04-29T21:27:18.465Z",FALSE,"action",NA,NA,"Ty France remains in the game as the first baseman.","Defensive Switch",0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,664034,"/api/v1/people/664034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"3","First Base","Infielder","1B","901","67","atBat","Single","single","Vladimir Guerrero Jr. singles on a sharp line drive to center fielder Jarred Kelenic. Bo Bichette to 3rd.",0,0,0,67,"bottom",10,"2023-04-29T21:28:31.305Z","2023-04-29T21:29:12.533Z",TRUE,FALSE,FALSE,FALSE,33,2,0,0,665489,"Vladimir Guerrero Jr.","/api/v1/people/665489","R","Right",641627,"Trevor Gott","/api/v1/people/641627","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,664059,"/api/v1/people/664059",NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718379,"2023-04-29",1,"2023-04-29T21:27:18.465Z","2023-04-29T21:28:03.632Z",FALSE,"action",NA,NA,"Pitching Change: Trevor Gott replaces Paul Sewald.","Pitching Substitution",0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,641627,"/api/v1/people/641627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"67","atBat","Single","single","Vladimir Guerrero Jr. singles on a sharp line drive to center fielder Jarred Kelenic. Bo Bichette to 3rd.",0,0,0,67,"bottom",10,"2023-04-29T21:28:31.305Z","2023-04-29T21:29:12.533Z",TRUE,FALSE,FALSE,FALSE,33,2,0,0,665489,"Vladimir Guerrero Jr.","/api/v1/people/665489","R","Right",641627,"Trevor Gott","/api/v1/people/641627","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718379,"2023-04-29",2,"2023-04-29T21:28:03.632Z","2023-04-29T21:28:31.305Z",FALSE,"action",NA,NA,"Bo Bichette starts inning at 2nd base.","Runner Placed On Base",0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,666182,"/api/v1/people/666182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"runner_placed",NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Vladimir Guerrero Jr. singles on a sharp line drive to center fielder Jarred Kelenic. Bo Bichette to 3rd.",0,0,0,67,"bottom",10,"2023-04-29T21:28:31.305Z","2023-04-29T21:29:12.533Z",TRUE,FALSE,FALSE,FALSE,33,2,0,0,665489,"Vladimir Guerrero Jr.","/api/v1/people/665489","R","Right",641627,"Trevor Gott","/api/v1/people/641627","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718379,"2023-04-29",3,"2023-04-29T21:25:33.457Z","2023-04-29T21:25:36.457Z",TRUE,"pitch","ed630314-afc6-4d5b-8156-c21d1f685fc2",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.46,1.67,NA,103.53,182.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","AJ Pollock strikes out swinging.",0,0,0,66,"top",10,"2023-04-29T21:24:16.209Z","2023-04-29T21:25:36.457Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,572041,"AJ Pollock","/api/v1/people/572041","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Toronto Blue Jays","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",85.1,77.6,9,0.9,0.4439,6.9251,26.3124,-25.5722,-7.2368,4.2918,0.3535,2.0749,5.3035,-123.7142,-4.0496,-0.8853,50.0057,5.8942,-11.1403,20.4,7.2,24,1294,228,NA,NA,NA,NA,NA,NA,TRUE,-31.1,7,11.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718379,"2023-04-29",2,"2023-04-29T21:25:12.553Z","2023-04-29T21:25:16.157Z",TRUE,"pitch","a994b669-72e2-4a71-95a4-349d89df6774",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,3.6367,1.7085,NA,136.32,185.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","AJ Pollock strikes out swinging.",0,0,0,66,"top",10,"2023-04-29T21:24:16.209Z","2023-04-29T21:25:36.457Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,572041,"AJ Pollock","/api/v1/people/572041","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Toronto Blue Jays","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",84.2,77.1,7,0.9,0.4477,6.8793,25.0604,-22.5628,-6.5965,6.3438,-0.5068,1.9555,3.4771,-122.5282,-4.7495,-1.09,50.0031,5.8562,-9.9924,21.6,7.2,24,1330,222,NA,NA,NA,NA,NA,NA,FALSE,-28.1,10.6,11,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718379,"2023-04-29",1,"2023-04-29T21:24:49.783Z","2023-04-29T21:24:53.389Z",TRUE,"pitch","f751cd2f-fea1-4606-9b82-a59bfd11e88d",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.46,1.67,NA,140.59,171.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","AJ Pollock strikes out swinging.",0,0,0,66,"top",10,"2023-04-29T21:24:16.209Z","2023-04-29T21:25:36.457Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,572041,"AJ Pollock","/api/v1/people/572041","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.1,78,4,0.88,0.4421,7.0098,25.2364,-21.9969,-0.0289,6.5494,-0.6189,2.5068,2.0258,-123.9952,-3.4817,-1.4434,50.0033,5.7685,-0.045,1.2,6,24,2287,136,NA,NA,NA,NA,NA,NA,FALSE,-26.4,11.3,-0.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718379,"2023-04-29",0,"2023-04-29T21:24:28.540Z","2023-04-29T21:24:35.193Z",TRUE,"pitch","46b09a56-2781-44df-bcb8-f7cdb54fae1a",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.5878,1.6873,NA,113.05,136.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","AJ Pollock strikes out swinging.",0,0,0,66,"top",10,"2023-04-29T21:24:16.209Z","2023-04-29T21:25:36.457Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,572041,"AJ Pollock","/api/v1/people/572041","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.3,77.3,12,0.9,0.443,6.7801,27.5867,-20.1631,2.5783,7.78,0.1035,3.7944,2.5592,-124.187,-0.9311,-1.2797,50.0008,5.8696,3.9796,12,6,24,2185,138,NA,NA,NA,NA,NA,NA,FALSE,-23.8,14,-5.3,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718379,"2023-04-29",8,"2023-04-29T21:23:52.061Z","2023-04-29T21:23:58.948Z",TRUE,"pitch","641527c6-5c41-46e2-b670-9623fe489ca5",7,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,2,NA,NA,3.223,1.4625,NA,88.12,204.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Walk","walk","Ty France walks.",0,0,0,65,"top",10,"2023-04-29T21:21:26.651Z","2023-04-29T21:23:58.948Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,664034,"Ty France","/api/v1/people/664034","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Toronto Blue Jays",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",86.1,79.2,14,0.89,0.4374,6.9131,24.6279,-21.3108,-8.3408,6.8357,0.7577,1.2548,6.4011,-125.1038,-7.0111,-0.7472,50.0044,5.8338,-13.2568,27.6,6,24,1308,226,NA,NA,NA,NA,NA,NA,FALSE,-25.9,11,13.7,NA,NA,NA,NA,NA,NA,FALSE,TRUE,664034,"Ty France","/api/v1/people/664034",NA,NA,NA,641487,"J.P. Crawford","/api/v1/people/641487"
