"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717526,"2023-07-02",7,"2023-07-02T20:09:06.338Z","2023-07-02T20:09:11.059Z",TRUE,"pitch","6c75e35e-1d02-4c10-baa9-8e02c2c36c3d",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,2,NA,NA,3.06,1.35,NA,108.5,177.4,"line_drive","medium","4",154.75,155.72,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Rougned Odor lines out to second baseman Jonathan India.",0,3,4,69,"top",9,"2023-07-02T20:07:12.465Z","2023-07-02T20:09:11.059Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,596059,"Rougned Odor","/api/v1/people/596059","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.7,87.6,5,0.88,0.3954,7.6715,26.577,-18.2309,-2.7458,7.15,0.2229,2.2734,7.5384,-137.7952,-2.7874,-2.1746,50.0027,4.5096,-5.3552,12,3.6,24,2476,237,101.2,7,148,NA,NA,NA,TRUE,-17.5,12.6,3.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",6,"2023-07-02T20:08:43.213Z","2023-07-02T20:08:46.213Z",TRUE,"pitch","e6687d90-7d74-4f5f-b5b1-bd559953e4e4",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.0612,1.4014,NA,185.12,106.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Rougned Odor lines out to second baseman Jonathan India.",0,3,4,69,"top",9,"2023-07-02T20:07:12.465Z","2023-07-02T20:09:11.059Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,596059,"Rougned Odor","/api/v1/people/596059","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.4,86.8,11,0.89,0.397,7.3273,27.949,-21.6753,-3.3186,5.4343,-1.7871,4.8829,2.568,-137.5106,4.3488,-2.2978,50.0033,4.7465,-6.4123,15.6,4.8,24,2614,224,NA,NA,NA,NA,NA,NA,FALSE,-19.6,10.9,5.5,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",5,"2023-07-02T20:08:11.340Z","2023-07-02T20:08:14.505Z",TRUE,"pitch","adf30beb-224f-4fd1-b8c2-b2a6c68e1ba5",4,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",2,2,2,NA,NA,3.06,1.35,NA,69.46,225.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Rougned Odor lines out to second baseman Jonathan India.",0,3,4,69,"top",9,"2023-07-02T20:07:12.465Z","2023-07-02T20:09:11.059Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,596059,"Rougned Odor","/api/v1/people/596059","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.5,80.7,14,0.9,0.4332,7.5704,22.4866,-31.5692,2.3231,0.3715,1.2472,0.5007,7.8217,-125.8186,-3.8393,-2.1877,50.0014,4.5697,3.7714,8.4,8.4,24,2754,104,NA,NA,NA,NA,NA,NA,FALSE,-36.1,0.1,-5.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",4,"2023-07-02T20:07:53.322Z","2023-07-02T20:07:56.927Z",TRUE,"pitch","82add80a-2d5b-41dd-a48a-8db324c361cf",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,2.9371,1.3484,NA,134.37,130.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Rougned Odor lines out to second baseman Jonathan India.",0,3,4,69,"top",9,"2023-07-02T20:07:12.465Z","2023-07-02T20:09:11.059Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,596059,"Rougned Odor","/api/v1/people/596059","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.5,86.6,11,0.89,0.3976,7.4579,29.3606,-20.3166,-2.316,6.1609,-0.4558,4.0122,5.8019,-137.5605,1.9143,-2.2875,50.0002,4.6812,-4.4563,9.6,4.8,24,2555,226,NA,NA,NA,NA,NA,NA,FALSE,-18.7,11.8,3,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",3,"2023-07-02T20:07:31.682Z","2023-07-02T20:07:34.682Z",TRUE,"pitch","11c7a2fd-eaa4-4347-bdd4-5ace550d4361",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.06,1.35,NA,93.2,177.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Rougned Odor lines out to second baseman Jonathan India.",0,3,4,69,"top",9,"2023-07-02T20:07:12.465Z","2023-07-02T20:09:11.059Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,596059,"Rougned Odor","/api/v1/people/596059","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.7,82.5,6,0.9,0.4219,7.4415,23.0459,-29.959,1.1249,1.2932,0.6245,2.285,7.1507,-129.0909,-0.3457,-2.3104,50.0038,4.6974,1.9257,6,7.2,24,2625,140,NA,NA,NA,NA,NA,NA,FALSE,-31.9,2.5,-3.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",2,"2023-07-02T20:07:14.588Z","2023-07-02T20:07:18.543Z",TRUE,"pitch","f213762c-4adb-449a-bd8d-5fb401877ed7",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.0612,1.4014,NA,66.42,202.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Rougned Odor lines out to second baseman Jonathan India.",0,3,4,69,"top",9,"2023-07-02T20:07:12.465Z","2023-07-02T20:09:11.059Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,596059,"Rougned Odor","/api/v1/people/596059","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.7,82.4,14,0.9,0.4225,7.5755,23.8186,-29.2327,0.7772,1.7255,1.3269,1.3278,8.8306,-129.0339,-2.6347,-2.2238,50.0044,4.587,1.3257,6,7.2,24,2538,133,NA,NA,NA,NA,NA,NA,FALSE,-31.7,2.8,-3.1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",0,"2023-07-02T20:06:03.283Z","2023-07-02T20:06:19.298Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Rougned Odor replaces Nelson Cruz.","Offensive Substitution",3,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,596059,"/api/v1/people/596059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","801","69","atBat","Lineout","field_out","Rougned Odor lines out to second baseman Jonathan India.",0,3,4,69,"top",9,"2023-07-02T20:07:12.465Z","2023-07-02T20:09:11.059Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,596059,"Rougned Odor","/api/v1/people/596059","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,443558,"/api/v1/people/443558",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",1,"2023-07-02T20:06:19.298Z","2023-07-02T20:07:14.588Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",3,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Rougned Odor lines out to second baseman Jonathan India.",0,3,4,69,"top",9,"2023-07-02T20:07:12.465Z","2023-07-02T20:09:11.059Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,596059,"Rougned Odor","/api/v1/people/596059","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",2,"2023-07-02T20:05:30.907Z","2023-07-02T20:05:45.075Z",TRUE,"pitch","ca15e960-9045-49b8-9133-331d35a2da1c",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,0,2,NA,NA,3.32,1.62,NA,140.47,162.37,"line_drive","hard","8",83.3,83.23,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Double","double","Jake Cronenworth doubles (11) on a sharp line drive to center fielder TJ Friedl. Gary Sanchez scores.",1,3,4,68,"top",9,"2023-07-02T20:05:06.733Z","2023-07-02T20:05:45.075Z",TRUE,TRUE,FALSE,FALSE,34,1,0,2,630105,"Jake Cronenworth","/api/v1/people/630105","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","RISP",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.3,86.1,1,0.89,0.4014,7.7749,26.6787,-21.9422,-7.1197,5.4129,-0.6157,2.8301,6.9012,-135.869,-0.4795,-2.2501,50.0037,4.519,-13.4601,28.8,4.8,24,2395,240,100.7,16,308,NA,NA,NA,FALSE,-21.1,10,11.6,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,630105,"Jake Cronenworth","/api/v1/people/630105",NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",0,"2023-07-02T20:05:11.936Z","2023-07-02T20:05:19.326Z",TRUE,"pitch","7f1607bf-eefc-4e03-9a2d-28134277015d",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3212,1.6929,NA,122.56,142.47,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"68","atBat","Double","double","Jake Cronenworth doubles (11) on a sharp line drive to center fielder TJ Friedl. Gary Sanchez scores.",1,3,4,68,"top",9,"2023-07-02T20:05:06.733Z","2023-07-02T20:05:45.075Z",TRUE,TRUE,FALSE,FALSE,34,1,0,2,630105,"Jake Cronenworth","/api/v1/people/630105","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","RISP",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,87.5,11,0.9,0.3947,7.6964,27.5484,-21.4672,-6.383,5.4752,-0.1459,3.567,7.7467,-138.1903,0.9749,-2.1414,50.0029,4.64,-12.4843,27.6,4.8,24,2480,237,NA,NA,NA,NA,NA,NA,FALSE,-19.8,10.3,10.2,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",1,"2023-07-02T20:05:21.643Z","2023-07-02T20:05:30.907Z",FALSE,"action",NA,NA,"Gary Sanchez advances to 2nd on defensive indifference.","Defensive Indiff",2,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,2,596142,"/api/v1/people/596142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7f1607bf-eefc-4e03-9a2d-28134277015d","defensive_indiff",NA,NA,NA,NA,NA,NA,"68","atBat","Double","double","Jake Cronenworth doubles (11) on a sharp line drive to center fielder TJ Friedl. Gary Sanchez scores.",1,3,4,68,"top",9,"2023-07-02T20:05:06.733Z","2023-07-02T20:05:45.075Z",TRUE,TRUE,FALSE,FALSE,34,1,0,2,630105,"Jake Cronenworth","/api/v1/people/630105","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","RISP",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",5,"2023-07-02T20:04:29.107Z","2023-07-02T20:04:39.347Z",TRUE,"pitch","9cfa2522-6550-434f-a8fe-ea178d6ae6cf",5,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,2,2,NA,NA,3.24,1.61,NA,95.06,187.05,"ground_ball","medium","8",121.11,112.66,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Gary Sanchez singles on a ground ball to center fielder TJ Friedl.",0,2,4,67,"top",9,"2023-07-02T20:02:42.033Z","2023-07-02T20:04:39.347Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,596142,"Gary Sánchez","/api/v1/people/596142","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.9,81.6,9,0.9,0.426,7.6338,23.7255,-33.2655,1.8672,-0.648,0.5757,1.9159,6.495,-128.0453,-0.4078,-2.2253,50.0045,4.6558,3.1342,7.2,8.4,24,2600,103,92.6,7,137,NA,NA,NA,FALSE,-36.1,-1.1,-4.7,NA,NA,NA,NA,NA,FALSE,TRUE,596142,"Gary Sánchez","/api/v1/people/596142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",3,"2023-07-02T20:03:48.309Z","2023-07-02T20:03:51.596Z",TRUE,"pitch","d46e8f73-c199-4ab7-90e8-ce916a2a147b",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.24,1.61,NA,119.93,193.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Gary Sanchez singles on a ground ball to center fielder TJ Friedl.",0,2,4,67,"top",9,"2023-07-02T20:02:42.033Z","2023-07-02T20:04:39.347Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,596142,"Gary Sánchez","/api/v1/people/596142","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.3,80.7,8,0.9,0.4295,7.7035,24.3058,-29.5651,0.9407,1.5787,-0.0768,1.6693,5.0496,-127.1755,-1.4993,-2.2043,50.0014,4.5956,1.5506,4.8,7.2,24,2764,118,NA,NA,NA,NA,NA,NA,FALSE,-32.9,2.8,-2.8,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",2,"2023-07-02T20:03:30.118Z","2023-07-02T20:03:33.634Z",TRUE,"pitch","6602e65c-63f2-4788-aace-49f7687d7b25",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.1204,1.481,NA,106.95,211.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Gary Sanchez singles on a ground ball to center fielder TJ Friedl.",0,2,4,67,"top",9,"2023-07-02T20:02:42.033Z","2023-07-02T20:04:39.347Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,596142,"Gary Sánchez","/api/v1/people/596142","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.1,81.8,14,0.9,0.4254,7.5944,24.2465,-29.5939,1.0539,1.5324,0.2637,1.0071,6.2528,-128.317,-3.1877,-2.3323,50.0027,4.5489,1.7726,4.8,7.2,24,2728,123,NA,NA,NA,NA,NA,NA,FALSE,-32.6,2.3,-3.2,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",1,"2023-07-02T20:03:08.604Z","2023-07-02T20:03:11.683Z",TRUE,"pitch","64740cc2-2ba3-4f37-9cb1-93459004a431",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.24,1.61,NA,107.01,172.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Gary Sanchez singles on a ground ball to center fielder TJ Friedl.",0,2,4,67,"top",9,"2023-07-02T20:02:42.033Z","2023-07-02T20:04:39.347Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,596142,"Gary Sánchez","/api/v1/people/596142","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,87.7,5,0.9,0.394,7.7115,28.4107,-17.7117,-5.618,7.3721,0.2621,2.448,8.6941,-138.5512,-2.4894,-2.1739,50.0001,4.5299,-11.0179,26.4,4.8,24,2485,236,NA,NA,NA,NA,NA,NA,FALSE,-16.9,13.1,8.5,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",0,"2023-07-02T20:02:45.451Z","2023-07-02T20:02:48.451Z",TRUE,"pitch","e17dd2c2-34c1-4f2a-8d21-27b5a2850024",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.0943,1.428,NA,27.25,213.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Gary Sanchez singles on a ground ball to center fielder TJ Friedl.",0,2,4,67,"top",9,"2023-07-02T20:02:42.033Z","2023-07-02T20:04:39.347Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,596142,"Gary Sánchez","/api/v1/people/596142","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.7,81,14,0.9,0.432,7.984,21.512,-28.78,0.8185,2.0777,2.3545,0.9371,10.8852,-125.967,-3.3081,-2.0988,50.0031,4.5524,1.3375,6,7.2,24,2540,149,NA,NA,NA,NA,NA,NA,FALSE,-32.8,3.4,-3.6,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717526,"2023-07-02",4,"2023-07-02T20:04:08.123Z","2023-07-02T20:04:29.107Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",2,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,2,2,596142,"/api/v1/people/596142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Gary Sanchez singles on a ground ball to center fielder TJ Friedl.",0,2,4,67,"top",9,"2023-07-02T20:02:42.033Z","2023-07-02T20:04:39.347Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,596142,"Gary Sánchez","/api/v1/people/596142","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Cincinnati Reds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
