"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","isBaseRunningPlay","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718622,"2023-04-11",3,"2023-04-12T02:08:45.725Z","2023-04-12T02:08:54.504Z",TRUE,"pitch","64a58953-3119-4d31-b70e-96874473e8d6",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.23,1.56,NA,107.25,200.68,"fly_ball","medium","7",77.74,107.29,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Akil Baddoo flies out to left fielder Daulton Varsho.",0,3,9,73,"top",9,"2023-04-12T02:07:40.254Z","2023-04-12T02:08:54.504Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,668731,"Akil Baddoo","/api/v1/people/668731","L","Left",542914,"Anthony Bass","/api/v1/people/542914","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Toronto Blue Jays","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.4,79.9,14,0.9,0.4348,6.6099,25.1852,-33.9009,2.1637,-1.073,0.2558,1.411,2.8161,-125.89,-3.839,-1.1578,50.0048,5.6955,3.4779,6,8.4,24,2318,79,85.4,46,260,NA,NA,NA,TRUE,-39.1,-2.5,-4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718622,"2023-04-11",2,"2023-04-12T02:08:28.631Z","2023-04-12T02:08:32.130Z",TRUE,"pitch","d8962cb3-6a18-4f25-ae65-0bff1cec3778",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.3004,1.5975,NA,114.27,227.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Akil Baddoo flies out to left fielder Daulton Varsho.",0,3,9,73,"top",9,"2023-04-12T02:07:40.254Z","2023-04-12T02:08:54.504Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,668731,"Akil Baddoo","/api/v1/people/668731","L","Left",542914,"Anthony Bass","/api/v1/people/542914","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85,78.9,14,0.91,0.4419,6.5039,23.9903,-33.847,2.5886,-1.0715,0.0716,0.4105,2.2929,-123.8088,-5.7752,-1.2018,50.0038,5.5954,4.0317,7.2,9.6,24,2329,81,NA,NA,NA,NA,NA,NA,FALSE,-40.7,-3,-5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718622,"2023-04-11",1,"2023-04-12T02:08:13.872Z","2023-04-12T02:08:18.648Z",TRUE,"pitch","0417ca3e-33e1-4947-8684-93a8fa06806e",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.23,1.56,NA,69.15,203.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Akil Baddoo flies out to left fielder Daulton Varsho.",0,3,9,73,"top",9,"2023-04-12T02:07:40.254Z","2023-04-12T02:08:54.504Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,668731,"Akil Baddoo","/api/v1/people/668731","L","Left",542914,"Anthony Bass","/api/v1/people/542914","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.1,79.7,14,0.91,0.4367,6.5538,24.7911,-32.7639,2.4207,-0.3677,1.2554,1.3028,5.1518,-125.3068,-4.3636,-1.1399,50.0043,5.737,3.8583,8.4,8.4,24,2388,82,NA,NA,NA,NA,NA,NA,FALSE,-38.3,-1.4,-5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718622,"2023-04-11",0,"2023-04-12T02:07:54.540Z","2023-04-12T02:07:59.099Z",TRUE,"pitch","077cb921-e815-4e07-86ab-32ed5391d962",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.23,1.56,NA,113.45,192.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Akil Baddoo flies out to left fielder Daulton Varsho.",0,3,9,73,"top",9,"2023-04-12T02:07:40.254Z","2023-04-12T02:08:54.504Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,668731,"Akil Baddoo","/api/v1/people/668731","L","Left",542914,"Anthony Bass","/api/v1/people/542914","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.8,78.1,8,0.89,0.4439,6.3985,25.2,-35.0202,1.6049,-1.8489,0.0932,1.7324,2.5023,-123.5071,-2.7247,-1.1426,50.0017,5.8027,2.4724,4.8,9.6,24,2310,67,NA,NA,NA,NA,NA,NA,FALSE,-41.8,-3.7,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718622,"2023-04-11",2,"2023-04-12T02:07:25.517Z","2023-04-12T02:07:32.558Z",TRUE,"pitch","a6d6ac9d-860a-4022-ac3e-38b955c1cd43",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,0,1,NA,NA,3.24,1.51,NA,114.26,183.24,"line_drive","medium","7",58.28,83.28,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Lineout","field_out","Jake Rogers lines out to left fielder Daulton Varsho.",0,3,9,72,"top",9,"2023-04-12T02:06:51.123Z","2023-04-12T02:07:32.558Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,668670,"Jake Rogers","/api/v1/people/668670","R","Right",542914,"Anthony Bass","/api/v1/people/542914","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Toronto Blue Jays","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.2,77.7,5,0.9,0.4436,6.2959,27.7158,-33.6447,2.9202,-0.9529,0.072,2.057,2.5614,-124.0752,-2.1154,-1.3579,50.0048,5.7583,4.4961,8.4,9.6,24,2398,89,96.9,21,332,NA,NA,NA,TRUE,-40,-2,-5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718622,"2023-04-11",1,"2023-04-12T02:07:11.229Z","2023-04-12T02:07:15.084Z",TRUE,"pitch","8d296749-5b5a-4d4e-84b0-c8c5c9d2214f",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.3734,1.5423,NA,102.91,145.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Lineout","field_out","Jake Rogers lines out to left fielder Daulton Varsho.",0,3,9,72,"top",9,"2023-04-12T02:06:51.123Z","2023-04-12T02:07:32.558Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,668670,"Jake Rogers","/api/v1/people/668670","R","Right",542914,"Anthony Bass","/api/v1/people/542914","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Toronto Blue Jays","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95,86.5,3,0.9,0.397,6.2706,31.6731,-15.461,-8.7648,8.6759,0.3697,3.4631,6.5765,-138.1403,-3.6816,-0.9068,50.0034,5.857,-16.8871,43.2,4.8,24,1947,203,NA,NA,NA,NA,NA,NA,FALSE,-15.4,15.1,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718622,"2023-04-11",0,"2023-04-12T02:06:57.740Z","2023-04-12T02:07:01.441Z",TRUE,"pitch","b0be2e52-6def-4adb-802d-6358ac884997",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.4313,1.5998,NA,72.6,201.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Lineout","field_out","Jake Rogers lines out to left fielder Daulton Varsho.",0,3,9,72,"top",9,"2023-04-12T02:06:51.123Z","2023-04-12T02:07:32.558Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,668670,"Jake Rogers","/api/v1/people/668670","R","Right",542914,"Anthony Bass","/api/v1/people/542914","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Toronto Blue Jays","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.7,87.5,14,0.9,0.3943,6.6083,31.173,-13.9405,-9.451,9.3298,1.1648,1.3829,8.5742,-138.9174,-9.291,-0.7341,50.0014,5.6979,-18.4671,45.6,4.8,24,2050,199,NA,NA,NA,NA,NA,NA,FALSE,-14.9,15.1,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718622,"2023-04-11",3,"2023-04-12T02:06:26.816Z","2023-04-12T02:06:34.445Z",TRUE,"pitch","631b5862-ad5f-4269-b550-1310c346bc48",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,0,NA,NA,3.53,1.7,NA,95.42,169.78,"fly_ball","medium","9",191.54,86.81,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Jonathan Schoop flies out to right fielder George Springer.",0,3,9,71,"top",9,"2023-04-12T02:06:11.444Z","2023-04-12T02:06:34.445Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,570731,"Jonathan Schoop","/api/v1/people/570731","R","Right",542914,"Anthony Bass","/api/v1/people/542914","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.8,79,6,0.91,0.4384,6.5678,25.4354,-34.8268,2.7009,-1.6803,0.5661,2.5556,3.7107,-124.9871,-1.1355,-1.2892,50.0015,5.8784,4.2678,8.4,9.6,24,2349,92,91.5,27,322,NA,NA,NA,TRUE,-40.2,-3,-5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718622,"2023-04-11",2,"2023-04-12T02:06:13.771Z","2023-04-12T02:06:20.623Z",TRUE,"pitch","21b9f8cd-aa91-4511-9a01-20d6ba96cfa3",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.6671,1.7788,NA,91.43,189.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Jonathan Schoop flies out to right fielder George Springer.",0,3,9,71,"top",9,"2023-04-12T02:06:11.444Z","2023-04-12T02:06:34.445Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,570731,"Jonathan Schoop","/api/v1/people/570731","R","Right",542914,"Anthony Bass","/api/v1/people/542914","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Toronto Blue Jays",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.8,85.6,9,0.89,0.4025,6.4886,30.5089,-16.4811,-9.3747,8.374,0.6707,1.8069,7.4663,-136.1904,-7.3302,-0.8912,50.0061,5.6779,-17.576,42,4.8,24,1995,206,NA,NA,NA,NA,NA,NA,FALSE,-17.5,13.7,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718622,"2023-04-11",0,"2023-04-12T02:05:52.925Z","2023-04-12T02:05:52.964Z",FALSE,"action",NA,NA,"Jordan Luplow remains in the game as the designated hitter.","Defensive Switch",3,9,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,656669,"/api/v1/people/656669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"10","Designated Hitter","Hitter","DH","601","71","atBat","Flyout","field_out","Jonathan Schoop flies out to right fielder George Springer.",0,3,9,71,"top",9,"2023-04-12T02:06:11.444Z","2023-04-12T02:06:34.445Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,570731,"Jonathan Schoop","/api/v1/people/570731","R","Right",542914,"Anthony Bass","/api/v1/people/542914","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,474832,"/api/v1/people/474832",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718622,"2023-04-11",1,"2023-04-12T02:05:52.964Z","2023-04-12T02:06:13.771Z",FALSE,"action",NA,NA,"Pitching Change: Anthony Bass replaces Yimi Garcia.","Pitching Substitution",3,9,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,542914,"/api/v1/people/542914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"71","atBat","Flyout","field_out","Jonathan Schoop flies out to right fielder George Springer.",0,3,9,71,"top",9,"2023-04-12T02:06:11.444Z","2023-04-12T02:06:34.445Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,570731,"Jonathan Schoop","/api/v1/people/570731","R","Right",542914,"Anthony Bass","/api/v1/people/542914","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718622,"2023-04-11",6,"2023-04-12T02:03:28.930Z","2023-04-12T02:03:33.626Z",TRUE,"pitch","067775e5-0faf-48c1-8ca4-138d4d617bda",7,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",3,3,2,NA,NA,3.37,1.63,NA,121.84,160.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Kevin Kiermaier strikes out on a foul tip.",0,3,9,70,"bottom",8,"2023-04-12T02:01:46.175Z","2023-04-12T02:03:33.626Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,595281,"Kevin Kiermaier","/api/v1/people/595281","L","Left",669438,"Mason Englert","/api/v1/people/669438","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Detroit Tigers","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85,78,2,0.91,0.4425,6.2177,24.7622,-25.5098,-0.2313,4.2991,-0.1269,2.8849,4.66,-123.7827,-1.6279,-2.0041,50.0051,5.6873,-0.3588,1.2,7.2,24,2221,210,NA,NA,NA,NA,NA,NA,TRUE,-30.1,7.7,-0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718622,"2023-04-11",5,"2023-04-12T02:03:06.020Z","2023-04-12T02:03:09.198Z",TRUE,"pitch","cb1f3963-229d-499e-8037-c761e99db433",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.37,1.63,NA,75.67,186.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Kevin Kiermaier strikes out on a foul tip.",0,3,9,70,"bottom",8,"2023-04-12T02:01:46.175Z","2023-04-12T02:03:33.626Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,595281,"Kevin Kiermaier","/api/v1/people/595281","L","Left",669438,"Mason Englert","/api/v1/people/669438","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Detroit Tigers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.9,77.4,14,0.91,0.4454,6.3596,26.9992,-25.9096,1.4225,4.097,1.0842,1.9367,6.7755,-123.4634,-3.6001,-1.8922,50.0003,5.6201,2.1708,7.2,7.2,24,2275,228,NA,NA,NA,NA,NA,NA,FALSE,-31.6,6.7,-4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718622,"2023-04-11",4,"2023-04-12T02:02:49.030Z","2023-04-12T02:02:52.488Z",TRUE,"pitch","c40ebcd9-29ce-43d5-ae3c-2340babdadac",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.4252,1.6394,NA,98.58,128.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Kevin Kiermaier strikes out on a foul tip.",0,3,9,70,"bottom",8,"2023-04-12T02:01:46.175Z","2023-04-12T02:03:33.626Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,595281,"Kevin Kiermaier","/api/v1/people/595281","L","Left",669438,"Mason Englert","/api/v1/people/669438","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Detroit Tigers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.5,83.4,12,2,0.4119,6.2809,28.7167,-17.8185,-8.0642,8.0169,0.4832,4.0911,8.7491,-133.0179,-1.1514,-1.8019,50.0034,5.8224,-14.4421,34.8,4.8,24,2259,221,NA,NA,NA,NA,NA,NA,FALSE,-18.2,14.5,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718622,"2023-04-11",3,"2023-04-12T02:02:34.506Z","2023-04-12T02:02:38.768Z",TRUE,"pitch","15bd1240-dc55-4b44-90d2-3ecbf7401e13",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,2,NA,NA,3.37,1.63,NA,80.81,163.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Kevin Kiermaier strikes out on a foul tip.",0,3,9,70,"bottom",8,"2023-04-12T02:01:46.175Z","2023-04-12T02:03:33.626Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,595281,"Kevin Kiermaier","/api/v1/people/595281","L","Left",669438,"Mason Englert","/api/v1/people/669438","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Detroit Tigers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.2,78.8,12,0.9,0.4374,6.4007,26.3181,-24.1979,-0.2844,5.0235,0.9494,2.7945,6.8572,-125.427,-2.2087,-1.7875,50.0001,5.6677,-0.452,2.4,6,24,2319,214,NA,NA,NA,NA,NA,NA,FALSE,-28.1,8.8,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718622,"2023-04-11",2,"2023-04-12T02:02:22.391Z","2023-04-12T02:02:27.239Z",TRUE,"pitch","f57f93be-9e01-409f-aad9-f410750cab55",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.3741,1.5885,NA,173.96,152.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Kevin Kiermaier strikes out on a foul tip.",0,3,9,70,"bottom",8,"2023-04-12T02:01:46.175Z","2023-04-12T02:03:33.626Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,595281,"Kevin Kiermaier","/api/v1/people/595281","L","Left",669438,"Mason Englert","/api/v1/people/669438","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Detroit Tigers","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",83.6,76.2,11,0.91,0.4513,6.5531,25.198,-29.9368,-10.6808,1.5003,-1.4942,3.2102,4.2308,-121.6333,0.2838,-1.8744,50.0011,5.7005,-15.9058,26.4,9.6,24,2175,244,NA,NA,NA,NA,NA,NA,FALSE,-36.2,3.1,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
