"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
718727,"2023-04-03",6,"2023-04-04T02:32:13.253Z","2023-04-04T02:32:21.376Z",TRUE,"pitch","d7e74e70-2d7d-47c9-b1d8-ce34cc873894",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,2,NA,NA,3.34,1.56,NA,124.73,170.87,"line_drive","medium","8",159.98,80.22,NA,NA,TRUE,NA,NA,NA,NA,NA,"81","atBat","Lineout","field_out","Dylan Carlson lines out to center fielder Michael Harris II.",0,8,4,81,"bottom",9,"2023-04-04T02:30:25.311Z","2023-04-04T02:32:21.376Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,666185,"Dylan Carlson","/api/v1/people/666185","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.6,87.1,5,0.89,0.3969,6.4715,27.7335,-12.2846,5.4699,10.2902,-0.2028,2.5152,-7.8937,-137.4848,-6.0482,1.9822,50.0025,5.5618,10.5727,33.6,3.6,24,2314,147,89.6,23,308,NA,NA,NA,TRUE,-12.7,17.6,-8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718727,"2023-04-03",5,"2023-04-04T02:31:50.225Z","2023-04-04T02:31:54.487Z",TRUE,"pitch","248499b4-8bf2-4207-894b-16690a67d546",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.2911,1.6329,NA,78.64,136.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Lineout","field_out","Dylan Carlson lines out to center fielder Michael Harris II.",0,8,4,81,"bottom",9,"2023-04-04T02:30:25.311Z","2023-04-04T02:32:21.376Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,666185,"Dylan Carlson","/api/v1/people/666185","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,87.6,12,0.89,0.3938,6.3129,28.5166,-14.2315,5.8106,9.1396,1.0063,3.7865,-5.2608,-138.6432,-2.559,2.1656,50.0041,5.6613,11.4095,34.8,3.6,24,2372,151,NA,NA,NA,NA,NA,NA,FALSE,-13.7,16.3,-9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718727,"2023-04-03",4,"2023-04-04T02:31:22.024Z","2023-04-04T02:31:25.659Z",TRUE,"pitch","8c6c8326-79dc-46e1-b08a-af7dd45ccb6e",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.34,1.56,NA,125.07,153.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Lineout","field_out","Dylan Carlson lines out to center fielder Michael Harris II.",0,8,4,81,"bottom",9,"2023-04-04T02:30:25.311Z","2023-04-04T02:32:21.376Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,666185,"Dylan Carlson","/api/v1/people/666185","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95,87.3,2,0.89,0.3955,6.3785,28.8092,-14.0426,4.5232,9.3237,-0.2118,3.1719,-7.9457,-138.1146,-4.0722,2.1059,50.005,5.6004,8.799,25.2,3.6,24,2342,149,NA,NA,NA,NA,NA,NA,FALSE,-13.9,16.3,-6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718727,"2023-04-03",3,"2023-04-04T02:31:02.891Z","2023-04-04T02:31:06.728Z",TRUE,"pitch","3b94a44d-cb69-478c-9fe8-c7e67381cc65",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,2,NA,NA,3.2911,1.584,NA,97.33,152.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Lineout","field_out","Dylan Carlson lines out to center fielder Michael Harris II.",0,8,4,81,"bottom",9,"2023-04-04T02:30:25.311Z","2023-04-04T02:32:21.376Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,666185,"Dylan Carlson","/api/v1/people/666185","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.5,86.8,3,0.88,0.3973,6.3739,28.8069,-14.5722,4.2817,9.1274,0.516,3.1936,-6.1577,-137.5637,-3.8731,2.2209,50.0003,5.5992,8.2551,24,3.6,24,2344,147,NA,NA,NA,NA,NA,NA,FALSE,-14.5,16,-6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718727,"2023-04-03",2,"2023-04-04T02:30:44.755Z","2023-04-04T02:30:48.355Z",TRUE,"pitch","aff837cf-363c-4515-95b2-162fe85fa834",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.2423,1.5351,NA,57,135.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Lineout","field_out","Dylan Carlson lines out to center fielder Michael Harris II.",0,8,4,81,"bottom",9,"2023-04-04T02:30:25.311Z","2023-04-04T02:32:21.376Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,666185,"Dylan Carlson","/api/v1/people/666185","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,87,12,0.89,0.3957,6.4269,29.6342,-13.8111,5.6453,9.4531,1.5742,3.8201,-4.1709,-138.2086,-2.4358,2.3663,50.0025,5.6358,10.9654,34.8,3.6,24,2399,147,NA,NA,NA,NA,NA,NA,FALSE,-13.4,16.8,-9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718727,"2023-04-03",1,"2023-04-04T02:30:27.414Z","2023-04-04T02:30:32.635Z",TRUE,"pitch","290dbb64-a174-410a-9575-938f0d12eb24",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3154,1.6329,NA,131.76,199.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Lineout","field_out","Dylan Carlson lines out to center fielder Michael Harris II.",0,8,4,81,"bottom",9,"2023-04-04T02:30:25.311Z","2023-04-04T02:32:21.376Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,666185,"Dylan Carlson","/api/v1/people/666185","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",86.5,79.9,13,0.9,0.4349,6.2974,23.522,-27.3454,10.8185,3.0002,-0.3873,1.4461,-9.9447,-125.56,-4.7467,2.204,50.0022,5.5651,17.4112,28.8,8.4,24,1740,122,NA,NA,NA,NA,NA,NA,FALSE,-31.9,4.6,-17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718727,"2023-04-03",0,"2023-04-04T02:30:12.891Z","2023-04-04T02:30:27.414Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Dylan Carlson replaces Nolan Gorman.","Offensive Substitution",8,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,666185,"/api/v1/people/666185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","601","81","atBat","Lineout","field_out","Dylan Carlson lines out to center fielder Michael Harris II.",0,8,4,81,"bottom",9,"2023-04-04T02:30:25.311Z","2023-04-04T02:32:21.376Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,666185,"Dylan Carlson","/api/v1/people/666185","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,669357,"/api/v1/people/669357",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718727,"2023-04-03",2,"2023-04-04T02:29:39.743Z","2023-04-04T02:29:53.361Z",TRUE,"pitch","3d2869de-5010-4b32-8770-047ea01e12c5",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,1,NA,NA,3.26,1.56,NA,118.28,132.89,"fly_ball","medium","8",120.56,63.28,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Flyout","field_out","Willson Contreras flies out to center fielder Michael Harris II.",0,8,4,80,"bottom",9,"2023-04-04T02:28:38.395Z","2023-04-04T02:29:53.361Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,575929,"Willson Contreras","/api/v1/people/575929","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Men_On",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,87.3,11,0.9,0.3946,6.2403,29.5239,-11.8994,5.7595,10.38,-0.0336,3.9217,-7.8217,-138.5379,-2.4814,2.0716,50.0052,5.6194,11.2531,37.2,3.6,24,2400,148,92.8,37,338,NA,NA,NA,TRUE,-11.5,18.5,-8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,571448,"Nolan Arenado","/api/v1/people/571448",NA,NA,NA,NA,NA,NA
718727,"2023-04-03",1,"2023-04-04T02:29:14.151Z","2023-04-04T02:29:18.621Z",TRUE,"pitch","921a7de0-6173-4d39-a09c-1d484b7d3341",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.26,1.56,NA,120.49,142.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Flyout","field_out","Willson Contreras flies out to center fielder Michael Harris II.",0,8,4,80,"bottom",9,"2023-04-04T02:28:38.395Z","2023-04-04T02:29:53.361Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,575929,"Willson Contreras","/api/v1/people/575929","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Men_On",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,87.6,11,0.9,0.394,6.3992,28.6581,-11.8756,4.8453,10.3549,-0.0916,3.56,-7.6352,-138.5847,-3.458,2.0597,50.0058,5.6079,9.5017,32.4,3.6,24,2331,146,NA,NA,NA,NA,NA,NA,FALSE,-11.6,18.2,-7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,571448,"Nolan Arenado","/api/v1/people/571448",NA,NA,NA,NA,NA,NA
718727,"2023-04-03",0,"2023-04-04T02:28:51.178Z","2023-04-04T02:28:54.325Z",TRUE,"pitch","25703ca5-b60c-45fa-83a6-fb49ed7e96fb",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.26,1.56,NA,113.61,138.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Flyout","field_out","Willson Contreras flies out to center fielder Michael Harris II.",0,8,4,80,"bottom",9,"2023-04-04T02:28:38.395Z","2023-04-04T02:29:53.361Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,575929,"Willson Contreras","/api/v1/people/575929","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Men_On",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,86.5,12,0.9,0.3962,6.3122,32.5391,-13.3881,5.2893,9.7209,0.089,3.7074,-7.6104,-138.5273,-2.8983,2.1917,50.0061,5.6689,10.2259,31.2,3.6,24,2276,144,NA,NA,NA,NA,NA,NA,FALSE,-13.2,17.2,-7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,571448,"Nolan Arenado","/api/v1/people/571448",NA,NA,NA,NA,NA,NA
718727,"2023-04-03",6,"2023-04-04T02:28:11.989Z","2023-04-04T02:28:24.653Z",TRUE,"pitch","52336a07-4df5-4a9d-ae14-0f95a2973771",6,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,2,1,NA,NA,3.27,1.64,NA,78.56,193.57,"line_drive","medium","8",151.37,88.7,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Single","single","Nolan Arenado singles on a line drive to center fielder Michael Harris II.",0,8,4,79,"bottom",9,"2023-04-04T02:25:32.379Z","2023-04-04T02:28:24.653Z",TRUE,FALSE,FALSE,FALSE,33,1,2,1,571448,"Nolan Arenado","/api/v1/people/571448","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Men_On",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",87.2,80.1,14,0.9,0.4318,6.1745,26.1354,-28.5662,9.7836,2.2166,1.0086,1.6743,-6.4074,-126.8694,-3.956,2.2967,50.0033,5.5324,15.9376,26.4,8.4,24,1717,117,84.4,13,211,NA,NA,NA,FALSE,-32.6,3.4,-16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,571448,"Nolan Arenado","/api/v1/people/571448",NA,NA,NA,NA,NA,NA
718727,"2023-04-03",4,"2023-04-04T02:27:35.615Z","2023-04-04T02:27:38.982Z",TRUE,"pitch","bf51b599-d93e-48d2-883d-c0439e430c55",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.27,1.64,NA,118.96,167.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Single","single","Nolan Arenado singles on a line drive to center fielder Michael Harris II.",0,8,4,79,"bottom",9,"2023-04-04T02:25:32.379Z","2023-04-04T02:28:24.653Z",TRUE,FALSE,FALSE,FALSE,33,1,2,1,571448,"Nolan Arenado","/api/v1/people/571448","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Men_On",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,86.4,5,0.91,0.397,6.3437,32.762,-10.1457,6.7653,11.4497,-0.0513,2.6529,-8.4352,-138.301,-6.0741,2.1689,50.0053,5.5681,13.0199,43.2,3.6,24,2441,143,NA,NA,NA,NA,NA,NA,FALSE,-10.9,19.4,-10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,571448,"Nolan Arenado","/api/v1/people/571448",NA,NA,NA,NA,NA,NA
718727,"2023-04-03",3,"2023-04-04T02:26:53.358Z","2023-04-04T02:26:59.087Z",TRUE,"pitch","38a2ce8e-f758-4b15-8632-8b752f5ec83c",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.27,1.64,NA,124.27,158.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Single","single","Nolan Arenado singles on a line drive to center fielder Michael Harris II.",0,8,4,79,"bottom",9,"2023-04-04T02:25:32.379Z","2023-04-04T02:28:24.653Z",TRUE,FALSE,FALSE,FALSE,33,1,2,1,571448,"Nolan Arenado","/api/v1/people/571448","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Men_On",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.8,88.2,2,0.9,0.3917,6.2869,28.6269,-13.4743,5.2061,9.4205,-0.1907,2.9651,-8.0744,-139.3658,-4.6958,2.0555,50.0042,5.5486,10.3364,31.2,3.6,24,2376,149,NA,NA,NA,NA,NA,NA,FALSE,-13.2,16.3,-7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,571448,"Nolan Arenado","/api/v1/people/571448",NA,NA,NA,NA,NA,NA
718727,"2023-04-03",2,"2023-04-04T02:26:32.910Z","2023-04-04T02:26:37.565Z",TRUE,"pitch","e031a238-b6ca-48b0-9712-7be7cec39082",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,1,NA,NA,3.27,1.64,NA,134.25,160.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Single","single","Nolan Arenado singles on a line drive to center fielder Michael Harris II.",0,8,4,79,"bottom",9,"2023-04-04T02:25:32.379Z","2023-04-04T02:28:24.653Z",TRUE,FALSE,FALSE,FALSE,33,1,2,1,571448,"Nolan Arenado","/api/v1/people/571448","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Men_On",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.7,86.8,1,0.9,0.3973,6.2922,29.3054,-12.3652,5.1447,10.279,-0.4525,2.8892,-8.6823,-137.6479,-5.0969,2.0679,50.0047,5.5958,9.9172,31.2,3.6,24,2319,149,NA,NA,NA,NA,NA,NA,FALSE,-12.7,17.8,-7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,571448,"Nolan Arenado","/api/v1/people/571448",NA,NA,NA,NA,NA,NA
718727,"2023-04-03",1,"2023-04-04T02:26:13.955Z","2023-04-04T02:26:19.146Z",TRUE,"pitch","291a6ba5-c6e6-43c3-a7fd-4c21f53c9497",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.2698,1.6151,NA,83.38,153.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Single","single","Nolan Arenado singles on a line drive to center fielder Michael Harris II.",0,8,4,79,"bottom",9,"2023-04-04T02:25:32.379Z","2023-04-04T02:28:24.653Z",TRUE,FALSE,FALSE,FALSE,33,1,2,1,571448,"Nolan Arenado","/api/v1/people/571448","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Men_On",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.6,88.1,12,0.89,0.3922,6.2695,28.3461,-14.4526,5.5967,8.9496,0.8821,3.1656,-5.8778,-139.1389,-4.2068,2.2849,50.0017,5.6409,11.081,32.4,3.6,24,2428,146,NA,NA,NA,NA,NA,NA,FALSE,-14,15.6,-9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,571448,"Nolan Arenado","/api/v1/people/571448",NA,NA,NA,NA,NA,NA
718727,"2023-04-03",0,"2023-04-04T02:25:49.862Z","2023-04-04T02:25:55.127Z",TRUE,"pitch","eb054743-a8f8-46a6-a193-097595991561",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.27,1.64,NA,123.9,190.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Single","single","Nolan Arenado singles on a line drive to center fielder Michael Harris II.",0,8,4,79,"bottom",9,"2023-04-04T02:25:32.379Z","2023-04-04T02:28:24.653Z",TRUE,FALSE,FALSE,FALSE,33,1,2,1,571448,"Nolan Arenado","/api/v1/people/571448","R","Right",621345,"A.J. Minter","/api/v1/people/621345","L","Left","vs_LHP","vs_RHB","Men_On",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",85.3,78.9,8,0.9,0.4406,6.0887,22.4837,-28.2602,11.2956,2.496,-0.1811,1.7828,-9.5301,-123.8611,-3.5412,2.2308,50.004,5.5693,17.7231,28.8,8.4,24,1940,121,NA,NA,NA,NA,NA,NA,FALSE,-33.5,4,-18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,571448,"Nolan Arenado","/api/v1/people/571448",NA,NA,NA,NA,NA,NA
