"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718215,"2023-05-12",4,"2023-05-12T04:25:01.936Z","2023-05-12T04:25:08.532Z",TRUE,"pitch","f4e01012-9dbe-4ada-a10d-5870c8993021",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.21,1.5,NA,159.6,209.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Alek Thomas strikes out swinging.",0,6,2,73,"bottom",9,"2023-05-12T04:24:05.455Z","2023-05-12T04:25:08.532Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677950,"Alek Thomas","/api/v1/people/677950","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.9,81.1,13,0.9,0.4277,6.7057,25.9916,-30.051,1.4158,1.2814,-1.1175,1.0804,1.0024,-127.9835,-5.1476,-1.698,50.0058,5.4666,2.3531,4.8,7.2,24,2321,91,NA,NA,NA,NA,NA,NA,TRUE,-34,1.4,-2.8,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",3,"2023-05-12T04:24:39.354Z","2023-05-12T04:24:43.061Z",TRUE,"pitch","1dc5ef6e-dd4f-431b-9e06-2fb4e3050cda",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.21,1.5,NA,94.78,188.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Alek Thomas strikes out swinging.",0,6,2,73,"bottom",9,"2023-05-12T04:24:05.455Z","2023-05-12T04:25:08.532Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677950,"Alek Thomas","/api/v1/people/677950","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.9,81.6,9,0.89,0.4211,6.476,30.9386,-27.1601,0.3444,2.9321,0.5828,1.8741,5.0759,-130.7335,-3.5022,-1.4392,50.0008,5.2997,0.587,3.6,7.2,24,2420,122,NA,NA,NA,NA,NA,NA,FALSE,-29.5,4.7,-1.9,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",2,"2023-05-12T04:24:23.690Z","2023-05-12T04:24:27.797Z",TRUE,"pitch","76bc0745-aee2-44da-944f-b6df633761f1",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.21,1.5,NA,111.81,173.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Alek Thomas strikes out swinging.",0,6,2,73,"bottom",9,"2023-05-12T04:24:05.455Z","2023-05-12T04:25:08.532Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677950,"Alek Thomas","/api/v1/people/677950","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.4,80.6,5,0.87,0.4241,6.3484,31.9145,-26.5692,-0.2972,3.3283,0.136,2.4198,4.1528,-130.0625,-2.1859,-1.4551,50.0003,5.3237,-0.5011,1.2,6,24,2363,109,NA,NA,NA,NA,NA,NA,FALSE,-29,5.6,-0.6,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",0,"2023-05-12T04:24:07.334Z","2023-05-12T04:24:13.516Z",TRUE,"pitch","7e81ce38-c8c6-4ead-8e77-1232bcbdcd32",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.2937,1.5749,NA,63.85,215.09,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Alek Thomas strikes out swinging.",0,6,2,73,"bottom",9,"2023-05-12T04:24:05.455Z","2023-05-12T04:25:08.532Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677950,"Alek Thomas","/api/v1/people/677950","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90,82.5,14,0.9,0.4194,6.4744,29.0537,-29.987,1.1566,1.2678,1.3943,0.8773,6.9823,-130.8652,-4.9538,-1.4648,50.0031,5.056,1.9938,6,7.2,24,2421,116,NA,NA,NA,NA,NA,NA,FALSE,-32.6,1.3,-3.7,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",1,"2023-05-12T04:24:18.629Z","2023-05-12T04:24:23.690Z",FALSE,"action",NA,NA,"Dominic Fletcher advances to 2nd on defensive indifference.","Defensive Indiff",6,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,2,666150,"/api/v1/people/666150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7e81ce38-c8c6-4ead-8e77-1232bcbdcd32","defensive_indiff",NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Alek Thomas strikes out swinging.",0,6,2,73,"bottom",9,"2023-05-12T04:24:05.455Z","2023-05-12T04:25:08.532Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677950,"Alek Thomas","/api/v1/people/677950","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",6,"2023-05-12T04:23:39.705Z","2023-05-12T04:23:44.347Z",TRUE,"pitch","a261f757-e2b0-46ff-ae44-0b6626936df5",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,1,NA,NA,3.2,1.51,NA,37.37,192.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Gabriel Moreno strikes out swinging.",0,6,2,72,"bottom",9,"2023-05-12T04:22:32.036Z","2023-05-12T04:23:44.347Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,672515,"Gabriel Moreno","/api/v1/people/672515","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.5,82.1,14,0.9,0.4216,6.586,28.5755,-30.8407,2.4348,0.779,2.0891,1.6966,8.1002,-130.1693,-3.0374,-1.3854,50.0005,5.2254,4.1571,10.8,7.2,24,2546,91,NA,NA,NA,NA,NA,NA,TRUE,-33.4,1,-6.2,NA,NA,NA,TRUE,FALSE,666150,"Dominic Fletcher","/api/v1/people/666150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",5,"2023-05-12T04:23:16.974Z","2023-05-12T04:23:20.860Z",TRUE,"pitch","013fd9b6-5d3d-4587-9150-b82b7cfbe9ad",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,1,NA,NA,3.2,1.51,NA,143.27,159.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Gabriel Moreno strikes out swinging.",0,6,2,72,"bottom",9,"2023-05-12T04:22:32.036Z","2023-05-12T04:23:44.347Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,672515,"Gabriel Moreno","/api/v1/people/672515","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.4,90.5,1,0.91,0.3814,6.5155,31.1658,-27.7144,-7.8458,2.1316,-0.6891,2.9416,5.6948,-143.2585,-1.4263,-1.6772,50.002,5.1681,-16.4085,28.8,6,24,2326,226,NA,NA,NA,NA,NA,NA,FALSE,-24.4,3.7,13.2,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",4,"2023-05-12T04:23:03.316Z","2023-05-12T04:23:07.231Z",TRUE,"pitch","8aa23d38-f715-4739-aeea-3d696235b969",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,1,NA,NA,3.228,1.5089,NA,139.19,160.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Gabriel Moreno strikes out swinging.",0,6,2,72,"bottom",9,"2023-05-12T04:22:32.036Z","2023-05-12T04:23:44.347Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,672515,"Gabriel Moreno","/api/v1/people/672515","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.2,88.5,1,0.91,0.39,6.5546,29.6517,-27.9548,-7.399,2.1094,-0.5821,2.9001,6.0128,-140.0682,-0.9779,-1.7882,50.0032,5.0705,-14.8007,25.2,6,24,2199,227,NA,NA,NA,NA,NA,NA,FALSE,-25.6,3.8,12.2,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",3,"2023-05-12T04:22:48.424Z","2023-05-12T04:22:52.730Z",TRUE,"pitch","daf33113-f813-4e52-bf24-433fe2bd7e41",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.3266,1.5089,NA,111.33,205.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Gabriel Moreno strikes out swinging.",0,6,2,72,"bottom",9,"2023-05-12T04:22:32.036Z","2023-05-12T04:23:44.347Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,672515,"Gabriel Moreno","/api/v1/people/672515","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.8,89,14,0.9,0.3888,6.4959,31.2345,-28.397,-7.2821,1.88,0.1487,1.2263,7.4225,-140.7351,-5.4049,-1.5738,50.0036,5.0054,-14.6427,24,6,24,2282,229,NA,NA,NA,NA,NA,NA,FALSE,-26.8,2.5,11.8,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",2,"2023-05-12T04:22:34.357Z","2023-05-12T04:22:38.456Z",TRUE,"pitch","568d06f5-d1df-4ab5-8d16-8258c3f192b8",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.4252,1.5749,NA,75.23,130.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Gabriel Moreno strikes out swinging.",0,6,2,72,"bottom",9,"2023-05-12T04:22:32.036Z","2023-05-12T04:23:44.347Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,672515,"Gabriel Moreno","/api/v1/people/672515","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.4,81.4,12,0.9,0.4247,6.3481,25.3599,-29.4435,2.2129,1.6198,1.0959,4.0214,6.1091,-128.7007,2.1796,-1.5909,50.0032,5.4356,3.7319,9.6,7.2,24,2291,105,NA,NA,NA,NA,NA,NA,FALSE,-31.2,3.6,-5.3,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",0,"2023-05-12T04:19:56.771Z","2023-05-12T04:21:18.862Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",6,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Gabriel Moreno strikes out swinging.",0,6,2,72,"bottom",9,"2023-05-12T04:22:32.036Z","2023-05-12T04:23:44.347Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,672515,"Gabriel Moreno","/api/v1/people/672515","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",1,"2023-05-12T04:21:18.862Z","2023-05-12T04:22:34.357Z",FALSE,"action",NA,NA,"Pitching Change: Camilo Doval replaces Cole Waites.","Pitching Substitution",6,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,666808,"/api/v1/people/666808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"72","atBat","Strikeout","strikeout","Gabriel Moreno strikes out swinging.",0,6,2,72,"bottom",9,"2023-05-12T04:22:32.036Z","2023-05-12T04:23:44.347Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,672515,"Gabriel Moreno","/api/v1/people/672515","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",6,"2023-05-12T04:19:27.851Z","2023-05-12T04:19:39.273Z",TRUE,"pitch","7d83e4a7-4e4f-494f-aa43-c0e6c10bdc22",7,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",3,2,1,NA,NA,3.104,1.448,NA,112.53,171.95,"ground_ball","medium","8",135.06,97.79,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Dominic Fletcher singles on a ground ball to center fielder Bryce Johnson. Pavin Smith scores. Christian Walker scores.",2,6,2,71,"bottom",9,"2023-05-12T04:17:31.925Z","2023-05-12T04:19:39.273Z",TRUE,TRUE,FALSE,FALSE,33,3,2,1,666150,"Dominic Fletcher","/api/v1/people/666150","L","Left",686972,"Cole Waites","/api/v1/people/686972","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.9,87.9,5,0.9,0.3919,7.2975,30.5679,-11.5186,-3.3553,10.435,0.1173,2.4751,5.9878,-139.602,-5.2382,-1.6166,50.0025,5.1299,-6.642,22.8,2.4,24,2494,203,92.2,0,48,NA,NA,NA,FALSE,-11.6,18,4.9,NA,NA,NA,FALSE,FALSE,666150,"Dominic Fletcher","/api/v1/people/666150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",5,"2023-05-12T04:19:06.444Z","2023-05-12T04:19:10.165Z",TRUE,"pitch","5d0c65b7-9618-4160-b322-dd63cf5a8af0",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,1,NA,NA,3.104,1.448,NA,101.02,151.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Dominic Fletcher singles on a ground ball to center fielder Bryce Johnson. Pavin Smith scores. Christian Walker scores.",2,6,2,71,"bottom",9,"2023-05-12T04:17:31.925Z","2023-05-12T04:19:39.273Z",TRUE,TRUE,FALSE,FALSE,33,3,2,1,666150,"Dominic Fletcher","/api/v1/people/666150","L","Left",686972,"Cole Waites","/api/v1/people/686972","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.9,87.8,3,0.9,0.3921,7.3021,30.4802,-12.6303,-2.1987,9.8815,0.4193,3.2167,6.7149,-139.5359,-3.1451,-1.7295,50.0037,5.1869,-4.3492,12,2.4,24,2315,199,NA,NA,NA,NA,NA,NA,FALSE,-12.2,17.4,2.6,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",4,"2023-05-12T04:18:44.856Z","2023-05-12T04:18:48.948Z",TRUE,"pitch","0c390169-bac8-470b-9449-77f34d342924",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,1,NA,NA,3.104,1.448,NA,128.34,170.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Dominic Fletcher singles on a ground ball to center fielder Bryce Johnson. Pavin Smith scores. Christian Walker scores.",2,6,2,71,"bottom",9,"2023-05-12T04:17:31.925Z","2023-05-12T04:19:39.273Z",TRUE,TRUE,FALSE,FALSE,33,3,2,1,666150,"Dominic Fletcher","/api/v1/people/666150","L","Left",686972,"Cole Waites","/api/v1/people/686972","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.9,87.4,4,0.9,0.393,7.1185,32.4108,-11.9614,-4.7403,10.2853,-0.2976,2.5311,5.6126,-139.5486,-5.0547,-1.7223,50.0042,5.1587,-9.3178,31.2,3.6,24,2570,207,NA,NA,NA,NA,NA,NA,FALSE,-12.1,17.8,7.3,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",3,"2023-05-12T04:18:28.242Z","2023-05-12T04:18:34.533Z",TRUE,"pitch","0b182604-0985-4795-bdd2-81568c50f3e1",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.2937,1.5096,NA,162.02,172.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Dominic Fletcher singles on a ground ball to center fielder Bryce Johnson. Pavin Smith scores. Christian Walker scores.",2,6,2,71,"bottom",9,"2023-05-12T04:17:31.925Z","2023-05-12T04:19:39.273Z",TRUE,TRUE,FALSE,FALSE,33,3,2,1,666150,"Dominic Fletcher","/api/v1/people/666150","L","Left",686972,"Cole Waites","/api/v1/people/686972","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.2,88.4,11,0.91,0.3881,7.1708,33.6286,-11.2205,-5.3565,10.3988,-1.181,2.4686,3.665,-141.3879,-5.4785,-1.8012,50.0064,5.1582,-10.7969,38.4,3.6,24,2533,210,NA,NA,NA,NA,NA,NA,FALSE,-11.3,17.9,8.9,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718215,"2023-05-12",2,"2023-05-12T04:18:12.255Z","2023-05-12T04:18:16.414Z",TRUE,"pitch","e87844e0-1b05-48ba-b327-342a6f8aa465",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,1,NA,NA,3.104,1.448,NA,128.89,170.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Dominic Fletcher singles on a ground ball to center fielder Bryce Johnson. Pavin Smith scores. Christian Walker scores.",2,6,2,71,"bottom",9,"2023-05-12T04:17:31.925Z","2023-05-12T04:19:39.273Z",TRUE,TRUE,FALSE,FALSE,33,3,2,1,666150,"Dominic Fletcher","/api/v1/people/666150","L","Left",686972,"Cole Waites","/api/v1/people/686972","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,86.9,4,0.9,0.3956,7.4,31.0744,-10.8291,-4.4247,10.9987,-0.3119,2.5449,5.7238,-138.4761,-5.3449,-1.8314,50.0066,5.2254,-8.5906,31.2,2.4,24,2518,206,NA,NA,NA,NA,NA,NA,FALSE,-11.3,19,6.8,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
