"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717840,"2023-06-08",1,"2023-06-09T02:54:09.497Z","2023-06-09T02:54:41.266Z",TRUE,"pitch","af35ac36-8654-4849-8adc-7617116fb0d3",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,0,2,NA,NA,3.21,1.6,NA,107.05,175.43,"fly_ball","medium","9",231.89,70.97,NA,NA,NA,NA,NA,NA,NA,NA,"98","atBat","Home Run","home_run","Ozzie Albies homers (14) on a fly ball to right field. Sam Hilliard scores. Travis d'Arnaud scores.",3,10,13,98,"bottom",10,"2023-06-09T02:53:42.262Z","2023-06-09T02:54:41.266Z",TRUE,TRUE,FALSE,FALSE,75,1,0,2,645277,"Ozzie Albies","/api/v1/people/645277","L","Left",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.3,85,5,0.91,0.4095,6.5601,24.4509,-20.6194,1.1559,6.3521,0.261,2.3463,5.5515,-132.981,-5.4895,-1.9908,50.0009,5.9014,2.0997,8.4,4.8,24,2570,191,110.7,26,408,NA,NA,NA,FALSE,-21.7,10.7,-3.1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",0,"2023-06-09T02:53:52.553Z","2023-06-09T02:53:57.419Z",TRUE,"pitch","f1d129a5-b9c5-49b7-80cb-826ee97c6620",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.1868,1.5994,NA,82.45,166.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98","atBat","Home Run","home_run","Ozzie Albies homers (14) on a fly ball to right field. Sam Hilliard scores. Travis d'Arnaud scores.",3,10,13,98,"bottom",10,"2023-06-09T02:53:42.262Z","2023-06-09T02:54:41.266Z",TRUE,TRUE,FALSE,FALSE,75,1,0,2,645277,"Ozzie Albies","/api/v1/people/645277","L","Left",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.3,85,12,0.91,0.4096,6.3735,24.047,-22.4429,0.9401,5.3529,0.9064,2.69,6.8384,-132.8841,-4.4085,-1.8051,50.003,5.9673,1.7086,7.2,4.8,24,2572,186,NA,NA,NA,NA,NA,NA,FALSE,-23.3,9.1,-3,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",2,"2023-06-09T02:53:07.063Z","2023-06-09T02:53:17.888Z",TRUE,"pitch","c4546bcc-3562-4665-83a3-52c5587998bb",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,1,NA,NA,3.31,1.61,NA,97.11,213.31,"line_drive","medium","7",77.11,99.51,NA,NA,NA,NA,NA,NA,NA,NA,"97","atBat","Lineout","field_out","Eddie Rosario lines out to left fielder Tommy Pham.",0,10,10,97,"bottom",10,"2023-06-09T02:51:56.528Z","2023-06-09T02:53:17.888Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,592696,"Eddie Rosario","/api/v1/people/592696","L","Left",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","true",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",83.8,78.1,14,0.9,0.4479,6.5571,22.3953,-34.6233,4.4736,-1.6125,0.5219,0.9432,4.3944,-121.9559,-5.2312,-1.88,50.0051,6.0787,6.7862,12,9.6,24,2922,77,80.8,29,277,NA,NA,NA,TRUE,-42.6,-3.8,-9.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,656541,"Sam Hilliard","/api/v1/people/656541",518595,"Travis d'Arnaud","/api/v1/people/518595",NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",1,"2023-06-09T02:52:40.858Z","2023-06-09T02:52:46.264Z",TRUE,"pitch","41f037e3-461e-4cfe-80a5-6307f3abff60",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.31,1.61,NA,123.7,161.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97","atBat","Lineout","field_out","Eddie Rosario lines out to left fielder Tommy Pham.",0,10,10,97,"bottom",10,"2023-06-09T02:51:56.528Z","2023-06-09T02:53:17.888Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,592696,"Eddie Rosario","/api/v1/people/592696","L","Left",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.7,86.7,2,0.92,0.4,6.622,26.6075,-19.7625,-6.9861,6.5178,-0.1758,2.8566,6.1049,-136.3176,-5.3948,-1.5236,50.0044,6.2024,-13.3067,30,4.8,24,2463,210,NA,NA,NA,NA,NA,NA,FALSE,-19.9,11,11.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",0,"2023-06-09T02:52:18.557Z","2023-06-09T02:52:23.411Z",TRUE,"pitch","f32e2d46-50e2-43a5-b687-b91783118dfd",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.31,1.61,NA,110.77,191.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97","atBat","Lineout","field_out","Eddie Rosario lines out to left fielder Tommy Pham.",0,10,10,97,"bottom",10,"2023-06-09T02:51:56.528Z","2023-06-09T02:53:17.888Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,592696,"Eddie Rosario","/api/v1/people/592696","L","Left",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94,86.2,8,0.9,0.4012,6.6642,29.7173,-22.3258,-9.3096,5.2162,0.1635,1.7328,7.857,-136.4771,-7.3896,-1.5415,50.0064,6.0108,-17.5856,33.6,6,24,2553,212,NA,NA,NA,NA,NA,NA,FALSE,-23,8,15.2,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",4,"2023-06-09T02:51:27.924Z","2023-06-09T02:51:36.485Z",TRUE,"pitch","73564248-cc22-4941-9818-ee85bb5170ae",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,1,1,NA,NA,3.4521,1.5694,NA,135.25,218.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96","atBat","Walk","walk","Travis d'Arnaud walks.",0,10,10,96,"bottom",10,"2023-06-09T02:49:56.395Z","2023-06-09T02:51:36.485Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,518595,"Travis d'Arnaud","/api/v1/people/518595","R","Right",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","true",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.2,76.4,13,0.91,0.4574,6.3522,23.1817,-38.1857,5.4443,-4.1441,-0.4787,0.7352,1.9401,-119.7546,-4.4718,-2.0066,50.0012,6.0435,7.9039,12,10.8,24,2934,72,NA,NA,NA,NA,NA,NA,FALSE,-48.7,-8.3,-10.3,NA,NA,NA,NA,NA,NA,FALSE,FALSE,656541,"Sam Hilliard","/api/v1/people/656541",518595,"Travis d'Arnaud","/api/v1/people/518595",NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",3,"2023-06-09T02:51:04.677Z","2023-06-09T02:51:09.492Z",TRUE,"pitch","bf79ffdd-dabb-490e-a261-e6847228a4a7",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.4521,1.5467,NA,21,202.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96","atBat","Walk","walk","Travis d'Arnaud walks.",0,10,10,96,"bottom",10,"2023-06-09T02:49:56.395Z","2023-06-09T02:51:36.485Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,518595,"Travis d'Arnaud","/api/v1/people/518595","R","Right",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.1,85.5,14,0.91,0.4081,6.2785,25.9894,-19.8269,2.64,6.7526,2.5185,1.3498,9.5217,-133.694,-8.4559,-1.4173,50.0049,5.9504,4.8306,16.8,4.8,24,2648,188,NA,NA,NA,NA,NA,NA,FALSE,-21.4,10.7,-6.6,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",2,"2023-06-09T02:50:43.937Z","2023-06-09T02:50:48.887Z",TRUE,"pitch","8fff5e62-de7a-479a-8795-ebf8f080e0b2",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,1,1,NA,NA,3.43,1.57,NA,115.42,178.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96","atBat","Walk","walk","Travis d'Arnaud walks.",0,10,10,96,"bottom",10,"2023-06-09T02:49:56.395Z","2023-06-09T02:51:36.485Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,518595,"Travis d'Arnaud","/api/v1/people/518595","R","Right",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91,84.6,5,0.92,0.4111,6.0355,24.492,-18.7614,2.1071,7.4346,0.0415,2.2181,4.0843,-132.507,-6.478,-1.785,50.0014,6.0343,3.8001,13.2,4.8,24,2607,200,NA,NA,NA,NA,NA,NA,FALSE,-20.2,12.5,-4.6,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",1,"2023-06-09T02:50:25.006Z","2023-06-09T02:50:29.540Z",TRUE,"pitch","421c7717-de17-4fbf-8bbb-18b85201798c",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.4295,1.5467,NA,90.6,143.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96","atBat","Walk","walk","Travis d'Arnaud walks.",0,10,10,96,"bottom",10,"2023-06-09T02:49:56.395Z","2023-06-09T02:51:36.485Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,518595,"Travis d'Arnaud","/api/v1/people/518595","R","Right",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.2,84.6,3,0.91,0.4101,6.4078,24.882,-21.4795,1.9736,5.9013,0.6927,3.524,6.0964,-132.8703,-2.5999,-1.8755,50.0032,6.0533,3.5742,12,4.8,24,2635,182,NA,NA,NA,NA,NA,NA,FALSE,-22.1,10.4,-4.7,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",0,"2023-06-09T02:50:07.449Z","2023-06-09T02:50:12.094Z",TRUE,"pitch","6feb23f3-ddbe-4886-a306-3aec067f12a1",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.4068,1.5467,NA,68.62,200.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96","atBat","Walk","walk","Travis d'Arnaud walks.",0,10,10,96,"bottom",10,"2023-06-09T02:49:56.395Z","2023-06-09T02:51:36.485Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,518595,"Travis d'Arnaud","/api/v1/people/518595","R","Right",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.8,85.3,14,0.91,0.4086,6.255,25.361,-19.9576,1.5267,6.6944,1.2693,1.4069,7.4381,-133.4222,-7.9947,-1.7391,50.0065,5.8504,2.7855,10.8,4.8,24,2495,193,NA,NA,NA,NA,NA,NA,FALSE,-21.5,10.8,-4.2,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",8,"2023-06-09T02:49:21.418Z","2023-06-09T02:49:33.891Z",TRUE,"pitch","437592b1-7763-4f26-9a6a-69d590e90588",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,0,NA,NA,3.47,1.64,NA,117.83,175.5,"popup","medium","5",105,188.98,NA,NA,NA,NA,NA,NA,NA,NA,"95","atBat","Pop Out","field_out","Austin Riley pops out to third baseman Brett Baty in foul territory.",0,10,10,95,"bottom",10,"2023-06-09T02:47:52.010Z","2023-06-09T02:49:33.891Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,663586,"Austin Riley","/api/v1/people/663586","R","Right",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",83.7,77.6,5,0.9,0.4482,6.3754,22.9958,-35.6698,3.5603,-2.3088,-0.0219,2.3437,3.1683,-121.9846,-2.0645,-1.798,50.003,6.2632,5.3891,9.6,9.6,24,2891,73,88.7,77,61,NA,NA,NA,TRUE,-43.2,-4.4,-7.2,NA,NA,NA,NA,NA,NA,TRUE,FALSE,656541,"Sam Hilliard","/api/v1/people/656541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",7,"2023-06-09T02:48:54.414Z","2023-06-09T02:49:00.172Z",TRUE,"pitch","c6ec1a21-02cf-40ea-a268-680132a0679a",4,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,2,0,NA,NA,3.4015,1.5713,NA,68.92,256.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95","atBat","Pop Out","field_out","Austin Riley pops out to third baseman Brett Baty in foul territory.",0,10,10,95,"bottom",10,"2023-06-09T02:47:52.010Z","2023-06-09T02:49:33.891Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,663586,"Austin Riley","/api/v1/people/663586","R","Right",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",83.2,78.1,14,0.91,0.4518,6.6949,22.1937,-38.1102,4.3421,-3.9869,1.2613,-0.6529,5.8645,-120.9455,-7.9646,-1.753,50.0017,5.9991,6.4705,10.8,10.8,24,2938,63,NA,NA,NA,NA,NA,NA,FALSE,-48.2,-8.8,-9.2,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",6,"2023-06-09T02:48:31.162Z","2023-06-09T02:48:35.299Z",TRUE,"pitch","d75f8e97-802f-437c-b067-f44d6442adad",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.47,1.64,NA,88.7,192.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95","atBat","Pop Out","field_out","Austin Riley pops out to third baseman Brett Baty in foul territory.",0,10,10,95,"bottom",10,"2023-06-09T02:47:52.010Z","2023-06-09T02:49:33.891Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,663586,"Austin Riley","/api/v1/people/663586","R","Right",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",83.8,77.8,9,0.91,0.4484,6.4226,23.5719,-36.0883,6.396,-2.5915,0.7424,1.7124,4.0491,-122.0665,-3.4546,-1.7675,50.0006,6.2465,9.6699,15.6,10.8,24,2906,82,NA,NA,NA,NA,NA,NA,FALSE,-44,-5.3,-12.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",5,"2023-06-09T02:48:11.099Z","2023-06-09T02:48:16.740Z",TRUE,"pitch","21fcb5b8-7619-4e8d-91fc-482fe52918db",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,0,NA,NA,3.4695,1.6394,NA,119.4,180.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95","atBat","Pop Out","field_out","Austin Riley pops out to third baseman Brett Baty in foul territory.",0,10,10,95,"bottom",10,"2023-06-09T02:47:52.010Z","2023-06-09T02:49:33.891Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,663586,"Austin Riley","/api/v1/people/663586","R","Right",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.1,84.4,8,0.81,0.4088,6.4657,28.3867,-14.9695,-6.1206,9.4604,-0.063,2.1545,5.7666,-133.8736,-7.5619,-1.4477,50.0035,6.0834,-11.1316,31.2,4.8,24,2469,206,NA,NA,NA,NA,NA,NA,FALSE,-16.6,15.7,9.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",4,"2023-06-09T02:47:54.277Z","2023-06-09T02:47:58.239Z",TRUE,"pitch","576183cc-223a-4726-a26f-d5453a268d99",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,0,NA,NA,3.47,1.64,NA,105.62,154.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95","atBat","Pop Out","field_out","Austin Riley pops out to third baseman Brett Baty in foul territory.",0,10,10,95,"bottom",10,"2023-06-09T02:47:52.010Z","2023-06-09T02:49:33.891Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,663586,"Austin Riley","/api/v1/people/663586","R","Right",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.7,84.1,3,0.91,0.4126,6.6942,24.7365,-19.4618,1.3657,7.106,0.2985,3.1071,5.1807,-132.0868,-3.9271,-1.8557,50.0061,6.0211,2.4449,9.6,4.8,24,2503,187,NA,NA,NA,NA,NA,NA,FALSE,-20.5,12.4,-3.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",0,"2023-06-09T02:46:42.477Z","2023-06-09T02:46:42.514Z",FALSE,"action",NA,NA,"Mark Canha remains in the game as the first baseman.","Defensive Switch",10,10,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,592192,"/api/v1/people/592192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"3","First Base","Infielder","1B","901","95","atBat","Pop Out","field_out","Austin Riley pops out to third baseman Brett Baty in foul territory.",0,10,10,95,"bottom",10,"2023-06-09T02:47:52.010Z","2023-06-09T02:49:33.891Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,663586,"Austin Riley","/api/v1/people/663586","R","Right",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,668901,"/api/v1/people/668901",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717840,"2023-06-08",1,"2023-06-09T02:46:42.514Z","2023-06-09T02:47:22.379Z",FALSE,"action",NA,NA,"Pitching Change: Tommy Hunter replaces David Robertson.","Pitching Substitution",10,10,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,488984,"/api/v1/people/488984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"95","atBat","Pop Out","field_out","Austin Riley pops out to third baseman Brett Baty in foul territory.",0,10,10,95,"bottom",10,"2023-06-09T02:47:52.010Z","2023-06-09T02:49:33.891Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,663586,"Austin Riley","/api/v1/people/663586","R","Right",488984,"Tommy Hunter","/api/v1/people/488984","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
