"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718666,"2023-04-08",6,"2023-04-08T20:39:41.012Z","2023-04-08T20:39:45.345Z",TRUE,"pitch","b8237a0a-d026-41fd-a46f-f9ab4ddd4049",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,2,NA,NA,3.371,1.535,NA,129.32,128.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Yainer Diaz strikes out swinging.",0,6,9,75,"top",9,"2023-04-08T20:38:57.530Z","2023-04-08T20:39:45.345Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,673237,"Yainer Diaz","/api/v1/people/673237","R","Right",661395,"Jhoan Duran","/api/v1/people/661395","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101.3,93.5,11,2,0.3697,6.6755,31.0755,-12.8832,-6.7669,8.653,-0.3233,4.0987,7.3839,-147.4838,-3.637,-1.9657,50.007,6.0939,-15.0929,44.4,3.6,24,2112,225,NA,NA,NA,NA,NA,NA,TRUE,-11.2,15.2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718666,"2023-04-08",5,"2023-04-08T20:39:17.251Z","2023-04-08T20:39:22.468Z",TRUE,"pitch","4bcbc827-6c72-4356-bc5b-c6d4f5ac12c1",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.371,1.535,NA,110.38,175.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Yainer Diaz strikes out swinging.",0,6,9,75,"top",9,"2023-04-08T20:38:57.530Z","2023-04-08T20:39:45.345Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,673237,"Yainer Diaz","/api/v1/people/673237","R","Right",661395,"Jhoan Duran","/api/v1/people/661395","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.6,82.2,5,2,0.4261,6.6846,21.6402,-38.3098,0.9666,-3.6462,0.1738,2.3567,4.8684,-127.6417,-2.4227,-1.8694,50.006,6.281,1.6244,3.6,9.6,24,2724,43,NA,NA,NA,NA,NA,NA,FALSE,-42,-7,-2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718666,"2023-04-08",3,"2023-04-08T20:38:59.603Z","2023-04-08T20:39:07.184Z",TRUE,"pitch","cb3347ff-5940-49c1-95c7-1bd9b04dc907",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.081,1.4447,NA,88.48,174.18,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Yainer Diaz strikes out swinging.",0,6,9,75,"top",9,"2023-04-08T20:38:57.530Z","2023-04-08T20:39:45.345Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,673237,"Yainer Diaz","/api/v1/people/673237","R","Right",661395,"Jhoan Duran","/api/v1/people/661395","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.2,81.4,6,2,0.4295,6.4108,23.2601,-41.863,2.4911,-5.8672,0.7482,2.3924,5.4299,-126.9925,-1.5395,-1.7317,50.0014,6.3026,4.1142,7.2,10.8,24,2687,39,NA,NA,NA,NA,NA,NA,FALSE,-46.3,-10.8,-5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718666,"2023-04-08",0,"2023-04-08T20:36:20.691Z","2023-04-08T20:36:28.015Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Yainer Diaz replaces Martin Maldonado.","Offensive Substitution",6,9,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,673237,"/api/v1/people/673237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","75","atBat","Strikeout","strikeout","Yainer Diaz strikes out swinging.",0,6,9,75,"top",9,"2023-04-08T20:38:57.530Z","2023-04-08T20:39:45.345Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,673237,"Yainer Diaz","/api/v1/people/673237","R","Right",661395,"Jhoan Duran","/api/v1/people/661395","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,455117,"/api/v1/people/455117",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718666,"2023-04-08",1,"2023-04-08T20:36:28.015Z","2023-04-08T20:36:43.256Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",6,9,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Yainer Diaz strikes out swinging.",0,6,9,75,"top",9,"2023-04-08T20:38:57.530Z","2023-04-08T20:39:45.345Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,673237,"Yainer Diaz","/api/v1/people/673237","R","Right",661395,"Jhoan Duran","/api/v1/people/661395","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718666,"2023-04-08",2,"2023-04-08T20:36:43.256Z","2023-04-08T20:38:59.603Z",FALSE,"action",NA,NA,"Pitching Change: Jhoan Duran replaces Jovani Moran.","Pitching Substitution",6,9,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,661395,"/api/v1/people/661395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"75","atBat","Strikeout","strikeout","Yainer Diaz strikes out swinging.",0,6,9,75,"top",9,"2023-04-08T20:38:57.530Z","2023-04-08T20:39:45.345Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,673237,"Yainer Diaz","/api/v1/people/673237","R","Right",661395,"Jhoan Duran","/api/v1/people/661395","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718666,"2023-04-08",4,"2023-04-08T20:39:15.955Z","2023-04-08T20:39:17.251Z",FALSE,"action",NA,NA,"Jake Meyers advances to 2nd on defensive indifference.","Defensive Indiff",6,9,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,1,2,676694,"/api/v1/people/676694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cb3347ff-5940-49c1-95c7-1bd9b04dc907","defensive_indiff",NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Yainer Diaz strikes out swinging.",0,6,9,75,"top",9,"2023-04-08T20:38:57.530Z","2023-04-08T20:39:45.345Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,673237,"Yainer Diaz","/api/v1/people/673237","R","Right",661395,"Jhoan Duran","/api/v1/people/661395","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718666,"2023-04-08",4,"2023-04-08T20:35:19.747Z","2023-04-08T20:35:28.303Z",TRUE,"pitch","a2c652a1-5d9e-4a1c-96c9-4b713a3ad4f9",3,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,1,2,NA,NA,3.12,1.44,NA,106.5,197.35,"ground_ball","medium","5",109.55,162.06,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Single","single","Jake Meyers singles on a ground ball to shortstop Carlos Correa, deflected by third baseman Jose Miranda. David Hensley to 3rd.",0,6,9,74,"top",9,"2023-04-08T20:34:37.234Z","2023-04-08T20:35:28.303Z",TRUE,FALSE,FALSE,FALSE,33,1,1,2,676694,"Jake Meyers","/api/v1/people/676694","R","Right",663558,"Jovani Moran","/api/v1/people/663558","L","Left","vs_LHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",82.8,76.3,8,0.91,0.4543,6.8127,23.084,-27.8984,10.1658,2.9062,0.2754,1.5346,-5.1868,-120.498,-4.116,1.1332,50.0059,5.7258,14.9742,26.4,8.4,24,1984,143,73.4,3,49,NA,NA,NA,FALSE,-35.3,4.6,-17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,676694,"Jake Meyers","/api/v1/people/676694",NA,NA,NA,682073,"David Hensley","/api/v1/people/682073"
718666,"2023-04-08",2,"2023-04-08T20:34:58.513Z","2023-04-08T20:35:07.980Z",TRUE,"pitch","4b6c3e2c-6ebf-44a6-9dd7-4a58b79d695e",2,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",1,1,2,NA,NA,3.12,1.44,NA,79.95,177.55,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"74","atBat","Single","single","Jake Meyers singles on a ground ball to shortstop Carlos Correa, deflected by third baseman Jose Miranda. David Hensley to 3rd.",0,6,9,74,"top",9,"2023-04-08T20:34:37.234Z","2023-04-08T20:35:28.303Z",TRUE,FALSE,FALSE,FALSE,33,1,1,2,676694,"Jake Meyers","/api/v1/people/676694","R","Right",663558,"Jovani Moran","/api/v1/people/663558","L","Left","vs_LHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",83.1,76.7,14,0.9,0.4518,6.6331,22.4945,-23.2638,7.7744,5.9822,0.972,2.2679,-3.158,-121.0092,-3.6398,1.2801,50.006,5.8179,11.5904,25.2,7.2,24,1912,141,NA,NA,NA,NA,NA,NA,FALSE,-29.2,10.3,-13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718666,"2023-04-08",1,"2023-04-08T20:34:39.554Z","2023-04-08T20:34:43.127Z",TRUE,"pitch","56acbedc-7548-42eb-8454-6259f21b61c6",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,2.9155,1.3497,NA,63.76,138.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Single","single","Jake Meyers singles on a ground ball to shortstop Carlos Correa, deflected by third baseman Jose Miranda. David Hensley to 3rd.",0,6,9,74,"top",9,"2023-04-08T20:34:37.234Z","2023-04-08T20:35:28.303Z",TRUE,FALSE,FALSE,FALSE,33,1,1,2,676694,"Jake Meyers","/api/v1/people/676694","R","Right",663558,"Jovani Moran","/api/v1/people/663558","L","Left","vs_LHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",84.5,77.5,12,0.89,0.4449,6.7866,24.2781,-25.4693,7.8512,4.3694,1.3966,3.7208,-2.4176,-123.0808,0.0131,1.3711,50.0043,5.871,12.0546,24,7.2,24,1910,150,NA,NA,NA,NA,NA,NA,FALSE,-30,8.2,-13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718666,"2023-04-08",0,"2023-04-08T20:33:53.975Z","2023-04-08T20:34:39.554Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",6,9,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"74","atBat","Single","single","Jake Meyers singles on a ground ball to shortstop Carlos Correa, deflected by third baseman Jose Miranda. David Hensley to 3rd.",0,6,9,74,"top",9,"2023-04-08T20:34:37.234Z","2023-04-08T20:35:28.303Z",TRUE,FALSE,FALSE,FALSE,33,1,1,2,676694,"Jake Meyers","/api/v1/people/676694","R","Right",663558,"Jovani Moran","/api/v1/people/663558","L","Left","vs_LHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718666,"2023-04-08",3,"2023-04-08T20:35:32.160Z","2023-04-08T20:35:33.160Z",FALSE,"action",NA,NA,"David Hensley advances to 2nd on defensive indifference.","Defensive Indiff",6,9,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,1,2,682073,"/api/v1/people/682073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b6c3e2c-6ebf-44a6-9dd7-4a58b79d695e","defensive_indiff",NA,NA,NA,NA,NA,NA,"74","atBat","Single","single","Jake Meyers singles on a ground ball to shortstop Carlos Correa, deflected by third baseman Jose Miranda. David Hensley to 3rd.",0,6,9,74,"top",9,"2023-04-08T20:34:37.234Z","2023-04-08T20:35:28.303Z",TRUE,FALSE,FALSE,FALSE,33,1,1,2,676694,"Jake Meyers","/api/v1/people/676694","R","Right",663558,"Jovani Moran","/api/v1/people/663558","L","Left","vs_LHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718666,"2023-04-08",3,"2023-04-08T20:33:25.012Z","2023-04-08T20:33:37.506Z",TRUE,"pitch","a41356d7-25e4-473e-afe7-213d4ec7e37f",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,2,2,NA,NA,3.38,1.67,NA,137.28,162.39,"line_drive","medium","9",180.42,120.17,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Single","single","David Hensley singles on a line drive to right fielder Trevor Larnach.",0,6,9,73,"top",9,"2023-04-08T20:32:37.150Z","2023-04-08T20:33:37.506Z",TRUE,FALSE,FALSE,FALSE,33,1,2,2,682073,"David Hensley","/api/v1/people/682073","R","Right",663558,"Jovani Moran","/api/v1/people/663558","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93,85,4,0.91,0.4048,7.0919,29.5853,-12.4017,1.4145,10.6625,-0.5321,2.8294,-4.7014,-135.3191,-4.9832,1.0441,50.0008,5.5639,2.6233,7.2,2.4,24,2274,171,71.5,19,176,NA,NA,NA,FALSE,-13.2,18.5,-1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,682073,"David Hensley","/api/v1/people/682073",NA,NA,NA,NA,NA,NA
718666,"2023-04-08",2,"2023-04-08T20:33:08.913Z","2023-04-08T20:33:13.093Z",TRUE,"pitch","a7acc94f-095f-45fe-8b1f-910d3862c4a3",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.091,1.4371,NA,76.95,224.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Single","single","David Hensley singles on a line drive to right fielder Trevor Larnach.",0,6,9,73,"top",9,"2023-04-08T20:32:37.150Z","2023-04-08T20:33:37.506Z",TRUE,FALSE,FALSE,FALSE,33,1,2,2,682073,"David Hensley","/api/v1/people/682073","R","Right",663558,"Jovani Moran","/api/v1/people/663558","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",85.4,79,14,0.88,0.4399,6.8942,23.8519,-23.1265,7.5305,5.7541,1.0508,0.5343,-2.625,-124.2986,-7.7221,1.1395,50.0003,5.5881,11.8354,25.2,7.2,24,1824,149,NA,NA,NA,NA,NA,NA,FALSE,-28.4,9,-13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718666,"2023-04-08",1,"2023-04-08T20:32:53.242Z","2023-04-08T20:32:57.621Z",TRUE,"pitch","8f8282f4-10ed-4eb4-a2d4-8f6d7803ae6b",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,2,NA,NA,3.091,1.5233,NA,91.92,159.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Single","single","David Hensley singles on a line drive to right fielder Trevor Larnach.",0,6,9,73,"top",9,"2023-04-08T20:32:37.150Z","2023-04-08T20:33:37.506Z",TRUE,FALSE,FALSE,FALSE,33,1,2,2,682073,"David Hensley","/api/v1/people/682073","R","Right",663558,"Jovani Moran","/api/v1/people/663558","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.3,85.4,3,0.91,0.4031,7.0574,29.325,-12.126,0.2071,10.7178,0.658,2.9458,-1.3016,-135.8139,-4.768,1.1163,50.0056,5.5654,0.3875,0,2.4,24,2361,170,NA,NA,NA,NA,NA,NA,FALSE,-12.7,18.6,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718666,"2023-04-08",0,"2023-04-08T20:32:37.172Z","2023-04-08T20:32:40.906Z",TRUE,"pitch","b07772ff-3711-4c96-b14a-ae7efe39488c",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.38,1.67,NA,98.35,162.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Single","single","David Hensley singles on a line drive to right fielder Trevor Larnach.",0,6,9,73,"top",9,"2023-04-08T20:32:37.150Z","2023-04-08T20:33:37.506Z",TRUE,FALSE,FALSE,FALSE,33,1,2,2,682073,"David Hensley","/api/v1/people/682073","R","Right",663558,"Jovani Moran","/api/v1/people/663558","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.2,84.3,6,0.91,0.406,6.887,32.8791,-12.7932,0.8989,10.5446,0.4893,2.8238,-2.3875,-135.5232,-5.1634,1.2696,50.0066,5.6659,1.6531,4.8,3.6,24,2300,170,NA,NA,NA,NA,NA,NA,FALSE,-13.8,18,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718666,"2023-04-08",1,"2023-04-08T20:31:50.982Z","2023-04-08T20:32:16.032Z",TRUE,"pitch","620e7ac8-eaad-4a8a-8318-373316f0a4ba",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,0,2,NA,NA,3.57,1.75,NA,124.85,176.83,"fly_ball","medium","7",27.49,89.47,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Home Run","home_run","Jeremy Pena homers (2) on a fly ball to left field. Jose Abreu scores.",2,6,9,72,"top",9,"2023-04-08T20:31:34.786Z","2023-04-08T20:32:16.032Z",TRUE,TRUE,FALSE,FALSE,95,1,0,2,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",663558,"Jovani Moran","/api/v1/people/663558","L","Left","vs_LHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Minnesota Twins","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",85.2,77.8,8,0.86,0.4427,6.9003,25.9086,-24.2508,6.921,5.1174,-0.206,2.2943,-5.8317,-123.9638,-3.549,1.2833,50.0048,5.7803,10.7205,20.4,7.2,24,2002,147,105.1,22,363,NA,NA,NA,FALSE,-29.2,8.6,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
