"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
745412,"2024-05-29",3,"2024-05-29T03:41:23.711Z","2024-05-29T03:41:28.823Z",TRUE,"pitch","e5fc7742-d374-4a89-8fd5-853e7fe46fe6",4,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",1,3,2,NA,NA,3.68,1.7,NA,133.13,222.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Nick Gordon strikes out swinging.",0,0,4,66,"top",9,"2024-05-29T03:40:06.132Z","2024-05-29T03:41:28.823Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,624503,"Nick Gordon","/api/v1/people/624503","L","Left",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",85,77.9,13,0.9,0.444,7.0167,26.1041,-26.0691,-9.5866,3.9633,-0.4232,0.6037,3.3845,-123.6555,-6.338,-0.5692,50.0007,5.4055,-14.7503,27.6,8.4,24,1399,227,NA,NA,NA,NA,NA,NA,TRUE,-32.2,5.9,16.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",2,"2024-05-29T03:41:08.150Z","2024-05-29T03:41:11.920Z",TRUE,"pitch","063ec80b-e8a8-4ced-9dbb-fc43cfbf66b1",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.6402,1.8134,NA,177.12,148.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Nick Gordon strikes out swinging.",0,0,4,66,"top",9,"2024-05-29T03:40:06.132Z","2024-05-29T03:41:28.823Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,624503,"Nick Gordon","/api/v1/people/624503","L","Left",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.1,89.9,11,0.92,0.381,6.6069,35.8254,-7.3502,-1.5716,11.8803,-1.5773,3.3414,-2.55,-144.1733,-5.3424,-0.4746,50.0029,5.6806,-3.2845,24,2.4,24,2452,187,NA,NA,NA,NA,NA,NA,FALSE,-7.6,20.5,3.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",1,"2024-05-29T03:40:45.918Z","2024-05-29T03:40:48.987Z",TRUE,"pitch","bdce1735-98e1-46d9-b06b-14461c965913",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.68,1.7,NA,115.11,149.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Nick Gordon strikes out swinging.",0,0,4,66,"top",9,"2024-05-29T03:40:06.132Z","2024-05-29T03:41:28.823Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,624503,"Nick Gordon","/api/v1/people/624503","L","Left",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.6,89.9,2,0.92,0.382,6.6549,33.8301,-8.8222,-1.0266,11.2215,0.0495,3.2952,1.4718,-143.4837,-5.2484,-0.3372,50.0018,5.7003,-2.1363,9.6,2.4,24,2289,193,NA,NA,NA,NA,NA,NA,FALSE,-8.8,19.4,1.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",0,"2024-05-29T03:40:25.848Z","2024-05-29T03:40:28.943Z",TRUE,"pitch","4be38c3f-0de4-467a-b231-26a6a26d8f66",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.68,1.7,NA,123.73,160.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Nick Gordon strikes out swinging.",0,0,4,66,"top",9,"2024-05-29T03:40:06.132Z","2024-05-29T03:41:28.823Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,624503,"Nick Gordon","/api/v1/people/624503","L","Left",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",84.2,77.2,5,0.89,0.4465,7.0029,24.3043,-21.7393,-6.6875,6.8505,-0.1765,2.9121,3.0228,-122.6696,-1.9703,-0.556,50.0054,5.5794,-10.1916,24,6,24,1388,222,NA,NA,NA,NA,NA,NA,FALSE,-26.3,12.2,11.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",5,"2024-05-29T03:39:58.672Z","2024-05-29T03:40:01.962Z",TRUE,"pitch","f6be4a7d-b122-496d-9028-25df1115f305",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,1,NA,NA,3.28,1.53,NA,47.34,187.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Jake Burger strikes out swinging.",0,0,4,65,"top",9,"2024-05-29T03:38:14.577Z","2024-05-29T03:40:01.962Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,669394,"Jake Burger","/api/v1/people/669394","R","Right",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.5,83,14,0.92,0.4164,6.8427,29.1738,-28.7285,3.4484,1.966,1.8274,1.8871,4.6023,-131.7719,-4.0151,-0.3926,50.001,5.5638,6.0356,13.2,7.2,24,2292,173,NA,NA,NA,NA,NA,NA,TRUE,-30.6,2.9,-7.3,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",4,"2024-05-29T03:39:37.645Z","2024-05-29T03:39:40.908Z",TRUE,"pitch","1dc907cf-b792-41d2-b9c5-552443819028",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.28,1.53,NA,69.65,159.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Jake Burger strikes out swinging.",0,0,4,65,"top",9,"2024-05-29T03:38:14.577Z","2024-05-29T03:40:01.962Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,669394,"Jake Burger","/api/v1/people/669394","R","Right",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.2,90.9,12,0.92,0.3769,6.6562,36.5204,-8.6552,-0.3224,11.0158,1.2423,2.9261,3.8304,-145.7109,-6.405,-0.0514,50.004,5.6856,-0.6895,1.2,2.4,24,2377,184,NA,NA,NA,NA,NA,NA,FALSE,-8.6,18.7,-0.2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",2,"2024-05-29T03:39:15.181Z","2024-05-29T03:39:18.572Z",TRUE,"pitch","38697c91-7b9e-46d3-9da2-97a8d73f11a5",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,1,NA,NA,3.3413,1.542,NA,84.47,176.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Jake Burger strikes out swinging.",0,0,4,65,"top",9,"2024-05-29T03:38:14.577Z","2024-05-29T03:40:01.962Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,669394,"Jake Burger","/api/v1/people/669394","R","Right",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",85.9,78.7,14,0.85,0.4386,7.0802,25.2821,-23.9304,-9.8792,5.2228,0.8535,2.3246,5.899,-124.9059,-3.0037,-0.2558,50.0047,5.5116,-15.6036,30,7.2,24,1490,217,NA,NA,NA,NA,NA,NA,FALSE,-28.2,9,16.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",1,"2024-05-29T03:38:54.228Z","2024-05-29T03:38:57.243Z",TRUE,"pitch","a01aa812-39f0-4b37-bba7-b7d61d896bbc",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,1,NA,NA,3.28,1.53,NA,101.99,189.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Jake Burger strikes out swinging.",0,0,4,65,"top",9,"2024-05-29T03:38:14.577Z","2024-05-29T03:40:01.962Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,669394,"Jake Burger","/api/v1/people/669394","R","Right",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.7,89.5,9,0.92,0.3833,6.7147,35.6582,-4.8318,-1.9271,13.2472,0.3939,1.8341,2.2302,-143.3469,-9.7392,-0.1469,50.005,5.5913,-3.9784,25.2,1.2,24,2313,185,NA,NA,NA,NA,NA,NA,FALSE,-6.4,22,3,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",0,"2024-05-29T03:38:36.954Z","2024-05-29T03:38:40.198Z",TRUE,"pitch","b60df749-4578-4693-b63b-771bef60f057",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.4304,1.5868,NA,83.5,206.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Jake Burger strikes out swinging.",0,0,4,65,"top",9,"2024-05-29T03:38:14.577Z","2024-05-29T03:40:01.962Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,669394,"Jake Burger","/api/v1/people/669394","R","Right",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.1,89.3,14,0.91,0.3854,6.7875,34.6245,-10.0613,0.6213,10.8274,0.879,1.1938,2.4898,-142.4511,-10.5421,-0.0893,50.0031,5.5916,1.2689,8.4,2.4,24,2058,184,NA,NA,NA,NA,NA,NA,FALSE,-11.2,17.5,-1.7,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",3,"2024-05-29T03:39:23.352Z","2024-05-29T03:39:37.645Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",0,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,1,669394,"/api/v1/people/669394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Jake Burger strikes out swinging.",0,0,4,65,"top",9,"2024-05-29T03:38:14.577Z","2024-05-29T03:40:01.962Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,669394,"Jake Burger","/api/v1/people/669394","R","Right",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",5,"2024-05-29T03:38:04.797Z","2024-05-29T03:38:08.181Z",TRUE,"pitch","a969a682-9e84-4c2c-bd20-9ebcbdb2bd2b",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,0,NA,NA,3.58,1.7,NA,182.93,197.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Jesús Sánchez strikes out swinging.",0,0,4,64,"top",9,"2024-05-29T03:37:24.832Z","2024-05-29T03:38:08.181Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",86.1,78.9,13,0.89,0.4379,7.0336,26.2477,-22.8882,-8.4355,5.8666,-1.7295,1.5276,-0.0399,-125.2731,-5.1198,-0.618,50.0048,5.4787,-13.3545,28.8,7.2,24,1488,226,NA,NA,NA,NA,NA,NA,TRUE,-27.4,9.6,15.2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",4,"2024-05-29T03:37:47.739Z","2024-05-29T03:37:51.148Z",TRUE,"pitch","91404b4a-e20d-4205-af9e-bdfde6e3df45",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,0,NA,NA,3.6371,1.815,NA,112.37,168.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Jesús Sánchez strikes out swinging.",0,0,4,64,"top",9,"2024-05-29T03:37:24.832Z","2024-05-29T03:38:08.181Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",83.8,77,5,0.91,0.4485,6.8594,23.347,-24.582,-8.5144,5.025,0.1215,2.5857,3.8615,-121.9804,-2.1059,-0.3734,50.003,5.5734,-12.8678,26.4,7.2,24,1433,229,NA,NA,NA,NA,NA,NA,FALSE,-30,8.9,14.5,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",3,"2024-05-29T03:37:27.028Z","2024-05-29T03:37:30.768Z",TRUE,"pitch","eff06e17-ee94-4eb9-b438-a897d1e12d96",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,0,NA,NA,3.58,1.7,NA,83.16,201.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Jesús Sánchez strikes out swinging.",0,0,4,64,"top",9,"2024-05-29T03:37:24.832Z","2024-05-29T03:38:08.181Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.7,89.3,14,0.91,0.3859,6.7586,32.9648,-8.574,-0.3661,11.5704,0.8879,1.3813,3.0438,-142.0123,-10.2956,-0.1509,50.0012,5.6019,-0.747,0,2.4,24,2190,185,NA,NA,NA,NA,NA,NA,FALSE,-9.7,19,0,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",0,"2024-05-29T03:36:46.193Z","2024-05-29T03:36:46.215Z",FALSE,"action",NA,NA,"Defensive Substitution: Jackson Merrill replaces left fielder Jurickson Profar, batting 3rd, playing center field.","Defensive Sub",0,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,701538,"/api/v1/people/701538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_substitution",NA,"8","Outfielder","Outfielder","CF","301","64","atBat","Strikeout","strikeout","Jesús Sánchez strikes out swinging.",0,0,4,64,"top",9,"2024-05-29T03:37:24.832Z","2024-05-29T03:38:08.181Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,595777,"/api/v1/people/595777",TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",1,"2024-05-29T03:36:46.215Z","2024-05-29T03:36:46.216Z",FALSE,"action",NA,NA,"Defensive switch from center field to left field for José Azocar.","Defensive Switch",0,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,640492,"/api/v1/people/640492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"7","Outfielder","Outfielder","LF","800","64","atBat","Strikeout","strikeout","Jesús Sánchez strikes out swinging.",0,0,4,64,"top",9,"2024-05-29T03:37:24.832Z","2024-05-29T03:38:08.181Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",2,"2024-05-29T03:36:46.216Z","2024-05-29T03:37:27.028Z",FALSE,"action",NA,NA,"Pitching Change: Jeremiah Estrada replaces Wandy Peralta.","Pitching Substitution",0,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,669093,"/api/v1/people/669093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"64","atBat","Strikeout","strikeout","Jesús Sánchez strikes out swinging.",0,0,4,64,"top",9,"2024-05-29T03:37:24.832Z","2024-05-29T03:38:08.181Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",669093,"Jeremiah Estrada","/api/v1/people/669093","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",5,"2024-05-29T03:34:42.931Z","2024-05-29T03:34:50.547Z",TRUE,"pitch","cb3d6a6d-dd7f-470f-9641-17913a0f38ec",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,2,NA,NA,3.4,1.55,NA,112.38,167.92,"line_drive","medium","8",127.67,75.4,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Lineout","field_out","Ha-Seong Kim lines out to center fielder Jazz Chisholm Jr.",0,0,4,63,"bottom",8,"2024-05-29T03:32:34.346Z","2024-05-29T03:34:50.547Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,673490,"Ha-Seong Kim","/api/v1/people/673490","R","Right",642629,"Emmanuel Ramirez","/api/v1/people/642629","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Miami Marlins","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.8,85.9,5,0.91,0.4008,6.4739,29.5038,-12.7068,-1.0213,10.2882,0.1211,2.6245,-0.0566,-136.548,-5.7816,0.2748,50.0042,5.6404,-1.9323,8.4,3.6,24,2356,194,97.3,21,346,NA,NA,NA,TRUE,-13.3,17.6,1.9,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA
745412,"2024-05-29",4,"2024-05-29T03:34:20.629Z","2024-05-29T03:34:24.063Z",TRUE,"pitch","c7f500da-6dc0-4328-b9ba-473df6742d9e",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,2,2,NA,NA,3.3658,1.5078,NA,81.47,174.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Lineout","field_out","Ha-Seong Kim lines out to center fielder Jazz Chisholm Jr.",0,0,4,63,"bottom",8,"2024-05-29T03:32:34.346Z","2024-05-29T03:34:50.547Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,673490,"Ha-Seong Kim","/api/v1/people/673490","R","Right",642629,"Emmanuel Ramirez","/api/v1/people/642629","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.6,85.7,14,0.9,0.4018,6.5508,29.6312,-12.0165,-1.0872,10.7099,0.9322,2.3711,2.5207,-136.2547,-6.4108,0.1367,50.0052,5.583,-2.047,6,2.4,24,2385,195,NA,NA,NA,NA,NA,NA,FALSE,-13,18.2,1.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA
