"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717312,"2023-07-22",3,"2023-07-22T04:14:26.121Z","2023-07-22T04:14:34.771Z",TRUE,"pitch","8dabae7e-44d0-4273-bdde-9e8bd7e60224",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.15,1.45,NA,115.76,154.8,"popup","medium","3",173.05,156.7,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Pop Out","field_out","Connor Joe pops out to first baseman Mike Moustakas.",0,5,8,72,"top",9,"2023-07-22T04:12:58.149Z","2023-07-22T04:14:34.771Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,656582,"Connor Joe","/api/v1/people/656582","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.8,82,2,0.9,0.4221,6.3194,25.3706,-32.6608,2.8838,-0.2807,0.0325,3.1103,3.2568,-129.4281,-0.1359,-1.6139,50.0058,5.651,4.9252,9.6,8.4,24,2410,107,68.7,58,161,NA,NA,NA,TRUE,-34.7,-0.4,-5.9,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717312,"2023-07-22",2,"2023-07-22T04:13:56.815Z","2023-07-22T04:14:00.060Z",TRUE,"pitch","542e3a6e-d351-4901-9c9e-66a5c89e5d07",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.2264,1.6944,NA,116.43,109.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Pop Out","field_out","Connor Joe pops out to first baseman Mike Moustakas.",0,5,8,72,"top",9,"2023-07-22T04:12:58.149Z","2023-07-22T04:14:34.771Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,656582,"Connor Joe","/api/v1/people/656582","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.4,83.4,12,0.9,0.4147,6.2298,25.6204,-32.7228,3.6483,-0.3117,0.015,4.7708,3.352,-131.6473,3.8586,-1.7447,50.0012,5.696,6.4591,12,7.2,24,2409,107,NA,NA,NA,NA,NA,NA,FALSE,-32.8,0.4,-7.3,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717312,"2023-07-22",1,"2023-07-22T04:13:37.261Z","2023-07-22T04:13:42.249Z",TRUE,"pitch","90117df3-aea4-4ee4-bc70-a5b52dec677d",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,2,NA,NA,3.1469,1.5106,NA,94.36,179.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Pop Out","field_out","Connor Joe pops out to first baseman Mike Moustakas.",0,5,8,72,"top",9,"2023-07-22T04:12:58.149Z","2023-07-22T04:14:34.771Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,656582,"Connor Joe","/api/v1/people/656582","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.7,84.1,6,0.9,0.413,6.4201,25.6035,-28.805,2.5426,1.8909,0.5938,2.2001,5.2867,-132.1189,-3.3767,-1.756,50.0052,5.5897,4.5391,10.8,7.2,24,2417,150,NA,NA,NA,NA,NA,NA,FALSE,-30,3,-5.6,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717312,"2023-07-22",0,"2023-07-22T04:13:12.662Z","2023-07-22T04:13:16.286Z",TRUE,"pitch","348288ed-9328-45f5-9299-5e1ed2b49787",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.15,1.45,NA,140.92,187.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Pop Out","field_out","Connor Joe pops out to first baseman Mike Moustakas.",0,5,8,72,"top",9,"2023-07-22T04:12:58.149Z","2023-07-22T04:14:34.771Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,656582,"Connor Joe","/api/v1/people/656582","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.1,89.6,7,0.91,0.3842,6.5867,33.3802,-9.5346,-5.751,11.0016,-0.6276,1.8846,3.8851,-142.6675,-8.7926,-1.2611,50.0034,5.6109,-11.834,43.2,3.6,24,2210,208,NA,NA,NA,NA,NA,NA,FALSE,-10.2,18.2,9.6,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717312,"2023-07-22",2,"2023-07-22T04:12:44.242Z","2023-07-22T04:12:49.544Z",TRUE,"pitch","a14b90a6-8781-4c4f-acd2-7fc9af21ded1",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,1,NA,NA,3.24,1.5,NA,106.33,146.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Nick Gonzales strikes out swinging.",0,5,8,71,"top",9,"2023-07-22T04:11:55.543Z","2023-07-22T04:12:49.544Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,693304,"Nick Gonzales","/api/v1/people/693304","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99,89.9,12,0.91,0.3812,6.6993,35.083,-11.9189,-4.7208,9.6979,0.2799,3.4318,6.728,-143.9868,-4.0188,-1.4795,50.0023,5.5895,-9.8601,32.4,2.4,24,2115,217,NA,NA,NA,NA,NA,NA,TRUE,-11.2,16.9,7.1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,682848,"Endy Rodríguez","/api/v1/people/682848"
717312,"2023-07-22",1,"2023-07-22T04:12:23.793Z","2023-07-22T04:12:28.402Z",TRUE,"pitch","44d0f540-cdd7-450f-a45d-596f76d92f2a",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,1,NA,NA,3.24,1.5,NA,109.45,171.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Nick Gonzales strikes out swinging.",0,5,8,71,"top",9,"2023-07-22T04:11:55.543Z","2023-07-22T04:12:49.544Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,693304,"Nick Gonzales","/api/v1/people/693304","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.6,90,5,0.91,0.3823,6.6034,33.5126,-10.9408,-3.9907,10.2189,0.1981,2.4989,5.8556,-143.3317,-7.0445,-1.354,50.0055,5.6738,-8.2946,28.8,2.4,24,2112,207,NA,NA,NA,NA,NA,NA,FALSE,-11,17.3,6,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717312,"2023-07-22",0,"2023-07-22T04:12:02.759Z","2023-07-22T04:12:07.188Z",TRUE,"pitch","7a7c7373-b869-4d11-986d-9a3b7e2a7bb5",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.24,1.5,NA,87.85,164.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Nick Gonzales strikes out swinging.",0,5,8,71,"top",9,"2023-07-22T04:11:55.543Z","2023-07-22T04:12:49.544Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,693304,"Nick Gonzales","/api/v1/people/693304","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.2,82,3,0.9,0.4217,6.1299,27.2448,-32.1212,2.8081,0.0291,0.7646,2.7399,5.4403,-129.9077,-1.3324,-1.7215,50.0025,5.7016,4.7968,10.8,8.4,24,2379,118,NA,NA,NA,NA,NA,NA,FALSE,-34.3,0,-6.2,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717312,"2023-07-22",6,"2023-07-22T04:11:19.383Z","2023-07-22T04:11:31.838Z",TRUE,"pitch","58ae63ab-eaba-4ce8-8850-e2cf191f56d4",7,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",3,2,1,NA,NA,3.371,1.535,NA,118.56,173.11,"line_drive","hard","9",212.54,81.17,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Double","double","Endy Rodriguez doubles (1) on a sharp line drive to right fielder Hunter Renfroe.",0,5,8,70,"top",9,"2023-07-22T04:09:15.444Z","2023-07-22T04:11:31.838Z",TRUE,FALSE,FALSE,FALSE,34,3,2,1,682848,"Endy Rodríguez","/api/v1/people/682848","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.6,86.6,5,0.9,0.3956,6.7624,33.7175,-10.5751,-3.4472,11.1471,-0.041,2.432,4.4569,-138.9363,-6.8331,-1.2247,50.0001,5.6405,-6.6783,25.2,2.4,24,2137,205,104.7,20,361,NA,NA,NA,FALSE,-11.4,18.8,5.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,682848,"Endy Rodríguez","/api/v1/people/682848"
717312,"2023-07-22",5,"2023-07-22T04:10:54.804Z","2023-07-22T04:11:00.378Z",TRUE,"pitch","a7d26ae4-6399-4ce9-be93-31fb6fe0aeb8",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,1,NA,NA,3.371,1.535,NA,129.45,161.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Double","double","Endy Rodriguez doubles (1) on a sharp line drive to right fielder Hunter Renfroe.",0,5,8,70,"top",9,"2023-07-22T04:09:15.444Z","2023-07-22T04:11:31.838Z",TRUE,FALSE,FALSE,FALSE,34,3,2,1,682848,"Endy Rodríguez","/api/v1/people/682848","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,88.5,1,0.9,0.3892,6.6121,31.4754,-11.9301,-4.6946,10.0891,-0.3267,2.8658,4.6488,-140.6627,-5.7899,-1.3897,50.0059,5.7224,-9.4229,32.4,3.6,24,2028,201,NA,NA,NA,NA,NA,NA,FALSE,-12,17.3,7.6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA
717312,"2023-07-22",4,"2023-07-22T04:10:32.079Z","2023-07-22T04:10:35.945Z",TRUE,"pitch","1931d013-cca0-48a1-a003-db0f517f285c",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,2,1,NA,NA,3.371,1.535,NA,129.15,138.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Double","double","Endy Rodriguez doubles (1) on a sharp line drive to right fielder Hunter Renfroe.",0,5,8,70,"top",9,"2023-07-22T04:09:15.444Z","2023-07-22T04:11:31.838Z",TRUE,FALSE,FALSE,FALSE,34,3,2,1,682848,"Endy Rodríguez","/api/v1/people/682848","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.2,88.2,11,0.89,0.3903,6.7112,30.2676,-12.0927,-2.5892,10.057,-0.3188,3.7266,4.7223,-140.0823,-3.1858,-1.6865,50.0014,5.6639,-5.1699,18,2.4,24,2011,199,NA,NA,NA,NA,NA,NA,FALSE,-11.6,17.8,3.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA
717312,"2023-07-22",3,"2023-07-22T04:10:14.306Z","2023-07-22T04:10:18.902Z",TRUE,"pitch","afe2e025-bc10-4be2-ab85-0804cf824b8c",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.1812,1.4875,NA,58.65,188.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Double","double","Endy Rodriguez doubles (1) on a sharp line drive to right fielder Hunter Renfroe.",0,5,8,70,"top",9,"2023-07-22T04:09:15.444Z","2023-07-22T04:11:31.838Z",TRUE,FALSE,FALSE,FALSE,34,3,2,1,682848,"Endy Rodríguez","/api/v1/people/682848","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.6,88.4,14,0.9,0.3903,6.7151,31.3459,-11.0889,-3.9304,10.5685,1.5307,1.8523,8.8646,-140.2599,-8.4799,-1.1582,50.0032,5.6357,-7.8427,24,2.4,24,2168,205,NA,NA,NA,NA,NA,NA,FALSE,-11.9,17.5,5.3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA
717312,"2023-07-22",2,"2023-07-22T04:09:58.165Z","2023-07-22T04:10:02.522Z",TRUE,"pitch","c85dbda3-e0cd-4083-a556-199e0f89e113",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.1812,1.5568,NA,163.22,140.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Double","double","Endy Rodriguez doubles (1) on a sharp line drive to right fielder Hunter Renfroe.",0,5,8,70,"top",9,"2023-07-22T04:09:15.444Z","2023-07-22T04:11:31.838Z",TRUE,FALSE,FALSE,FALSE,34,3,2,1,682848,"Endy Rodríguez","/api/v1/people/682848","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.8,88.6,11,0.9,0.3883,6.7184,31.4733,-12.8547,-4.4165,9.5817,-1.2126,3.6399,2.7387,-140.9697,-3.3982,-1.6219,50.0048,5.6886,-8.9069,31.2,3.6,24,2116,209,NA,NA,NA,NA,NA,NA,FALSE,-12.2,16.9,7.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA
717312,"2023-07-22",1,"2023-07-22T04:09:41.633Z","2023-07-22T04:09:45.068Z",TRUE,"pitch","d1167f1b-c434-4528-ac35-28bf761a0f7a",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.2507,1.5106,NA,121.29,234.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Double","double","Endy Rodriguez doubles (1) on a sharp line drive to right fielder Hunter Renfroe.",0,5,8,70,"top",9,"2023-07-22T04:09:15.444Z","2023-07-22T04:11:31.838Z",TRUE,FALSE,FALSE,FALSE,34,3,2,1,682848,"Endy Rodríguez","/api/v1/people/682848","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.7,81,13,0.9,0.4295,6.2349,26.524,-33.3256,2.8515,-0.6936,-0.1126,0.1651,3.0986,-127.5833,-6.8188,-1.7139,50.006,5.5026,4.6967,8.4,8.4,24,2371,111,NA,NA,NA,NA,NA,NA,FALSE,-38.2,-2.6,-5.9,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA
717312,"2023-07-22",0,"2023-07-22T04:09:27.243Z","2023-07-22T04:09:31.542Z",TRUE,"pitch","216d37c3-f1e7-4fd0-8477-3a5ee2888f94",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.1812,1.5106,NA,115.69,179.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Double","double","Endy Rodriguez doubles (1) on a sharp line drive to right fielder Hunter Renfroe.",0,5,8,70,"top",9,"2023-07-22T04:09:15.444Z","2023-07-22T04:11:31.838Z",TRUE,FALSE,FALSE,FALSE,34,3,2,1,682848,"Endy Rodríguez","/api/v1/people/682848","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.6,80,5,0.9,0.4336,6.2236,24.6129,-32.84,3.1666,-0.4113,0.0344,2.208,3.3848,-126.123,-1.9923,-1.7343,50.0027,5.6456,5.1233,9.6,8.4,24,2302,108,NA,NA,NA,NA,NA,NA,FALSE,-37.2,-1,-6.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA
717312,"2023-07-22",5,"2023-07-22T04:09:00.827Z","2023-07-22T04:09:06.296Z",TRUE,"pitch","027fe1aa-334c-41fc-a03d-021ec9efeacc",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,0,NA,NA,3.33,1.56,NA,105.9,187.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Andrew McCutchen strikes out swinging.",0,5,8,69,"top",9,"2023-07-22T04:08:13.916Z","2023-07-22T04:09:06.296Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,457705,"Andrew McCutchen","/api/v1/people/457705","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.8,82.9,9,0.9,0.4181,6.3815,26.7744,-32.3834,2.36,-0.1178,0.2913,1.9029,4.2303,-130.8354,-3.1763,-1.6513,50.0059,5.5516,4.1041,8.4,7.2,24,2251,124,NA,NA,NA,NA,NA,NA,TRUE,-34.4,-0.7,-5.2,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717312,"2023-07-22",4,"2023-07-22T04:08:45.077Z","2023-07-22T04:08:49.082Z",TRUE,"pitch","28c51557-0e9c-4fe6-9a82-28b5836ea12e",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,0,NA,NA,3.4594,1.6723,NA,162.33,133.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Andrew McCutchen strikes out swinging.",0,5,8,69,"top",9,"2023-07-22T04:08:13.916Z","2023-07-22T04:09:06.296Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,457705,"Andrew McCutchen","/api/v1/people/457705","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.5,88.8,11,0.89,0.3863,6.6901,33.2165,-15.7617,-4.071,8.0641,-1.1893,3.903,2.8521,-141.9359,-2.199,-1.6795,50.0039,5.6943,-8.2868,25.2,3.6,24,2051,210,NA,NA,NA,NA,NA,NA,FALSE,-14.5,14.3,6.7,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
