"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717234,"2023-07-28",1,"2023-07-29T02:26:00.246Z","2023-07-29T02:26:10.167Z",TRUE,"pitch","d252fd64-d705-4dad-9bd8-fbce2d0fbf79",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.2,1.52,NA,146.28,173.79,"fly_ball","medium","7",56.54,139.25,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Endy Rodriguez flies out to left fielder Jake Cave in foul territory.",0,2,1,71,"bottom",9,"2023-07-29T02:25:57.868Z","2023-07-29T02:26:10.167Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,682848,"Endy Rodríguez","/api/v1/people/682848","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,87.5,4,0.9,0.3941,6.9602,29.5407,-16.4767,-5.2862,8.011,-0.7683,2.407,7.468,-138.7262,-3.4719,-2.8019,50.0004,4.7657,-10.3556,27.6,3.6,24,2391,220,87.9,60,228,NA,NA,NA,TRUE,-16,14,8.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717234,"2023-07-28",0,"2023-07-29T02:25:28.170Z","2023-07-29T02:26:00.246Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",2,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Endy Rodriguez flies out to left fielder Jake Cave in foul territory.",0,2,1,71,"bottom",9,"2023-07-29T02:25:57.868Z","2023-07-29T02:26:10.167Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,682848,"Endy Rodríguez","/api/v1/people/682848","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717234,"2023-07-28",3,"2023-07-29T02:24:59.795Z","2023-07-29T02:25:06.445Z",TRUE,"pitch","50ccb5a8-9a8d-4f39-8c9a-6cfab2829f66",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,0,2,NA,NA,3.3267,1.6941,NA,80.42,174.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Walk","walk","Henry Davis walks.",0,2,1,70,"bottom",9,"2023-07-29T02:23:38.333Z","2023-07-29T02:25:06.445Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,680779,"Henry Davis","/api/v1/people/680779","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Philadelphia Phillies","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,87.6,14,0.9,0.3946,6.9672,28.9797,-17.556,-5.0909,7.481,0.9596,2.3639,11.8682,-138.4431,-3.0853,-2.7086,50.002,4.6582,-9.9477,22.8,3.6,24,2385,224,NA,NA,NA,NA,NA,NA,FALSE,-16.9,13.1,7,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,680779,"Henry Davis","/api/v1/people/680779",NA,NA,NA,NA
717234,"2023-07-28",2,"2023-07-29T02:24:38.372Z","2023-07-29T02:24:44.175Z",TRUE,"pitch","db8c8912-be79-419a-80c2-6c4ef9f18cf5",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,2,NA,NA,3.292,1.7097,NA,85.43,189.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Walk","walk","Henry Davis walks.",0,2,1,70,"bottom",9,"2023-07-29T02:23:38.333Z","2023-07-29T02:25:06.445Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,680779,"Henry Davis","/api/v1/people/680779","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Philadelphia Phillies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,86.9,9,0.9,0.3972,6.9146,29.6285,-14.3501,-5.325,9.249,0.8282,1.8222,11.561,-137.7105,-4.9091,-2.7262,50.0027,4.5936,-10.2632,26.4,3.6,24,2340,224,NA,NA,NA,NA,NA,NA,FALSE,-14.5,15.8,7.3,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717234,"2023-07-28",1,"2023-07-29T02:24:19.477Z","2023-07-29T02:24:25.970Z",TRUE,"pitch","83ef2cda-0e74-4179-b3b3-c5bcb5afbf8b",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.3267,1.6684,NA,170.74,187.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Walk","walk","Henry Davis walks.",0,2,1,70,"bottom",9,"2023-07-29T02:23:38.333Z","2023-07-29T02:25:06.445Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,680779,"Henry Davis","/api/v1/people/680779","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Philadelphia Phillies","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",85.1,78.5,13,0.9,0.4419,6.9253,24.5459,-41.635,4.3272,-6.0826,-1.4098,1.9015,1.9756,-123.8967,1.1161,-2.7794,50.0009,4.9222,6.7325,9.6,10.8,24,2544,62,NA,NA,NA,NA,NA,NA,FALSE,-48.2,-10.6,-8.3,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717234,"2023-07-28",0,"2023-07-29T02:24:00.451Z","2023-07-29T02:24:04.134Z",TRUE,"pitch","c920c3f1-b3c2-4acd-afaf-46f3ccfa125b",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3267,1.6426,NA,69,159.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Walk","walk","Henry Davis walks.",0,2,1,70,"bottom",9,"2023-07-29T02:23:38.333Z","2023-07-29T02:25:06.445Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,680779,"Henry Davis","/api/v1/people/680779","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Philadelphia Phillies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.6,88.3,12,0.91,0.3904,6.9624,30.6901,-14.5216,-5.4617,8.8469,1.2593,2.9487,12.5004,-140.1314,-2.5054,-2.5431,50.002,4.7992,-10.8981,28.8,3.6,24,2441,219,NA,NA,NA,NA,NA,NA,FALSE,-13.7,15.7,7.4,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717234,"2023-07-28",3,"2023-07-29T02:23:19.640Z","2023-07-29T02:23:31.625Z",TRUE,"pitch","17c7cccd-2eeb-447d-815d-4726f50afdab",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,1,NA,NA,3.18,1.54,NA,110.68,179.25,"fly_ball","medium","7",37.81,96.26,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Flyout","field_out","Ji Man Choi flies out to left fielder Jake Cave.",0,2,1,69,"bottom",9,"2023-07-29T02:22:00.803Z","2023-07-29T02:23:31.625Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,596847,"Ji Man Choi","/api/v1/people/596847","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Philadelphia Phillies","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,86.3,5,0.9,0.398,6.9967,32.1441,-16.0548,-4.3944,8.4167,0.1657,2.2047,9.6702,-137.8849,-3.4114,-2.8241,50.0041,4.5486,-8.4179,20.4,3.6,24,2335,224,98.5,26,334,NA,NA,NA,TRUE,-16,14.6,5.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717234,"2023-07-28",2,"2023-07-29T02:22:58.596Z","2023-07-29T02:23:06.206Z",TRUE,"pitch","21d824b5-2bc9-4ec2-a5a9-7077bf6b90f7",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.1966,1.6169,NA,119.37,142.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Flyout","field_out","Ji Man Choi flies out to left fielder Jake Cave.",0,2,1,69,"bottom",9,"2023-07-29T02:22:00.803Z","2023-07-29T02:23:31.625Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,596847,"Ji Man Choi","/api/v1/people/596847","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Philadelphia Phillies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,87.4,11,0.91,0.3918,6.9439,34.2338,-14.9156,-4.7724,8.7387,-0.0621,3.5547,9.2615,-140.2499,-0.8117,-2.7999,50.0035,4.8285,-9.4266,25.2,3.6,24,2444,221,NA,NA,NA,NA,NA,NA,FALSE,-13.8,15.8,6.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717234,"2023-07-28",1,"2023-07-29T02:22:38.484Z","2023-07-29T02:22:43.843Z",TRUE,"pitch","0e91c2da-293e-4a1d-8ea0-23b48515cba7",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.1966,1.5654,NA,128.58,225.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Flyout","field_out","Ji Man Choi flies out to left fielder Jake Cave.",0,2,1,69,"bottom",9,"2023-07-29T02:22:00.803Z","2023-07-29T02:23:31.625Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,596847,"Ji Man Choi","/api/v1/people/596847","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Philadelphia Phillies","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",86.4,79.2,13,0.9,0.4376,6.8856,28.1713,-40.8086,5.2227,-5.4585,-0.3039,0.4971,5.047,-125.7139,-1.9395,-3.0242,50.001,4.6262,8.2639,12,10.8,24,2513,56,NA,NA,NA,NA,NA,NA,FALSE,-47,-10.1,-10.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717234,"2023-07-28",0,"2023-07-29T02:22:20.407Z","2023-07-29T02:22:24.670Z",TRUE,"pitch","476d5450-4529-4c2f-89c8-f717105410a9",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.1966,1.5654,NA,139.28,174.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Flyout","field_out","Ji Man Choi flies out to left fielder Jake Cave.",0,2,1,69,"bottom",9,"2023-07-29T02:22:00.803Z","2023-07-29T02:23:31.625Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,596847,"Ji Man Choi","/api/v1/people/596847","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Philadelphia Phillies","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",85.4,77.8,4,0.9,0.443,6.5912,27.6371,-42.5344,5.5917,-6.7118,-0.5845,2.3924,3.7559,-124.212,2.1966,-2.8487,50.0018,5.064,8.6325,12,10.8,24,2604,59,NA,NA,NA,NA,NA,NA,FALSE,-49.1,-11.3,-11,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717234,"2023-07-28",3,"2023-07-29T02:21:41.852Z","2023-07-29T02:21:50.321Z",TRUE,"pitch","e8ede65b-cd79-4a63-a4c3-48ee7095961a",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,0,NA,NA,3.38,1.63,NA,121.54,172.33,"line_drive","medium","8",146.96,55.04,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Lineout","field_out","Andrew McCutchen lines out to center fielder Brandon Marsh.",0,2,1,68,"bottom",9,"2023-07-29T02:21:05.957Z","2023-07-29T02:21:50.321Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,457705,"Andrew McCutchen","/api/v1/people/457705","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.9,87.7,5,0.9,0.3928,6.979,30.8971,-15.7839,-5.2373,8.3206,-0.119,2.4612,8.9943,-139.3533,-3.3379,-2.7058,50.0019,4.7153,-10.3164,26.4,3.6,24,2383,220,99.4,22,361,NA,NA,NA,TRUE,-15.2,14.5,7.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717234,"2023-07-28",2,"2023-07-29T02:21:25.244Z","2023-07-29T02:21:30.616Z",TRUE,"pitch","057bc26e-afc9-43fb-bd18-bbdf5e91aa98",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.3968,1.6684,NA,72.54,202.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Lineout","field_out","Andrew McCutchen lines out to center fielder Brandon Marsh.",0,2,1,68,"bottom",9,"2023-07-29T02:21:05.957Z","2023-07-29T02:21:50.321Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,457705,"Andrew McCutchen","/api/v1/people/457705","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Philadelphia Phillies",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",86.3,80,14,0.9,0.4358,6.9173,24.8193,-41.8491,3.4976,-6.0446,1.1663,1.3316,7.9858,-125.5734,-0.4584,-2.506,50.0016,4.9136,5.5987,9.6,10.8,24,2550,52,NA,NA,NA,NA,NA,NA,FALSE,-47.5,-10.8,-8.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717234,"2023-07-28",1,"2023-07-29T02:21:08.282Z","2023-07-29T02:21:12.670Z",TRUE,"pitch","dde6ba4a-e3da-45c3-9d0e-fc6fbbf81891",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.3968,1.6169,NA,104.91,195.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Lineout","field_out","Andrew McCutchen lines out to center fielder Brandon Marsh.",0,2,1,68,"bottom",9,"2023-07-29T02:21:05.957Z","2023-07-29T02:21:50.321Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,457705,"Andrew McCutchen","/api/v1/people/457705","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,86.4,9,0.91,0.3984,6.9887,31.4197,-13.946,-5.6897,9.5281,0.3172,1.6044,10.1548,-137.6568,-5.7058,-2.6854,50.0042,4.6532,-10.8873,30,3.6,24,2384,218,NA,NA,NA,NA,NA,NA,FALSE,-14.5,16.2,8.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717234,"2023-07-28",0,"2023-07-29T02:19:41.007Z","2023-07-29T02:21:08.282Z",FALSE,"action",NA,NA,"Pitching Change: Craig Kimbrel replaces Gregory Soto.","Pitching Substitution",2,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,518886,"/api/v1/people/518886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"68","atBat","Lineout","field_out","Andrew McCutchen lines out to center fielder Brandon Marsh.",0,2,1,68,"bottom",9,"2023-07-29T02:21:05.957Z","2023-07-29T02:21:50.321Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,457705,"Andrew McCutchen","/api/v1/people/457705","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717234,"2023-07-28",2,"2023-07-29T02:18:02.894Z","2023-07-29T02:18:09.915Z",TRUE,"pitch","127653ed-62ac-4269-b12c-038570939811",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.27,1.6,NA,99.2,169.51,"line_drive","hard","7",77.18,81.33,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Lineout","field_out","Bryce Harper lines out sharply to left fielder Bryan Reynolds.",0,2,1,67,"top",9,"2023-07-29T02:18:00.517Z","2023-07-29T02:18:09.915Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,547180,"Bryce Harper","/api/v1/people/547180","L","Left",669387,"Carmen Mlodzinski","/api/v1/people/669387","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Pittsburgh Pirates",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.3,86.5,6,2,0.4013,6.7036,25.7892,-22.5605,-1.2061,5.0783,0.4669,2.5654,8.1354,-135.7666,-2.248,-2.3936,50.0021,4.9511,-2.2831,2.4,4.8,24,2393,211,102.8,17,317,NA,NA,NA,TRUE,-22.1,9,0.7,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717234,"2023-07-28",0,"2023-07-29T02:15:07.870Z","2023-07-29T02:16:23.603Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",2,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"67","atBat","Lineout","field_out","Bryce Harper lines out sharply to left fielder Bryan Reynolds.",0,2,1,67,"top",9,"2023-07-29T02:18:00.517Z","2023-07-29T02:18:09.915Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,547180,"Bryce Harper","/api/v1/people/547180","L","Left",669387,"Carmen Mlodzinski","/api/v1/people/669387","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Pittsburgh Pirates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
